"Status","Year","Disability","Region_ITL2","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","No function","380","360","30370","29650"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","60","50","38170","34080"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Property","30","30","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Security","80","80","35000","36940"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","320","290","28810","27570"
"In post","2021","Declared disabled","Cheshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","No function","190","170","29890","28960"
"In post","2021","Declared disabled","Cheshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Unknown","170","150","25440","27570"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Unknown","170","150","25320","27570"
"In post","2021","Declared disabled","Cumbria","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Grants Management","70","60","24260","21050"
"In post","2021","Declared disabled","Cumbria","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","No function","60","60","27070","24380"
"In post","2021","Declared disabled","Cumbria","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Unknown","50","40","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Communications","40","40","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Human Resources","50","50","36510","31960"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Legal","50","50","38030","31810"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","No function","730","680","29280","26810"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Property","30","30","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Unknown","470","420","26110","27570"
"In post","2021","Declared disabled","Devon","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Digital, Data & Technology","90","80","36320","34450"
"In post","2021","Declared disabled","Devon","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","No function","270","240","29710","26990"
"In post","2021","Declared disabled","Devon","Project Delivery","40","40","[c]","[c]"
"In post","2021","Declared disabled","Devon","Property","50","40","[c]","[c]"
"In post","2021","Declared disabled","Devon","Security","40","40","[c]","[c]"
"In post","2021","Declared disabled","Devon","Unknown","400","340","25130","26800"
"In post","2021","Declared disabled","Dorset and Somerset","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","No function","230","220","28120","27130"
"In post","2021","Declared disabled","Dorset and Somerset","Project Delivery","50","40","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Unknown","240","210","26890","27570"
"In post","2021","Declared disabled","East Anglia","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Commercial","30","30","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Counter Fraud","40","30","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","No function","540","500","29940","28220"
"In post","2021","Declared disabled","East Anglia","Project Delivery","50","50","36510","33740"
"In post","2021","Declared disabled","East Anglia","Property","40","40","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Unknown","530","480","25870","27570"
"In post","2021","Declared disabled","East Wales","Analysis","90","80","36790","36030"
"In post","2021","Declared disabled","East Wales","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Communications","60","50","30310","25560"
"In post","2021","Declared disabled","East Wales","Counter Fraud","40","30","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Digital, Data & Technology","60","60","40070","36840"
"In post","2021","Declared disabled","East Wales","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Human Resources","50","50","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Legal","40","30","[c]","[c]"
"In post","2021","Declared disabled","East Wales","No function","700","640","29010","25400"
"In post","2021","Declared disabled","East Wales","Project Delivery","50","50","35030","31810"
"In post","2021","Declared disabled","East Wales","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Unknown","620","570","30930","27570"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","No function","210","200","27520","26870"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Unknown","260","220","25590","27570"
"In post","2021","Declared disabled","Eastern Scotland","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Debt","40","30","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Legal","40","40","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","No function","440","410","31160","30930"
"In post","2021","Declared disabled","Eastern Scotland","Project Delivery","30","30","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Property","30","30","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Unknown","1220","1130","32820","27570"
"In post","2021","Declared disabled","Essex","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","No function","170","150","28160","26010"
"In post","2021","Declared disabled","Essex","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","Unknown","390","350","28570","29290"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Commercial","110","100","41320","40580"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Counter Fraud","40","30","[c]","[c]"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Digital, Data & Technology","70","70","38570","38300"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Finance","130","120","36240","33000"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Human Resources","120","110","36410","32730"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Legal","30","30","[c]","[c]"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","No function","720","660","32560","29050"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Project Delivery","980","940","37270","35400"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Property","70","70","37910","34120"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Security","40","40","[c]","[c]"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","640","580","29370","27570"
"In post","2021","Declared disabled","Greater Manchester","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Greater Manchester","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Greater Manchester","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Greater Manchester","Counter Fraud","100","90","32600","31810"
"In post","2021","Declared disabled","Greater Manchester","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Greater Manchester","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Greater Manchester","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Greater Manchester","Human Resources","80","70","37500","32420"
"In post","2021","Declared disabled","Greater Manchester","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Greater Manchester","Legal","60","50","42080","45100"
"In post","2021","Declared disabled","Greater Manchester","No function","730","670","29130","25560"
"In post","2021","Declared disabled","Greater Manchester","Project Delivery","50","50","38450","35730"
"In post","2021","Declared disabled","Greater Manchester","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Greater Manchester","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Greater Manchester","Unknown","970","880","26860","27570"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","Analysis","100","90","38330","37320"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","Commercial","40","40","[c]","[c]"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","Finance","40","40","[c]","[c]"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","Human Resources","40","40","[c]","[c]"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","No function","590","520","28070","25070"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","Project Delivery","160","160","35510","33300"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","Property","40","40","[c]","[c]"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","Security","60","60","27380","24610"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","Unknown","520","460","27740","27570"
"In post","2021","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Herefordshire, Worcestershire and Warwickshire","No function","200","190","28080","26300"
"In post","2021","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Unknown","170","150","25100","26930"
"In post","2021","Declared disabled","Highlands and Islands","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Highlands and Islands","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Highlands and Islands","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Highlands and Islands","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Highlands and Islands","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Highlands and Islands","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Highlands and Islands","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Highlands and Islands","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Highlands and Islands","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Highlands and Islands","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Highlands and Islands","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Highlands and Islands","Unknown","110","100","26970","27570"
"In post","2021","Declared disabled","Inner London - East","Analysis","50","50","47130","42260"
"In post","2021","Declared disabled","Inner London - East","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inner London - East","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inner London - East","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inner London - East","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inner London - East","Digital, Data & Technology","110","110","48910","54700"
"In post","2021","Declared disabled","Inner London - East","Finance","30","30","[c]","[c]"
"In post","2021","Declared disabled","Inner London - East","Human Resources","50","50","[c]","[c]"
"In post","2021","Declared disabled","Inner London - East","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inner London - East","Legal","30","30","[c]","[c]"
"In post","2021","Declared disabled","Inner London - East","No function","560","540","36420","34110"
"In post","2021","Declared disabled","Inner London - East","Project Delivery","80","70","51800","52920"
"In post","2021","Declared disabled","Inner London - East","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inner London - East","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inner London - East","Unknown","560","510","30780","31060"
"In post","2021","Declared disabled","Inner London - West","Analysis","180","170","47160","42470"
"In post","2021","Declared disabled","Inner London - West","Commercial","80","80","44380","40650"
"In post","2021","Declared disabled","Inner London - West","Communications","90","90","43470","39730"
"In post","2021","Declared disabled","Inner London - West","Counter Fraud","90","80","38930","36160"
"In post","2021","Declared disabled","Inner London - West","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inner London - West","Digital, Data & Technology","160","160","44500","38730"
"In post","2021","Declared disabled","Inner London - West","Finance","140","130","49970","44590"
"In post","2021","Declared disabled","Inner London - West","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inner London - West","Human Resources","290","280","47340","41070"
"In post","2021","Declared disabled","Inner London - West","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inner London - West","Legal","390","360","50430","51830"
"In post","2021","Declared disabled","Inner London - West","No function","2340","2280","43030","38160"
"In post","2021","Declared disabled","Inner London - West","Project Delivery","340","330","49160","44840"
"In post","2021","Declared disabled","Inner London - West","Property","60","50","41810","36160"
"In post","2021","Declared disabled","Inner London - West","Security","100","100","41100","38800"
"In post","2021","Declared disabled","Inner London - West","Unknown","930","880","44180","38280"
"In post","2021","Declared disabled","Kent","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Kent","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Kent","Communications","[c]","[c]","[c]","[c]"
