"Status","Year","Sexual_orientation","Ethnicity","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Unknown","50-59","860","800","35040","29570"
"In post","2021","Heterosexual / straight","Unknown","60-64","300","250","30480","26290"
"In post","2021","Heterosexual / straight","Unknown","65+","100","70","29840","22650"
"In post","2021","Heterosexual / straight","White","16-19","620","600","21490","21010"
"In post","2021","Heterosexual / straight","White","20-29","36960","36440","29050","27500"
"In post","2021","Heterosexual / straight","White","30-39","55330","52330","34600","30850"
"In post","2021","Heterosexual / straight","White","40-49","62390","58550","36860","31810"
"In post","2021","Heterosexual / straight","White","50-59","81450","76530","35130","30170"
"In post","2021","Heterosexual / straight","White","60-64","21880","18100","31930","27570"
"In post","2021","Heterosexual / straight","White","65+","6390","4940","30460","26780"
"In post","2021","Heterosexual / straight","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","20-29","140","140","31430","29570"
"In post","2021","LGBO","Asian","30-39","140","140","36140","31990"
"In post","2021","LGBO","Asian","40-49","150","140","34290","28480"
"In post","2021","LGBO","Asian","50-59","80","80","31980","27570"
"In post","2021","LGBO","Asian","60-64","40","40","[c]","[c]"
"In post","2021","LGBO","Asian","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","20-29","90","90","31590","31060"
"In post","2021","LGBO","Black","30-39","70","70","33680","31060"
"In post","2021","LGBO","Black","40-49","70","60","36070","29840"
"In post","2021","LGBO","Black","50-59","80","80","36700","29550"
"In post","2021","LGBO","Black","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Mixed","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Mixed","20-29","250","240","31510","29070"
"In post","2021","LGBO","Mixed","30-39","200","200","37360","33030"
"In post","2021","LGBO","Mixed","40-49","120","120","41710","35310"
"In post","2021","LGBO","Mixed","50-59","100","100","35860","31650"
"In post","2021","LGBO","Mixed","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Mixed","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other ethnicity","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other ethnicity","20-29","50","40","[c]","[c]"
"In post","2021","LGBO","Other ethnicity","30-39","40","40","[c]","[c]"
"In post","2021","LGBO","Other ethnicity","40-49","40","40","[c]","[c]"
"In post","2021","LGBO","Other ethnicity","50-59","30","30","[c]","[c]"
"In post","2021","LGBO","Other ethnicity","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other ethnicity","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","20-29","40","40","[c]","[c]"
"In post","2021","LGBO","Undeclared","30-39","70","70","32990","27950"
"In post","2021","LGBO","Undeclared","40-49","70","60","38160","32760"
"In post","2021","LGBO","Undeclared","50-59","100","90","33760","31060"
"In post","2021","LGBO","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","20-29","50","50","30320","29380"
"In post","2021","LGBO","Unknown","30-39","60","60","39690","33400"
"In post","2021","LGBO","Unknown","40-49","60","50","41900","33520"
"In post","2021","LGBO","Unknown","50-59","40","40","[c]","[c]"
"In post","2021","LGBO","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","White","16-19","50","50","[c]","[c]"
"In post","2021","LGBO","White","20-29","4790","4740","29810","27570"
"In post","2021","LGBO","White","30-39","4710","4630","35340","31180"
"In post","2021","LGBO","White","40-49","3340","3240","38310","31810"
"In post","2021","LGBO","White","50-59","2890","2790","36560","31650"
"In post","2021","LGBO","White","60-64","530","440","32600","27570"
"In post","2021","LGBO","White","65+","150","120","29900","26550"
"In post","2021","LGBO","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Asian","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Asian","20-29","190","180","28510","27540"
"In post","2021","Undeclared","Asian","30-39","300","280","32230","29080"
"In post","2021","Undeclared","Asian","40-49","460","420","31920","28080"
"In post","2021","Undeclared","Asian","50-59","450","420","30810","28240"
"In post","2021","Undeclared","Asian","60-64","160","130","28580","26350"
"In post","2021","Undeclared","Asian","65+","90","70","30280","27130"
"In post","2021","Undeclared","Black","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Black","20-29","80","70","29710","29570"
"In post","2021","Undeclared","Black","30-39","100","100","33250","31060"
"In post","2021","Undeclared","Black","40-49","170","160","34810","31060"
"In post","2021","Undeclared","Black","50-59","340","320","31750","29540"
"In post","2021","Undeclared","Black","60-64","70","60","29580","27570"
"In post","2021","Undeclared","Black","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Chinese","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Chinese","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Chinese","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Chinese","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Chinese","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Chinese","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Mixed","20-29","140","140","31040","29570"
"In post","2021","Undeclared","Mixed","30-39","130","130","35730","31060"
"In post","2021","Undeclared","Mixed","40-49","120","110","36790","30550"
"In post","2021","Undeclared","Mixed","50-59","140","130","35570","30350"
"In post","2021","Undeclared","Mixed","60-64","40","30","[c]","[c]"
"In post","2021","Undeclared","Mixed","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Other ethnicity","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Other ethnicity","30-39","40","40","[c]","[c]"
"In post","2021","Undeclared","Other ethnicity","40-49","80","80","47110","41500"
"In post","2021","Undeclared","Other ethnicity","50-59","110","100","41010","33090"
"In post","2021","Undeclared","Other ethnicity","60-64","40","30","[c]","[c]"
"In post","2021","Undeclared","Other ethnicity","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Undeclared","20-29","1010","1000","31520","29120"
"In post","2021","Undeclared","Undeclared","30-39","2260","2190","36800","32920"
"In post","2021","Undeclared","Undeclared","40-49","3260","3120","36470","32100"
"In post","2021","Undeclared","Undeclared","50-59","5030","4790","35610","31880"
"In post","2021","Undeclared","Undeclared","60-64","1270","1060","33560","29200"
"In post","2021","Undeclared","Undeclared","65+","400","310","33790","28630"
"In post","2021","Undeclared","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","20-29","390","390","26920","25400"
"In post","2021","Undeclared","Unknown","30-39","670","630","30880","29350"
"In post","2021","Undeclared","Unknown","40-49","640","600","32700","29350"
"In post","2021","Undeclared","Unknown","50-59","920","840","31350","28770"
"In post","2021","Undeclared","Unknown","60-64","320","260","29450","22820"
"In post","2021","Undeclared","Unknown","65+","110","80","27470","22820"
"In post","2021","Undeclared","White","16-19","40","40","[c]","[c]"
"In post","2021","Undeclared","White","20-29","2090","2050","30210","27570"
"In post","2021","Undeclared","White","30-39","3630","3420","34270","30850"
"In post","2021","Undeclared","White","40-49","5530","5140","34760","30390"
"In post","2021","Undeclared","White","50-59","8990","8330","33640","28200"
"In post","2021","Undeclared","White","60-64","2840","2250","30700","27560"
"In post","2021","Undeclared","White","65+","850","620","30280","26780"
"In post","2021","Undeclared","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Asian","20-29","230","230","30030","27570"
"In post","2021","Unknown","Asian","30-39","600","540","31440","27570"
"In post","2021","Unknown","Asian","40-49","1110","960","32270","27570"
"In post","2021","Unknown","Asian","50-59","880","800","31830","27570"
"In post","2021","Unknown","Asian","60-64","230","190","30570","26930"
"In post","2021","Unknown","Asian","65+","140","110","30170","25630"
"In post","2021","Unknown","Black","20-29","60","60","30050","29540"
"In post","2021","Unknown","Black","30-39","180","160","32220","31060"
"In post","2021","Unknown","Black","40-49","310","280","34080","31060"
"In post","2021","Unknown","Black","50-59","730","700","32470","31060"
"In post","2021","Unknown","Black","60-64","190","170","30640","27570"
"In post","2021","Unknown","Black","65+","70","60","29210","26690"
"In post","2021","Unknown","Chinese","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Chinese","30-39","40","30","[c]","[c]"
"In post","2021","Unknown","Chinese","40-49","40","40","[c]","[c]"
"In post","2021","Unknown","Chinese","50-59","50","40","[c]","[c]"
"In post","2021","Unknown","Chinese","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Chinese","65+","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Mixed","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Mixed","20-29","70","70","30700","29540"
"In post","2021","Unknown","Mixed","30-39","130","130","37120","33640"
"In post","2021","Unknown","Mixed","40-49","180","160","36400","31930"
"In post","2021","Unknown","Mixed","50-59","180","160","36200","30470"
"In post","2021","Unknown","Mixed","60-64","40","30","[c]","[c]"
"In post","2021","Unknown","Mixed","65+","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other ethnicity","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other ethnicity","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other ethnicity","40-49","90","80","35830","31650"
"In post","2021","Unknown","Other ethnicity","50-59","110","100","38650","31880"
"In post","2021","Unknown","Other ethnicity","60-64","40","30","[c]","[c]"
"In post","2021","Unknown","Other ethnicity","65+","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","20-29","140","140","30490","28750"
"In post","2021","Unknown","Undeclared","30-39","600","550","33480","31060"
"In post","2021","Unknown","Undeclared","40-49","990","910","34290","29830"
"In post","2021","Unknown","Undeclared","50-59","1760","1590","32230","27570"
"In post","2021","Unknown","Undeclared","60-64","500","390","31570","27570"
"In post","2021","Unknown","Undeclared","65+","170","120","30730","27570"
"In post","2021","Unknown","Unknown","16-19","490","470","20500","20140"
"In post","2021","Unknown","Unknown","20-29","18800","18540","28200","26510"
"In post","2021","Unknown","Unknown","30-39","15440","14760","33970","29890"
"In post","2021","Unknown","Unknown","40-49","11290","10660","36930","31060"
"In post","2021","Unknown","Unknown","50-59","10950","10330","35730","30650"
"In post","2021","Unknown","Unknown","60-64","2680","2260","31410","27380"
"In post","2021","Unknown","Unknown","65+","850","660","31900","26000"
"In post","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","White","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","White","20-29","1640","1610","28620","27570"
"In post","2021","Unknown","White","30-39","4900","4470","32680","29270"
"In post","2021","Unknown","White","40-49","9110","8190","33770","28130"
"In post","2021","Unknown","White","50-59","13890","12570","32760","27570"
"In post","2021","Unknown","White","60-64","4020","3070","30270","27570"
"In post","2021","Unknown","White","65+","1380","970","30160","27130"
"In post","2021","Unknown","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Asian","16-19","90","90","22980","21260"
"In post","2022","Heterosexual / straight","Asian","20-29","6220","6100","29700","27570"
"In post","2022","Heterosexual / straight","Asian","30-39","8070","7670","34280","31020"
"In post","2022","Heterosexual / straight","Asian","40-49","7250","6750","36100","31060"
"In post","2022","Heterosexual / straight","Asian","50-59","4670","4410","34990","30600"
"In post","2022","Heterosexual / straight","Asian","60-64","1140","990","32850","29080"
"In post","2022","Heterosexual / straight","Asian","65+","500","400","31030","27570"
"In post","2022","Heterosexual / straight","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Black","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Black","20-29","2130","2100","30480","29300"
"In post","2022","Heterosexual / straight","Black","30-39","3160","3060","33280","31060"
"In post","2022","Heterosexual / straight","Black","40-49","3360","3240","34790","31060"
"In post","2022","Heterosexual / straight","Black","50-59","4450","4310","34530","31060"
"In post","2022","Heterosexual / straight","Black","60-64","1120","1040","31950","29470"
"In post","2022","Heterosexual / straight","Black","65+","300","270","30240","27220"
"In post","2022","Heterosexual / straight","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Mixed","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Mixed","20-29","1900","1860","31140","29000"
"In post","2022","Heterosexual / straight","Mixed","30-39","2080","1990","37240","33080"
"In post","2022","Heterosexual / straight","Mixed","40-49","1500","1410","39280","34260"
"In post","2022","Heterosexual / straight","Mixed","50-59","1250","1190","36910","31990"
"In post","2022","Heterosexual / straight","Mixed","60-64","290","260","34680","28920"
"In post","2022","Heterosexual / straight","Mixed","65+","100","80","32460","27570"
"In post","2022","Heterosexual / straight","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","20-29","420","410","31550","30270"
"In post","2022","Heterosexual / straight","Other ethnicity","30-39","500","490","37610","33550"
"In post","2022","Heterosexual / straight","Other ethnicity","40-49","450","420","37410","32890"
"In post","2022","Heterosexual / straight","Other ethnicity","50-59","400","390","36830","31880"
"In post","2022","Heterosexual / straight","Other ethnicity","60-64","100","90","36490","31400"
"In post","2022","Heterosexual / straight","Other ethnicity","65+","50","40","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Undeclared","20-29","280","270","30220","27950"
"In post","2022","Heterosexual / straight","Undeclared","30-39","640","610","34470","31020"
"In post","2022","Heterosexual / straight","Undeclared","40-49","700","670","34550","30830"
"In post","2022","Heterosexual / straight","Undeclared","50-59","1050","1010","34740","30740"
"In post","2022","Heterosexual / straight","Undeclared","60-64","290","250","30210","27570"
"In post","2022","Heterosexual / straight","Undeclared","65+","90","70","29760","27570"
"In post","2022","Heterosexual / straight","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","20-29","500","490","29460","27570"
"In post","2022","Heterosexual / straight","Unknown","30-39","810","760","34880","31540"
"In post","2022","Heterosexual / straight","Unknown","40-49","770","720","37530","33290"
"In post","2022","Heterosexual / straight","Unknown","50-59","890","830","36070","30700"
"In post","2022","Heterosexual / straight","Unknown","60-64","280","240","31210","26780"
"In post","2022","Heterosexual / straight","Unknown","65+","110","80","30940","26780"
"In post","2022","Heterosexual / straight","White","16-19","540","520","21800","21260"
"In post","2022","Heterosexual / straight","White","20-29","39500","39010","29830","27570"
"In post","2022","Heterosexual / straight","White","30-39","59430","56450","35390","31550"
"In post","2022","Heterosexual / straight","White","40-49","65900","61980","37770","32930"
"In post","2022","Heterosexual / straight","White","50-59","84660","79790","35860","30980"
"In post","2022","Heterosexual / straight","White","60-64","24090","20000","32280","27570"
"In post","2022","Heterosexual / straight","White","65+","7170","5560","30930","27130"
"In post","2022","Heterosexual / straight","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","20-29","200","200","33280","31690"
"In post","2022","LGBO","Asian","30-39","190","180","37790","33840"
"In post","2022","LGBO","Asian","40-49","170","160","34790","29600"
"In post","2022","LGBO","Asian","50-59","100","90","32400","27960"
"In post","2022","LGBO","Asian","60-64","40","40","[c]","[c]"
"In post","2022","LGBO","Asian","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","20-29","90","90","31820","30520"
"In post","2022","LGBO","Black","30-39","90","80","35960","31060"
"In post","2022","LGBO","Black","40-49","60","60","36130","31060"
"In post","2022","LGBO","Black","50-59","90","80","36870","30330"
"In post","2022","LGBO","Black","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Mixed","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Mixed","20-29","300","300","31420","28690"
"In post","2022","LGBO","Mixed","30-39","240","240","38160","34260"
"In post","2022","LGBO","Mixed","40-49","150","140","41830","36010"
"In post","2022","LGBO","Mixed","50-59","100","90","35940","31650"
"In post","2022","LGBO","Mixed","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Mixed","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Other ethnicity","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Other ethnicity","20-29","50","50","32440","31060"
"In post","2022","LGBO","Other ethnicity","30-39","50","50","39160","33560"
"In post","2022","LGBO","Other ethnicity","40-49","50","50","[c]","[c]"
"In post","2022","LGBO","Other ethnicity","50-59","40","40","[c]","[c]"
"In post","2022","LGBO","Other ethnicity","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Other ethnicity","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","20-29","30","30","[c]","[c]"
"In post","2022","LGBO","Undeclared","30-39","80","80","32140","28750"
"In post","2022","LGBO","Undeclared","40-49","60","60","39300","33900"
"In post","2022","LGBO","Undeclared","50-59","90","80","35380","31650"
"In post","2022","LGBO","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","20-29","60","50","31440","28990"
"In post","2022","LGBO","Unknown","30-39","70","70","35490","31240"
"In post","2022","LGBO","Unknown","40-49","50","50","46620","37930"
"In post","2022","LGBO","Unknown","50-59","50","50","34910","30110"
"In post","2022","LGBO","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","White","16-19","50","40","[c]","[c]"
"In post","2022","LGBO","White","20-29","5920","5860","30280","27570"
"In post","2022","LGBO","White","30-39","5800","5700","35900","31990"
"In post","2022","LGBO","White","40-49","3740","3640","39140","33080"
"In post","2022","LGBO","White","50-59","3130","3010","37020","31650"
"In post","2022","LGBO","White","60-64","610","510","33280","27570"
"In post","2022","LGBO","White","65+","160","130","31650","27570"
"In post","2022","LGBO","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Asian","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Asian","20-29","220","210","31030","28870"
"In post","2022","Undeclared","Asian","30-39","380","360","33420","29360"
"In post","2022","Undeclared","Asian","40-49","510","460","33750","28990"
"In post","2022","Undeclared","Asian","50-59","470","440","31830","29080"
"In post","2022","Undeclared","Asian","60-64","180","150","29280","27570"
"In post","2022","Undeclared","Asian","65+","100","70","27830","26400"
"In post","2022","Undeclared","Black","20-29","80","80","30080","28670"
"In post","2022","Undeclared","Black","30-39","120","110","35820","32330"
"In post","2022","Undeclared","Black","40-49","160","150","34900","31060"
"In post","2022","Undeclared","Black","50-59","340","320","32580","30370"
"In post","2022","Undeclared","Black","60-64","90","80","29410","27570"
"In post","2022","Undeclared","Black","65+","30","30","[c]","[c]"
"In post","2022","Undeclared","Mixed","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Mixed","20-29","160","150","32160","30750"
"In post","2022","Undeclared","Mixed","30-39","160","150","35480","31540"
"In post","2022","Undeclared","Mixed","40-49","120","110","38170","31650"
"In post","2022","Undeclared","Mixed","50-59","160","140","36140","31020"
"In post","2022","Undeclared","Mixed","60-64","50","40","[c]","[c]"
"In post","2022","Undeclared","Mixed","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","20-29","40","30","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","30-39","40","40","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","40-49","70","70","46040","40050"
"In post","2022","Undeclared","Other ethnicity","50-59","90","80","38160","32010"
"In post","2022","Undeclared","Other ethnicity","60-64","30","30","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","20-29","910","900","32180","30640"
"In post","2022","Undeclared","Undeclared","30-39","2230","2170","37270","33370"
"In post","2022","Undeclared","Undeclared","40-49","3170","3040","37840","33370"
"In post","2022","Undeclared","Undeclared","50-59","4950","4720","36300","33000"
"In post","2022","Undeclared","Undeclared","60-64","1380","1160","34410","30720"
"In post","2022","Undeclared","Undeclared","65+","430","330","34510","29270"
"In post","2022","Undeclared","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","20-29","600","590","36080","32790"
"In post","2022","Undeclared","Unknown","30-39","640","620","42710","40650"
"In post","2022","Undeclared","Unknown","40-49","540","500","44900","40700"
"In post","2022","Undeclared","Unknown","50-59","590","560","42330","37060"
"In post","2022","Undeclared","Unknown","60-64","150","130","40410","34110"
"In post","2022","Undeclared","Unknown","65+","70","60","36560","29700"
"In post","2022","Undeclared","White","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","White","20-29","2420","2380","30680","28000"
"In post","2022","Undeclared","White","30-39","3700","3520","35580","32180"
"In post","2022","Undeclared","White","40-49","5310","4950","35590","31170"
"In post","2022","Undeclared","White","50-59","8840","8220","34380","29200"
"In post","2022","Undeclared","White","60-64","2830","2260","30910","27570"
"In post","2022","Undeclared","White","65+","870","650","30840","27130"
"In post","2022","Unknown","Asian","20-29","270","270","29860","27570"
"In post","2022","Unknown","Asian","30-39","580","530","33200","30550"
"In post","2022","Unknown","Asian","40-49","1060","920","33310","27570"
"In post","2022","Unknown","Asian","50-59","820","740","32810","27570"
