"Status","Year","Disability","Responsibility_level","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Human Resources","40","40","[c]","[c]"
"In post","2021","Declared disabled","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Legal","30","30","[c]","[c]"
"In post","2021","Declared disabled","SCS","No function","150","150","87230","77870"
"In post","2021","Declared disabled","SCS","Project Delivery","40","40","[c]","[c]"
"In post","2021","Declared disabled","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Unknown","90","90","88990","83230"
"In post","2021","Declared disabled","SEO/HEO","Analysis","330","310","36100","36480"
"In post","2021","Declared disabled","SEO/HEO","Commercial","290","280","38610","38300"
"In post","2021","Declared disabled","SEO/HEO","Communications","220","220","35570","33510"
"In post","2021","Declared disabled","SEO/HEO","Counter Fraud","350","330","35280","35000"
"In post","2021","Declared disabled","SEO/HEO","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Digital, Data & Technology","510","490","36790","36320"
"In post","2021","Declared disabled","SEO/HEO","Finance","340","320","36960","36440"
"In post","2021","Declared disabled","SEO/HEO","Grants Management","30","30","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Human Resources","490","470","36860","36460"
"In post","2021","Declared disabled","SEO/HEO","Internal Audit","70","60","39590","39200"
"In post","2021","Declared disabled","SEO/HEO","Legal","300","280","38880","38000"
"In post","2021","Declared disabled","SEO/HEO","No function","3810","3640","36690","35890"
"In post","2021","Declared disabled","SEO/HEO","Project Delivery","1350","1290","36200","35790"
"In post","2021","Declared disabled","SEO/HEO","Property","310","290","36380","34640"
"In post","2021","Declared disabled","SEO/HEO","Security","150","150","39100","35630"
"In post","2021","Declared disabled","SEO/HEO","Unknown","3240","3050","36300","35110"
"In post","2021","Declared disabled","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Commercial","30","30","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","No function","2230","2060","30490","30210"
"In post","2021","Declared disabled","Unknown","Project Delivery","120","120","40450","39860"
"In post","2021","Declared disabled","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","AA/AO","Analysis","110","100","22020","21050"
"In post","2021","Declared non-disabled","AA/AO","Commercial","320","300","21900","21130"
"In post","2021","Declared non-disabled","AA/AO","Communications","290","260","21420","21130"
"In post","2021","Declared non-disabled","AA/AO","Counter Fraud","450","400","21440","21440"
"In post","2021","Declared non-disabled","AA/AO","Debt","1500","1330","21120","20140"
"In post","2021","Declared non-disabled","AA/AO","Digital, Data & Technology","250","230","21720","21220"
"In post","2021","Declared non-disabled","AA/AO","Finance","860","730","21210","21130"
"In post","2021","Declared non-disabled","AA/AO","Grants Management","860","770","21000","21050"
"In post","2021","Declared non-disabled","AA/AO","Human Resources","1010","920","21310","21030"
"In post","2021","Declared non-disabled","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","AA/AO","Legal","1020","910","22640","21950"
"In post","2021","Declared non-disabled","AA/AO","No function","40740","36880","23210","21590"
"In post","2021","Declared non-disabled","AA/AO","Project Delivery","400","370","21640","21440"
"In post","2021","Declared non-disabled","AA/AO","Property","1390","1290","21740","21100"
"In post","2021","Declared non-disabled","AA/AO","Security","3280","3210","25830","21030"
"In post","2021","Declared non-disabled","AA/AO","Unknown","36050","31690","21390","21010"
"In post","2021","Declared non-disabled","EO","Analysis","460","430","26580","26350"
"In post","2021","Declared non-disabled","EO","Commercial","580","550","27000","26670"
"In post","2021","Declared non-disabled","EO","Communications","1600","1540","25770","25560"
"In post","2021","Declared non-disabled","EO","Counter Fraud","1990","1880","26940","25560"
"In post","2021","Declared non-disabled","EO","Debt","590","530","26880","25560"
"In post","2021","Declared non-disabled","EO","Digital, Data & Technology","1280","1230","27420","26670"
"In post","2021","Declared non-disabled","EO","Finance","1150","1090","26490","26670"
"In post","2021","Declared non-disabled","EO","Grants Management","490","450","25490","25190"
"In post","2021","Declared non-disabled","EO","Human Resources","1080","1010","26490","26590"
"In post","2021","Declared non-disabled","EO","Internal Audit","40","30","[c]","[c]"
"In post","2021","Declared non-disabled","EO","Legal","1370","1270","28060","28430"
"In post","2021","Declared non-disabled","EO","No function","19250","17980","27680","27080"
"In post","2021","Declared non-disabled","EO","Project Delivery","3060","2920","24790","25720"
"In post","2021","Declared non-disabled","EO","Property","1330","1260","27630","26670"
"In post","2021","Declared non-disabled","EO","Security","740","730","32530","28210"
"In post","2021","Declared non-disabled","EO","Unknown","52430","47800","27860","27570"
"In post","2021","Declared non-disabled","G6/G7","Analysis","1630","1560","58860","57390"
"In post","2021","Declared non-disabled","G6/G7","Commercial","820","800","61430","59850"
"In post","2021","Declared non-disabled","G6/G7","Communications","680","660","58030","56140"
"In post","2021","Declared non-disabled","G6/G7","Counter Fraud","770","740","57320","55010"
"In post","2021","Declared non-disabled","G6/G7","Debt","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","G6/G7","Digital, Data & Technology","2460","2410","57340","54730"
"In post","2021","Declared non-disabled","G6/G7","Finance","1470","1430","58780","57670"
"In post","2021","Declared non-disabled","G6/G7","Grants Management","50","50","52360","49800"
"In post","2021","Declared non-disabled","G6/G7","Human Resources","1350","1310","57890","56380"
"In post","2021","Declared non-disabled","G6/G7","Internal Audit","160","150","58610","56610"
"In post","2021","Declared non-disabled","G6/G7","Legal","4280","3960","59590","58150"
"In post","2021","Declared non-disabled","G6/G7","No function","14470","13980","58590","55940"
"In post","2021","Declared non-disabled","G6/G7","Project Delivery","5090","4960","57480","55620"
"In post","2021","Declared non-disabled","G6/G7","Property","940","910","57700","55900"
"In post","2021","Declared non-disabled","G6/G7","Security","260","260","60350","57860"
"In post","2021","Declared non-disabled","G6/G7","Unknown","8740","8410","60620","59730"
"In post","2021","Declared non-disabled","SCS","Analysis","120","120","87100","78630"
"In post","2021","Declared non-disabled","SCS","Commercial","170","170","110570","100540"
"In post","2021","Declared non-disabled","SCS","Communications","90","80","89300","81760"
"In post","2021","Declared non-disabled","SCS","Counter Fraud","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","SCS","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","SCS","Digital, Data & Technology","170","170","91390","86600"
"In post","2021","Declared non-disabled","SCS","Finance","210","210","90000","82450"
"In post","2021","Declared non-disabled","SCS","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","SCS","Human Resources","150","150","89460","83660"
"In post","2021","Declared non-disabled","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","SCS","Legal","350","330","89380","83460"
"In post","2021","Declared non-disabled","SCS","No function","2090","1990","88270","79980"
"In post","2021","Declared non-disabled","SCS","Project Delivery","540","530","91870","83630"
"In post","2021","Declared non-disabled","SCS","Property","60","60","90880","81670"
"In post","2021","Declared non-disabled","SCS","Security","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","SCS","Unknown","1000","970","89910","83230"
"In post","2021","Declared non-disabled","SEO/HEO","Analysis","2230","2160","36340","36160"
"In post","2021","Declared non-disabled","SEO/HEO","Commercial","1930","1880","38490","37960"
"In post","2021","Declared non-disabled","SEO/HEO","Communications","2060","2010","35820","34560"
"In post","2021","Declared non-disabled","SEO/HEO","Counter Fraud","2680","2550","35280","34170"
"In post","2021","Declared non-disabled","SEO/HEO","Debt","180","170","34250","31810"
"In post","2021","Declared non-disabled","SEO/HEO","Digital, Data & Technology","4290","4150","37370","37350"
"In post","2021","Declared non-disabled","SEO/HEO","Finance","2590","2500","37500","36990"
"In post","2021","Declared non-disabled","SEO/HEO","Grants Management","290","270","32600","31040"
"In post","2021","Declared non-disabled","SEO/HEO","Human Resources","2560","2450","36360","35590"
"In post","2021","Declared non-disabled","SEO/HEO","Internal Audit","340","320","40880","40910"
"In post","2021","Declared non-disabled","SEO/HEO","Legal","2150","1990","39180","38180"
"In post","2021","Declared non-disabled","SEO/HEO","No function","28280","27060","36930","36000"
"In post","2021","Declared non-disabled","SEO/HEO","Project Delivery","9660","9340","36250","36340"
"In post","2021","Declared non-disabled","SEO/HEO","Property","2590","2480","37410","36520"
"In post","2021","Declared non-disabled","SEO/HEO","Security","980","960","39730","36890"
"In post","2021","Declared non-disabled","SEO/HEO","Unknown","23380","22380","36850","35310"
"In post","2021","Declared non-disabled","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Commercial","160","160","39900","37400"
"In post","2021","Declared non-disabled","Unknown","Digital, Data & Technology","60","60","37130","35700"
"In post","2021","Declared non-disabled","Unknown","Finance","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Human Resources","180","170","37960","32710"
"In post","2021","Declared non-disabled","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","No function","8540","7890","30180","30210"
"In post","2021","Declared non-disabled","Unknown","Project Delivery","970","960","42230","40100"
"In post","2021","Declared non-disabled","Unknown","Property","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Security","50","40","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Unknown","470","470","38160","35530"
"In post","2021","Undeclared","AA/AO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Commercial","30","30","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Communications","30","30","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Counter Fraud","50","50","21430","21440"
"In post","2021","Undeclared","AA/AO","Debt","140","120","21620","21400"
"In post","2021","Undeclared","AA/AO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Finance","70","60","21290","21440"
"In post","2021","Undeclared","AA/AO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Human Resources","100","90","21430","21090"
"In post","2021","Undeclared","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","AA/AO","No function","6290","5590","25580","23270"
"In post","2021","Undeclared","AA/AO","Project Delivery","60","50","21480","21130"
"In post","2021","Undeclared","AA/AO","Property","110","100","20400","21100"
"In post","2021","Undeclared","AA/AO","Security","370","360","28000","21880"
"In post","2021","Undeclared","AA/AO","Unknown","2280","2070","21330","21010"
"In post","2021","Undeclared","EO","Analysis","40","30","[c]","[c]"
"In post","2021","Undeclared","EO","Commercial","60","50","26720","26670"
"In post","2021","Undeclared","EO","Communications","120","110","25740","25560"
"In post","2021","Undeclared","EO","Counter Fraud","180","170","27510","27120"
"In post","2021","Undeclared","EO","Debt","50","40","[c]","[c]"
"In post","2021","Undeclared","EO","Digital, Data & Technology","110","110","28120","26780"
"In post","2021","Undeclared","EO","Finance","100","90","26810","26670"
"In post","2021","Undeclared","EO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","EO","Human Resources","80","80","27250","26710"
"In post","2021","Undeclared","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","EO","Legal","40","30","[c]","[c]"
"In post","2021","Undeclared","EO","No function","2510","2360","29400","28130"
"In post","2021","Undeclared","EO","Project Delivery","330","310","26260","26670"
"In post","2021","Undeclared","EO","Property","130","130","27360","26530"
"In post","2021","Undeclared","EO","Security","110","110","36010","40190"
"In post","2021","Undeclared","EO","Unknown","3340","3110","27990","27570"
"In post","2021","Undeclared","G6/G7","Analysis","140","130","55680","54760"
"In post","2021","Undeclared","G6/G7","Commercial","70","70","63230","60420"
"In post","2021","Undeclared","G6/G7","Communications","50","50","59550","58430"
"In post","2021","Undeclared","G6/G7","Counter Fraud","100","100","58010","54790"
"In post","2021","Undeclared","G6/G7","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","G6/G7","Digital, Data & Technology","160","160","57370","54870"
"In post","2021","Undeclared","G6/G7","Finance","120","120","58200","57350"
"In post","2021","Undeclared","G6/G7","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","G6/G7","Human Resources","90","80","59830","58700"
"In post","2021","Undeclared","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","G6/G7","Legal","160","140","63030","64890"
"In post","2021","Undeclared","G6/G7","No function","1250","1210","57750","54760"
"In post","2021","Undeclared","G6/G7","Project Delivery","410","400","57340","55720"
"In post","2021","Undeclared","G6/G7","Property","90","80","57510","55930"
"In post","2021","Undeclared","G6/G7","Security","40","40","[c]","[c]"
"In post","2021","Undeclared","G6/G7","Unknown","470","460","60910","59590"
"In post","2021","Undeclared","SCS","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","No function","150","130","91680","82100"
"In post","2021","Undeclared","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Unknown","40","30","[c]","[c]"
"In post","2021","Undeclared","SEO/HEO","Analysis","190","180","36540","36300"
"In post","2021","Undeclared","SEO/HEO","Commercial","210","200","39760","39540"
"In post","2021","Undeclared","SEO/HEO","Communications","150","140","36500","35430"
"In post","2021","Undeclared","SEO/HEO","Counter Fraud","310","290","35110","34000"
"In post","2021","Undeclared","SEO/HEO","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SEO/HEO","Digital, Data & Technology","370","360","37470","37910"
"In post","2021","Undeclared","SEO/HEO","Finance","220","210","37640","36780"
"In post","2021","Undeclared","SEO/HEO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SEO/HEO","Human Resources","220","210","37740","36750"
"In post","2021","Undeclared","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SEO/HEO","Legal","140","130","40330","40590"
"In post","2021","Undeclared","SEO/HEO","No function","3140","3010","37430","36710"
"In post","2021","Undeclared","SEO/HEO","Project Delivery","890","860","36870","37320"
"In post","2021","Undeclared","SEO/HEO","Property","290","280","37480","36460"
"In post","2021","Undeclared","SEO/HEO","Security","180","170","41530","38160"
"In post","2021","Undeclared","SEO/HEO","Unknown","1470","1430","37020","36140"
"In post","2021","Undeclared","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","No function","530","500","30240","30210"
"In post","2021","Undeclared","Unknown","Project Delivery","100","100","44340","42530"
"In post","2021","Undeclared","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","Unknown","AA/AO","Analysis","70","60","20630","19130"
"In post","2021","Unknown","AA/AO","Commercial","100","90","22560","21880"
"In post","2021","Unknown","AA/AO","Communications","100","90","21660","21440"
"In post","2021","Unknown","AA/AO","Counter Fraud","240","200","21430","21400"
"In post","2021","Unknown","AA/AO","Debt","1490","1380","20650","20140"
"In post","2021","Unknown","AA/AO","Digital, Data & Technology","140","130","21800","21580"
"In post","2021","Unknown","AA/AO","Finance","420","350","20890","20140"
"In post","2021","Unknown","AA/AO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Human Resources","300","270","21370","21000"
"In post","2021","Unknown","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Legal","1350","1220","21610","21950"
"In post","2021","Unknown","AA/AO","No function","16780","15400","22100","21300"
"In post","2021","Unknown","AA/AO","Project Delivery","100","100","21700","21440"
"In post","2021","Unknown","AA/AO","Property","700","660","21230","20880"
"In post","2021","Unknown","AA/AO","Security","1520","1490","28320","25540"
"In post","2021","Unknown","AA/AO","Unknown","3690","3490","21760","21150"
"In post","2021","Unknown","EO","Analysis","180","170","25690","25000"
"In post","2021","Unknown","EO","Commercial","140","140","25850","25890"
"In post","2021","Unknown","EO","Communications","1280","1240","25780","25560"
"In post","2021","Unknown","EO","Counter Fraud","960","910","26950","25560"
"In post","2021","Unknown","EO","Debt","240","230","26640","25560"
"In post","2021","Unknown","EO","Digital, Data & Technology","640","620","27360","26670"
"In post","2021","Unknown","EO","Finance","280","270","26360","26120"
"In post","2021","Unknown","EO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Human Resources","390","380","26940","26680"
"In post","2021","Unknown","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Legal","820","770","28070","29350"
"In post","2021","Unknown","EO","No function","8230","7840","29180","28170"
"In post","2021","Unknown","EO","Project Delivery","720","680","24380","25560"
"In post","2021","Unknown","EO","Property","330","310","26910","25930"
"In post","2021","Unknown","EO","Security","210","210","30070","26670"
"In post","2021","Unknown","EO","Unknown","4140","4000","28000","27570"
"In post","2021","Unknown","G6/G7","Analysis","490","470","57550","53560"
"In post","2021","Unknown","G6/G7","Commercial","770","750","61420","55350"
"In post","2021","Unknown","G6/G7","Communications","290","280","58110","55540"
"In post","2021","Unknown","G6/G7","Counter Fraud","150","140","57550","55120"
"In post","2021","Unknown","G6/G7","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Digital, Data & Technology","810","800","57500","55000"
"In post","2021","Unknown","G6/G7","Finance","330","320","58440","55920"
"In post","2021","Unknown","G6/G7","Human Resources","210","210","56610","54700"
"In post","2021","Unknown","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Legal","1100","1020","58410","57000"
"In post","2021","Unknown","G6/G7","No function","3870","3770","57650","54700"
"In post","2021","Unknown","G6/G7","Project Delivery","1310","1270","57160","55620"
"In post","2021","Unknown","G6/G7","Property","140","130","56490","54540"
"In post","2021","Unknown","G6/G7","Security","60","60","57660","54540"
"In post","2021","Unknown","G6/G7","Unknown","1920","1830","62190","61010"
"In post","2021","Unknown","SCS","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Commercial","400","390","85390","72000"
"In post","2021","Unknown","SCS","Communications","40","40","[c]","[c]"
"In post","2021","Unknown","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Digital, Data & Technology","60","60","91800","83910"
"In post","2021","Unknown","SCS","Finance","40","40","[c]","[c]"
"In post","2021","Unknown","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Legal","60","60","89500","80580"
"In post","2021","Unknown","SCS","No function","570","540","99260","93000"
"In post","2021","Unknown","SCS","Project Delivery","90","90","91880","84400"
"In post","2021","Unknown","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Unknown","210","210","92470","85000"
"In post","2021","Unknown","SEO/HEO","Analysis","960","940","34500","33790"
"In post","2021","Unknown","SEO/HEO","Commercial","600","580","36620","36820"
"In post","2021","Unknown","SEO/HEO","Communications","870","860","35550","33090"
"In post","2021","Unknown","SEO/HEO","Counter Fraud","870","840","34970","34050"
"In post","2021","Unknown","SEO/HEO","Debt","30","30","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Digital, Data & Technology","1660","1630","36990","36740"
"In post","2021","Unknown","SEO/HEO","Finance","680","660","36790","36500"
"In post","2021","Unknown","SEO/HEO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Human Resources","570","550","35600","35230"
"In post","2021","Unknown","SEO/HEO","Internal Audit","30","30","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Legal","740","710","36120","36160"
"In post","2021","Unknown","SEO/HEO","No function","10030","9700","35620","34020"
"In post","2021","Unknown","SEO/HEO","Project Delivery","1850","1790","36680","37320"
"In post","2021","Unknown","SEO/HEO","Property","440","430","37060","36460"
"In post","2021","Unknown","SEO/HEO","Security","270","260","36980","34640"
"In post","2021","Unknown","SEO/HEO","Unknown","3620","3500","38620","37890"
"In post","2021","Unknown","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Commercial","30","30","[c]","[c]"
"In post","2021","Unknown","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","No function","720","650","24140","22920"
"In post","2021","Unknown","Unknown","Project Delivery","170","160","42880","40940"
"In post","2021","Unknown","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","1920","1920","37650","34460"
"In post","2022","Declared disabled","AA/AO","Analysis","30","30","[c]","[c]"
"In post","2022","Declared disabled","AA/AO","Commercial","30","30","[c]","[c]"
"In post","2022","Declared disabled","AA/AO","Communications","60","50","21540","21250"
"In post","2022","Declared disabled","AA/AO","Counter Fraud","420","360","22350","21260"
"In post","2022","Declared disabled","AA/AO","Debt","630","540","21640","21260"
"In post","2022","Declared disabled","AA/AO","Digital, Data & Technology","110","100","21720","21380"
"In post","2022","Declared disabled","AA/AO","Finance","180","150","21770","21260"
"In post","2022","Declared disabled","AA/AO","Grants Management","100","90","21280","21300"
"In post","2022","Declared disabled","AA/AO","Human Resources","200","180","21640","21270"
"In post","2022","Declared disabled","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","AA/AO","Legal","200","180","22780","22200"
"In post","2022","Declared disabled","AA/AO","No function","11280","9820","22460","21260"
"In post","2022","Declared disabled","AA/AO","Project Delivery","120","100","22200","21300"
