"Status","Year","Sex","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Male","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","3260","3200","45730","40940"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","LGBO","370","360","45110","40220"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Undeclared","500","480","46620","43470"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Unknown","2560","2500","39030","38980"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Heterosexual / straight","550","550","50570","51730"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","LGBO","100","100","51280","51730"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Undeclared","50","50","49250","51730"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Unknown","110","110","48200","46050"
"In post","2021","Male","Department for Education","Heterosexual / straight","2190","2170","44780","40510"
"In post","2021","Male","Department for Education","LGBO","220","220","43910","37100"
"In post","2021","Male","Department for Education","Undeclared","240","240","45500","42420"
"In post","2021","Male","Department for Education","Unknown","630","630","44710","40430"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Heterosexual / straight","2940","2890","38780","35900"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","LGBO","260","260","37090","32830"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Undeclared","400","390","37400","34010"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Unknown","1260","1220","34430","29750"
"In post","2021","Male","Department for International Trade","Heterosexual / straight","810","800","47070","42160"
"In post","2021","Male","Department for International Trade","LGBO","130","120","48750","51710"
"In post","2021","Male","Department for International Trade","Undeclared","70","70","46650","40780"
"In post","2021","Male","Department for International Trade","Unknown","420","420","46100","39440"
"In post","2021","Male","Department for Transport","Heterosexual / straight","5420","5270","36120","30780"
"In post","2021","Male","Department for Transport","LGBO","340","330","38130","33990"
"In post","2021","Male","Department for Transport","Undeclared","1510","1420","32820","27680"
"In post","2021","Male","Department for Transport","Unknown","1430","1380","32800","28000"
"In post","2021","Male","Department for Work and Pensions","Heterosexual / straight","20600","19840","29480","27570"
"In post","2021","Male","Department for Work and Pensions","LGBO","2000","1940","28320","27570"
"In post","2021","Male","Department for Work and Pensions","Undeclared","2800","2670","29480","27570"
"In post","2021","Male","Department for Work and Pensions","Unknown","7290","6920","28610","27570"
"In post","2021","Male","Department of Health and Social Care","Heterosexual / straight","2160","2090","47580","40850"
"In post","2021","Male","Department of Health and Social Care","LGBO","240","230","46400","40650"
"In post","2021","Male","Department of Health and Social Care","Undeclared","340","320","50500","43360"
"In post","2021","Male","Department of Health and Social Care","Unknown","1330","1310","50490","47560"
"In post","2021","Male","ESTYN","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Male","ESTYN","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Male","ESTYN","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Food Standards Agency","Heterosexual / straight","470","460","37490","32830"
"In post","2021","Male","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Food Standards Agency","Undeclared","60","60","38990","35630"
"In post","2021","Male","Food Standards Agency","Unknown","230","220","31320","26750"
"In post","2021","Male","Foreign, Commonwealth and Development Office","Heterosexual / straight","2960","2930","48500","44230"
"In post","2021","Male","Foreign, Commonwealth and Development Office","LGBO","260","260","50630","53000"
"In post","2021","Male","Foreign, Commonwealth and Development Office","Undeclared","400","390","49340","43850"
"In post","2021","Male","Foreign, Commonwealth and Development Office","Unknown","790","780","47930","47430"
"In post","2021","Male","HM Land Registry","Heterosexual / straight","1370","1300","33680","31740"
"In post","2021","Male","HM Land Registry","LGBO","80","80","30370","27130"
"In post","2021","Male","HM Land Registry","Undeclared","270","250","34720","33840"
"In post","2021","Male","HM Land Registry","Unknown","810","780","30010","27130"
"In post","2021","Male","HM Revenue and Customs","Heterosexual / straight","16910","16270","34130","31810"
"In post","2021","Male","HM Revenue and Customs","LGBO","1290","1260","32620","28130"
"In post","2021","Male","HM Revenue and Customs","Undeclared","2480","2340","35180","31810"
"In post","2021","Male","HM Revenue and Customs","Unknown","10750","10310","29520","25560"
"In post","2021","Male","HM Treasury","Heterosexual / straight","970","960","49550","52500"
"In post","2021","Male","HM Treasury","LGBO","90","90","48970","52500"
"In post","2021","Male","HM Treasury","Undeclared","170","170","46700","46280"
"In post","2021","Male","HM Treasury","Unknown","140","140","59350","57070"
"In post","2021","Male","Home Office","Heterosexual / straight","13290","12720","32440","27370"
"In post","2021","Male","Home Office","LGBO","680","660","33710","28760"
"In post","2021","Male","Home Office","Undeclared","2150","2030","33720","29080"
"In post","2021","Male","Home Office","Unknown","940","930","32010","25630"
"In post","2021","Male","Ministry of Defence","Heterosexual / straight","24670","24250","35070","33300"
"In post","2021","Male","Ministry of Defence","LGBO","770","760","33940","32670"
"In post","2021","Male","Ministry of Defence","Undeclared","4150","4050","36570","34640"
"In post","2021","Male","Ministry of Defence","Unknown","5280","5220","35500","33290"
"In post","2021","Male","Ministry of Housing, Communities and Local Government","Heterosexual / straight","1230","1200","47170","46320"
"In post","2021","Male","Ministry of Housing, Communities and Local Government","LGBO","140","130","48480","48680"
"In post","2021","Male","Ministry of Housing, Communities and Local Government","Undeclared","140","130","45650","46670"
"In post","2021","Male","Ministry of Housing, Communities and Local Government","Unknown","200","190","41240","34860"
"In post","2021","Male","Ministry of Justice","Heterosexual / straight","23970","23190","31120","28800"
"In post","2021","Male","Ministry of Justice","LGBO","1300","1270","31550","28200"
"In post","2021","Male","Ministry of Justice","Undeclared","3080","2940","32090","31650"
"In post","2021","Male","Ministry of Justice","Unknown","7120","6730","29480","28860"
"In post","2021","Male","National Crime Agency","Heterosexual / straight","2260","2250","42390","40170"
"In post","2021","Male","National Crime Agency","LGBO","80","80","38330","36410"
"In post","2021","Male","National Crime Agency","Undeclared","190","190","39160","36740"
"In post","2021","Male","National Crime Agency","Unknown","510","500","42940","40210"
"In post","2021","Male","Northern Ireland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland Office","Unknown","30","30","[c]","[c]"
"In post","2021","Male","Office for Standards in Education","Heterosexual / straight","450","440","52440","51360"
"In post","2021","Male","Office for Standards in Education","LGBO","80","80","46510","35010"
"In post","2021","Male","Office for Standards in Education","Undeclared","40","30","[c]","[c]"
"In post","2021","Male","Office for Standards in Education","Unknown","40","30","[c]","[c]"
"In post","2021","Male","Office of Gas and Electricity Markets","Heterosexual / straight","250","240","43170","37130"
"In post","2021","Male","Office of Gas and Electricity Markets","LGBO","40","40","[c]","[c]"
"In post","2021","Male","Office of Gas and Electricity Markets","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Office of Gas and Electricity Markets","Unknown","330","330","49260","44520"
"In post","2021","Male","Office of Qualifications and Examinations Regulation","Heterosexual / straight","60","60","49940","46660"
"In post","2021","Male","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Office of Rail and Road","Heterosexual / straight","90","80","52380","51730"
"In post","2021","Male","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Office of Rail and Road","Unknown","90","80","63920","62340"
"In post","2021","Male","Other Cabinet Office Agencies","Heterosexual / straight","350","350","44070","37010"
"In post","2021","Male","Other Cabinet Office Agencies","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other Cabinet Office Agencies","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other Cabinet Office Agencies","Unknown","100","100","35730","33780"
"In post","2021","Male","Scotland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Male","Scotland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Scotland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Scotland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Scottish Government","Heterosexual / straight","5230","5070","39580","34150"
"In post","2021","Male","Scottish Government","LGBO","400","390","38310","33620"
"In post","2021","Male","Scottish Government","Undeclared","880","840","32990","29350"
"In post","2021","Male","Scottish Government","Unknown","4170","3980","34520","33650"
"In post","2021","Male","The National Archives","Heterosexual / straight","100","90","38400","35130"
"In post","2021","Male","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Male","The National Archives","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","The National Archives","Unknown","120","120","34270","31390"
"In post","2021","Male","UK Export Finance","Heterosexual / straight","200","190","55450","50430"
"In post","2021","Male","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Male","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","UK Supreme Court","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Male","UK Supreme Court","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Male","UK Supreme Court","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","United Kingdom Statistics Authority","Heterosexual / straight","1440","1300","34100","30130"
"In post","2021","Male","United Kingdom Statistics Authority","LGBO","110","100","35330","30130"
"In post","2021","Male","United Kingdom Statistics Authority","Undeclared","90","80","32990","31270"
"In post","2021","Male","United Kingdom Statistics Authority","Unknown","750","690","33680","29560"
"In post","2021","Male","Wales Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Male","Wales Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Wales Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Wales Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Water Services Regulation Authority","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Male","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Water Services Regulation Authority","Unknown","80","80","56350","51630"
"In post","2021","Male","Welsh Government","Heterosexual / straight","1840","1800","42480","37410"
"In post","2021","Male","Welsh Government","LGBO","110","110","43500","38360"
"In post","2021","Male","Welsh Government","Undeclared","290","290","44930","39680"
"In post","2021","Male","Welsh Government","Unknown","110","110","42620","37410"
"In post","2021","Unknown","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","United Kingdom Statistics Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","United Kingdom Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","United Kingdom Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Attorney General's Departments","Heterosexual / straight","4850","4460","42880","41490"
"In post","2022","Female","Attorney General's Departments","LGBO","230","220","40880","32810"
"In post","2022","Female","Attorney General's Departments","Undeclared","260","240","45170","48830"
"In post","2022","Female","Attorney General's Departments","Unknown","1360","1180","46670","51470"
"In post","2022","Female","Cabinet Office","Heterosexual / straight","3080","2960","44830","40250"
"In post","2022","Female","Cabinet Office","LGBO","240","240","42080","38990"
"In post","2022","Female","Cabinet Office","Undeclared","270","260","45130","40600"
"In post","2022","Female","Cabinet Office","Unknown","2310","2280","43980","32320"
"In post","2022","Female","Chancellor's other departments","Heterosexual / straight","140","130","55110","47520"
"In post","2022","Female","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Female","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Charity Commission","Heterosexual / straight","150","140","35370","29160"
"In post","2022","Female","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Female","Charity Commission","Unknown","120","110","32300","29160"
"In post","2022","Female","Competition and Markets Authority","Heterosexual / straight","360","340","58570","55930"
"In post","2022","Female","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Competition and Markets Authority","Undeclared","40","30","[c]","[c]"
"In post","2022","Female","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","5020","4710","40660","38200"
"In post","2022","Female","Department for Business, Energy and Industrial Strategy","LGBO","410","400","39750","36740"
"In post","2022","Female","Department for Business, Energy and Industrial Strategy","Undeclared","560","520","41850","39650"
"In post","2022","Female","Department for Business, Energy and Industrial Strategy","Unknown","1040","960","33480","28310"
"In post","2022","Female","Department for Digital, Culture, Media and Sport","Heterosexual / straight","830","810","46790","47070"
"In post","2022","Female","Department for Digital, Culture, Media and Sport","LGBO","100","100","45070","46200"
"In post","2022","Female","Department for Digital, Culture, Media and Sport","Undeclared","80","80","42980","34830"
"In post","2022","Female","Department for Digital, Culture, Media and Sport","Unknown","90","90","47560","51730"
"In post","2022","Female","Department for Education","Heterosexual / straight","3840","3630","42770","37290"
"In post","2022","Female","Department for Education","LGBO","280","270","42300","38500"
"In post","2022","Female","Department for Education","Undeclared","340","330","43270","40230"
"In post","2022","Female","Department for Education","Unknown","710","680","43200","40230"
"In post","2022","Female","Department for Environment, Food and Rural Affairs","Heterosexual / straight","4820","4500","35750","32560"
"In post","2022","Female","Department for Environment, Food and Rural Affairs","LGBO","340","330","35520","32560"
