"Status","Year","Function_of_post","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Black","Statistics","50","50","39420","38630"
"In post","2021","Analysis","Black","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Economics","50","50","43190","39250"
"In post","2021","Analysis","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Statistics","40","40","[c]","[c]"
"In post","2021","Analysis","Mixed","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Economics","50","50","[c]","[c]"
"In post","2021","Analysis","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Operational Research","50","50","[c]","[c]"
"In post","2021","Analysis","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Science and Engineering","30","30","[c]","[c]"
"In post","2021","Analysis","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Statistics","40","40","[c]","[c]"
"In post","2021","Analysis","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Economics","220","220","40250","34880"
"In post","2021","Analysis","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Intelligence Analysis","130","120","54280","53360"
"In post","2021","Analysis","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Operational Delivery","90","80","29620","29540"
"In post","2021","Analysis","Unknown","Operational Research","60","60","41460","37320"
"In post","2021","Analysis","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Policy","30","30","[c]","[c]"
"In post","2021","Analysis","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Social Research","110","110","36370","36090"
"In post","2021","Analysis","Unknown","Statistics","230","220","38930","36160"
"In post","2021","Analysis","Unknown","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","White","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","White","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","White","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","White","Digital, Data and Technology","180","170","42220","42220"
"In post","2021","Analysis","White","Economics","790","770","48530","44000"
"In post","2021","Analysis","White","Finance","30","30","[c]","[c]"
"In post","2021","Analysis","White","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","White","Intelligence Analysis","130","130","50550","52570"
"In post","2021","Analysis","White","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Analysis","White","Operational Delivery","440","410","32590","30130"
"In post","2021","Analysis","White","Operational Research","490","470","44730","46080"
"In post","2021","Analysis","White","Other","140","130","72980","67000"
"In post","2021","Analysis","White","Policy","250","230","47820","45540"
"In post","2021","Analysis","White","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","White","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","White","Science and Engineering","580","550","35580","30660"
"In post","2021","Analysis","White","Social Research","670","630","41930","37520"
"In post","2021","Analysis","White","Statistics","1270","1220","44200","39850"
"In post","2021","Analysis","White","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","White","Unknown","60","50","46350","41760"
"In post","2021","Commercial","Asian","Commercial","160","150","38560","36500"
"In post","2021","Commercial","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Commercial","Asian","Other","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Unknown","30","30","[c]","[c]"
"In post","2021","Commercial","Asian","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Commercial","140","130","38360","36390"
"In post","2021","Commercial","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Other","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Other","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Commercial","70","60","39420","34800"
"In post","2021","Commercial","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Other","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Other","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Commercial","180","170","38820","37320"
"In post","2021","Commercial","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Knowledge and Information Management","60","60","36730","33300"
"In post","2021","Commercial","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Commercial","490","480","39500","37600"
"In post","2021","Commercial","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Commercial","Unknown","Operational Delivery","30","30","[c]","[c]"
"In post","2021","Commercial","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","1020","1010","70780","64500"
"In post","2021","Commercial","White","Commercial","3040","2930","40970","38000"
"In post","2021","Commercial","White","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Finance","50","50","32330","28370"
"In post","2021","Commercial","White","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Knowledge and Information Management","550","530","33240","30750"
"In post","2021","Commercial","White","Operational Delivery","300","290","44100","39070"
"In post","2021","Commercial","White","Other","50","50","[c]","[c]"
"In post","2021","Commercial","White","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Project Delivery","50","50","47660","43280"
"In post","2021","Commercial","White","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Science and Engineering","90","90","40660","40710"
"In post","2021","Commercial","White","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Unknown","340","330","69760","61710"
"In post","2021","Commercial","White","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Communications","150","150","39860","35270"
"In post","2021","Communications","Asian","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Operational Delivery","110","100","31150","31810"
"In post","2021","Communications","Asian","Other","50","40","[c]","[c]"
"In post","2021","Communications","Asian","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Tax","140","140","27720","25560"
"In post","2021","Communications","Asian","Unknown","50","50","36220","31810"
"In post","2021","Communications","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Communications","100","90","37550","34970"
"In post","2021","Communications","Black","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Other","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Tax","40","40","[c]","[c]"
"In post","2021","Communications","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Other","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Communications","100","90","39570","37190"
"In post","2021","Communications","Mixed","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Other","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Other","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Communications","90","90","40890","37360"
"In post","2021","Communications","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Operational Delivery","50","50","27980","25560"
"In post","2021","Communications","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Tax","40","40","[c]","[c]"
"In post","2021","Communications","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Communications","650","640","42500","38720"
