"Status","Year","Region_ITL1","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Psychology","Declared non-disabled","140","130","34730","30450"
"In post","2021","East Midlands (England)","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Declared disabled","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Declared non-disabled","430","400","39320","37890"
"In post","2021","East Midlands (England)","Science and Engineering","Undeclared","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Unknown","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Declared non-disabled","100","100","29610","26710"
"In post","2021","East Midlands (England)","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Unknown","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Social Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Tax","Declared disabled","110","100","33640","31810"
"In post","2021","East Midlands (England)","Tax","Declared non-disabled","720","680","36310","31810"
"In post","2021","East Midlands (England)","Tax","Undeclared","80","70","35030","31810"
"In post","2021","East Midlands (England)","Tax","Unknown","480","450","27340","25560"
"In post","2021","East Midlands (England)","Unknown","Declared disabled","890","780","26020","27570"
"In post","2021","East Midlands (England)","Unknown","Declared non-disabled","3440","3050","26330","27570"
"In post","2021","East Midlands (England)","Unknown","Undeclared","250","230","25880","27570"
"In post","2021","East Midlands (England)","Unknown","Unknown","300","290","29410","27570"
"In post","2021","East Midlands (England)","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Veterinarian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Declared non-disabled","140","130","40190","36970"
"In post","2021","East of England","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Unknown","70","70","35370","34800"
"In post","2021","East of England","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Declared non-disabled","60","60","34880","32640"
"In post","2021","East of England","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Declared disabled","40","40","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Declared non-disabled","300","290","37000","34810"
"In post","2021","East of England","Digital, Data and Technology","Undeclared","30","30","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Unknown","130","120","36070","32900"
"In post","2021","East of England","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Economics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Declared disabled","30","30","[c]","[c]"
"In post","2021","East of England","Finance","Declared non-disabled","280","260","38180","35780"
"In post","2021","East of England","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Unknown","60","50","31540","25560"
"In post","2021","East of England","Human Resources","Declared disabled","30","30","[c]","[c]"
"In post","2021","East of England","Human Resources","Declared non-disabled","130","120","33920","31400"
"In post","2021","East of England","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Inspector of Education and Training","Declared non-disabled","70","70","66100","75500"
"In post","2021","East of England","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","Declared disabled","40","40","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","Declared non-disabled","290","290","32560","33000"
"In post","2021","East of England","Intelligence Analysis","Undeclared","50","40","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","Unknown","40","40","[c]","[c]"
"In post","2021","East of England","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","Declared non-disabled","110","100","35700","33300"
"In post","2021","East of England","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Declared disabled","70","60","41220","37640"
"In post","2021","East of England","Legal","Declared non-disabled","430","390","41390","38300"
"In post","2021","East of England","Legal","Undeclared","40","30","[c]","[c]"
"In post","2021","East of England","Legal","Unknown","150","140","32410","26970"
"In post","2021","East of England","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicine","Declared non-disabled","110","100","52630","37890"
"In post","2021","East of England","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicine","Unknown","40","30","[c]","[c]"
"In post","2021","East of England","Operational Delivery","Declared disabled","1000","920","27790","26550"
"In post","2021","East of England","Operational Delivery","Declared non-disabled","7020","6490","28360","26780"
"In post","2021","East of England","Operational Delivery","Undeclared","990","910","29820","29810"
"In post","2021","East of England","Operational Delivery","Unknown","1190","1140","27250","24920"
"In post","2021","East of England","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other","Declared disabled","110","100","23140","21130"
"In post","2021","East of England","Other","Declared non-disabled","810","770","24860","21130"
"In post","2021","East of England","Other","Undeclared","80","70","23050","21130"
"In post","2021","East of England","Other","Unknown","180","170","25520","21580"
"In post","2021","East of England","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Policy","Declared non-disabled","130","130","44170","42200"
"In post","2021","East of England","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Policy","Unknown","40","30","[c]","[c]"
"In post","2021","East of England","Project Delivery","Declared disabled","60","60","38870","37970"
"In post","2021","East of England","Project Delivery","Declared non-disabled","410","390","38910","36520"
"In post","2021","East of England","Project Delivery","Undeclared","50","50","[c]","[c]"
"In post","2021","East of England","Project Delivery","Unknown","80","80","40010","38630"
"In post","2021","East of England","Property","Declared disabled","50","50","34120","33300"
"In post","2021","East of England","Property","Declared non-disabled","330","310","33610","33280"
"In post","2021","East of England","Property","Undeclared","50","50","[c]","[c]"
"In post","2021","East of England","Property","Unknown","80","80","26530","23910"
"In post","2021","East of England","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Psychology","Declared non-disabled","140","130","35090","30450"
"In post","2021","East of England","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Science and Engineering","Declared disabled","60","60","33660","31700"
"In post","2021","East of England","Science and Engineering","Declared non-disabled","550","520","35390","32440"
"In post","2021","East of England","Science and Engineering","Undeclared","50","50","36630","32900"
"In post","2021","East of England","Science and Engineering","Unknown","260","250","40410","37620"
"In post","2021","East of England","Security","Declared disabled","50","50","36440","39070"
"In post","2021","East of England","Security","Declared non-disabled","350","340","32850","27700"
"In post","2021","East of England","Security","Undeclared","40","40","[c]","[c]"
"In post","2021","East of England","Security","Unknown","110","110","31320","26750"
"In post","2021","East of England","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Tax","Declared disabled","40","30","[c]","[c]"
"In post","2021","East of England","Tax","Declared non-disabled","150","130","35070","31870"
"In post","2021","East of England","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Tax","Unknown","60","50","31960","31810"
"In post","2021","East of England","Unknown","Declared disabled","880","780","28270","27570"
"In post","2021","East of England","Unknown","Declared non-disabled","3620","3250","28570","27570"
"In post","2021","East of England","Unknown","Undeclared","200","190","29400","29290"
"In post","2021","East of England","Unknown","Unknown","220","210","36450","29290"
"In post","2021","East of England","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Veterinarian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Commercial","Declared disabled","80","80","44430","41030"
"In post","2021","London","Commercial","Declared non-disabled","560","550","47870","43840"
"In post","2021","London","Commercial","Undeclared","60","60","48430","46360"
"In post","2021","London","Commercial","Unknown","180","170","48250","40650"
"In post","2021","London","Communications","Declared disabled","100","100","43530","39600"
"In post","2021","London","Communications","Declared non-disabled","1270","1240","47270","43210"
"In post","2021","London","Communications","Undeclared","100","100","47530","42800"
"In post","2021","London","Communications","Unknown","620","610","44380","40640"
"In post","2021","London","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","London","Corporate Finance","Declared non-disabled","50","50","54550","54110"
"In post","2021","London","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","London","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","London","Counter Fraud","Declared non-disabled","260","250","43600","40000"
"In post","2021","London","Counter Fraud","Undeclared","30","30","[c]","[c]"
"In post","2021","London","Counter Fraud","Unknown","80","80","46020","40270"
"In post","2021","London","Digital, Data and Technology","Declared disabled","230","230","46710","42850"
"In post","2021","London","Digital, Data and Technology","Declared non-disabled","2090","2050","50280","45840"
"In post","2021","London","Digital, Data and Technology","Undeclared","170","160","48300","44740"
"In post","2021","London","Digital, Data and Technology","Unknown","810","800","48550","44950"
"In post","2021","London","Economics","Declared disabled","80","80","47460","49100"
"In post","2021","London","Economics","Declared non-disabled","1170","1140","49360","51970"
"In post","2021","London","Economics","Undeclared","110","110","44870","37090"
"In post","2021","London","Economics","Unknown","410","400","44540","36160"
"In post","2021","London","Finance","Declared disabled","180","170","47780","43610"
"In post","2021","London","Finance","Declared non-disabled","1800","1760","50250","46230"
"In post","2021","London","Finance","Undeclared","160","160","47570","45650"
"In post","2021","London","Finance","Unknown","420","410","45650","40650"
"In post","2021","London","Human Resources","Declared disabled","300","290","47690","42230"
"In post","2021","London","Human Resources","Declared non-disabled","1640","1580","47530","42770"
"In post","2021","London","Human Resources","Undeclared","150","150","46730","43750"
"In post","2021","London","Human Resources","Unknown","330","320","42370","36950"
"In post","2021","London","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","London","Inspector of Education and Training","Declared non-disabled","190","180","67700","75500"
"In post","2021","London","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Intelligence Analysis","Declared disabled","130","120","38230","35680"
"In post","2021","London","Intelligence Analysis","Declared non-disabled","950","900","38720","35700"
"In post","2021","London","Intelligence Analysis","Undeclared","100","90","39920","36970"
"In post","2021","London","Intelligence Analysis","Unknown","250","250","49510","53360"
"In post","2021","London","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","London","Internal Audit","Declared non-disabled","160","150","53210","51000"
"In post","2021","London","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","London","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","International Trade","Declared disabled","70","70","46760","40840"
"In post","2021","London","International Trade","Declared non-disabled","540","530","48660","51710"
"In post","2021","London","International Trade","Undeclared","30","30","[c]","[c]"
"In post","2021","London","International Trade","Unknown","430","430","45550","38540"
"In post","2021","London","Knowledge and Information Management","Declared disabled","80","80","38140","34010"
"In post","2021","London","Knowledge and Information Management","Declared non-disabled","480","460","41660","37640"
"In post","2021","London","Knowledge and Information Management","Undeclared","40","40","[c]","[c]"
"In post","2021","London","Knowledge and Information Management","Unknown","150","130","41780","38160"
"In post","2021","London","Legal","Declared disabled","340","320","55390","56560"
"In post","2021","London","Legal","Declared non-disabled","3230","3040","55730","53590"
"In post","2021","London","Legal","Undeclared","220","210","55400","56650"
"In post","2021","London","Legal","Unknown","980","930","51390","51410"
"In post","2021","London","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","London","Medicine","Declared non-disabled","190","170","78430","82100"
"In post","2021","London","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","London","Medicine","Unknown","160","150","79350","72070"
"In post","2021","London","Operational Delivery","Declared disabled","2480","2320","33050","30010"
"In post","2021","London","Operational Delivery","Declared non-disabled","17280","16290","34790","30600"
"In post","2021","London","Operational Delivery","Undeclared","1910","1790","34300","31530"
"In post","2021","London","Operational Delivery","Unknown","4230","4110","34720","30850"
"In post","2021","London","Operational Research","Declared disabled","30","30","[c]","[c]"
"In post","2021","London","Operational Research","Declared non-disabled","270","260","49370","45730"
"In post","2021","London","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","London","Operational Research","Unknown","70","70","45670","40480"
"In post","2021","London","Other","Declared disabled","290","280","35100","29270"
"In post","2021","London","Other","Declared non-disabled","2780","2670","41460","35010"
"In post","2021","London","Other","Undeclared","270","260","36240","32740"
"In post","2021","London","Other","Unknown","840","810","40810","33080"
"In post","2021","London","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","London","Planning","Declared non-disabled","80","80","48720","44630"
"In post","2021","London","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","London","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Policy","Declared disabled","1670","1630","47050","41970"
"In post","2021","London","Policy","Declared non-disabled","13070","12720","50100","52290"
"In post","2021","London","Policy","Undeclared","1180","1170","47840","44390"
"In post","2021","London","Policy","Unknown","3770","3690","47420","41950"
"In post","2021","London","Project Delivery","Declared disabled","330","320","47520","42170"
"In post","2021","London","Project Delivery","Declared non-disabled","2560","2500","51000","45200"
"In post","2021","London","Project Delivery","Undeclared","220","220","48360","44500"
"In post","2021","London","Project Delivery","Unknown","540","530","48860","42660"
"In post","2021","London","Property","Declared disabled","80","80","41460","35390"
"In post","2021","London","Property","Declared non-disabled","750","720","45440","39110"
"In post","2021","London","Property","Undeclared","110","100","44470","37380"
"In post","2021","London","Property","Unknown","170","170","40040","36150"
"In post","2021","London","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","London","Psychology","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","London","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","London","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Science and Engineering","Declared disabled","70","60","45130","40960"
"In post","2021","London","Science and Engineering","Declared non-disabled","910","860","46350","41030"
"In post","2021","London","Science and Engineering","Undeclared","100","90","45130","40070"
"In post","2021","London","Science and Engineering","Unknown","350","340","47860","44950"
"In post","2021","London","Security","Declared disabled","100","100","39010","37640"
"In post","2021","London","Security","Declared non-disabled","820","800","39210","35680"
"In post","2021","London","Security","Undeclared","100","100","42870","39770"
"In post","2021","London","Security","Unknown","210","210","35760","32260"
"In post","2021","London","Social Research","Declared disabled","40","40","[c]","[c]"
"In post","2021","London","Social Research","Declared non-disabled","330","320","48580","44220"
"In post","2021","London","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","London","Social Research","Unknown","60","60","42630","38420"
"In post","2021","London","Statistics","Declared disabled","80","80","45680","41760"
"In post","2021","London","Statistics","Declared non-disabled","620","600","48060","43360"
"In post","2021","London","Statistics","Undeclared","60","60","45730","42980"
"In post","2021","London","Statistics","Unknown","160","150","42710","39030"
"In post","2021","London","Tax","Declared disabled","200","190","42460","39800"
"In post","2021","London","Tax","Declared non-disabled","1350","1280","44710","39800"
"In post","2021","London","Tax","Undeclared","130","130","46500","39800"
"In post","2021","London","Tax","Unknown","610","580","39160","36160"
"In post","2021","London","Unknown","Declared disabled","2140","2000","37280","31060"
"In post","2021","London","Unknown","Declared non-disabled","11840","11280","40280","31880"
"In post","2021","London","Unknown","Undeclared","700","680","39650","31880"
"In post","2021","London","Unknown","Unknown","3460","3410","45090","34550"
"In post","2021","London","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","London","Veterinarian","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","London","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","London","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Commercial","Declared non-disabled","80","80","43490","40930"
"In post","2021","North East (England)","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Communications","Declared non-disabled","80","70","34440","31810"
"In post","2021","North East (England)","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Counter Fraud","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","North East (England)","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Digital, Data and Technology","Declared disabled","50","50","38150","36950"
"In post","2021","North East (England)","Digital, Data and Technology","Declared non-disabled","440","420","39820","38630"
"In post","2021","North East (England)","Digital, Data and Technology","Undeclared","40","40","[c]","[c]"
"In post","2021","North East (England)","Digital, Data and Technology","Unknown","170","160","38060","36520"
"In post","2021","North East (England)","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Economics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Finance","Declared non-disabled","280","270","39090","37100"
"In post","2021","North East (England)","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Finance","Unknown","50","50","[c]","[c]"
"In post","2021","North East (England)","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Human Resources","Declared non-disabled","90","80","37730","33810"
"In post","2021","North East (England)","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Intelligence Analysis","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","North East (England)","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Internal Audit","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","North East (England)","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
