"Status","Year","Region_ITL2","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Justice","No function","1270","1200","27860","27240"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Justice","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","National Crime Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","National Crime Agency","No function","110","100","38680","37860"
"In post","2021","Bedfordshire and Hertfordshire","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","National Crime Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Attorney General's Departments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Attorney General's Departments","Legal","130","120","43640","40000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Cabinet Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Cabinet Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Cabinet Office","Security","100","90","30270","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Business, Energy and Industrial Strategy","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Business, Energy and Industrial Strategy","No function","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs","Digital, Data & Technology","90","80","41520","36970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs","Finance","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs","Grants Management","160","150","28760","25190"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs","No function","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs","Property","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","No function","70","70","43490","38540"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Transport","No function","90","80","27680","26780"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Work and Pensions","Unknown","1150","1050","28280","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department of Health and Social Care","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department of Health and Social Care","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department of Health and Social Care","No function","350","310","44540","40030"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office","Commercial","70","70","43520","40850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office","Digital, Data & Technology","110","100","44010","40670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office","Finance","70","70","38610","31730"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office","Human Resources","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office","Legal","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office","No function","230","220","29870","24750"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office","Project Delivery","60","60","37890","32480"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office","Property","180","180","35920","34080"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office","Security","210","200","35880","33390"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs","Counter Fraud","90","80","32030","31810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs","No function","330","310","30360","28130"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs","Property","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Treasury","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Home Office","Unknown","80","70","28450","25630"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence","Commercial","90","90","35110","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence","Communications","70","60","30630","28670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence","Finance","180","170","36890","35000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence","Human Resources","50","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence","No function","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence","Project Delivery","400","390","38960","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence","Property","130","130","29260","27640"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence","Security","730","720","33490","30890"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence","Unknown","1120","1080","29590","23580"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Justice","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Justice","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Justice","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Justice","Legal","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Justice","No function","2490","2360","29500","29920"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Justice","Security","50","50","40700","40450"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","National Crime Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","National Crime Agency","No function","110","100","39540","39570"
"In post","2021","Cheshire","Attorney General's Departments","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Cabinet Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Department for Environment, Food and Rural Affairs","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Department for Environment, Food and Rural Affairs","Digital, Data & Technology","80","80","45110","48370"
"In post","2021","Cheshire","Department for Environment, Food and Rural Affairs","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Department for Environment, Food and Rural Affairs","Grants Management","100","90","24740","24920"
"In post","2021","Cheshire","Department for Environment, Food and Rural Affairs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Department for Environment, Food and Rural Affairs","No function","60","50","37610","33900"
"In post","2021","Cheshire","Department for Environment, Food and Rural Affairs","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Department for Environment, Food and Rural Affairs","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Department for Transport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Department for Transport","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Department for Work and Pensions","No function","30","30","[c]","[c]"
"In post","2021","Cheshire","Department for Work and Pensions","Unknown","940","850","25480","27570"
"In post","2021","Cheshire","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","HM Revenue and Customs","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Defence","Unknown","30","30","[c]","[c]"
"In post","2021","Cheshire","Ministry of Housing, Communities and Local Government","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Housing, Communities and Local Government","No function","60","50","37700","34100"
"In post","2021","Cheshire","Ministry of Housing, Communities and Local Government","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Justice","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Justice","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Justice","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Justice","No function","1190","1110","28400","26300"
"In post","2021","Cheshire","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Ministry of Justice","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","National Crime Agency","Digital, Data & Technology","50","50","[c]","[c]"
"In post","2021","Cheshire","National Crime Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","National Crime Agency","Human Resources","40","40","[c]","[c]"
"In post","2021","Cheshire","National Crime Agency","No function","1060","1040","35780","34440"
"In post","2021","Cheshire","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","National Crime Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Attorney General's Departments","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Department for Business, Energy and Industrial Strategy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Department for Environment, Food and Rural Affairs","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Department for Environment, Food and Rural Affairs","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Department for Environment, Food and Rural Affairs","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Department for Environment, Food and Rural Affairs","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Department for Environment, Food and Rural Affairs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Department for Environment, Food and Rural Affairs","No function","60","60","33260","29180"
"In post","2021","Cornwall and Isles of Scilly","Department for Environment, Food and Rural Affairs","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Department for Environment, Food and Rural Affairs","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Department for Transport","No function","60","50","29350","26780"
"In post","2021","Cornwall and Isles of Scilly","Department for Work and Pensions","Unknown","830","740","25490","27570"
"In post","2021","Cornwall and Isles of Scilly","Department of Health and Social Care","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","HM Revenue and Customs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","HM Revenue and Customs","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","HM Revenue and Customs","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Ministry of Defence","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Ministry of Defence","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Ministry of Defence","Security","50","50","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Ministry of Defence","Unknown","340","320","25240","21580"
"In post","2021","Cornwall and Isles of Scilly","Ministry of Housing, Communities and Local Government","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Ministry of Justice","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Ministry of Justice","No function","110","90","25340","22050"
"In post","2021","Cornwall and Isles of Scilly","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Attorney General's Departments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Attorney General's Departments","Legal","40","30","[c]","[c]"
"In post","2021","Cumbria","Cabinet Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Department for Environment, Food and Rural Affairs","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Department for Environment, Food and Rural Affairs","Communications","70","60","28090","25880"
"In post","2021","Cumbria","Department for Environment, Food and Rural Affairs","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Department for Environment, Food and Rural Affairs","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Department for Environment, Food and Rural Affairs","Grants Management","650","570","24000","21050"
"In post","2021","Cumbria","Department for Environment, Food and Rural Affairs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Department for Environment, Food and Rural Affairs","No function","180","170","27650","21050"
"In post","2021","Cumbria","Department for Environment, Food and Rural Affairs","Project Delivery","40","40","[c]","[c]"
"In post","2021","Cumbria","Department for Environment, Food and Rural Affairs","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Department for Transport","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Department for Work and Pensions","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Department for Work and Pensions","Unknown","270","230","26610","27570"
"In post","2021","Cumbria","Department of Health and Social Care","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Ministry of Defence","Digital, Data & Technology","[c]","[c]","[c]","[c]"
