"Status","Year","Function_of_post","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Commercial","1880","1850","42360","40000"
"In post","2021","Commercial","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Knowledge and Information Management","360","350","36140","33300"
"In post","2021","Commercial","Male","Operational Delivery","230","220","48070","41100"
"In post","2021","Commercial","Male","Other","30","30","[c]","[c]"
"In post","2021","Commercial","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Project Delivery","50","50","47750","43600"
"In post","2021","Commercial","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Science and Engineering","90","90","41890","41970"
"In post","2021","Commercial","Male","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Unknown","770","760","73540","65000"
"In post","2021","Commercial","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Communications","2010","1910","41090","37910"
"In post","2021","Communications","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Operational Delivery","760","690","29930","26520"
"In post","2021","Communications","Female","Other","80","80","30500","27290"
"In post","2021","Communications","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Tax","970","920","27400","25560"
"In post","2021","Communications","Female","Unknown","440","430","38720","33390"
"In post","2021","Communications","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Communications","1420","1400","41630","37920"
"In post","2021","Communications","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Operational Delivery","760","750","29870","25980"
"In post","2021","Communications","Male","Other","170","170","23790","20410"
"In post","2021","Communications","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Tax","1170","1150","27390","25560"
"In post","2021","Communications","Male","Unknown","350","350","36880","31810"
"In post","2021","Counter Fraud","Female","Counter Fraud","270","260","38820","36030"
"In post","2021","Counter Fraud","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Intelligence Analysis","90","80","36840","31960"
"In post","2021","Counter Fraud","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Legal","1400","1310","30010","28130"
"In post","2021","Counter Fraud","Female","Operational Delivery","1630","1440","29530","28130"
"In post","2021","Counter Fraud","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Other","180","150","36950","31810"
"In post","2021","Counter Fraud","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Tax","820","750","37430","32100"
"In post","2021","Counter Fraud","Female","Unknown","100","100","39130","34550"
"In post","2021","Counter Fraud","Male","Counter Fraud","400","390","42080","39490"
"In post","2021","Counter Fraud","Male","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Intelligence Analysis","110","110","38700","36160"
"In post","2021","Counter Fraud","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Legal","1930","1880","32370","31810"
"In post","2021","Counter Fraud","Male","Operational Delivery","1260","1220","30940","28130"
"In post","2021","Counter Fraud","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Other","160","150","40580","35000"
"In post","2021","Counter Fraud","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Tax","1090","1040","40690","36160"
"In post","2021","Counter Fraud","Male","Unknown","120","120","38380","32210"
"In post","2021","Debt","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Female","Operational Delivery","2080","1740","23890","21440"
"In post","2021","Debt","Female","Tax","520","500","20810","20140"
"In post","2021","Debt","Female","Unknown","40","40","[c]","[c]"
"In post","2021","Debt","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Male","Operational Delivery","1500","1420","24020","21440"
"In post","2021","Debt","Male","Tax","470","470","20670","20140"
"In post","2021","Debt","Male","Unknown","50","50","[c]","[c]"
"In post","2021","Digital, Data & Technology","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Female","Digital, Data and Technology","3840","3660","39970","36780"
"In post","2021","Digital, Data & Technology","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Female","Knowledge and Information Management","70","60","35040","33640"
"In post","2021","Digital, Data & Technology","Female","Operational Delivery","250","240","33760","31810"
"In post","2021","Digital, Data & Technology","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Female","Other","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Female","Science and Engineering","160","150","39320","39650"
"In post","2021","Digital, Data & Technology","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Female","Tax","40","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","Female","Unknown","550","530","47440","47720"
"In post","2021","Digital, Data & Technology","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Male","Digital, Data and Technology","7000","6900","41480","38450"
"In post","2021","Digital, Data & Technology","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Male","Knowledge and Information Management","80","80","40350","39120"
"In post","2021","Digital, Data & Technology","Male","Operational Delivery","220","220","36820","31810"
"In post","2021","Digital, Data & Technology","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Male","Other","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Male","Science and Engineering","370","350","44190","40880"
"In post","2021","Digital, Data & Technology","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Male","Tax","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Male","Unknown","790","780","50080","54700"
"In post","2021","Digital, Data & Technology","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Corporate Finance","80","70","43860","40800"
"In post","2021","Finance","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Economics","50","50","44150","36820"
"In post","2021","Finance","Female","Finance","4270","3940","37290","33300"
"In post","2021","Finance","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Operational Delivery","490","430","28080","25560"
"In post","2021","Finance","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Other","110","100","39790","33110"
"In post","2021","Finance","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Project Delivery","40","30","[c]","[c]"
"In post","2021","Finance","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Tax","30","30","[c]","[c]"
"In post","2021","Finance","Female","Unknown","160","150","41220","37530"
"In post","2021","Finance","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","Corporate Finance","60","60","49560","46080"
"In post","2021","Finance","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","Economics","50","50","[c]","[c]"
"In post","2021","Finance","Male","Finance","3290","3220","43000","39000"
"In post","2021","Finance","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","Operational Delivery","370","360","29810","25560"
"In post","2021","Finance","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","Other","50","40","[c]","[c]"
"In post","2021","Finance","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","Project Delivery","40","40","[c]","[c]"
"In post","2021","Finance","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","Tax","30","30","[c]","[c]"
"In post","2021","Finance","Male","Unknown","180","170","46630","40290"
"In post","2021","Finance","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Female","Operational Delivery","1090","950","25060","21050"
"In post","2021","Grants Management","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Male","Operational Delivery","800","780","25980","24920"
"In post","2021","Grants Management","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","Human Resources","4940","4620","37860","33300"
"In post","2021","Human Resources","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","Operational Delivery","650","590","29380","25560"
"In post","2021","Human Resources","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","Other","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","Policy","60","60","36150","36030"
"In post","2021","Human Resources","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","Tax","90","90","36330","31810"
"In post","2021","Human Resources","Female","Unknown","860","820","39560","35590"
"In post","2021","Human Resources","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Male","Human Resources","1990","1950","39350","35000"
"In post","2021","Human Resources","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Male","Operational Delivery","290","280","30260","25560"
"In post","2021","Human Resources","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Male","Other","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Male","Tax","80","80","35670","31810"
"In post","2021","Human Resources","Male","Unknown","460","450","38940","34550"
"In post","2021","Human Resources","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Female","Internal Audit","380","360","43830","41340"
"In post","2021","Internal Audit","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Female","Other","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Male","Internal Audit","360","350","48160","45390"
"In post","2021","Internal Audit","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Male","Other","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Legal","5520","4990","53330","52490"
"In post","2021","Legal","Female","Operational Delivery","3610","3240","26990","25480"
"In post","2021","Legal","Female","Other","240","230","31110","27580"
"In post","2021","Legal","Female","Policy","40","40","[c]","[c]"
"In post","2021","Legal","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Tax","170","160","37570","33680"
"In post","2021","Legal","Female","Unknown","110","100","55110","59160"
"In post","2021","Legal","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Legal","3120","3020","56240","55610"
"In post","2021","Legal","Male","Operational Delivery","1560","1510","28070","25560"
"In post","2021","Legal","Male","Other","120","120","30770","27350"
"In post","2021","Legal","Male","Policy","40","30","[c]","[c]"
"In post","2021","Legal","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Tax","180","180","40090","37390"
"In post","2021","Legal","Male","Unknown","90","90","60190","59160"
"In post","2021","No function","Female","Commercial","140","130","41800","36780"
"In post","2021","No function","Female","Communications","70","70","42640","39200"
"In post","2021","No function","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","No function","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","No function","Female","Digital, Data and Technology","100","90","37500","32140"
"In post","2021","No function","Female","Economics","190","180","47630","51610"
"In post","2021","No function","Female","Finance","210","200","41040","37100"
"In post","2021","No function","Female","Human Resources","50","50","42190","38390"
"In post","2021","No function","Female","Inspector of Education and Training","600","590","63550","64500"
"In post","2021","No function","Female","Intelligence Analysis","310","290","29880","27380"
"In post","2021","No function","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","No function","Female","International Trade","640","630","45850","39590"
"In post","2021","No function","Female","Knowledge and Information Management","640","580","37380","34010"
"In post","2021","No function","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","No function","Female","Medicine","280","240","96970","96860"
"In post","2021","No function","Female","Operational Delivery","69120","61620","27500","24360"
"In post","2021","No function","Female","Operational Research","130","120","42950","46080"
"In post","2021","No function","Female","Other","1260","1190","35760","30850"
"In post","2021","No function","Female","Planning","80","70","46620","42140"
"In post","2021","No function","Female","Planning Inspectors","130","110","57850","58810"
"In post","2021","No function","Female","Policy","11040","10630","45570","40220"
"In post","2021","No function","Female","Project Delivery","110","110","41030","36770"
"In post","2021","No function","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","No function","Female","Psychology","1220","1160","35420","31180"
"In post","2021","No function","Female","Science and Engineering","3160","2910","38220","36730"
"In post","2021","No function","Female","Security","80","70","45830","42890"
"In post","2021","No function","Female","Social Research","30","30","[c]","[c]"
"In post","2021","No function","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","No function","Female","Tax","5690","5210","32760","31810"
"In post","2021","No function","Female","Unknown","3780","3650","35910","30880"
"In post","2021","No function","Female","Veterinarian","240","230","44110","38390"
"In post","2021","No function","Male","Commercial","150","150","46450","43000"
"In post","2021","No function","Male","Communications","50","50","39810","38540"
"In post","2021","No function","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","No function","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","No function","Male","Digital, Data and Technology","130","130","41090","36960"
"In post","2021","No function","Male","Economics","280","280","48310","48410"
"In post","2021","No function","Male","Finance","200","200","45380","40230"
"In post","2021","No function","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","No function","Male","Inspector of Education and Training","260","250","73380","75500"
"In post","2021","No function","Male","Intelligence Analysis","180","170","34130","32040"
"In post","2021","No function","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","No function","Male","International Trade","820","820","47820","42470"
"In post","2021","No function","Male","Knowledge and Information Management","340","330","40320","36800"
"In post","2021","No function","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","No function","Male","Medicine","170","150","106540","105470"
"In post","2021","No function","Male","Operational Delivery","57670","55090","30130","27460"
"In post","2021","No function","Male","Operational Research","170","170","45790","46090"
"In post","2021","No function","Male","Other","1060","1010","44550","35740"
"In post","2021","No function","Male","Planning","70","70","46190","40590"
"In post","2021","No function","Male","Planning Inspectors","220","190","57960","58810"
"In post","2021","No function","Male","Policy","9600","9520","48450","46660"
"In post","2021","No function","Male","Project Delivery","110","100","42660","36800"
"In post","2021","No function","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","No function","Male","Psychology","170","160","36350","30450"
"In post","2021","No function","Male","Science and Engineering","3800","3690","41780","39940"
"In post","2021","No function","Male","Security","120","110","45410","44030"
"In post","2021","No function","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","No function","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","No function","Male","Tax","6250","5980","35460","31810"
"In post","2021","No function","Male","Unknown","3490","3460","36290","31810"
"In post","2021","No function","Male","Veterinarian","190","180","46590","46450"
"In post","2021","No function","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Commercial","410","380","36930","34090"
"In post","2021","Project Delivery","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Digital, Data and Technology","110","100","37820","37320"
"In post","2021","Project Delivery","Female","Economics","40","40","[c]","[c]"
"In post","2021","Project Delivery","Female","Finance","230","210","42330","39860"
"In post","2021","Project Delivery","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Knowledge and Information Management","70","60","37270","37320"
"In post","2021","Project Delivery","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Operational Delivery","1120","1030","33650","30630"
"In post","2021","Project Delivery","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Other","1350","1260","33570","28520"
"In post","2021","Project Delivery","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Policy","1320","1250","50600","52580"
"In post","2021","Project Delivery","Female","Project Delivery","7020","6700","40120","37320"
"In post","2021","Project Delivery","Female","Property","120","120","49760","50630"
"In post","2021","Project Delivery","Female","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Science and Engineering","350","340","36600","33000"
"In post","2021","Project Delivery","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Tax","80","80","40410","32520"
"In post","2021","Project Delivery","Female","Unknown","280","260","45740","35680"
"In post","2021","Project Delivery","Male","Commercial","400","390","40390","37400"
