"Status","Year","Region_ITL1","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Operational Delivery","390","380","27540","25560"
"In post","2021","East Midlands (England)","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Tax","50","50","32310","31810"
"In post","2021","East Midlands (England)","LGBO","Unknown","210","190","26370","27570"
"In post","2021","East Midlands (England)","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Legal","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Operational Delivery","950","870","27970","26750"
"In post","2021","East Midlands (England)","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Other","100","90","25720","21130"
"In post","2021","East Midlands (England)","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Project Delivery","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Property","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Science and Engineering","80","80","42670","39390"
"In post","2021","East Midlands (England)","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Tax","120","110","37340","31870"
"In post","2021","East Midlands (England)","Undeclared","Unknown","410","360","25910","27570"
"In post","2021","East Midlands (England)","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Digital, Data and Technology","60","60","36860","32010"
"In post","2021","East Midlands (England)","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Human Resources","60","60","35550","31810"
"In post","2021","East Midlands (England)","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Legal","130","120","39890","34480"
"In post","2021","East Midlands (England)","Unknown","Medicine","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Operational Delivery","2000","1830","25960","24440"
"In post","2021","East Midlands (England)","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Other","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Project Delivery","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Property","120","110","30340","26250"
"In post","2021","East Midlands (England)","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Science and Engineering","70","60","40590","37340"
"In post","2021","East Midlands (England)","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Tax","520","490","28220","25560"
"In post","2021","East Midlands (England)","Unknown","Unknown","1190","1050","26520","27570"
"In post","2021","East Midlands (England)","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Heterosexual / straight","Commercial","180","170","39290","35760"
"In post","2021","East of England","Heterosexual / straight","Communications","70","70","35470","33300"
"In post","2021","East of England","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Heterosexual / straight","Digital, Data and Technology","300","290","37090","34620"
"In post","2021","East of England","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Heterosexual / straight","Finance","280","270","38520","35780"
"In post","2021","East of England","Heterosexual / straight","Human Resources","150","140","35360","32050"
"In post","2021","East of England","Heterosexual / straight","Inspector of Education and Training","80","80","65450","75500"
"In post","2021","East of England","Heterosexual / straight","Intelligence Analysis","310","310","32610","33300"
"In post","2021","East of England","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Heterosexual / straight","Knowledge and Information Management","110","110","36200","33300"
"In post","2021","East of England","Heterosexual / straight","Legal","430","400","40040","36240"
"In post","2021","East of England","Heterosexual / straight","Medicine","130","110","55340","37890"
"In post","2021","East of England","Heterosexual / straight","Operational Delivery","7210","6690","28390","26780"
"In post","2021","East of England","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Heterosexual / straight","Other","900","850","24750","21130"
"In post","2021","East of England","Heterosexual / straight","Policy","130","130","43630","40580"
"In post","2021","East of England","Heterosexual / straight","Project Delivery","440","430","39440","37640"
"In post","2021","East of England","Heterosexual / straight","Property","370","350","33580","33300"
"In post","2021","East of England","Heterosexual / straight","Psychology","140","130","35060","31180"
"In post","2021","East of England","Heterosexual / straight","Science and Engineering","470","450","36630","32960"
"In post","2021","East of England","Heterosexual / straight","Security","400","390","33300","28890"
"In post","2021","East of England","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Heterosexual / straight","Tax","150","130","34770","31810"
"In post","2021","East of England","Heterosexual / straight","Unknown","3290","3000","28860","27570"
"In post","2021","East of England","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Operational Delivery","360","340","28160","25930"
"In post","2021","East of England","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Other","30","30","[c]","[c]"
"In post","2021","East of England","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Tax","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Unknown","200","190","28390","27570"
"In post","2021","East of England","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Digital, Data and Technology","60","50","35820","35000"
"In post","2021","East of England","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Finance","40","40","[c]","[c]"
"In post","2021","East of England","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Intelligence Analysis","70","60","31940","33300"
"In post","2021","East of England","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Legal","60","60","35390","31810"
"In post","2021","East of England","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Operational Delivery","1010","920","29170","27280"
"In post","2021","East of England","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Other","110","110","23280","21270"
"In post","2021","East of England","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Project Delivery","70","60","39400","35480"
"In post","2021","East of England","Undeclared","Property","60","50","35180","33300"
"In post","2021","East of England","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Science and Engineering","100","90","37090","35370"
"In post","2021","East of England","Undeclared","Security","70","70","35990","39070"
"In post","2021","East of England","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Tax","30","30","[c]","[c]"
"In post","2021","East of England","Undeclared","Unknown","380","340","28410","27570"
"In post","2021","East of England","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Commercial","40","40","[c]","[c]"
"In post","2021","East of England","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Digital, Data and Technology","140","130","35340","31810"
"In post","2021","East of England","Unknown","Finance","60","50","30360","25560"
"In post","2021","East of England","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Legal","170","150","36930","28130"
"In post","2021","East of England","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Operational Delivery","1630","1510","27500","25850"
"In post","2021","East of England","Unknown","Other","130","130","25710","21580"
"In post","2021","East of England","Unknown","Policy","40","40","[c]","[c]"
"In post","2021","East of England","Unknown","Project Delivery","70","70","38890","38510"
"In post","2021","East of England","Unknown","Property","70","70","27110","26230"
"In post","2021","East of England","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Science and Engineering","340","320","37070","35900"
"In post","2021","East of England","Unknown","Security","70","60","30390","26350"
"In post","2021","East of England","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Tax","70","60","32160","31810"
"In post","2021","East of England","Unknown","Unknown","1050","910","29320","27570"
"In post","2021","East of England","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","London","Heterosexual / straight","Commercial","580","570","47980","43800"
"In post","2021","London","Heterosexual / straight","Communications","1280","1250","46870","42840"
"In post","2021","London","Heterosexual / straight","Corporate Finance","60","60","56210","54380"
"In post","2021","London","Heterosexual / straight","Counter Fraud","260","250","43380","40000"
"In post","2021","London","Heterosexual / straight","Digital, Data and Technology","2080","2040","49820","45530"
"In post","2021","London","Heterosexual / straight","Economics","1150","1130","48300","45750"
"In post","2021","London","Heterosexual / straight","Finance","1810","1760","49750","45220"
"In post","2021","London","Heterosexual / straight","Human Resources","1830","1760","47550","42470"
"In post","2021","London","Heterosexual / straight","Inspector of Education and Training","180","180","65320","64500"
"In post","2021","London","Heterosexual / straight","Intelligence Analysis","970","930","39250","36140"
"In post","2021","London","Heterosexual / straight","Internal Audit","160","150","53880","52250"
"In post","2021","London","Heterosexual / straight","International Trade","590","580","48540","51710"
"In post","2021","London","Heterosexual / straight","Knowledge and Information Management","470","450","42400","37840"
"In post","2021","London","Heterosexual / straight","Legal","2910","2740","54730","52040"
"In post","2021","London","Heterosexual / straight","Medicine","210","190","76860","77020"
"In post","2021","London","Heterosexual / straight","Operational Delivery","17740","16780","34790","30780"
"In post","2021","London","Heterosexual / straight","Operational Research","260","250","49900","47880"
"In post","2021","London","Heterosexual / straight","Other","2700","2590","39760","32960"
"In post","2021","London","Heterosexual / straight","Planning","80","80","47890","42980"
"In post","2021","London","Heterosexual / straight","Policy","13040","12700","49670","51730"
"In post","2021","London","Heterosexual / straight","Project Delivery","2620","2560","50570","45070"
"In post","2021","London","Heterosexual / straight","Property","690","660","45690","40600"
"In post","2021","London","Heterosexual / straight","Psychology","50","50","[c]","[c]"
"In post","2021","London","Heterosexual / straight","Science and Engineering","930","870","45340","40850"
"In post","2021","London","Heterosexual / straight","Security","860","840","38110","35070"
"In post","2021","London","Heterosexual / straight","Social Research","350","330","47760","43560"
"In post","2021","London","Heterosexual / straight","Statistics","650","630","47780","43170"
"In post","2021","London","Heterosexual / straight","Tax","1330","1260","44600","39800"
"In post","2021","London","Heterosexual / straight","Unknown","10460","10060","40810","31880"
"In post","2021","London","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","London","LGBO","Commercial","40","30","[c]","[c]"
"In post","2021","London","LGBO","Communications","130","130","45210","42710"
"In post","2021","London","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","London","LGBO","Digital, Data and Technology","160","150","49860","43870"
"In post","2021","London","LGBO","Economics","100","100","46370","39810"
"In post","2021","London","LGBO","Finance","90","90","53840","54870"
"In post","2021","London","LGBO","Human Resources","150","140","48280","44500"
"In post","2021","London","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","London","LGBO","Intelligence Analysis","50","50","[c]","[c]"
"In post","2021","London","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","London","LGBO","International Trade","60","60","48630","51840"
"In post","2021","London","LGBO","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","London","LGBO","Legal","240","240","55560","52730"
"In post","2021","London","LGBO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","London","LGBO","Operational Delivery","980","950","36490","33110"
"In post","2021","London","LGBO","Operational Research","30","30","[c]","[c]"
"In post","2021","London","LGBO","Other","180","180","39050","32360"
"In post","2021","London","LGBO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","London","LGBO","Policy","1420","1400","48370","46000"
"In post","2021","London","LGBO","Project Delivery","180","180","48640","43130"
"In post","2021","London","LGBO","Property","40","40","[c]","[c]"
"In post","2021","London","LGBO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","London","LGBO","Science and Engineering","70","70","49560","40070"
"In post","2021","London","LGBO","Security","60","60","42230","38570"
"In post","2021","London","LGBO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","London","LGBO","Statistics","60","60","45840","42570"
"In post","2021","London","LGBO","Tax","70","60","45470","39800"
"In post","2021","London","LGBO","Unknown","860","840","41680","34550"
"In post","2021","London","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Commercial","70","60","48150","44870"
"In post","2021","London","Undeclared","Communications","140","140","44610","41860"
"In post","2021","London","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Digital, Data and Technology","300","300","49570","46740"
"In post","2021","London","Undeclared","Economics","140","130","47940","45650"
"In post","2021","London","Undeclared","Finance","250","240","48800","45870"
"In post","2021","London","Undeclared","Human Resources","190","180","44020","40070"
"In post","2021","London","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Intelligence Analysis","180","170","38780","36140"
"In post","2021","London","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","International Trade","70","60","47090","51710"
"In post","2021","London","Undeclared","Knowledge and Information Management","90","80","41120","37920"
"In post","2021","London","Undeclared","Legal","400","370","55240","54070"
"In post","2021","London","Undeclared","Medicine","50","40","[c]","[c]"
"In post","2021","London","Undeclared","Operational Delivery","2660","2480","34450","30780"
"In post","2021","London","Undeclared","Operational Research","40","40","[c]","[c]"
"In post","2021","London","Undeclared","Other","390","370","41060","34840"
"In post","2021","London","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Policy","1700","1670","49190","51730"
"In post","2021","London","Undeclared","Project Delivery","330","320","52460","51440"
"In post","2021","London","Undeclared","Property","140","130","44470","38430"
"In post","2021","London","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Science and Engineering","130","120","49410","44730"
"In post","2021","London","Undeclared","Security","130","130","42860","42320"
"In post","2021","London","Undeclared","Social Research","30","30","[c]","[c]"
"In post","2021","London","Undeclared","Statistics","60","60","45230","41760"
"In post","2021","London","Undeclared","Tax","210","190","44330","39800"
"In post","2021","London","Undeclared","Unknown","1280","1210","39340","31880"
"In post","2021","London","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Commercial","200","190","46890","40650"
"In post","2021","London","Unknown","Communications","540","530","45480","41760"
"In post","2021","London","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Counter Fraud","100","100","44970","40350"
"In post","2021","London","Unknown","Digital, Data and Technology","760","760","48560","44950"
"In post","2021","London","Unknown","Economics","380","380","46930","40650"
"In post","2021","London","Unknown","Finance","420","410","45830","40650"
"In post","2021","London","Unknown","Human Resources","260","250","42630","37170"
"In post","2021","London","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Intelligence Analysis","220","210","48170","53360"
"In post","2021","London","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","International Trade","360","360","45260","39590"
"In post","2021","London","Unknown","Knowledge and Information Management","150","140","39640","36590"
"In post","2021","London","Unknown","Legal","1220","1140","54680","56140"
"In post","2021","London","Unknown","Medicine","120","110","83400","76160"
"In post","2021","London","Unknown","Operational Delivery","4520","4300","33380","30150"
"In post","2021","London","Unknown","Operational Research","60","60","45140","40480"
"In post","2021","London","Unknown","Other","910","870","42930","35020"
"In post","2021","London","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Policy","3530","3440","47750","42570"
"In post","2021","London","Unknown","Project Delivery","530","520","47580","41950"
"In post","2021","London","Unknown","Property","240","230","39500","36150"
"In post","2021","London","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Science and Engineering","300","290","48570","44950"
"In post","2021","London","Unknown","Security","180","180","38710","35060"
"In post","2021","London","Unknown","Social Research","60","50","44520","41730"
"In post","2021","London","Unknown","Statistics","140","140","43290","39810"
"In post","2021","London","Unknown","Tax","700","660","39760","36160"
"In post","2021","London","Unknown","Unknown","5530","5260","41030","31880"
"In post","2021","London","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Heterosexual / straight","Commercial","100","90","43210","39640"
"In post","2021","North East (England)","Heterosexual / straight","Communications","90","90","33820","31100"
"In post","2021","North East (England)","Heterosexual / straight","Counter Fraud","30","30","[c]","[c]"
"In post","2021","North East (England)","Heterosexual / straight","Digital, Data and Technology","460","440","39740","38630"
"In post","2021","North East (England)","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Heterosexual / straight","Finance","280","270","38860","36960"
"In post","2021","North East (England)","Heterosexual / straight","Human Resources","100","90","36150","32460"
"In post","2021","North East (England)","Heterosexual / straight","Intelligence Analysis","50","50","[c]","[c]"
"In post","2021","North East (England)","Heterosexual / straight","Internal Audit","40","40","[c]","[c]"
"In post","2021","North East (England)","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Heterosexual / straight","Legal","300","280","41700","40590"
"In post","2021","North East (England)","Heterosexual / straight","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Heterosexual / straight","Operational Delivery","8560","7590","26270","23970"
"In post","2021","North East (England)","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Heterosexual / straight","Other","170","160","27300","21580"
"In post","2021","North East (England)","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Heterosexual / straight","Policy","270","260","39790","36960"
"In post","2021","North East (England)","Heterosexual / straight","Project Delivery","600","580","41070","38630"
"In post","2021","North East (England)","Heterosexual / straight","Property","200","190","35630","32110"
"In post","2021","North East (England)","Heterosexual / straight","Psychology","70","70","37380","38150"
"In post","2021","North East (England)","Heterosexual / straight","Science and Engineering","50","40","[c]","[c]"
"In post","2021","North East (England)","Heterosexual / straight","Security","60","60","32470","30080"
"In post","2021","North East (England)","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
