"Status","Year","Profession_of_post","Age","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Communications","20-29","White","490","480","34300","33120"
"In post","2021","Communications","30-39","Asian","60","60","39860","37340"
"In post","2021","Communications","30-39","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Mixed","40","40","[c]","[c]"
"In post","2021","Communications","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Unknown","210","210","44760","43110"
"In post","2021","Communications","30-39","White","790","750","43040","40050"
"In post","2021","Communications","40-49","Asian","50","50","44640","40230"
"In post","2021","Communications","40-49","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Undeclared","30","30","[c]","[c]"
"In post","2021","Communications","40-49","Unknown","160","150","51180","49170"
"In post","2021","Communications","40-49","White","760","710","45160","41000"
"In post","2021","Communications","50-59","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Black","30","30","[c]","[c]"
"In post","2021","Communications","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Undeclared","40","30","[c]","[c]"
"In post","2021","Communications","50-59","Unknown","80","80","44560","40770"
"In post","2021","Communications","50-59","White","550","530","42100","37390"
"In post","2021","Communications","60-64","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","White","100","100","38480","35000"
"In post","2021","Communications","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","65+","White","30","30","[c]","[c]"
"In post","2021","Corporate Finance","20-29","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","20-29","Black","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","20-29","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","20-29","White","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","30-39","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","30-39","Black","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","30-39","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","30-39","White","30","30","[c]","[c]"
"In post","2021","Corporate Finance","40-49","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","40-49","Black","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","40-49","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","40-49","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","40-49","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","40-49","White","40","40","[c]","[c]"
"In post","2021","Corporate Finance","50-59","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","50-59","Black","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","50-59","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","50-59","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","50-59","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","50-59","White","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","60-64","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","60-64","Black","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","60-64","White","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","65+","White","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","20-29","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","20-29","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","20-29","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","20-29","White","40","40","[c]","[c]"
"In post","2021","Counter Fraud","30-39","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","30-39","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","30-39","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","30-39","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","30-39","Unknown","40","40","[c]","[c]"
"In post","2021","Counter Fraud","30-39","White","120","110","35240","34020"
"In post","2021","Counter Fraud","40-49","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","40-49","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","40-49","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","40-49","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","40-49","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","40-49","Unknown","30","30","[c]","[c]"
"In post","2021","Counter Fraud","40-49","White","150","140","38290","36060"
"In post","2021","Counter Fraud","50-59","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","50-59","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","50-59","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","50-59","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","50-59","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","50-59","Unknown","50","50","45930","39490"
"In post","2021","Counter Fraud","50-59","White","220","210","40210","38090"
"In post","2021","Counter Fraud","60-64","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","60-64","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","60-64","White","60","50","37620","35810"
"In post","2021","Counter Fraud","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","65+","White","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","16-19","White","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","20-29","Asian","160","150","33320","31810"
"In post","2021","Digital, Data and Technology","20-29","Black","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","20-29","Mixed","50","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","20-29","Undeclared","50","50","34510","32910"
"In post","2021","Digital, Data and Technology","20-29","Unknown","570","570","32700","31810"
"In post","2021","Digital, Data and Technology","20-29","White","1050","1050","33310","31810"
"In post","2021","Digital, Data and Technology","30-39","Asian","290","290","42540","39390"
"In post","2021","Digital, Data and Technology","30-39","Black","90","90","39350","36160"
"In post","2021","Digital, Data and Technology","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","30-39","Mixed","60","60","45340","42990"
"In post","2021","Digital, Data and Technology","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","30-39","Undeclared","150","150","42880","41090"
"In post","2021","Digital, Data and Technology","30-39","Unknown","650","640","41340","38420"
"In post","2021","Digital, Data and Technology","30-39","White","2030","1980","40470","38200"
"In post","2021","Digital, Data and Technology","40-49","Asian","270","260","46820","44430"
"In post","2021","Digital, Data and Technology","40-49","Black","120","120","41000","38830"
"In post","2021","Digital, Data and Technology","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","40-49","Mixed","60","60","45590","42190"
"In post","2021","Digital, Data and Technology","40-49","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","40-49","Undeclared","170","170","43130","40580"
"In post","2021","Digital, Data and Technology","40-49","Unknown","550","540","44830","41870"
"In post","2021","Digital, Data and Technology","40-49","White","2510","2450","44930","41320"
"In post","2021","Digital, Data and Technology","50-59","Asian","120","120","44090","40670"
"In post","2021","Digital, Data and Technology","50-59","Black","130","120","42320","39410"
"In post","2021","Digital, Data and Technology","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","50-59","Mixed","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","50-59","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","50-59","Undeclared","270","260","42580","40150"
"In post","2021","Digital, Data and Technology","50-59","Unknown","330","330","45260","40580"
"In post","2021","Digital, Data and Technology","50-59","White","2470","2410","44240","40580"
"In post","2021","Digital, Data and Technology","60-64","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","60-64","Black","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","60-64","Undeclared","40","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","60-64","Unknown","70","60","42050","36640"
"In post","2021","Digital, Data and Technology","60-64","White","550","480","42170","38450"
"In post","2021","Digital, Data and Technology","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","65+","White","140","120","42180","36160"
"In post","2021","Economics","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Economics","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","Economics","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Economics","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Economics","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Economics","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","16-19","White","[c]","[c]","[c]","[c]"
"In post","2021","Economics","20-29","Asian","100","100","36170","32970"
"In post","2021","Economics","20-29","Black","40","40","[c]","[c]"
"In post","2021","Economics","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Economics","20-29","Mixed","60","60","39340","34890"
"In post","2021","Economics","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Economics","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","20-29","Unknown","260","260","35690","33880"
"In post","2021","Economics","20-29","White","670","670","38170","34200"
"In post","2021","Economics","30-39","Asian","40","40","[c]","[c]"
"In post","2021","Economics","30-39","Black","[c]","[c]","[c]","[c]"
"In post","2021","Economics","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Economics","30-39","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Economics","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Economics","30-39","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","30-39","Unknown","100","100","54260","55070"
"In post","2021","Economics","30-39","White","350","330","57900","57970"
"In post","2021","Economics","40-49","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Economics","40-49","Black","[c]","[c]","[c]","[c]"
"In post","2021","Economics","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Economics","40-49","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Economics","40-49","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Economics","40-49","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","40-49","White","150","140","67250","65160"
"In post","2021","Economics","50-59","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Economics","50-59","Black","[c]","[c]","[c]","[c]"
"In post","2021","Economics","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Economics","50-59","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Economics","50-59","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Economics","50-59","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","50-59","White","100","100","66190","66330"
"In post","2021","Economics","60-64","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Economics","60-64","Black","[c]","[c]","[c]","[c]"
"In post","2021","Economics","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Economics","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Economics","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Economics","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","60-64","White","[c]","[c]","[c]","[c]"
"In post","2021","Economics","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Economics","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","Economics","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Economics","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Economics","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Economics","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","65+","White","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Finance","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Finance","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","Finance","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Finance","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Finance","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Finance","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","16-19","White","[c]","[c]","[c]","[c]"
"In post","2021","Finance","20-29","Asian","120","120","32360","30750"
"In post","2021","Finance","20-29","Black","30","30","[c]","[c]"
"In post","2021","Finance","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Finance","20-29","Mixed","30","30","[c]","[c]"
"In post","2021","Finance","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Finance","20-29","Undeclared","30","30","[c]","[c]"
"In post","2021","Finance","20-29","Unknown","280","270","31360","30420"
"In post","2021","Finance","20-29","White","700","690","32720","30100"
"In post","2021","Finance","30-39","Asian","190","190","40650","38030"
"In post","2021","Finance","30-39","Black","70","70","40180","36980"
"In post","2021","Finance","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Finance","30-39","Mixed","40","40","[c]","[c]"
"In post","2021","Finance","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Finance","30-39","Undeclared","70","70","41690","38630"
"In post","2021","Finance","30-39","Unknown","240","230","40120","36820"
"In post","2021","Finance","30-39","White","1270","1210","41740","38630"
"In post","2021","Finance","40-49","Asian","220","220","42330","38630"
"In post","2021","Finance","40-49","Black","110","100","40070","37920"
"In post","2021","Finance","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Finance","40-49","Mixed","40","40","[c]","[c]"
"In post","2021","Finance","40-49","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Finance","40-49","Undeclared","120","120","43930","39980"
"In post","2021","Finance","40-49","Unknown","220","210","42240","40480"
"In post","2021","Finance","40-49","White","1710","1630","44320","40480"
"In post","2021","Finance","50-59","Asian","140","140","41860","37650"
"In post","2021","Finance","50-59","Black","130","130","41750","39870"
"In post","2021","Finance","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Finance","50-59","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Finance","50-59","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Finance","50-59","Undeclared","130","120","39750","36460"
"In post","2021","Finance","50-59","Unknown","170","160","40130","35000"
"In post","2021","Finance","50-59","White","2140","2030","41440","37410"
"In post","2021","Finance","60-64","Asian","50","40","[c]","[c]"
"In post","2021","Finance","60-64","Black","[c]","[c]","[c]","[c]"
"In post","2021","Finance","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Finance","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Finance","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Finance","60-64","Undeclared","30","30","[c]","[c]"
"In post","2021","Finance","60-64","Unknown","40","30","[c]","[c]"
"In post","2021","Finance","60-64","White","450","380","37510","31880"
"In post","2021","Finance","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Finance","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","Finance","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Finance","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Finance","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Finance","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","65+","White","130","110","33690","28130"
"In post","2021","Finance","Unknown","Asian","[c]","[c]","[c]","[c]"
