"Status","Year","Function_of_post","Region_ITL2","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Dorset and Somerset","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Centre for Environment, Fisheries and Aquaculture Science","350","330","34300","30220"
"In post","2021","Analysis","East Anglia","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Wales","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Wales","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Wales","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Wales","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Wales","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Wales","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Wales","United Kingdom Statistics Authority","1020","980","36210","36030"
"In post","2021","Analysis","East Wales","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Wales","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Yorkshire and Northern Lincolnshire","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Essex","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Defence Science and Technology Laboratory","110","110","37730","37320"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Ministry of Defence (excl. agencies)","60","50","40490","37050"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Office for Standards in Education, Children's Services and Skills","90","90","39150","32010"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Department for Education (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","HM Revenue and Customs (excl. agencies)","160","160","38420","32540"
"In post","2021","Analysis","Greater Manchester","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hampshire and Isle of Wight","Defence Science and Technology Laboratory","340","330","41040","38060"
"In post","2021","Analysis","Hampshire and Isle of Wight","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hampshire and Isle of Wight","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hampshire and Isle of Wight","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Analysis","Hampshire and Isle of Wight","United Kingdom Statistics Authority","440","420","37170","36030"
"In post","2021","Analysis","Herefordshire, Worcestershire and Warwickshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Highlands and Islands","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - East","Competition and Markets Authority","130","120","60780","56360"
"In post","2021","Analysis","Inner London - East","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - East","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - East","HM Revenue and Customs (excl. agencies)","130","120","47660","41760"
"In post","2021","Analysis","Inner London - East","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - East","Ministry of Justice (excl. agencies)","320","310","46810","41090"
"In post","2021","Analysis","Inner London - East","Office of Gas and Electricity Markets","60","60","54980","52000"
"In post","2021","Analysis","Inner London - East","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - East","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - West","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - West","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - West","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - West","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - West","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - West","Department for Business, Energy and Industrial Strategy (excl. agencies)","290","290","43330","36220"
"In post","2021","Analysis","Inner London - West","Department for Digital, Culture, Media and Sport","140","140","52490","49720"
"In post","2021","Analysis","Inner London - West","Department for Education (excl. agencies)","180","170","46830","45540"
"In post","2021","Analysis","Inner London - West","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - West","Department for International Trade","230","230","42740","38540"
"In post","2021","Analysis","Inner London - West","Department for Transport (excl. agencies)","380","370","46950","43360"
"In post","2021","Analysis","Inner London - West","Department of Health and Social Care (excl. agencies)","200","190","53940","53360"
"In post","2021","Analysis","Inner London - West","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - West","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - West","Foreign, Commonwealth and Development Office (excl. agencies)","70","60","57940","58370"
"In post","2021","Analysis","Inner London - West","Government Actuary's Department","170","150","69370","65470"
"In post","2021","Analysis","Inner London - West","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - West","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - West","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - West","HM Revenue and Customs (excl. agencies)","200","200","47580","41760"
"In post","2021","Analysis","Inner London - West","HM Treasury (excl. agencies)","120","120","50770","52680"
"In post","2021","Analysis","Inner London - West","Ministry of Defence (excl. agencies)","90","80","43990","40640"
"In post","2021","Analysis","Inner London - West","Ministry of Housing, Communities and Local Government (excl. agencies)","190","190","46840","46510"
"In post","2021","Analysis","Inner London - West","Ministry of Justice (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Analysis","Inner London - West","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - West","Office for Standards in Education, Children's Services and Skills","40","40","[c]","[c]"
"In post","2021","Analysis","Inner London - West","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - West","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - West","United Kingdom Statistics Authority","230","220","40680","32540"
"In post","2021","Analysis","Inner London - West","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Kent","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Kent","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lancashire","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lancashire","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lancashire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire, Rutland and Northamptonshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire, Rutland and Northamptonshire","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire, Rutland and Northamptonshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","HM Revenue and Customs (excl. agencies)","80","70","40000","38630"
"In post","2021","Analysis","Merseyside","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","Department for Environment, Food and Rural Affairs (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Northumberland and Tyne and Wear","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Northumberland and Tyne and Wear","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Northumberland and Tyne and Wear","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Northumberland and Tyne and Wear","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Northumberland and Tyne and Wear","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Northumberland and Tyne and Wear","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Northumberland and Tyne and Wear","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Northumberland and Tyne and Wear","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outer London - South","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outer London - South","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outer London - South","HM Revenue and Customs (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Analysis","Outer London - South","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outer London - South","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Shropshire and Staffordshire","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Shropshire and Staffordshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Shropshire and Staffordshire","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Shropshire and Staffordshire","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Shropshire and Staffordshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South Yorkshire","Department for Education (excl. agencies)","120","110","44020","42420"
"In post","2021","Analysis","South Yorkshire","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South Yorkshire","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South Yorkshire","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Surrey, East and West Sussex","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Surrey, East and West Sussex","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Surrey, East and West Sussex","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Surrey, East and West Sussex","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Surrey, East and West Sussex","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tees Valley and Durham","Department for Education (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Analysis","Tees Valley and Durham","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Central Scotland","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Central Scotland","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Central Scotland","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Central Scotland","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Wales and The Valleys","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Wales and The Valleys","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Wales and The Valleys","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Wales and The Valleys","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Wales and The Valleys","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Yorkshire","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Yorkshire","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Yorkshire","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Yorkshire","Department of Health and Social Care (excl. agencies)","90","80","47560","49530"
"In post","2021","Analysis","West Yorkshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Yorkshire","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Yorkshire","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Yorkshire","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Yorkshire","Ministry of Justice (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","FCDO Services","70","70","43520","40850"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence (excl. agencies)","90","90","35110","35300"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Met Office","180","170","43020","40140"
"In post","2021","Commercial","Devon","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","Cabinet Office (excl. agencies)","70","60","57230","54620"
"In post","2021","Commercial","East Anglia","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","Crown Commercial Service","90","80","34770","34800"
"In post","2021","Commercial","East Anglia","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","HM Prison and Probation Service","50","50","46320","46600"
"In post","2021","Commercial","East Anglia","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","Ministry of Defence (excl. agencies)","110","110","34160","33300"
"In post","2021","Commercial","East Wales","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
