"Status","Year","Responsibility_level","Function_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","G6/G7","Digital, Data & Technology","Undeclared","180","170","58430","57050"
"In post","2021","G6/G7","Digital, Data & Technology","Unknown","620","600","57680","55550"
"In post","2021","G6/G7","Digital, Data & Technology","White","2460","2400","57230","54700"
"In post","2021","G6/G7","Finance","Asian","140","130","59200","59120"
"In post","2021","G6/G7","Finance","Black","60","60","58230","57380"
"In post","2021","G6/G7","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Finance","Mixed","40","40","[c]","[c]"
"In post","2021","G6/G7","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Finance","Undeclared","90","90","59060","57940"
"In post","2021","G6/G7","Finance","Unknown","220","220","57560","54990"
"In post","2021","G6/G7","Finance","White","1500","1460","58720","57540"
"In post","2021","G6/G7","Grants Management","Asian","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Grants Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Grants Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Grants Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Grants Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Grants Management","White","40","40","[c]","[c]"
"In post","2021","G6/G7","Human Resources","Asian","80","80","58370","56730"
"In post","2021","G6/G7","Human Resources","Black","40","40","[c]","[c]"
"In post","2021","G6/G7","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Human Resources","Mixed","50","50","57650","56540"
"In post","2021","G6/G7","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Human Resources","Undeclared","50","50","59100","58680"
"In post","2021","G6/G7","Human Resources","Unknown","150","150","56970","54900"
"In post","2021","G6/G7","Human Resources","White","1510","1460","57860","56110"
"In post","2021","G6/G7","Internal Audit","Asian","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Internal Audit","White","160","150","59040","58120"
"In post","2021","G6/G7","Legal","Asian","470","430","57410","54770"
"In post","2021","G6/G7","Legal","Black","220","220","59330","59900"
"In post","2021","G6/G7","Legal","Chinese","30","30","[c]","[c]"
"In post","2021","G6/G7","Legal","Mixed","180","170","58670","57630"
"In post","2021","G6/G7","Legal","Other ethnicity","90","80","61120","61030"
"In post","2021","G6/G7","Legal","Undeclared","140","140","60340","57760"
"In post","2021","G6/G7","Legal","Unknown","780","730","60570","59160"
"In post","2021","G6/G7","Legal","White","4110","3780","59490","58040"
"In post","2021","G6/G7","No function","Asian","980","960","57510","54700"
"In post","2021","G6/G7","No function","Black","400","390","56870","54020"
"In post","2021","G6/G7","No function","Chinese","90","90","57220","54700"
"In post","2021","G6/G7","No function","Mixed","460","450","58120","54700"
"In post","2021","G6/G7","No function","Other ethnicity","160","150","58990","55490"
"In post","2021","G6/G7","No function","Undeclared","1060","1020","57710","55530"
"In post","2021","G6/G7","No function","Unknown","2610","2540","57640","54700"
"In post","2021","G6/G7","No function","White","15330","14780","58560","55940"
"In post","2021","G6/G7","Project Delivery","Asian","290","290","59030","58460"
"In post","2021","G6/G7","Project Delivery","Black","150","150","57390","58030"
"In post","2021","G6/G7","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Project Delivery","Mixed","140","140","57460","55990"
"In post","2021","G6/G7","Project Delivery","Other ethnicity","50","50","58550","57870"
"In post","2021","G6/G7","Project Delivery","Undeclared","400","390","57050","55260"
"In post","2021","G6/G7","Project Delivery","Unknown","870","860","56650","55060"
"In post","2021","G6/G7","Project Delivery","White","5460","5310","57410","55620"
"In post","2021","G6/G7","Property","Asian","30","30","[c]","[c]"
"In post","2021","G6/G7","Property","Black","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Property","Undeclared","80","80","57930","57130"
"In post","2021","G6/G7","Property","Unknown","140","140","57800","55760"
"In post","2021","G6/G7","Property","White","970","950","57520","55530"
"In post","2021","G6/G7","Security","Asian","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Security","Black","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Security","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Security","Unknown","60","50","59080","54700"
"In post","2021","G6/G7","Security","White","270","260","60750","58470"
"In post","2021","G6/G7","Unknown","Asian","510","500","60880","57680"
"In post","2021","G6/G7","Unknown","Black","200","200","60370","57680"
"In post","2021","G6/G7","Unknown","Chinese","40","40","[c]","[c]"
"In post","2021","G6/G7","Unknown","Mixed","210","200","59720","57680"
"In post","2021","G6/G7","Unknown","Other ethnicity","60","60","61580","57570"
"In post","2021","G6/G7","Unknown","Undeclared","540","520","61260","59730"
"In post","2021","G6/G7","Unknown","Unknown","1140","1100","61190","59480"
"In post","2021","G6/G7","Unknown","White","9330","8970","60780","60740"
"In post","2021","SCS","Analysis","Asian","[c]","[c]","[c]","[c]"
