"Status","Year","Profession_of_post","Sex","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Internal Audit","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Male","Declared disabled","40","40","[c]","[c]"
"In post","2022","Internal Audit","Male","Declared non-disabled","280","270","47750","45390"
"In post","2022","Internal Audit","Male","Undeclared","30","30","[c]","[c]"
"In post","2022","Internal Audit","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Female","Declared disabled","70","70","45290","39810"
"In post","2022","International Trade","Female","Declared non-disabled","370","360","47970","48220"
"In post","2022","International Trade","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Female","Unknown","300","290","45080","39440"
"In post","2022","International Trade","Male","Declared disabled","60","60","49820","51710"
"In post","2022","International Trade","Male","Declared non-disabled","510","500","48110","47070"
"In post","2022","International Trade","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Male","Unknown","290","290","47010","41280"
"In post","2022","Knowledge and Information Management","Female","Declared disabled","170","160","33750","31990"
"In post","2022","Knowledge and Information Management","Female","Declared non-disabled","930","870","34360","31880"
"In post","2022","Knowledge and Information Management","Female","Undeclared","80","70","33240","31090"
"In post","2022","Knowledge and Information Management","Female","Unknown","130","130","36180","33000"
"In post","2022","Knowledge and Information Management","Male","Declared disabled","130","130","36730","33220"
"In post","2022","Knowledge and Information Management","Male","Declared non-disabled","730","720","36720","33570"
"In post","2022","Knowledge and Information Management","Male","Undeclared","80","80","38650","32750"
"In post","2022","Knowledge and Information Management","Male","Unknown","130","120","37340","33300"
"In post","2022","Knowledge and Information Management","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Female","Declared disabled","640","570","49090","50500"
"In post","2022","Legal","Female","Declared non-disabled","5130","4670","50350","51250"
"In post","2022","Legal","Female","Undeclared","250","230","48620","47760"
"In post","2022","Legal","Female","Unknown","1440","1340","45800","48080"
"In post","2022","Legal","Male","Declared disabled","410","390","49450","50510"
"In post","2022","Legal","Male","Declared non-disabled","3430","3330","49820","50500"
"In post","2022","Legal","Male","Undeclared","300","290","45400","40180"
"In post","2022","Legal","Male","Unknown","1080","1060","43640","39540"
"In post","2022","Medicine","Female","Declared disabled","80","70","51840","40880"
"In post","2022","Medicine","Female","Declared non-disabled","1120","980","49810","39630"
"In post","2022","Medicine","Female","Undeclared","60","50","51870","40060"
"In post","2022","Medicine","Female","Unknown","510","440","55500","44200"
