"Status","Year","Profession_of_post","Age","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Digital, Data and Technology","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","30-39","Female","1190","1140","40720","38450"
"In post","2021","Digital, Data and Technology","30-39","Male","2120","2110","41190","38450"
"In post","2021","Digital, Data and Technology","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","40-49","Female","1270","1200","43380","39560"
"In post","2021","Digital, Data and Technology","40-49","Male","2440","2440","45590","42420"
"In post","2021","Digital, Data and Technology","50-59","Female","1200","1140","42370","38630"
"In post","2021","Digital, Data and Technology","50-59","Male","2200","2170","45050","41340"
"In post","2021","Digital, Data and Technology","60-64","Female","230","190","38420","34170"
"In post","2021","Digital, Data and Technology","60-64","Male","470","430","44070","40420"
"In post","2021","Digital, Data and Technology","65+","Female","50","50","35520","31670"
"In post","2021","Digital, Data and Technology","65+","Male","150","120","43050","38830"
"In post","2021","Economics","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Economics","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Economics","20-29","Female","420","420","37570","33880"
"In post","2021","Economics","20-29","Male","760","760","37240","34090"
"In post","2021","Economics","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","30-39","Female","220","200","55930","57580"
"In post","2021","Economics","30-39","Male","330","330","57100","57130"
"In post","2021","Economics","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","40-49","Female","90","80","64320","60150"
"In post","2021","Economics","40-49","Male","150","140","64650","63470"
"In post","2021","Economics","50-59","Female","40","40","[c]","[c]"
"In post","2021","Economics","50-59","Male","90","90","66000","64630"
"In post","2021","Economics","60-64","Female","[c]","[c]","[c]","[c]"
"In post","2021","Economics","60-64","Male","[c]","[c]","[c]","[c]"
"In post","2021","Economics","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","Economics","65+","Male","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","20-29","Female","610","600","32150","30080"
"In post","2021","Finance","20-29","Male","600","590","33030","30750"
"In post","2021","Finance","30-39","Female","1070","990","39900","36820"
"In post","2021","Finance","30-39","Male","840","840","43330","39780"
"In post","2021","Finance","40-49","Female","1370","1270","41390","37740"
"In post","2021","Finance","40-49","Male","1080","1070","46550","42580"
"In post","2021","Finance","50-59","Female","1640","1520","37720","33530"
"In post","2021","Finance","50-59","Male","1140","1120","46530","41980"
"In post","2021","Finance","60-64","Female","350","280","33480","28130"
"In post","2021","Finance","60-64","Male","260","230","43520","41930"
"In post","2021","Finance","65+","Female","90","80","28970","26780"
"In post","2021","Finance","65+","Male","90","80","39110","37460"
"In post","2021","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","20-29","Female","780","770","31060","28970"
"In post","2021","Human Resources","20-29","Male","300","290","31380","28840"
"In post","2021","Human Resources","30-39","Female","1240","1150","37230","33220"
"In post","2021","Human Resources","30-39","Male","500","500","37900","35000"
"In post","2021","Human Resources","40-49","Female","1520","1410","41360","37610"
"In post","2021","Human Resources","40-49","Male","570","560","42510","38630"
"In post","2021","Human Resources","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","50-59","Female","1630","1540","40120","35950"
"In post","2021","Human Resources","50-59","Male","740","730","42230","38390"
"In post","2021","Human Resources","60-64","Female","300","250","36010","32630"
"In post","2021","Human Resources","60-64","Male","160","140","40410","35000"
"In post","2021","Human Resources","65+","Female","70","50","33420","28240"
"In post","2021","Human Resources","65+","Male","50","40","[c]","[c]"
"In post","2021","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","30-39","Female","50","50","56760","51360"
"In post","2021","Inspector of Education and Training","30-39","Male","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","40-49","Female","190","180","62490","64500"
"In post","2021","Inspector of Education and Training","40-49","Male","80","80","73370","75500"
"In post","2021","Inspector of Education and Training","50-59","Female","290","280","64840","64500"
"In post","2021","Inspector of Education and Training","50-59","Male","100","100","73990","75500"
"In post","2021","Inspector of Education and Training","60-64","Female","60","60","64720","51360"
"In post","2021","Inspector of Education and Training","60-64","Male","30","30","[c]","[c]"
"In post","2021","Inspector of Education and Training","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","65+","Male","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","20-29","Female","270","260","33470","30220"
"In post","2021","Intelligence Analysis","20-29","Male","280","280","33860","31060"
"In post","2021","Intelligence Analysis","30-39","Female","440","410","33900","30340"
"In post","2021","Intelligence Analysis","30-39","Male","470","470","36840","33300"
"In post","2021","Intelligence Analysis","40-49","Female","410","380","34850","30150"
"In post","2021","Intelligence Analysis","40-49","Male","440","430","37370","33300"
"In post","2021","Intelligence Analysis","50-59","Female","380","350","33010","29450"
"In post","2021","Intelligence Analysis","50-59","Male","490","480","36440","32850"
"In post","2021","Intelligence Analysis","60-64","Female","60","50","30970","29760"
"In post","2021","Intelligence Analysis","60-64","Male","130","110","36000","32670"
"In post","2021","Intelligence Analysis","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","65+","Male","40","30","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","20-29","Female","30","30","[c]","[c]"
"In post","2021","Internal Audit","20-29","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","30-39","Female","80","80","40620","39200"
"In post","2021","Internal Audit","30-39","Male","60","60","44680","40580"
"In post","2021","Internal Audit","40-49","Female","100","90","45590","42840"
"In post","2021","Internal Audit","40-49","Male","90","80","49290","48780"
"In post","2021","Internal Audit","50-59","Female","160","150","46740","43120"
"In post","2021","Internal Audit","50-59","Male","160","160","50430","47240"
"In post","2021","Internal Audit","60-64","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","60-64","Male","40","30","[c]","[c]"
"In post","2021","Internal Audit","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","65+","Male","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","20-29","Female","230","220","37840","35430"
"In post","2021","International Trade","20-29","Male","240","230","37570","34240"
"In post","2021","International Trade","30-39","Female","190","190","49680","51970"
"In post","2021","International Trade","30-39","Male","250","250","49430","51970"
"In post","2021","International Trade","40-49","Female","120","110","50160","51970"
"In post","2021","International Trade","40-49","Male","140","140","53400","52400"
"In post","2021","International Trade","50-59","Female","100","100","50450","46010"
"In post","2021","International Trade","50-59","Male","160","160","51900","48220"
"In post","2021","International Trade","60-64","Female","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","60-64","Male","30","30","[c]","[c]"
"In post","2021","International Trade","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","65+","Male","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","20-29","Female","150","150","28230","26920"
"In post","2021","Knowledge and Information Management","20-29","Male","140","140","28200","28000"
"In post","2021","Knowledge and Information Management","30-39","Female","250","230","35520","33300"
"In post","2021","Knowledge and Information Management","30-39","Male","230","230","37840","36360"
"In post","2021","Knowledge and Information Management","40-49","Female","330","310","39140","37340"
"In post","2021","Knowledge and Information Management","40-49","Male","270","270","41360","37840"
"In post","2021","Knowledge and Information Management","50-59","Female","420","390","36300","33300"
"In post","2021","Knowledge and Information Management","50-59","Male","350","340","40390","37410"
"In post","2021","Knowledge and Information Management","60-64","Female","110","90","32820","27570"
"In post","2021","Knowledge and Information Management","60-64","Male","80","80","38240","35790"
"In post","2021","Knowledge and Information Management","65+","Female","40","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","65+","Male","30","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","20-29","Female","730","730","34170","30850"
"In post","2021","Legal","20-29","Male","500","500","32690","29570"
"In post","2021","Legal","30-39","Female","1830","1720","47440","51120"
"In post","2021","Legal","30-39","Male","1160","1150","44190","46080"
"In post","2021","Legal","40-49","Female","2170","1920","51910","52490"
"In post","2021","Legal","40-49","Male","1320","1310","49070","50500"
"In post","2021","Legal","50-59","Female","1900","1720","51400","52490"
"In post","2021","Legal","50-59","Male","1610","1580","51020","51120"
"In post","2021","Legal","60-64","Female","330","270","51410","54080"
"In post","2021","Legal","60-64","Male","370","300","50840","52290"
"In post","2021","Legal","65+","Female","70","50","48110","51950"
"In post","2021","Legal","65+","Male","150","110","52890","55610"
"In post","2021","Medicine","20-29","Female","120","110","29110","27420"
"In post","2021","Medicine","20-29","Male","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","30-39","Female","430","380","41000","37410"
"In post","2021","Medicine","30-39","Male","140","130","50300","40890"
"In post","2021","Medicine","40-49","Female","520","450","53590","44500"
"In post","2021","Medicine","40-49","Male","210","200","63890","60830"
"In post","2021","Medicine","50-59","Female","500","450","61950","45750"
"In post","2021","Medicine","50-59","Male","250","230","72160","73760"
"In post","2021","Medicine","60-64","Female","140","120","59760","37890"
"In post","2021","Medicine","60-64","Male","90","80","81130","80570"
"In post","2021","Medicine","65+","Female","40","30","[c]","[c]"
"In post","2021","Medicine","65+","Male","50","40","[c]","[c]"
"In post","2021","Operational Delivery","16-19","Female","260","240","21200","21050"
"In post","2021","Operational Delivery","16-19","Male","160","150","21210","20960"
"In post","2021","Operational Delivery","20-29","Female","15800","15340","25150","23970"
"In post","2021","Operational Delivery","20-29","Male","11810","11670","25370","24880"
"In post","2021","Operational Delivery","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","30-39","Female","20410","18230","27740","25560"
"In post","2021","Operational Delivery","30-39","Male","17170","16960","28580","26300"
"In post","2021","Operational Delivery","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","40-49","Female","22240","19680","29450","25990"
"In post","2021","Operational Delivery","40-49","Male","17360","17060","31230","28410"
"In post","2021","Operational Delivery","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","50-59","Female","27800","24850","28410","25560"
"In post","2021","Operational Delivery","50-59","Male","23650","22660","32470","30830"
"In post","2021","Operational Delivery","60-64","Female","8040","6260","25730","22430"
"In post","2021","Operational Delivery","60-64","Male","6640","5420","30050","27380"
"In post","2021","Operational Delivery","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","65+","Female","2350","1690","24960","22350"
"In post","2021","Operational Delivery","65+","Male","2410","1800","28090","25800"
"In post","2021","Operational Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","20-29","Female","140","140","33880","32660"
"In post","2021","Operational Research","20-29","Male","200","200","34610","33930"
"In post","2021","Operational Research","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","30-39","Female","130","120","45900","46080"
"In post","2021","Operational Research","30-39","Male","220","220","45400","46080"
"In post","2021","Operational Research","40-49","Female","100","80","48580","46650"
"In post","2021","Operational Research","40-49","Male","140","130","50790","47880"
"In post","2021","Operational Research","50-59","Female","50","50","49850","46130"
"In post","2021","Operational Research","50-59","Male","140","140","50720","47310"
"In post","2021","Operational Research","60-64","Female","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","60-64","Male","40","30","[c]","[c]"
"In post","2021","Operational Research","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","65+","Male","[c]","[c]","[c]","[c]"
"In post","2021","Other","16-19","Female","30","30","[c]","[c]"
"In post","2021","Other","16-19","Male","60","60","18980","17060"
"In post","2021","Other","20-29","Female","1340","1320","27790","26250"
"In post","2021","Other","20-29","Male","1280","1270","28200","26950"
"In post","2021","Other","30-39","Female","2020","1870","32270","27850"
"In post","2021","Other","30-39","Male","1780","1770","35170","31850"
"In post","2021","Other","40-49","Female","2450","2290","32750","26670"
"In post","2021","Other","40-49","Male","2300","2280","37430","32670"
"In post","2021","Other","50-59","Female","3530","3360","29110","23130"
"In post","2021","Other","50-59","Male","4290","4220","33810","29670"
"In post","2021","Other","60-64","Female","1080","970","27160","22080"
"In post","2021","Other","60-64","Male","1610","1520","31320","26930"
"In post","2021","Other","65+","Female","320","270","25000","21580"
"In post","2021","Other","65+","Male","590","530","29840","26670"
"In post","2021","Other","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning","20-29","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning","20-29","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning","30-39","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning","30-39","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning","40-49","Female","30","30","[c]","[c]"
"In post","2021","Planning","40-49","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning","50-59","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning","50-59","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning","60-64","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning","60-64","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning","65+","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","30-39","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","30-39","Male","40","30","[c]","[c]"
"In post","2021","Planning Inspectors","40-49","Female","40","40","[c]","[c]"
"In post","2021","Planning Inspectors","40-49","Male","60","50","53230","47660"
"In post","2021","Planning Inspectors","50-59","Female","50","50","59190","58810"
"In post","2021","Planning Inspectors","50-59","Male","70","60","59240","58810"
"In post","2021","Planning Inspectors","60-64","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","60-64","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","65+","Male","40","20","[c]","[c]"
"In post","2021","Policy","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Policy","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Policy","20-29","Female","4260","4240","37980","34710"
"In post","2021","Policy","20-29","Male","3290","3290","38940","35070"
"In post","2021","Policy","30-39","Female","4450","4260","48520","51500"
"In post","2021","Policy","30-39","Male","3760","3730","49560","52500"
"In post","2021","Policy","40-49","Female","3550","3290","51690","52070"
"In post","2021","Policy","40-49","Male","3000","2980","54870","54400"
"In post","2021","Policy","50-59","Female","2840","2730","47540","42200"
"In post","2021","Policy","50-59","Male","2680","2660","53680","53130"
"In post","2021","Policy","60-64","Female","470","430","43250","37660"
"In post","2021","Policy","60-64","Male","470","430","53550","48080"
"In post","2021","Policy","65+","Female","120","100","39110","34320"
"In post","2021","Policy","65+","Male","130","110","52560","50780"
"In post","2021","Policy","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","20-29","Female","1110","1100","32900","31810"
"In post","2021","Project Delivery","20-29","Male","950","940","32740","31810"
"In post","2021","Project Delivery","30-39","Female","1980","1880","39960","37640"
"In post","2021","Project Delivery","30-39","Male","1720","1720","42320","39860"
"In post","2021","Project Delivery","40-49","Female","2170","2060","43400","39960"
"In post","2021","Project Delivery","40-49","Male","2030","2020","46790","42000"
"In post","2021","Project Delivery","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","50-59","Female","2340","2260","42740","38630"
"In post","2021","Project Delivery","50-59","Male","2480","2450","48020","42540"
"In post","2021","Project Delivery","60-64","Female","370","330","37490","35000"
"In post","2021","Project Delivery","60-64","Male","610","550","45690","41070"
"In post","2021","Project Delivery","65+","Female","80","70","37340","34350"
"In post","2021","Project Delivery","65+","Male","170","140","42630","39800"
"In post","2021","Project Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Property","20-29","Female","290","280","28470","26660"
"In post","2021","Property","20-29","Male","330","330","28790","28080"
"In post","2021","Property","30-39","Female","460","430","35480","33300"
"In post","2021","Property","30-39","Male","560","550","36360","33300"
"In post","2021","Property","40-49","Female","720","660","36660","33300"
"In post","2021","Property","40-49","Male","820","810","38750","34270"
"In post","2021","Property","50-59","Female","1000","950","35250","33000"
"In post","2021","Property","50-59","Male","1620","1600","40070","36520"
"In post","2021","Property","60-64","Female","230","190","32070","29720"
"In post","2021","Property","60-64","Male","590","540","37950","34620"
"In post","2021","Property","65+","Female","70","50","26660","26350"
"In post","2021","Property","65+","Male","250","220","33460","33300"
"In post","2021","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","20-29","Female","340","330","27480","27380"
"In post","2021","Psychology","20-29","Male","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","30-39","Female","520","500","35200","31180"
"In post","2021","Psychology","30-39","Male","60","60","34670","31180"
"In post","2021","Psychology","40-49","Female","260","240","44970","46370"
"In post","2021","Psychology","40-49","Male","50","40","[c]","[c]"
"In post","2021","Psychology","50-59","Female","110","100","39200","31180"
"In post","2021","Psychology","50-59","Male","30","30","[c]","[c]"
"In post","2021","Psychology","60-64","Female","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","60-64","Male","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","65+","Male","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","16-19","Male","100","100","17560","16990"
"In post","2021","Science and Engineering","20-29","Female","980","970","29260","28590"
"In post","2021","Science and Engineering","20-29","Male","1770","1760","28720","28650"
"In post","2021","Science and Engineering","30-39","Female","1220","1130","37120","37240"
"In post","2021","Science and Engineering","30-39","Male","1750","1730","39100","38560"
"In post","2021","Science and Engineering","40-49","Female","1200","1070","43200","40650"
"In post","2021","Science and Engineering","40-49","Male","1890","1870","43500","42000"
"In post","2021","Science and Engineering","50-59","Female","850","780","43510","40760"
"In post","2021","Science and Engineering","50-59","Male","2800","2760","42540","41480"
"In post","2021","Science and Engineering","60-64","Female","160","140","40690","37380"
"In post","2021","Science and Engineering","60-64","Male","910","840","40380","38580"
"In post","2021","Science and Engineering","65+","Female","60","50","40290","34190"
"In post","2021","Science and Engineering","65+","Male","390","310","39390","36330"
"In post","2021","Security","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Security","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Security","20-29","Female","300","300","27610","25680"
"In post","2021","Security","20-29","Male","760","760","26510","25680"
"In post","2021","Security","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","30-39","Female","400","390","33760","32690"
"In post","2021","Security","30-39","Male","1130","1130","32270","30700"
"In post","2021","Security","40-49","Female","390","370","34800","33300"
"In post","2021","Security","40-49","Male","1300","1300","33190","34220"
"In post","2021","Security","50-59","Female","540","520","32600","28840"
"In post","2021","Security","50-59","Male","2470","2450","32840","33000"
"In post","2021","Security","60-64","Female","80","70","28020","22650"
"In post","2021","Security","60-64","Male","690","630","27830","20920"
"In post","2021","Security","65+","Female","30","30","[c]","[c]"
"In post","2021","Security","65+","Male","200","180","26020","21130"
"In post","2021","Social Research","20-29","Female","290","290","35600","33930"
"In post","2021","Social Research","20-29","Male","120","120","36170","34770"
"In post","2021","Social Research","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","30-39","Female","230","210","43860","42590"
"In post","2021","Social Research","30-39","Male","120","120","43060","40320"
"In post","2021","Social Research","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","40-49","Female","180","160","49270","47000"
"In post","2021","Social Research","40-49","Male","60","60","46310","44930"
"In post","2021","Social Research","50-59","Female","90","80","48840","47000"
"In post","2021","Social Research","50-59","Male","40","40","[c]","[c]"
"In post","2021","Social Research","60-64","Female","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","60-64","Male","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","65+","Male","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","20-29","Female","330","330","35240","33680"
"In post","2021","Statistics","20-29","Male","310","310","34840","33210"
"In post","2021","Statistics","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","30-39","Female","290","270","44790","42950"
"In post","2021","Statistics","30-39","Male","310","300","44120","41500"
"In post","2021","Statistics","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","40-49","Female","200","180","51020","50090"
"In post","2021","Statistics","40-49","Male","220","220","49500","49440"
"In post","2021","Statistics","50-59","Female","110","100","47930","47270"
"In post","2021","Statistics","50-59","Male","180","180","49380","46000"
"In post","2021","Statistics","60-64","Female","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","60-64","Male","40","30","[c]","[c]"
"In post","2021","Statistics","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","65+","Male","[c]","[c]","[c]","[c]"
"In post","2021","Tax","16-19","Female","80","80","20270","20140"
"In post","2021","Tax","16-19","Male","70","70","20460","20140"
"In post","2021","Tax","20-29","Female","1780","1730","26460","25560"
"In post","2021","Tax","20-29","Male","1960","1930","27440","25560"
"In post","2021","Tax","30-39","Female","1860","1740","31480","31810"
"In post","2021","Tax","30-39","Male","2510","2490","33760","31810"
"In post","2021","Tax","40-49","Female","1640","1510","33680","31810"
"In post","2021","Tax","40-49","Male","1740","1720","35610","31810"
"In post","2021","Tax","50-59","Female","2360","2200","35530","31870"
