"Status","Year","Profession_of_post","Ethnicity","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Other ethnicity","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","South West (England)","90","80","41440","39880"
"In post","2021","Commercial","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","London","160","160","48330","40970"
"In post","2021","Commercial","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","North West (England)","60","60","32680","31710"
"In post","2021","Commercial","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Scotland","80","70","30940","26120"
"In post","2021","Commercial","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","South West (England)","120","120","37820","36170"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Yorkshire and The Humber","70","70","38460","35650"
"In post","2021","Commercial","White","East Midlands (England)","110","110","45010","43130"
"In post","2021","Commercial","White","East of England","210","200","39240","35900"
"In post","2021","Commercial","White","London","450","440","51040","47700"
"In post","2021","Commercial","White","North East (England)","100","100","43250","40780"
"In post","2021","Commercial","White","North West (England)","390","380","39440","36500"
"In post","2021","Commercial","White","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Overseas","30","30","[c]","[c]"
"In post","2021","Commercial","White","Scotland","180","180","37630","34800"
"In post","2021","Commercial","White","South East (England)","380","360","38980","36800"
"In post","2021","Commercial","White","South West (England)","1420","1360","39810","37400"
"In post","2021","Commercial","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Wales","290","270","34790","31160"
"In post","2021","Commercial","White","West Midlands (England)","160","160","39900","38000"
"In post","2021","Commercial","White","Yorkshire and The Humber","270","260","40830","37240"
"In post","2021","Communications","Asian","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","London","130","130","41150","36800"
"In post","2021","Communications","Asian","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","London","100","100","39250","37150"
"In post","2021","Communications","Black","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","London","70","70","44290","41530"
"In post","2021","Communications","Mixed","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","London","50","50","[c]","[c]"
"In post","2021","Communications","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","London","480","470","44580","41760"
"In post","2021","Communications","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","South East (England)","40","40","[c]","[c]"
"In post","2021","Communications","Unknown","South West (England)","30","30","[c]","[c]"
"In post","2021","Communications","Unknown","Wales","30","30","[c]","[c]"
"In post","2021","Communications","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","White","East Midlands (England)","80","80","37230","36530"
"In post","2021","Communications","White","East of England","70","70","34180","31450"
"In post","2021","Communications","White","London","1240","1200","48120","43880"
"In post","2021","Communications","White","North East (England)","100","90","33720","31810"
"In post","2021","Communications","White","North West (England)","160","160","36350","33710"
"In post","2021","Communications","White","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","White","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","White","Scotland","50","50","37380","36110"
"In post","2021","Communications","White","South East (England)","230","220","33570","33000"
"In post","2021","Communications","White","South West (England)","260","240","35030","33300"
"In post","2021","Communications","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","White","Wales","300","280","36550","33320"
"In post","2021","Communications","White","West Midlands (England)","110","110","40220","36960"
"In post","2021","Communications","White","Yorkshire and The Humber","90","90","40340","37360"
"In post","2021","Corporate Finance","Asian","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Asian","London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Asian","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Asian","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Asian","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Asian","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Asian","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Asian","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Black","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Black","London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Black","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Black","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Black","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Black","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Black","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Black","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Chinese","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Chinese","London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Chinese","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Chinese","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Chinese","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Chinese","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Chinese","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Chinese","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Mixed","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Mixed","London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Mixed","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Mixed","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Mixed","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Mixed","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Mixed","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Mixed","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Other ethnicity","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Other ethnicity","London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Other ethnicity","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Other ethnicity","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Other ethnicity","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Other ethnicity","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Other ethnicity","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Other ethnicity","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","White","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","White","London","40","30","[c]","[c]"
"In post","2021","Corporate Finance","White","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","White","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","White","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","White","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","White","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","White","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Asian","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Asian","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Asian","London","30","30","[c]","[c]"
"In post","2021","Counter Fraud","Asian","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Asian","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Asian","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Asian","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Asian","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Asian","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Asian","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Asian","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","London","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","London","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","London","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","London","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","London","90","90","45470","40270"
"In post","2021","Counter Fraud","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Scotland","[c]","[c]","[c]","[c]"
