"Status","Year","Sex","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Human Resources","SCS","130","120","89020","82020"
"In post","2021","Female","Human Resources","SEO/HEO","2350","2210","36610","35990"
"In post","2021","Female","Human Resources","Unknown","30","30","[c]","[c]"
"In post","2021","Female","Inspector of Education and Training","G6/G7","300","300","74720","75500"
"In post","2021","Female","Inspector of Education and Training","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Inspector of Education and Training","SEO/HEO","300","290","51010","51360"
"In post","2021","Female","Intelligence Analysis","AA/AO","80","70","23380","22600"
"In post","2021","Female","Intelligence Analysis","EO","790","720","27450","27370"
"In post","2021","Female","Intelligence Analysis","G6/G7","180","170","58180","56740"
"In post","2021","Female","Intelligence Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","SEO/HEO","510","490","36310","36040"
"In post","2021","Female","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","EO","30","30","[c]","[c]"
"In post","2021","Female","Internal Audit","G6/G7","80","80","58830","56150"
"In post","2021","Female","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","SEO/HEO","260","240","40010","39980"
"In post","2021","Female","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","International Trade","EO","50","50","[c]","[c]"
"In post","2021","Female","International Trade","G6/G7","260","250","54720","51970"
"In post","2021","Female","International Trade","SCS","50","50","79670","74540"
"In post","2021","Female","International Trade","SEO/HEO","290","290","35220","34760"
"In post","2021","Female","Knowledge and Information Management","AA/AO","200","190","22130","21580"
"In post","2021","Female","Knowledge and Information Management","EO","320","290","26840","26670"
"In post","2021","Female","Knowledge and Information Management","G6/G7","220","200","56700","54540"
"In post","2021","Female","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","SEO/HEO","530","490","36340","36330"
"In post","2021","Female","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","AA/AO","170","150","21340","21440"
"In post","2021","Female","Legal","EO","980","920","27400","26060"
"In post","2021","Female","Legal","G6/G7","3660","3290","58870","57330"
"In post","2021","Female","Legal","SCS","210","200","86910","82500"
"In post","2021","Female","Legal","SEO/HEO","2010","1840","38830","38000"
"In post","2021","Female","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Medicine","AA/AO","320","300","22170","22640"
"In post","2021","Female","Medicine","EO","240","210","30900","30620"
"In post","2021","Female","Medicine","G6/G7","390","330","72620","74070"
"In post","2021","Female","Medicine","SCS","260","220","105080","98890"
"In post","2021","Female","Medicine","SEO/HEO","540","480","38460","37890"
"In post","2021","Female","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Delivery","AA/AO","44890","38440","22040","21430"
"In post","2021","Female","Operational Delivery","EO","23190","20940","27120","26570"
"In post","2021","Female","Operational Delivery","G6/G7","3310","3190","57250","54440"
"In post","2021","Female","Operational Delivery","SCS","290","280","91300","82500"
"In post","2021","Female","Operational Delivery","SEO/HEO","15790","14830","35770","34510"
"In post","2021","Female","Operational Delivery","Unknown","9420","8610","29650","28200"
"In post","2021","Female","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","G6/G7","170","150","54780","54540"
"In post","2021","Female","Operational Research","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","SEO/HEO","220","210","36130","37020"
"In post","2021","Female","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","AA/AO","4620","4300","21330","21130"
"In post","2021","Female","Other","EO","2340","2200","26230","26670"
"In post","2021","Female","Other","G6/G7","850","810","59930","57680"
"In post","2021","Female","Other","SCS","130","120","89200","83510"
"In post","2021","Female","Other","SEO/HEO","2610","2480","35860","35190"
"In post","2021","Female","Other","Unknown","210","210","34760","33570"
"In post","2021","Female","Planning","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning","SEO/HEO","50","40","38800","39800"
"In post","2021","Female","Planning Inspectors","G6/G7","130","110","57420","58810"
"In post","2021","Female","Planning Inspectors","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","AA/AO","520","490","23310","23350"
"In post","2021","Female","Policy","EO","1630","1570","28320","28410"
"In post","2021","Female","Policy","G6/G7","5740","5490","58070","56620"
"In post","2021","Female","Policy","SCS","880","830","83510","76700"
"In post","2021","Female","Policy","SEO/HEO","6930","6680","36990","36660"
"In post","2021","Female","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","AA/AO","230","210","21650","21130"
"In post","2021","Female","Project Delivery","EO","1200","1130","26530","26670"
"In post","2021","Female","Project Delivery","G6/G7","1960","1890","56310","54540"
"In post","2021","Female","Project Delivery","SCS","190","180","88080","84130"
"In post","2021","Female","Project Delivery","SEO/HEO","4320","4120","36370","36070"
"In post","2021","Female","Project Delivery","Unknown","170","160","38410","36480"
"In post","2021","Female","Property","AA/AO","440","400","20210","20920"
"In post","2021","Female","Property","EO","740","660","27040","26500"
"In post","2021","Female","Property","G6/G7","370","360","56840","54990"
"In post","2021","Female","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","SEO/HEO","1190","1120","36470","35000"
"In post","2021","Female","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Psychology","AA/AO","70","60","21300","21300"
"In post","2021","Female","Psychology","EO","360","350","26920","26330"
"In post","2021","Female","Psychology","G6/G7","90","90","63910","65520"
"In post","2021","Female","Psychology","SEO/HEO","720","690","37380","32350"
"In post","2021","Female","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Science and Engineering","AA/AO","510","470","22130","21570"
"In post","2021","Female","Science and Engineering","EO","610","570","26150","26560"
"In post","2021","Female","Science and Engineering","G6/G7","1010","930","55940","53830"
"In post","2021","Female","Science and Engineering","SCS","40","30","[c]","[c]"
"In post","2021","Female","Science and Engineering","SEO/HEO","2240","2060","36320","37080"
"In post","2021","Female","Science and Engineering","Unknown","80","80","38580","33740"
"In post","2021","Female","Security","AA/AO","800","770","24970","21130"
"In post","2021","Female","Security","EO","310","290","29390","27070"
"In post","2021","Female","Security","G6/G7","110","100","59360","56800"
"In post","2021","Female","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","SEO/HEO","470","460","38570","37320"
"In post","2021","Female","Security","Unknown","50","40","[c]","[c]"
"In post","2021","Female","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Social Research","EO","30","30","[c]","[c]"
"In post","2021","Female","Social Research","G6/G7","210","190","56350","57430"
"In post","2021","Female","Social Research","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Social Research","SEO/HEO","550","520","37960","37020"
"In post","2021","Female","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Statistics","EO","110","100","27640","27850"
"In post","2021","Female","Statistics","G6/G7","310","280","56420","56200"
"In post","2021","Female","Statistics","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Statistics","SEO/HEO","490","460","36670","37020"
"In post","2021","Female","Tax","AA/AO","2010","1850","20290","20140"
"In post","2021","Female","Tax","EO","2020","1810","26690","25560"
"In post","2021","Female","Tax","G6/G7","1010","960","56330","52580"
"In post","2021","Female","Tax","SCS","50","40","[c]","[c]"
"In post","2021","Female","Tax","SEO/HEO","3340","3120","34440","31870"
"In post","2021","Female","Unknown","AA/AO","22160","18220","21230","21010"
"In post","2021","Female","Unknown","EO","34670","30560","28050","27570"
"In post","2021","Female","Unknown","G6/G7","4920","4690","59110","56640"
"In post","2021","Female","Unknown","SCS","740","710","87950","79930"
"In post","2021","Female","Unknown","SEO/HEO","12260","11580","35280","34290"
"In post","2021","Female","Unknown","Unknown","110","100","[c]","[c]"
"In post","2021","Female","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Veterinarian","G6/G7","80","70","54390","54150"
"In post","2021","Female","Veterinarian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Veterinarian","SEO/HEO","170","160","40310","37530"
"In post","2021","Male","Commercial","AA/AO","110","100","22760","21590"
"In post","2021","Male","Commercial","EO","290","280","26120","26360"
"In post","2021","Male","Commercial","G6/G7","550","540","59890","58110"
"In post","2021","Male","Commercial","SCS","60","60","89190","80900"
"In post","2021","Male","Commercial","SEO/HEO","1390","1380","38550","38160"
"In post","2021","Male","Commercial","Unknown","110","110","40320","38240"
"In post","2021","Male","Communications","AA/AO","100","100","22340","21580"
"In post","2021","Male","Communications","EO","260","260","27550","27270"
"In post","2021","Male","Communications","G6/G7","380","380","58220","56960"
"In post","2021","Male","Communications","SCS","50","50","91190","84670"
"In post","2021","Male","Communications","SEO/HEO","830","820","38080","37410"
"In post","2021","Male","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Corporate Finance","G6/G7","40","40","[c]","[c]"
"In post","2021","Male","Corporate Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Counter Fraud","EO","70","70","26920","26350"
"In post","2021","Male","Counter Fraud","G6/G7","90","80","61810","58820"
"In post","2021","Male","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Counter Fraud","SEO/HEO","310","310","37770","38090"
"In post","2021","Male","Digital, Data and Technology","AA/AO","250","250","22030","21590"
"In post","2021","Male","Digital, Data and Technology","EO","1410","1390","27660","26750"
"In post","2021","Male","Digital, Data and Technology","G6/G7","2270","2250","59010","57460"
"In post","2021","Male","Digital, Data and Technology","SCS","140","140","93360","87910"
"In post","2021","Male","Digital, Data and Technology","SEO/HEO","4530","4470","38210","38070"
"In post","2021","Male","Digital, Data and Technology","Unknown","50","50","37220","37440"
"In post","2021","Male","Economics","AA/AO","50","50","22680","22500"
"In post","2021","Male","Economics","EO","60","60","27640","27680"
"In post","2021","Male","Economics","G6/G7","590","580","59840","58130"
"In post","2021","Male","Economics","SCS","60","60","88330","81610"
"In post","2021","Male","Economics","SEO/HEO","600","590","35070","34000"
"In post","2021","Male","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","AA/AO","360","330","21440","21130"
"In post","2021","Male","Finance","EO","580","570","26390","26670"
"In post","2021","Male","Finance","G6/G7","1120","1110","59870","58770"
"In post","2021","Male","Finance","SCS","170","170","91720","85100"
"In post","2021","Male","Finance","SEO/HEO","1740","1710","38220","37710"
"In post","2021","Male","Finance","Unknown","60","50","41440","40410"
"In post","2021","Male","Human Resources","AA/AO","320","320","21650","21130"
"In post","2021","Male","Human Resources","EO","390","380","27640","27180"
"In post","2021","Male","Human Resources","G6/G7","500","490","59280","57740"
"In post","2021","Male","Human Resources","SCS","60","60","89200","83690"
"In post","2021","Male","Human Resources","SEO/HEO","1030","1000","37380","36780"
"In post","2021","Male","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Inspector of Education and Training","G6/G7","210","200","76280","75500"
"In post","2021","Male","Inspector of Education and Training","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Inspector of Education and Training","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Male","Intelligence Analysis","AA/AO","50","40","[c]","[c]"
"In post","2021","Male","Intelligence Analysis","EO","780","760","28140","27370"
"In post","2021","Male","Intelligence Analysis","G6/G7","230","230","58900","57740"
"In post","2021","Male","Intelligence Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Intelligence Analysis","SEO/HEO","760","750","37440","36560"
"In post","2021","Male","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Internal Audit","G6/G7","110","110","58980","58470"
"In post","2021","Male","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Internal Audit","SEO/HEO","220","220","41090","40580"
"In post","2021","Male","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","International Trade","EO","50","50","26910","26510"
"In post","2021","Male","International Trade","G6/G7","340","340","56290","54600"
"In post","2021","Male","International Trade","SCS","60","60","90530","76810"
"In post","2021","Male","International Trade","SEO/HEO","370","370","35590","34990"
"In post","2021","Male","Knowledge and Information Management","AA/AO","130","130","22070","21130"
"In post","2021","Male","Knowledge and Information Management","EO","190","190","27140","26670"
"In post","2021","Male","Knowledge and Information Management","G6/G7","190","190","58340","56720"
"In post","2021","Male","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Knowledge and Information Management","SEO/HEO","530","530","37340","37320"
"In post","2021","Male","Knowledge and Information Management","Unknown","40","40","[c]","[c]"
"In post","2021","Male","Legal","AA/AO","130","130","21720","21030"
"In post","2021","Male","Legal","EO","960","950","27400","25560"
"In post","2021","Male","Legal","G6/G7","2270","2190","60310","59160"
"In post","2021","Male","Legal","SCS","180","170","90200","83830"
"In post","2021","Male","Legal","SEO/HEO","1570","1520","37780","36240"
"In post","2021","Male","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Medicine","AA/AO","30","30","[c]","[c]"
"In post","2021","Male","Medicine","EO","90","90","29660","30620"
"In post","2021","Male","Medicine","G6/G7","280","250","76690","78980"
"In post","2021","Male","Medicine","SCS","170","150","109440","106750"
"In post","2021","Male","Medicine","SEO/HEO","190","190","39200","38490"
"In post","2021","Male","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Operational Delivery","AA/AO","36050","34240","24100","22080"
"In post","2021","Male","Operational Delivery","EO","21900","20890","28430","27370"
"In post","2021","Male","Operational Delivery","G6/G7","3230","3170","60320","57740"
"In post","2021","Male","Operational Delivery","SCS","360","360","94350","90530"
"In post","2021","Male","Operational Delivery","SEO/HEO","14880","14370","37970","36720"
"In post","2021","Male","Operational Delivery","Unknown","2780","2680","30840","30210"
"In post","2021","Male","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Operational Research","EO","40","40","[c]","[c]"
"In post","2021","Male","Operational Research","G6/G7","340","330","54110","53550"
"In post","2021","Male","Operational Research","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Operational Research","SEO/HEO","340","340","37200","37320"
"In post","2021","Male","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other","AA/AO","3230","3150","21150","20720"
"In post","2021","Male","Other","EO","2810","2710","26550","26670"
"In post","2021","Male","Other","G6/G7","1100","1080","63040","59970"
"In post","2021","Male","Other","SCS","140","140","98840","90100"
"In post","2021","Male","Other","SEO/HEO","2780","2720","36340","35720"
"In post","2021","Male","Other","Unknown","1850","1850","38680","35380"
"In post","2021","Male","Planning","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Planning","G6/G7","40","30","[c]","[c]"
"In post","2021","Male","Planning","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Planning","SEO/HEO","50","50","38580","38660"
"In post","2021","Male","Planning Inspectors","G6/G7","220","190","57960","58810"
"In post","2021","Male","Planning Inspectors","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Policy","AA/AO","270","270","23730","23830"
"In post","2021","Male","Policy","EO","1050","1040","28270","28500"
"In post","2021","Male","Policy","G6/G7","5630","5570","58890","57460"
"In post","2021","Male","Policy","SCS","960","950","87550","78460"
"In post","2021","Male","Policy","SEO/HEO","5440","5380","37450","36800"
"In post","2021","Male","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Project Delivery","AA/AO","90","90","21970","21440"
"In post","2021","Male","Project Delivery","EO","710","690","26550","26670"
"In post","2021","Male","Project Delivery","G6/G7","2380","2350","57360","55120"
"In post","2021","Male","Project Delivery","SCS","240","240","95060","86700"
"In post","2021","Male","Project Delivery","SEO/HEO","4160","4090","37410","38080"
"In post","2021","Male","Project Delivery","Unknown","380","380","45260","41920"
"In post","2021","Male","Property","AA/AO","580","560","19240","18760"
"In post","2021","Male","Property","EO","770","750","27010","26670"
"In post","2021","Male","Property","G6/G7","790","770","58710","57130"
"In post","2021","Male","Property","SCS","40","40","[c]","[c]"
"In post","2021","Male","Property","SEO/HEO","1980","1920","37610","36460"
"In post","2021","Male","Property","Unknown","30","30","[c]","[c]"
"In post","2021","Male","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Psychology","EO","70","60","26730","26850"
"In post","2021","Male","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Male","Psychology","SEO/HEO","80","80","36990","33710"
"In post","2021","Male","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Science and Engineering","AA/AO","890","870","21490","21930"
"In post","2021","Male","Science and Engineering","EO","1400","1370","25750","26370"
"In post","2021","Male","Science and Engineering","G6/G7","2120","2050","55510","54890"
"In post","2021","Male","Science and Engineering","SCS","90","80","96770","92370"
"In post","2021","Male","Science and Engineering","SEO/HEO","4370","4270","37420","37320"
"In post","2021","Male","Science and Engineering","Unknown","730","720","39420","37190"
"In post","2021","Male","Security","AA/AO","4620","4540","27170","22650"
"In post","2021","Male","Security","EO","790","780","34170","31980"
"In post","2021","Male","Security","G6/G7","240","230","59820","57460"
"In post","2021","Male","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Security","SEO/HEO","880","870","41520","38630"
"In post","2021","Male","Security","Unknown","40","40","[c]","[c]"
"In post","2021","Male","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Social Research","G6/G7","110","110","56350","56190"
"In post","2021","Male","Social Research","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Social Research","SEO/HEO","230","220","36090","36770"
"In post","2021","Male","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Statistics","EO","140","130","27970","28270"
"In post","2021","Male","Statistics","G6/G7","350","350","57680","57850"
"In post","2021","Male","Statistics","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Statistics","SEO/HEO","530","520","36980","36820"
"In post","2021","Male","Tax","AA/AO","1780","1720","20230","20140"
"In post","2021","Male","Tax","EO","2040","1960","26420","25560"
"In post","2021","Male","Tax","G6/G7","1700","1640","57270","52580"
"In post","2021","Male","Tax","SCS","40","40","[c]","[c]"
"In post","2021","Male","Tax","SEO/HEO","3810","3660","34720","31940"
"In post","2021","Male","Unknown","AA/AO","12190","11640","21430","21010"
"In post","2021","Male","Unknown","EO","18560","17890","28110","27570"
"In post","2021","Male","Unknown","G6/G7","4720","4640","60100","58850"
"In post","2021","Male","Unknown","SCS","920","910","94200","83230"
"In post","2021","Male","Unknown","SEO/HEO","9270","9070","36090","35110"
"In post","2021","Male","Unknown","Unknown","150","140","[c]","[c]"
"In post","2021","Male","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Veterinarian","G6/G7","80","70","57380","56760"
"In post","2021","Male","Veterinarian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Veterinarian","SEO/HEO","120","110","40980","37910"
"In post","2021","Unknown","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Policy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Commercial","AA/AO","170","150","22420","21640"
"In post","2022","Female","Commercial","EO","560","520","26440","26350"
"In post","2022","Female","Commercial","G6/G7","590","570","56840","54110"
"In post","2022","Female","Commercial","SCS","50","40","[c]","[c]"
"In post","2022","Female","Commercial","SEO/HEO","1940","1840","36770","36650"
"In post","2022","Female","Commercial","Unknown","100","90","37610","37400"
"In post","2022","Female","Communications","AA/AO","120","110","22280","21790"
"In post","2022","Female","Communications","EO","350","330","27670","27270"
"In post","2022","Female","Communications","G6/G7","660","630","58280","56710"
"In post","2022","Female","Communications","SCS","60","60","87050","81850"
"In post","2022","Female","Communications","SEO/HEO","1290","1240","37800","37710"
"In post","2022","Female","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Female","Corporate Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Female","Corporate Finance","SEO/HEO","40","40","[c]","[c]"
"In post","2022","Female","Counter Fraud","AA/AO","1000","810","22530","21260"
"In post","2022","Female","Counter Fraud","EO","2190","1920","28110","27570"
"In post","2022","Female","Counter Fraud","G6/G7","60","50","58240","54760"
"In post","2022","Female","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Female","Counter Fraud","SEO/HEO","660","620","34940","33720"
"In post","2022","Female","Digital, Data and Technology","AA/AO","280","260","21790","21280"
"In post","2022","Female","Digital, Data and Technology","EO","1200","1120","27490","27130"
"In post","2022","Female","Digital, Data and Technology","G6/G7","1920","1860","57000","55210"
"In post","2022","Female","Digital, Data and Technology","SCS","90","90","88130","81550"
"In post","2022","Female","Digital, Data and Technology","SEO/HEO","3490","3340","37010","36500"
"In post","2022","Female","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Economics","AA/AO","30","30","[c]","[c]"
"In post","2022","Female","Economics","EO","80","80","26990","27270"
"In post","2022","Female","Economics","G6/G7","330","310","59660","57620"
"In post","2022","Female","Economics","SCS","40","30","[c]","[c]"
"In post","2022","Female","Economics","SEO/HEO","300","290","35640","34290"
"In post","2022","Female","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Finance","AA/AO","660","570","21990","21380"
"In post","2022","Female","Finance","EO","1520","1420","26950","26670"
"In post","2022","Female","Finance","G6/G7","1350","1300","58130","56570"
"In post","2022","Female","Finance","SCS","140","140","86470","80650"
"In post","2022","Female","Finance","SEO/HEO","3180","3040","37160","36410"
