"Status","Year","Organisation","Ethnicity","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Advisory, Conciliation and Arbitration Service","Other ethnicity","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Other ethnicity","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","East Midlands (England)","50","50","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","London","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","North East (England)","50","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","North West (England)","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","East of England","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","London","110","100","44680","39390"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","North East (England)","90","80","31590","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","North West (England)","100","90","31120","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","Scotland","80","70","31910","30970"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","South West (England)","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","Wales","70","60","32460","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","West Midlands (England)","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Asian","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Asian","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Asian","London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Asian","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Asian","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Asian","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Asian","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Asian","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Asian","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Asian","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Asian","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Black","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Black","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Black","London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Black","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Black","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Black","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Black","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Black","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Black","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Black","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Black","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Chinese","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Chinese","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Chinese","London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Chinese","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Chinese","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Chinese","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Chinese","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Chinese","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Chinese","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Chinese","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Chinese","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","South East (England)","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","South West (England)","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","South East (England)","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","South West (England)","50","50","28620","25430"
"In post","2021","Animal and Plant Health Agency","Unknown","Wales","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","White","East Midlands (England)","60","60","31860","29180"
"In post","2021","Animal and Plant Health Agency","White","East of England","120","120","31010","29180"
"In post","2021","Animal and Plant Health Agency","White","London","80","70","37250","31800"
"In post","2021","Animal and Plant Health Agency","White","North East (England)","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","White","North West (England)","250","230","27610","24920"
"In post","2021","Animal and Plant Health Agency","White","Scotland","110","110","31240","26520"
"In post","2021","Animal and Plant Health Agency","White","South East (England)","550","520","33500","29010"
"In post","2021","Animal and Plant Health Agency","White","South West (England)","320","300","29180","24920"
"In post","2021","Animal and Plant Health Agency","White","Wales","250","240","28290","25100"
"In post","2021","Animal and Plant Health Agency","White","West Midlands (England)","220","210","29810","26460"
"In post","2021","Animal and Plant Health Agency","White","Yorkshire and The Humber","160","150","29220","25630"
"In post","2021","Attorney General's Office","Asian","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Black","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Chinese","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Mixed","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other ethnicity","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","White","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","London","420","410","47350","41820"
"In post","2021","Cabinet Office (excl. agencies)","Asian","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","London","240","230","42400","35600"
"In post","2021","Cabinet Office (excl. agencies)","Black","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","London","170","160","47490","40600"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","London","60","60","48440","41180"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","London","170","170","52990","54700"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","East of England","50","50","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","London","2470","2450","46940","34550"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","North East (England)","70","70","34530","28000"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","North West (England)","250","250","48650","49700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Scotland","70","70","50160","50260"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","South East (England)","120","120","47130","36240"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","South West (England)","110","110","60780","53320"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Unknown","440","440","34590","32000"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Wales","50","50","35430","29250"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","West Midlands (England)","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Yorkshire and The Humber","350","330","37480","29250"
"In post","2021","Cabinet Office (excl. agencies)","White","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","White","East of England","60","60","40420","33300"
"In post","2021","Cabinet Office (excl. agencies)","White","London","2960","2910","53080","54700"
"In post","2021","Cabinet Office (excl. agencies)","White","North East (England)","330","310","28670","23850"
"In post","2021","Cabinet Office (excl. agencies)","White","North West (England)","170","170","45390","38420"
