"Status","Year","Region_ITL1","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Office for Standards in Education","G6/G7","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education","SEO/HEO","70","70","42770","39850"
"In post","2021","East Midlands (England)","Other Cabinet Office Agencies","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other Cabinet Office Agencies","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Attorney General's Departments","AA/AO","110","100","22440","23520"
"In post","2021","East of England","Attorney General's Departments","EO","110","100","28640","28430"
"In post","2021","East of England","Attorney General's Departments","G6/G7","190","170","58620","59930"
"In post","2021","East of England","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Attorney General's Departments","SEO/HEO","70","70","37160","38000"
"In post","2021","East of England","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cabinet Office","G6/G7","40","40","[c]","[c]"
"In post","2021","East of England","Cabinet Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cabinet Office","SEO/HEO","40","40","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy","AA/AO","50","50","20980","20880"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy","SEO/HEO","120","110","37020","36730"
"In post","2021","East of England","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education","G6/G7","30","30","[c]","[c]"
"In post","2021","East of England","Department for Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","AA/AO","80","70","20790","21050"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","EO","190","180","25510","25010"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","G6/G7","150","140","51870","48370"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","SEO/HEO","420","390","33490","32140"
"In post","2021","East of England","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Transport","AA/AO","90","80","26290","26580"
"In post","2021","East of England","Department for Transport","EO","240","220","28190","26780"
"In post","2021","East of England","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Transport","SEO/HEO","60","60","37290","33410"
"In post","2021","East of England","Department for Work and Pensions","AA/AO","1030","870","22710","22980"
"In post","2021","East of England","Department for Work and Pensions","EO","3180","2890","28780","29290"
"In post","2021","East of England","Department for Work and Pensions","G6/G7","60","50","56510","52820"
"In post","2021","East of England","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Work and Pensions","SEO/HEO","430","410","36960","35120"
"In post","2021","East of England","Department of Health and Social Care","AA/AO","80","70","21830","21570"
"In post","2021","East of England","Department of Health and Social Care","EO","100","90","26930","27400"
"In post","2021","East of England","Department of Health and Social Care","G6/G7","190","190","58260","53970"
"In post","2021","East of England","Department of Health and Social Care","SCS","50","50","[c]","[c]"
"In post","2021","East of England","Department of Health and Social Care","SEO/HEO","310","290","36790","37460"
"In post","2021","East of England","Food Standards Agency","EO","60","50","27580","26750"
"In post","2021","East of England","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Land Registry","AA/AO","70","70","22360","22350"
"In post","2021","East of England","HM Land Registry","EO","90","80","27210","27130"
"In post","2021","East of England","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Land Registry","SEO/HEO","110","100","36800","33840"
"In post","2021","East of England","HM Revenue and Customs","AA/AO","390","340","21050","21400"
"In post","2021","East of England","HM Revenue and Customs","EO","510","460","26750","25560"
"In post","2021","East of England","HM Revenue and Customs","G6/G7","180","180","55050","52580"
"In post","2021","East of England","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs","SEO/HEO","750","690","35340","34620"
"In post","2021","East of England","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Home Office","AA/AO","640","570","21160","21430"
"In post","2021","East of England","Home Office","EO","990","880","26530","25410"
"In post","2021","East of England","Home Office","G6/G7","30","30","[c]","[c]"
"In post","2021","East of England","Home Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Home Office","SEO/HEO","300","290","33480","31690"
"In post","2021","East of England","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Defence","AA/AO","1480","1410","22440","20920"
"In post","2021","East of England","Ministry of Defence","EO","740","720","29080","26670"
"In post","2021","East of England","Ministry of Defence","G6/G7","210","200","62960","59730"
"In post","2021","East of England","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Defence","SEO/HEO","1360","1320","37740","36300"
"In post","2021","East of England","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government","SEO/HEO","40","40","[c]","[c]"
"In post","2021","East of England","Ministry of Justice","AA/AO","3760","3500","25150","23970"
"In post","2021","East of England","Ministry of Justice","EO","790","760","29160","28330"
"In post","2021","East of England","Ministry of Justice","G6/G7","120","110","67280","65780"
"In post","2021","East of England","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Justice","SEO/HEO","830","800","38480","37280"
"In post","2021","East of England","Ministry of Justice","Unknown","1020","930","28600","28200"
"In post","2021","East of England","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","National Crime Agency","EO","70","60","34290","34140"
"In post","2021","East of England","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","National Crime Agency","SEO/HEO","60","60","43320","43710"
"In post","2021","East of England","Office for Standards in Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Office for Standards in Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Office for Standards in Education","G6/G7","50","50","75680","75500"
"In post","2021","East of England","Office for Standards in Education","SEO/HEO","40","40","[c]","[c]"
"In post","2021","East of England","Other Cabinet Office Agencies","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other Cabinet Office Agencies","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other Cabinet Office Agencies","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other Cabinet Office Agencies","SEO/HEO","110","100","33270","33340"
"In post","2021","London","Attorney General's Departments","AA/AO","420","390","23220","23520"
"In post","2021","London","Attorney General's Departments","EO","740","700","28640","27760"
"In post","2021","London","Attorney General's Departments","G6/G7","2550","2370","60350","61360"
"In post","2021","London","Attorney General's Departments","SCS","260","250","87160","81420"
"In post","2021","London","Attorney General's Departments","SEO/HEO","710","700","37480","38290"
"In post","2021","London","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Cabinet Office","AA/AO","140","140","24470","24490"
"In post","2021","London","Cabinet Office","EO","600","590","27960","27500"
"In post","2021","London","Cabinet Office","G6/G7","2370","2330","59810","56470"
"In post","2021","London","Cabinet Office","SCS","760","750","94650","80420"
"In post","2021","London","Cabinet Office","SEO/HEO","2630","2610","34120","34550"
"In post","2021","London","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","London","Chancellor's other departments","EO","40","30","[c]","[c]"
"In post","2021","London","Chancellor's other departments","G6/G7","160","150","77590","72060"
"In post","2021","London","Chancellor's other departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","London","Chancellor's other departments","SEO/HEO","120","120","41610","42080"
"In post","2021","London","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","London","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","London","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","London","Charity Commission","SCS","[c]","[c]","[c]","[c]"
"In post","2021","London","Charity Commission","SEO/HEO","40","40","[c]","[c]"
"In post","2021","London","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","London","Competition and Markets Authority","EO","70","70","28600","28160"
"In post","2021","London","Competition and Markets Authority","G6/G7","390","380","66620","64220"
"In post","2021","London","Competition and Markets Authority","SCS","110","100","109740","101590"
"In post","2021","London","Competition and Markets Authority","SEO/HEO","190","180","37880","35660"
"In post","2021","London","Department for Business, Energy and Industrial Strategy","AA/AO","150","140","25280","25060"
"In post","2021","London","Department for Business, Energy and Industrial Strategy","EO","420","410","28720","27690"
"In post","2021","London","Department for Business, Energy and Industrial Strategy","G6/G7","2360","2300","59000","56990"
"In post","2021","London","Department for Business, Energy and Industrial Strategy","SCS","330","320","83830","75880"
"In post","2021","London","Department for Business, Energy and Industrial Strategy","SEO/HEO","2360","2320","38240","39080"
"In post","2021","London","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","London","Department for Digital, Culture, Media and Sport","EO","170","170","27490","26180"
"In post","2021","London","Department for Digital, Culture, Media and Sport","G6/G7","780","770","58780","57300"
"In post","2021","London","Department for Digital, Culture, Media and Sport","SCS","120","110","86940","77180"
"In post","2021","London","Department for Digital, Culture, Media and Sport","SEO/HEO","630","630","37120","34020"
"In post","2021","London","Department for Education","AA/AO","30","30","[c]","[c]"
"In post","2021","London","Department for Education","EO","280","270","29250","28500"
"In post","2021","London","Department for Education","G6/G7","1190","1140","59250","55800"
"In post","2021","London","Department for Education","SCS","200","190","84400","75290"
"In post","2021","London","Department for Education","SEO/HEO","940","910","38780","40230"
"In post","2021","London","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Department for Environment, Food and Rural Affairs","AA/AO","90","80","24440","24370"
"In post","2021","London","Department for Environment, Food and Rural Affairs","EO","300","290","28690","28270"
"In post","2021","London","Department for Environment, Food and Rural Affairs","G6/G7","880","850","57270","54650"
"In post","2021","London","Department for Environment, Food and Rural Affairs","SCS","150","140","84250","77240"
"In post","2021","London","Department for Environment, Food and Rural Affairs","SEO/HEO","1180","1150","36430","35610"
"In post","2021","London","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Department for International Trade","AA/AO","30","30","[c]","[c]"
"In post","2021","London","Department for International Trade","EO","230","230","27590","26510"
"In post","2021","London","Department for International Trade","G6/G7","890","880","55340","51980"
"In post","2021","London","Department for International Trade","SCS","140","140","85610","76230"
"In post","2021","London","Department for International Trade","SEO/HEO","1010","1010","35390","34980"
"In post","2021","London","Department for Transport","AA/AO","150","130","30050","31680"
"In post","2021","London","Department for Transport","EO","590","580","30460","30540"
"In post","2021","London","Department for Transport","G6/G7","1150","1130","58870","54870"
"In post","2021","London","Department for Transport","SCS","200","190","87880","79800"
"In post","2021","London","Department for Transport","SEO/HEO","1340","1320","38870","37570"
"In post","2021","London","Department for Work and Pensions","AA/AO","1630","1430","24480","25110"
"In post","2021","London","Department for Work and Pensions","EO","6300","5920","31100","31060"
"In post","2021","London","Department for Work and Pensions","G6/G7","630","600","60650","57230"
"In post","2021","London","Department for Work and Pensions","SCS","130","130","93540","83090"
"In post","2021","London","Department for Work and Pensions","SEO/HEO","1500","1450","39150","38450"
"In post","2021","London","Department of Health and Social Care","AA/AO","290","250","23520","23530"
"In post","2021","London","Department of Health and Social Care","EO","910","850","27630","27270"
"In post","2021","London","Department of Health and Social Care","G6/G7","2210","2120","59260","55110"
"In post","2021","London","Department of Health and Social Care","SCS","570","520","95480","89350"
"In post","2021","London","Department of Health and Social Care","SEO/HEO","2450","2360","37190","37260"
"In post","2021","London","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","London","Food Standards Agency","EO","50","50","[c]","[c]"
"In post","2021","London","Food Standards Agency","G6/G7","120","120","57820","56130"
"In post","2021","London","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","London","Food Standards Agency","SEO/HEO","290","280","36990","37350"
"In post","2021","London","Foreign, Commonwealth and Development Office","AA/AO","270","260","27920","28000"
"In post","2021","London","Foreign, Commonwealth and Development Office","EO","500","490","31600","30650"
"In post","2021","London","Foreign, Commonwealth and Development Office","G6/G7","1680","1630","60740","59470"
"In post","2021","London","Foreign, Commonwealth and Development Office","SCS","290","280","87540","78200"
"In post","2021","London","Foreign, Commonwealth and Development Office","SEO/HEO","1510","1490","39130","38600"
"In post","2021","London","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","HM Land Registry","AA/AO","70","70","25820","25850"
"In post","2021","London","HM Land Registry","EO","90","80","30790","30600"
"In post","2021","London","HM Land Registry","G6/G7","50","50","68560","69380"
"In post","2021","London","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2021","London","HM Land Registry","SEO/HEO","150","140","41310","37330"
"In post","2021","London","HM Revenue and Customs","AA/AO","960","860","24870","25000"
"In post","2021","London","HM Revenue and Customs","EO","1840","1740","30460","29570"
"In post","2021","London","HM Revenue and Customs","G6/G7","2210","2110","63180","59160"
"In post","2021","London","HM Revenue and Customs","SCS","250","240","88280","80980"
"In post","2021","London","HM Revenue and Customs","SEO/HEO","3470","3340","38990","37380"
"In post","2021","London","HM Treasury","AA/AO","50","50","23030","23500"
"In post","2021","London","HM Treasury","EO","210","200","27430","26950"
"In post","2021","London","HM Treasury","G6/G7","1020","990","59370","57000"
"In post","2021","London","HM Treasury","SCS","180","170","86370","77920"
"In post","2021","London","HM Treasury","SEO/HEO","870","860","35750","33650"
"In post","2021","London","Home Office","AA/AO","1810","1630","24980","25630"
"In post","2021","London","Home Office","EO","4090","3750","29480","29080"
"In post","2021","London","Home Office","G6/G7","2610","2550","62130","57740"
"In post","2021","London","Home Office","SCS","260","260","91750","83830"
"In post","2021","London","Home Office","SEO/HEO","4540","4410","39190","38050"
"In post","2021","London","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Ministry of Defence","AA/AO","800","780","24870","23890"
"In post","2021","London","Ministry of Defence","EO","670","640","28840","30200"
"In post","2021","London","Ministry of Defence","G6/G7","630","610","63220","59730"
"In post","2021","London","Ministry of Defence","SCS","160","160","90030","79560"
"In post","2021","London","Ministry of Defence","SEO/HEO","1620","1590","41320","41500"
"In post","2021","London","Ministry of Defence","Unknown","40","40","[c]","[c]"
"In post","2021","London","Ministry of Housing, Communities and Local Government","AA/AO","40","40","[c]","[c]"
"In post","2021","London","Ministry of Housing, Communities and Local Government","EO","210","210","29200","27850"
"In post","2021","London","Ministry of Housing, Communities and Local Government","G6/G7","820","800","57870","53870"
"In post","2021","London","Ministry of Housing, Communities and Local Government","SCS","120","120","85350","77200"
"In post","2021","London","Ministry of Housing, Communities and Local Government","SEO/HEO","680","680","37150","37600"
"In post","2021","London","Ministry of Justice","AA/AO","5460","5180","26520","23790"
"In post","2021","London","Ministry of Justice","EO","2020","1960","29300","27460"
"In post","2021","London","Ministry of Justice","G6/G7","1680","1620","61880","59920"
"In post","2021","London","Ministry of Justice","SCS","220","220","88980","82990"
"In post","2021","London","Ministry of Justice","SEO/HEO","3650","3560","38910","36800"
"In post","2021","London","Ministry of Justice","Unknown","1580","1530","33750","32090"
"In post","2021","London","National Crime Agency","AA/AO","100","100","25970","24220"
"In post","2021","London","National Crime Agency","EO","620","610","35330","36200"
"In post","2021","London","National Crime Agency","G6/G7","190","190","65790","64410"
"In post","2021","London","National Crime Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","London","National Crime Agency","SEO/HEO","720","700","45670","46810"
"In post","2021","London","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","London","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","London","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","London","Northern Ireland Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","London","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","London","Office for Standards in Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","London","Office for Standards in Education","EO","30","30","[c]","[c]"
"In post","2021","London","Office for Standards in Education","G6/G7","190","180","72650","75500"
"In post","2021","London","Office for Standards in Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","London","Office for Standards in Education","SEO/HEO","210","200","44730","42850"
"In post","2021","London","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","London","Office of Gas and Electricity Markets","EO","100","100","27970","27000"
"In post","2021","London","Office of Gas and Electricity Markets","G6/G7","310","300","61950","60800"
"In post","2021","London","Office of Gas and Electricity Markets","SCS","40","40","[c]","[c]"
"In post","2021","London","Office of Gas and Electricity Markets","SEO/HEO","200","190","38080","37260"
"In post","2021","London","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","London","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2021","London","Office of Rail and Road","G6/G7","100","100","64210","63580"
"In post","2021","London","Office of Rail and Road","SCS","[c]","[c]","[c]","[c]"
"In post","2021","London","Office of Rail and Road","SEO/HEO","60","60","41150","42670"
"In post","2021","London","Other Cabinet Office Agencies","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","London","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"In post","2021","London","Other Cabinet Office Agencies","G6/G7","60","60","58960","59560"
"In post","2021","London","Other Cabinet Office Agencies","SCS","[c]","[c]","[c]","[c]"
"In post","2021","London","Other Cabinet Office Agencies","SEO/HEO","50","50","37720","36470"
"In post","2021","London","Scotland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","London","Scotland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","London","Scotland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","London","Scotland Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","London","Scotland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","London","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","London","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","London","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","London","Scottish Government","SCS","[c]","[c]","[c]","[c]"
"In post","2021","London","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","London","The National Archives","AA/AO","90","80","21250","20650"
"In post","2021","London","The National Archives","EO","80","70","25550","24630"
"In post","2021","London","The National Archives","G6/G7","90","90","53110","50710"
"In post","2021","London","The National Archives","SCS","[c]","[c]","[c]","[c]"
"In post","2021","London","The National Archives","SEO/HEO","280","270","35920","34770"
"In post","2021","London","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","London","UK Export Finance","EO","50","40","[c]","[c]"
"In post","2021","London","UK Export Finance","G6/G7","120","120","67800","66690"
"In post","2021","London","UK Export Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","London","UK Export Finance","SEO/HEO","200","200","42550","42240"
"In post","2021","London","UK Supreme Court","AA/AO","[c]","[c]","[c]","[c]"
