"Status","Year","Function_of_post","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Statistics","50","50","85140","78340"
"In post","2021","Analysis","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Digital, Data and Technology","120","120","38880","39890"
"In post","2021","Analysis","SEO/HEO","Economics","580","570","34860","33930"
"In post","2021","Analysis","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Intelligence Analysis","70","70","36850","36080"
"In post","2021","Analysis","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Operational Delivery","330","310","33590","32540"
"In post","2021","Analysis","SEO/HEO","Operational Research","330","320","36790","37320"
"In post","2021","Analysis","SEO/HEO","Other","60","60","40620","38000"
"In post","2021","Analysis","SEO/HEO","Policy","180","180","40180","41900"
"In post","2021","Analysis","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Science and Engineering","380","360","33190","30660"
"In post","2021","Analysis","SEO/HEO","Social Research","590","560","35100","36030"
"In post","2021","Analysis","SEO/HEO","Statistics","930","900","36540","36780"
"In post","2021","Analysis","SEO/HEO","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Unknown","40","40","[c]","[c]"
"In post","2021","Analysis","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Commercial","270","250","22510","21590"
"In post","2021","Commercial","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Knowledge and Information Management","180","170","21700","21130"
"In post","2021","Commercial","AA/AO","Operational Delivery","70","60","21460","20200"
"In post","2021","Commercial","AA/AO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Commercial","540","520","26660","26670"
"In post","2021","Commercial","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Knowledge and Information Management","180","170","27770","26670"
"In post","2021","Commercial","EO","Operational Delivery","70","60","26710","26410"
"In post","2021","Commercial","EO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Unknown","30","30","[c]","[c]"
"In post","2021","Commercial","G6/G7","Commercial","720","700","59350","56950"
"In post","2021","Commercial","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Knowledge and Information Management","50","50","[c]","[c]"
"In post","2021","Commercial","G6/G7","Operational Delivery","90","90","64410","60930"
"In post","2021","Commercial","G6/G7","Other","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Unknown","790","780","63300","56860"
"In post","2021","Commercial","G6/G7","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Commercial","80","80","88720","78560"
"In post","2021","Commercial","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Unknown","480","470","93150","74000"
"In post","2021","Commercial","SEO/HEO","Commercial","2270","2190","38290","37940"
"In post","2021","Commercial","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Finance","40","30","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Knowledge and Information Management","260","260","37690","36460"
"In post","2021","Commercial","SEO/HEO","Operational Delivery","180","170","40170","39320"
"In post","2021","Commercial","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Project Delivery","40","40","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Science and Engineering","80","80","37910","39860"
"In post","2021","Commercial","SEO/HEO","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Unknown","140","130","37680","38220"
"In post","2021","Commercial","Unknown","Commercial","220","210","38620","37230"
"In post","2021","Commercial","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Communications","210","200","22070","21580"
"In post","2021","Communications","AA/AO","Operational Delivery","230","190","20790","20660"
"In post","2021","Communications","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Tax","50","40","[c]","[c]"
"In post","2021","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Communications","560","540","27400","26970"
"In post","2021","Communications","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Operational Delivery","590","560","25880","25560"
"In post","2021","Communications","EO","Other","170","160","20650","19600"
"In post","2021","Communications","EO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Tax","1590","1530","25660","25560"
"In post","2021","Communications","EO","Unknown","290","280","26000","25560"
"In post","2021","Communications","G6/G7","Communications","810","780","58100","56090"
"In post","2021","Communications","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Operational Delivery","60","60","55420","52580"
"In post","2021","Communications","G6/G7","Other","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Unknown","150","150","59090","57670"
"In post","2021","Communications","SCS","Communications","100","100","87070","81760"
"In post","2021","Communications","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Communications","1740","1690","37720","37160"
"In post","2021","Communications","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Operational Delivery","630","620","33380","31810"
"In post","2021","Communications","SEO/HEO","Other","70","70","29550","28060"
"In post","2021","Communications","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Tax","490","480","32510","31810"
"In post","2021","Communications","SEO/HEO","Unknown","320","320","36000","34640"
"In post","2021","Counter Fraud","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Legal","260","230","21160","20360"
"In post","2021","Counter Fraud","AA/AO","Operational Delivery","530","460","21510","21440"
"In post","2021","Counter Fraud","AA/AO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Counter Fraud","80","80","27390","26780"
"In post","2021","Counter Fraud","EO","Intelligence Analysis","30","30","[c]","[c]"
"In post","2021","Counter Fraud","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Legal","1560","1490","27190","25560"
"In post","2021","Counter Fraud","EO","Operational Delivery","1120","1040","26560","25560"
"In post","2021","Counter Fraud","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Other","100","90","27650","27310"
"In post","2021","Counter Fraud","EO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Tax","440","410","27190","25560"
"In post","2021","Counter Fraud","EO","Unknown","70","70","26750","25560"
"In post","2021","Counter Fraud","G6/G7","Counter Fraud","110","110","61840","58940"
"In post","2021","Counter Fraud","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Legal","140","140","56640","59160"
"In post","2021","Counter Fraud","G6/G7","Operational Delivery","150","140","55780","52580"
"In post","2021","Counter Fraud","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Other","90","90","57560","55110"
"In post","2021","Counter Fraud","G6/G7","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Tax","510","490","57320","52580"
"In post","2021","Counter Fraud","G6/G7","Unknown","50","50","58400","58120"
"In post","2021","Counter Fraud","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Counter Fraud","460","450","37700","38200"
"In post","2021","Counter Fraud","SEO/HEO","Intelligence Analysis","120","120","35230","36160"
"In post","2021","Counter Fraud","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Legal","1370","1320","35190","35000"
"In post","2021","Counter Fraud","SEO/HEO","Operational Delivery","1090","1020","34260","31810"
"In post","2021","Counter Fraud","SEO/HEO","Other","120","110","35140","35000"
"In post","2021","Counter Fraud","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Tax","930","870","35080","33150"
"In post","2021","Counter Fraud","SEO/HEO","Unknown","90","90","34540","34550"
"In post","2021","Debt","AA/AO","Operational Delivery","2410","2100","21220","20140"
"In post","2021","Debt","AA/AO","Tax","940","910","20280","20140"
"In post","2021","Debt","AA/AO","Unknown","70","60","20480","20140"
"In post","2021","Debt","EO","Operational Delivery","890","810","26900","25560"
"In post","2021","Debt","EO","Tax","50","50","[c]","[c]"
"In post","2021","Debt","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","G6/G7","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Debt","G6/G7","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Debt","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO/HEO","Operational Delivery","240","220","34310","31810"
"In post","2021","Debt","SEO/HEO","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Digital, Data and Technology","400","380","21820","21440"
"In post","2021","Digital, Data & Technology","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","EO","Digital, Data and Technology","1950","1880","27620","26710"
"In post","2021","Digital, Data & Technology","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","EO","Operational Delivery","100","100","25910","25560"
"In post","2021","Digital, Data & Technology","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","EO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","EO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","EO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","EO","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","EO","Unknown","130","120","27100","27500"
"In post","2021","Digital, Data & Technology","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","G6/G7","Digital, Data and Technology","2680","2630","57610","55190"
"In post","2021","Digital, Data & Technology","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","G6/G7","Operational Delivery","60","60","56360","52850"
"In post","2021","Digital, Data & Technology","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","G6/G7","Other","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","G6/G7","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","G6/G7","Science and Engineering","180","160","52650","48840"
"In post","2021","Digital, Data & Technology","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","G6/G7","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","G6/G7","Unknown","680","670","58080","56340"
"In post","2021","Digital, Data & Technology","SCS","Digital, Data and Technology","190","180","88050","83030"
"In post","2021","Digital, Data & Technology","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SCS","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SCS","Unknown","50","50","102590","96190"
"In post","2021","Digital, Data & Technology","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SEO/HEO","Digital, Data and Technology","5580","5430","37440","36960"
"In post","2021","Digital, Data & Technology","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SEO/HEO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SEO/HEO","Knowledge and Information Management","60","60","37640","37810"
"In post","2021","Digital, Data & Technology","SEO/HEO","Operational Delivery","280","270","34030","31810"
"In post","2021","Digital, Data & Technology","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SEO/HEO","Science and Engineering","320","300","38000","39650"
"In post","2021","Digital, Data & Technology","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SEO/HEO","Tax","50","50","[c]","[c]"
"In post","2021","Digital, Data & Technology","SEO/HEO","Unknown","460","450","36480","36160"
"In post","2021","Digital, Data & Technology","Unknown","Digital, Data and Technology","60","60","36230","33950"
"In post","2021","Digital, Data & Technology","Unknown","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Finance","1060","890","21310","21170"
"In post","2021","Finance","AA/AO","Operational Delivery","360","310","20570","20140"
"In post","2021","Finance","AA/AO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Unknown","40","30","[c]","[c]"
"In post","2021","Finance","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Finance","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Finance","EO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Finance","EO","Finance","1390","1320","26520","26670"
"In post","2021","Finance","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","EO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Finance","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Finance","EO","Operational Delivery","180","170","26350","25560"
"In post","2021","Finance","EO","Other","40","30","[c]","[c]"
"In post","2021","Finance","EO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Finance","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Finance","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Finance","EO","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Finance","EO","Unknown","40","40","[c]","[c]"
"In post","2021","Finance","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Finance","G6/G7","Corporate Finance","50","50","59160","59160"
"In post","2021","Finance","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Finance","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Finance","G6/G7","Economics","30","30","[c]","[c]"
"In post","2021","Finance","G6/G7","Finance","1720","1680","58790","57620"
"In post","2021","Finance","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Finance","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Finance","G6/G7","Operational Delivery","60","60","56830","56230"
"In post","2021","Finance","G6/G7","Other","40","40","[c]","[c]"
"In post","2021","Finance","G6/G7","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Finance","G6/G7","Project Delivery","30","30","[c]","[c]"
"In post","2021","Finance","G6/G7","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Finance","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Finance","G6/G7","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Finance","G6/G7","Unknown","90","90","57650","56690"
"In post","2021","Finance","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Finance","230","220","90180","83610"
"In post","2021","Finance","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Policy","[c]","[c]","[c]","[c]"
