"Status","Year","Sex","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Unknown","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","White","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","White","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","White","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","White","No function","[c]","[c]","[c]","[c]"
"In post","2022","Female","Asian","Analysis","320","300","42650","38200"
"In post","2022","Female","Asian","Commercial","150","140","40770","37900"
"In post","2022","Female","Asian","Communications","320","310","33600","28900"
"In post","2022","Female","Asian","Counter Fraud","730","640","30040","27570"
"In post","2022","Female","Asian","Debt","450","370","23540","21260"
"In post","2022","Female","Asian","Digital, Data & Technology","550","540","41220","37290"
"In post","2022","Female","Asian","Finance","570","540","37540","34620"
"In post","2022","Female","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Female","Asian","Human Resources","480","450","37340","34260"
"In post","2022","Female","Asian","Internal Audit","50","40","[c]","[c]"
"In post","2022","Female","Asian","Legal","810","740","43390","48080"
"In post","2022","Female","Asian","No function","10190","9170","31230","27570"
"In post","2022","Female","Asian","Project Delivery","620","580","41570","37930"
"In post","2022","Female","Asian","Property","220","200","35560","31890"
"In post","2022","Female","Asian","Security","120","120","35030","32260"
"In post","2022","Female","Asian","Unknown","3120","2840","32270","28990"
"In post","2022","Female","Black","Analysis","120","120","39080","37930"
"In post","2022","Female","Black","Commercial","110","110","38680","36190"
"In post","2022","Female","Black","Communications","170","160","33040","30430"
"In post","2022","Female","Black","Counter Fraud","410","380","31100","31020"
"In post","2022","Female","Black","Debt","140","130","25280","23600"
"In post","2022","Female","Black","Digital, Data & Technology","270","270","39310","36330"
"In post","2022","Female","Black","Finance","270","270","38320","35840"
"In post","2022","Female","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Female","Black","Human Resources","300","290","36810","34270"
"In post","2022","Female","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Female","Black","Legal","470","440","40810","34160"
"In post","2022","Female","Black","No function","6620","6280","31340","30210"
"In post","2022","Female","Black","Project Delivery","400","390","39670","37930"
"In post","2022","Female","Black","Property","130","120","37280","34260"
"In post","2022","Female","Black","Security","40","40","[c]","[c]"
"In post","2022","Female","Black","Unknown","1440","1350","33230","29250"
"In post","2022","Female","Mixed","Analysis","110","100","44180","41250"
"In post","2022","Female","Mixed","Commercial","60","60","36030","34880"
"In post","2022","Female","Mixed","Communications","130","120","39000","33370"
"In post","2022","Female","Mixed","Counter Fraud","140","130","30560","27570"
"In post","2022","Female","Mixed","Debt","70","60","22770","21260"
"In post","2022","Female","Mixed","Digital, Data & Technology","160","160","41040","39320"
"In post","2022","Female","Mixed","Finance","120","110","38530","35030"
"In post","2022","Female","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Female","Mixed","Human Resources","180","170","40300","35700"
"In post","2022","Female","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Female","Mixed","Legal","220","200","47940","51250"
"In post","2022","Female","Mixed","No function","3210","3000","32370","28990"
"In post","2022","Female","Mixed","Project Delivery","230","220","41610","37930"
"In post","2022","Female","Mixed","Property","60","60","36220","32890"
"In post","2022","Female","Mixed","Security","50","50","36830","34670"
"In post","2022","Female","Mixed","Unknown","660","620","36310","30830"
"In post","2022","Female","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Female","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Female","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Female","Other ethnicity","Counter Fraud","40","40","[c]","[c]"
"In post","2022","Female","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Female","Other ethnicity","Digital, Data & Technology","50","50","42600","38570"
"In post","2022","Female","Other ethnicity","Finance","30","30","[c]","[c]"
"In post","2022","Female","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Female","Other ethnicity","Human Resources","40","40","[c]","[c]"
"In post","2022","Female","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Female","Other ethnicity","Legal","70","60","46580","50500"
"In post","2022","Female","Other ethnicity","No function","870","810","34120","30750"
"In post","2022","Female","Other ethnicity","Project Delivery","50","50","42410","40000"
"In post","2022","Female","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2022","Female","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2022","Female","Other ethnicity","Unknown","150","140","34340","29430"
"In post","2022","Female","Undeclared","Analysis","70","60","42960","38540"
"In post","2022","Female","Undeclared","Commercial","90","80","38430","37680"
"In post","2022","Female","Undeclared","Communications","80","70","36890","33370"
"In post","2022","Female","Undeclared","Counter Fraud","380","340","31350","28920"
"In post","2022","Female","Undeclared","Debt","130","110","23640","22080"
"In post","2022","Female","Undeclared","Digital, Data & Technology","260","250","39700","37020"
"In post","2022","Female","Undeclared","Finance","200","190","36470","33320"
"In post","2022","Female","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Female","Undeclared","Human Resources","210","190","36140","33300"
"In post","2022","Female","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Female","Undeclared","Legal","170","160","48730","51670"
"In post","2022","Female","Undeclared","No function","4600","4040","31040","27570"
"In post","2022","Female","Undeclared","Project Delivery","380","360","39540","38070"
"In post","2022","Female","Undeclared","Property","290","250","34730","31660"
"In post","2022","Female","Undeclared","Security","90","90","36860","34660"
"In post","2022","Female","Undeclared","Unknown","1300","1190","34010","29430"
"In post","2022","Female","Unknown","Analysis","390","370","41070","37930"
"In post","2022","Female","Unknown","Commercial","910","880","57270","54700"
"In post","2022","Female","Unknown","Communications","1030","990","35580","30730"
"In post","2022","Female","Unknown","Counter Fraud","1050","970","31670","28920"
"In post","2022","Female","Unknown","Debt","680","600","22790","21250"
"In post","2022","Female","Unknown","Digital, Data & Technology","960","920","40860","37300"
"In post","2022","Female","Unknown","Finance","770","710","35840","33000"
"In post","2022","Female","Unknown","Grants Management","490","450","23780","21300"
"In post","2022","Female","Unknown","Human Resources","690","660","35580","31740"
"In post","2022","Female","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Legal","890","810","46830","49470"
"In post","2022","Female","Unknown","No function","21550","19790","29630","26820"
"In post","2022","Female","Unknown","Project Delivery","1230","1170","42420","40000"
"In post","2022","Female","Unknown","Property","540","510","29660","26030"
"In post","2022","Female","Unknown","Security","340","330","31650","28700"
"In post","2022","Female","Unknown","Unknown","5100","4870","34270","28650"
"In post","2022","Female","White","Analysis","2950","2760","42760","38340"
"In post","2022","Female","White","Commercial","2080","1970","40340","37130"
"In post","2022","Female","White","Communications","2820","2660","37680","33370"
"In post","2022","Female","White","Counter Fraud","6240","5540","31220","27570"
"In post","2022","Female","White","Debt","2680","2250","23880","21260"
"In post","2022","Female","White","Digital, Data & Technology","6000","5670","39860","36660"
"In post","2022","Female","White","Finance","4910","4500","37650","33370"
"In post","2022","Female","White","Grants Management","800","680","25520","24920"
"In post","2022","Female","White","Human Resources","6180","5730","37540","33300"
"In post","2022","Female","White","Internal Audit","300","280","44570","42010"
"In post","2022","Female","White","Legal","5450","4940","45670","48080"
"In post","2022","Female","White","No function","112630","100420","30830","27570"
"In post","2022","Female","White","Project Delivery","8940","8340","40910","38000"
"In post","2022","Female","White","Property","2900","2720","35430","33000"
"In post","2022","Female","White","Security","2100","2020","33050","31180"
"In post","2022","Female","White","Unknown","29740","27470","34590","29430"
"In post","2022","Male","Asian","Analysis","310","310","43110","39930"
"In post","2022","Male","Asian","Commercial","150","150","43880","40000"
"In post","2022","Male","Asian","Communications","390","380","31020","26820"
"In post","2022","Male","Asian","Counter Fraud","630","610","32110","31020"
"In post","2022","Male","Asian","Debt","310","290","23530","21260"
"In post","2022","Male","Asian","Digital, Data & Technology","850","840","42360","39000"
"In post","2022","Male","Asian","Finance","580","570","40200","36780"
"In post","2022","Male","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Male","Asian","Human Resources","190","190","36040","32330"
"In post","2022","Male","Asian","Internal Audit","40","40","[c]","[c]"
"In post","2022","Male","Asian","Legal","370","360","44740","48080"
"In post","2022","Male","Asian","No function","7750","7510","31850","27570"
"In post","2022","Male","Asian","Project Delivery","640","630","42400","39920"
"In post","2022","Male","Asian","Property","250","240","36550","32280"
"In post","2022","Male","Asian","Security","200","200","32690","30320"
"In post","2022","Male","Asian","Unknown","2280","2210","32940","29030"
"In post","2022","Male","Black","Analysis","100","100","39530","37610"
"In post","2022","Male","Black","Commercial","60","60","42800","39950"
"In post","2022","Male","Black","Communications","80","80","32100","27040"
"In post","2022","Male","Black","Counter Fraud","210","200","30880","31020"
"In post","2022","Male","Black","Debt","70","70","25110","25330"
"In post","2022","Male","Black","Digital, Data & Technology","370","370","39740","36700"
"In post","2022","Male","Black","Finance","170","170","40600","38610"
"In post","2022","Male","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Male","Black","Human Resources","80","70","35680","31990"
"In post","2022","Male","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Male","Black","Legal","180","170","43020","37930"
"In post","2022","Male","Black","No function","3610","3530","32250","31060"
"In post","2022","Male","Black","Project Delivery","280","280","39700","37610"
"In post","2022","Male","Black","Property","80","70","38430","34550"
"In post","2022","Male","Black","Security","90","90","31930","28890"
"In post","2022","Male","Black","Unknown","780","760","33940","29080"
"In post","2022","Male","Mixed","Analysis","110","110","42160","38070"
"In post","2022","Male","Mixed","Commercial","30","30","[c]","[c]"
"In post","2022","Male","Mixed","Communications","70","70","36180","33080"
"In post","2022","Male","Mixed","Counter Fraud","120","120","35540","31990"
"In post","2022","Male","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Male","Mixed","Digital, Data & Technology","190","190","42550","39780"
"In post","2022","Male","Mixed","Finance","90","80","43890","39960"
"In post","2022","Male","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Male","Mixed","Human Resources","70","70","40440","36650"
