"Status","Year","Function_of_post","Organisation","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Competition and Markets Authority","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","White","100","100","60050","56360"
"In post","2021","Analysis","Crown Prosecution Service","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Undeclared","60","50","41460","46080"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","White","370","350","40630","37360"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","40","40","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","White","180","180","44530","36220"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","White","80","80","53980","59730"
"In post","2021","Analysis","Department for Education (excl. agencies)","Asian","30","30","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Unknown","40","40","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","White","300","280","44620","44750"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","White","70","60","38240","33120"
"In post","2021","Analysis","Department for International Trade","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Unknown","60","60","40690","31950"
"In post","2021","Analysis","Department for International Trade","White","130","130","44420","38540"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Unknown","70","70","43020","42470"
"In post","2021","Analysis","Department for Transport (excl. agencies)","White","260","250","48260","44100"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Unknown","140","140","53030","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","White","130","120","51180","53360"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","White","40","40","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","White","50","50","59190","58900"
"In post","2021","Analysis","Forestry and Land Scotland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","White","110","100","79090","78140"
"In post","2021","Analysis","Government Internal Audit Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Asian","70","60","40440","36160"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Unknown","110","100","38190","36160"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","White","410","390","46230","38630"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","White","80","80","52820","54840"
"In post","2021","Analysis","Insolvency Service","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Maritime and Coastguard Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Maritime and Coastguard Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Maritime and Coastguard Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Maritime and Coastguard Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Maritime and Coastguard Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Maritime and Coastguard Agency","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","White","150","150","40690","38400"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","White","140","130","47630","48200"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Asian","40","40","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Unknown","50","50","44210","41850"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","White","260","250","46210","41000"
"In post","2021","Analysis","National Savings and Investments","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","White","130","120","40480","35010"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Mixed","[c]","[c]","[c]","[c]"
