"Status","Year","Profession_of_post","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Communications","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","White","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Communications","White","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","White","Communications","2310","2220","41330","37840"
"In post","2021","Communications","White","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","White","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","White","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","White","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Communications","White","No function","80","70","41540","39440"
"In post","2021","Communications","White","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","White","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","White","Unknown","280","270","44060","42070"
"In post","2021","Corporate Finance","Asian","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Asian","No function","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Black","No function","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Chinese","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Chinese","No function","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Mixed","No function","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","White","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","White","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","White","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","White","Finance","90","90","45720","42390"
"In post","2021","Corporate Finance","White","No function","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","White","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Asian","Counter Fraud","30","30","[c]","[c]"
"In post","2021","Counter Fraud","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Asian","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Counter Fraud","160","150","41130","38510"
"In post","2021","Counter Fraud","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","White","Counter Fraud","420","410","41130","39170"
"In post","2021","Counter Fraud","White","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","White","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","White","Unknown","150","130","26780","25310"
"In post","2021","Digital, Data and Technology","Asian","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Asian","Digital, Data & Technology","610","600","40620","36800"
"In post","2021","Digital, Data and Technology","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Asian","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Asian","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Asian","Unknown","190","190","47800","45110"
"In post","2021","Digital, Data and Technology","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Black","Digital, Data & Technology","280","280","38390","36030"
"In post","2021","Digital, Data and Technology","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Black","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Black","Unknown","90","90","46550","42170"
"In post","2021","Digital, Data and Technology","Chinese","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chinese","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chinese","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chinese","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Mixed","Digital, Data & Technology","160","160","42190","38000"
"In post","2021","Digital, Data and Technology","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Mixed","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Other ethnicity","Digital, Data & Technology","70","60","42320","38900"
"In post","2021","Digital, Data and Technology","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Digital, Data & Technology","550","540","41320","38630"
"In post","2021","Digital, Data and Technology","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Project Delivery","40","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Unknown","90","80","46700","45160"
"In post","2021","Digital, Data and Technology","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Digital, Data & Technology","2010","1980","39950","36500"
"In post","2021","Digital, Data and Technology","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","120","120","49090","46070"
"In post","2021","Digital, Data and Technology","White","Analysis","180","170","42220","42220"
"In post","2021","Digital, Data and Technology","White","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","White","Digital, Data & Technology","7140","6910","41280","38450"
"In post","2021","Digital, Data and Technology","White","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","White","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","White","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","White","No function","150","140","39790","36870"
"In post","2021","Digital, Data and Technology","White","Project Delivery","340","330","42470","41550"
"In post","2021","Digital, Data and Technology","White","Property","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","White","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","White","Unknown","900","890","48630","44970"
"In post","2021","Economics","Asian","Analysis","110","110","44960","42020"
"In post","2021","Economics","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Asian","No function","40","40","[c]","[c]"
"In post","2021","Economics","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Black","Analysis","40","40","[c]","[c]"
"In post","2021","Economics","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Black","No function","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Chinese","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Chinese","No function","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Mixed","Analysis","50","50","43190","39250"
"In post","2021","Economics","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Mixed","No function","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","Analysis","50","50","[c]","[c]"
"In post","2021","Economics","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Analysis","220","220","40250","34880"
"In post","2021","Economics","Unknown","Finance","40","40","[c]","[c]"
