"Status","Year","Function_of_post","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Counter Fraud","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","Heterosexual / straight","90","90","34600","31000"
"In post","2021","Counter Fraud","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Heterosexual / straight","50","50","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Undeclared","420","390","36560","31950"
"In post","2021","Counter Fraud","Undeclared","Unknown","100","90","35070","32520"
"In post","2021","Counter Fraud","Unknown","Heterosexual / straight","130","120","36860","32690"
"In post","2021","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Undeclared","60","50","35020","31810"
"In post","2021","Counter Fraud","Unknown","Unknown","1500","1440","31600","29570"
"In post","2021","Counter Fraud","White","Heterosexual / straight","4890","4590","34620","31810"
"In post","2021","Counter Fraud","White","LGBO","270","260","34010","31810"
"In post","2021","Counter Fraud","White","Undeclared","400","370","34770","31810"
"In post","2021","Counter Fraud","White","Unknown","740","670","31920","29570"
"In post","2021","Debt","Asian","Heterosexual / straight","210","190","23030","21020"
"In post","2021","Debt","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Asian","Unknown","100","80","25950","25560"
"In post","2021","Debt","Black","Heterosexual / straight","100","90","24990","24120"
"In post","2021","Debt","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Black","Unknown","40","40","[c]","[c]"
"In post","2021","Debt","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","Undeclared","90","80","25080","21440"
"In post","2021","Debt","Undeclared","Unknown","40","30","[c]","[c]"
"In post","2021","Debt","Unknown","Heterosexual / straight","50","40","25070","25560"
"In post","2021","Debt","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","Unknown","1470","1380","21300","20140"
"In post","2021","Debt","White","Heterosexual / straight","1730","1550","24100","21440"
"In post","2021","Debt","White","LGBO","120","110","23190","20140"
"In post","2021","Debt","White","Undeclared","170","140","23520","21440"
"In post","2021","Debt","White","Unknown","400","340","24910","21440"
"In post","2021","Digital, Data & Technology","Asian","Heterosexual / straight","640","630","41290","36760"
"In post","2021","Digital, Data & Technology","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Asian","Undeclared","40","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","Asian","Unknown","110","100","40850","39020"
"In post","2021","Digital, Data & Technology","Black","Heterosexual / straight","320","310","38940","35960"
"In post","2021","Digital, Data & Technology","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Black","Unknown","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Chinese","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Mixed","Heterosexual / straight","160","160","43180","40490"
"In post","2021","Digital, Data & Technology","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Mixed","Unknown","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other ethnicity","Heterosexual / straight","60","60","45080","40040"
"In post","2021","Digital, Data & Technology","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Heterosexual / straight","70","70","42100","38630"
"In post","2021","Digital, Data & Technology","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Undeclared","450","430","41770","39010"
"In post","2021","Digital, Data & Technology","Undeclared","Unknown","130","130","41280","39650"
"In post","2021","Digital, Data & Technology","Unknown","Heterosexual / straight","110","100","41570","38630"
"In post","2021","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Undeclared","100","90","35790","30900"
"In post","2021","Digital, Data & Technology","Unknown","Unknown","2280","2240","40550","37300"
"In post","2021","Digital, Data & Technology","White","Heterosexual / straight","6530","6320","42250","38630"
"In post","2021","Digital, Data & Technology","White","LGBO","440","430","41400","38030"
"In post","2021","Digital, Data & Technology","White","Undeclared","620","590","40820","38450"
"In post","2021","Digital, Data & Technology","White","Unknown","1310","1250","40650","39310"
"In post","2021","Finance","Asian","Heterosexual / straight","620","610","38850","35850"
"In post","2021","Finance","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Asian","Undeclared","40","40","[c]","[c]"
"In post","2021","Finance","Asian","Unknown","70","60","33130","30390"
"In post","2021","Finance","Black","Heterosexual / straight","310","310","39940","36820"
"In post","2021","Finance","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Chinese","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Finance","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Mixed","Heterosexual / straight","130","120","41840","38000"
"In post","2021","Finance","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other ethnicity","Heterosexual / straight","50","40","[c]","[c]"
"In post","2021","Finance","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Finance","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Undeclared","280","260","40790","36790"
"In post","2021","Finance","Undeclared","Unknown","50","50","34860","31810"
"In post","2021","Finance","Unknown","Heterosexual / straight","70","60","34520","31810"
"In post","2021","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Undeclared","50","40","[c]","[c]"
"In post","2021","Finance","Unknown","Unknown","1090","1030","35990","32790"
"In post","2021","Finance","White","Heterosexual / straight","5180","4890","40430","36460"
"In post","2021","Finance","White","LGBO","210","210","40930","36790"
"In post","2021","Finance","White","Undeclared","480","440","38850","33680"
"In post","2021","Finance","White","Unknown","600","540","34290","29200"
"In post","2021","Grants Management","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Undeclared","Unknown","60","50","29130","26420"
"In post","2021","Grants Management","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Unknown","Unknown","690","660","24240","21050"
"In post","2021","Grants Management","White","Heterosexual / straight","750","670","26790","25190"
"In post","2021","Grants Management","White","LGBO","50","50","26210","24920"
"In post","2021","Grants Management","White","Undeclared","40","30","[c]","[c]"
"In post","2021","Grants Management","White","Unknown","230","200","24530","21050"
"In post","2021","Human Resources","Asian","Heterosexual / straight","420","400","36950","33290"
"In post","2021","Human Resources","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Black","Heterosexual / straight","280","270","37810","34370"
"In post","2021","Human Resources","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Mixed","Heterosexual / straight","140","130","40570","35060"
"In post","2021","Human Resources","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Human Resources","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Undeclared","210","200","36150","32300"
"In post","2021","Human Resources","Undeclared","Unknown","30","30","[c]","[c]"
"In post","2021","Human Resources","Unknown","Heterosexual / straight","60","60","38830","35470"
"In post","2021","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Undeclared","40","40","[c]","[c]"
"In post","2021","Human Resources","Unknown","Unknown","850","810","34790","31810"
"In post","2021","Human Resources","White","Heterosexual / straight","6120","5780","38230","33300"
"In post","2021","Human Resources","White","LGBO","400","390","40130","35990"
"In post","2021","Human Resources","White","Undeclared","380","360","35840","31810"
"In post","2021","Human Resources","White","Unknown","410","380","33620","31580"
"In post","2021","Internal Audit","Asian","Heterosexual / straight","70","70","46560","44020"
"In post","2021","Internal Audit","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Undeclared","30","30","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","White","Heterosexual / straight","470","450","46390","43810"
"In post","2021","Internal Audit","White","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","White","Undeclared","40","40","[c]","[c]"
"In post","2021","Internal Audit","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Asian","Heterosexual / straight","930","870","42260","40800"
"In post","2021","Legal","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Asian","Undeclared","40","30","[c]","[c]"
"In post","2021","Legal","Asian","Unknown","160","140","44160","44860"
"In post","2021","Legal","Black","Heterosexual / straight","510","500","40320","33930"
"In post","2021","Legal","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Black","Unknown","90","80","44950","43460"
"In post","2021","Legal","Chinese","Heterosexual / straight","50","40","[c]","[c]"
"In post","2021","Legal","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Mixed","Heterosexual / straight","260","250","46700","50520"
"In post","2021","Legal","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Mixed","Unknown","40","40","[c]","[c]"
"In post","2021","Legal","Other ethnicity","Heterosexual / straight","90","80","49370","51160"
"In post","2021","Legal","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Other ethnicity","Undeclared","40","30","[c]","[c]"
"In post","2021","Legal","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Heterosexual / straight","80","70","44100","38640"
"In post","2021","Legal","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Undeclared","230","210","47240","46530"
"In post","2021","Legal","Undeclared","Unknown","50","40","[c]","[c]"
"In post","2021","Legal","Unknown","Heterosexual / straight","180","170","41970","35980"
"In post","2021","Legal","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Undeclared","1560","1400","27270","22820"
"In post","2021","Legal","Unknown","Unknown","1410","1330","45800","48080"
"In post","2021","Legal","White","Heterosexual / straight","6750","6260","46270","48080"
"In post","2021","Legal","White","LGBO","470","450","46700","48810"
"In post","2021","Legal","White","Undeclared","480","440","48370","46530"
"In post","2021","Legal","White","Unknown","1280","1130","48270","52490"
"In post","2021","No function","Asian","Heterosexual / straight","7680","7230","32530","28880"
"In post","2021","No function","Asian","LGBO","230","220","32720","27710"
"In post","2021","No function","Asian","Undeclared","500","460","31070","26880"
"In post","2021","No function","Asian","Unknown","900","820","33370","28130"
"In post","2021","No function","Black","Heterosexual / straight","4880","4720","32080","29750"
"In post","2021","No function","Black","LGBO","130","130","32950","28030"
"In post","2021","No function","Black","Undeclared","300","280","32260","30220"
"In post","2021","No function","Black","Unknown","510","480","32730","30200"
"In post","2021","No function","Chinese","Heterosexual / straight","330","320","36170","32030"
"In post","2021","No function","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Undeclared","40","40","[c]","[c]"
"In post","2021","No function","Chinese","Unknown","60","60","40890","35610"
"In post","2021","No function","Mixed","Heterosexual / straight","2540","2440","34730","31650"
"In post","2021","No function","Mixed","LGBO","280","270","35240","31800"
"In post","2021","No function","Mixed","Undeclared","240","230","34750","31650"
"In post","2021","No function","Mixed","Unknown","210","200","35990","31810"
"In post","2021","No function","Other ethnicity","Heterosexual / straight","720","680","36310","32770"
"In post","2021","No function","Other ethnicity","LGBO","70","70","37770","33210"
"In post","2021","No function","Other ethnicity","Undeclared","80","80","37350","34000"
"In post","2021","No function","Other ethnicity","Unknown","110","100","36670","31650"
"In post","2021","No function","Undeclared","Heterosexual / straight","1200","1140","32360","29000"
"In post","2021","No function","Undeclared","LGBO","130","120","30690","28500"
"In post","2021","No function","Undeclared","Undeclared","4300","4040","35210","31810"
