"Status","Year","Function_of_post","Sexual_orientation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Communications","Undeclared","Unknown","60","50","40010","33300"
"In post","2021","Communications","Unknown","Declared disabled","30","30","[c]","[c]"
"In post","2021","Communications","Unknown","Declared non-disabled","340","320","35580","31810"
"In post","2021","Communications","Unknown","Undeclared","60","60","46710","42890"
"In post","2021","Communications","Unknown","Unknown","2140","2090","32730","25560"
"In post","2021","Counter Fraud","Heterosexual / straight","Declared disabled","580","530","33420","31810"
"In post","2021","Counter Fraud","Heterosexual / straight","Declared non-disabled","4820","4560","34640","31810"
"In post","2021","Counter Fraud","Heterosexual / straight","Undeclared","170","160","34070","31810"
"In post","2021","Counter Fraud","Heterosexual / straight","Unknown","290","260","32720","31810"
"In post","2021","Counter Fraud","LGBO","Declared disabled","60","50","34060","31810"
"In post","2021","Counter Fraud","LGBO","Declared non-disabled","210","200","34170","31810"
"In post","2021","Counter Fraud","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Declared disabled","90","80","34040","31470"
"In post","2021","Counter Fraud","Undeclared","Declared non-disabled","370","340","34920","31810"
"In post","2021","Counter Fraud","Undeclared","Undeclared","420","390","36570","31870"
"In post","2021","Counter Fraud","Undeclared","Unknown","60","50","35200","32100"
"In post","2021","Counter Fraud","Unknown","Declared disabled","100","90","30740","28130"
"In post","2021","Counter Fraud","Unknown","Declared non-disabled","520","480","33200","31810"
"In post","2021","Counter Fraud","Unknown","Undeclared","40","30","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Unknown","1860","1770","31390","29570"
"In post","2021","Debt","Heterosexual / straight","Declared disabled","260","220","23030","21440"
"In post","2021","Debt","Heterosexual / straight","Declared non-disabled","1720","1560","24190","21440"
"In post","2021","Debt","Heterosexual / straight","Undeclared","70","70","23770","21020"
"In post","2021","Debt","Heterosexual / straight","Unknown","100","80","24090","21400"
"In post","2021","Debt","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","LGBO","Declared non-disabled","110","110","22990","20140"
"In post","2021","Debt","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","Declared disabled","40","30","[c]","[c]"
"In post","2021","Debt","Undeclared","Declared non-disabled","160","140","23920","21440"
"In post","2021","Debt","Undeclared","Undeclared","100","90","24760","21440"
"In post","2021","Debt","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","Declared disabled","50","40","22770","21440"
"In post","2021","Debt","Unknown","Declared non-disabled","310","260","24500","21440"
"In post","2021","Debt","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","Unknown","1660","1550","21940","20140"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Declared disabled","760","730","39750","36070"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Declared non-disabled","6190","6020","42580","38630"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Undeclared","240","240","41550","38630"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Unknown","730","710","40490","36840"
"In post","2021","Digital, Data & Technology","LGBO","Declared disabled","100","100","38380","35880"
"In post","2021","Digital, Data & Technology","LGBO","Declared non-disabled","330","330","43240","38650"
"In post","2021","Digital, Data & Technology","LGBO","Undeclared","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","Unknown","50","50","39400","36030"
"In post","2021","Digital, Data & Technology","Undeclared","Declared disabled","120","110","39370","35310"
"In post","2021","Digital, Data & Technology","Undeclared","Declared non-disabled","600","580","42340","39110"
"In post","2021","Digital, Data & Technology","Undeclared","Undeclared","350","340","40460","38450"
"In post","2021","Digital, Data & Technology","Undeclared","Unknown","160","160","38090","35230"
"In post","2021","Digital, Data & Technology","Unknown","Declared disabled","100","90","35710","33730"
"In post","2021","Digital, Data & Technology","Unknown","Declared non-disabled","1400","1330","40790","39650"
"In post","2021","Digital, Data & Technology","Unknown","Undeclared","50","50","38840","35060"
"In post","2021","Digital, Data & Technology","Unknown","Unknown","2370","2330","40750","37730"
"In post","2021","Finance","Heterosexual / straight","Declared disabled","650","600","37660","33440"
"In post","2021","Finance","Heterosexual / straight","Declared non-disabled","5160","4920","40630","36770"
"In post","2021","Finance","Heterosexual / straight","Undeclared","210","200","38250","35360"
"In post","2021","Finance","Heterosexual / straight","Unknown","410","400","39690","36740"
"In post","2021","Finance","LGBO","Declared disabled","40","30","[c]","[c]"
"In post","2021","Finance","LGBO","Declared non-disabled","190","180","40810","36960"
"In post","2021","Finance","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Declared disabled","80","70","37930","31780"
"In post","2021","Finance","Undeclared","Declared non-disabled","470","440","39070","35850"
"In post","2021","Finance","Undeclared","Undeclared","230","220","39350","34460"
"In post","2021","Finance","Undeclared","Unknown","90","90","39620","38930"
"In post","2021","Finance","Unknown","Declared disabled","60","50","31580","27420"
"In post","2021","Finance","Unknown","Declared non-disabled","510","470","34910","30730"
"In post","2021","Finance","Unknown","Undeclared","60","60","40260","38630"
"In post","2021","Finance","Unknown","Unknown","1220","1150","35470","31810"
"In post","2021","Grants Management","Heterosexual / straight","Declared disabled","90","80","26600","25190"
"In post","2021","Grants Management","Heterosexual / straight","Declared non-disabled","700","630","26610","25190"
"In post","2021","Grants Management","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","LGBO","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Grants Management","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Undeclared","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Grants Management","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Unknown","Declared disabled","50","40","[c]","[c]"
"In post","2021","Grants Management","Unknown","Declared non-disabled","910","840","24450","21050"
"In post","2021","Grants Management","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Heterosexual / straight","Declared disabled","950","900","38770","34160"
"In post","2021","Human Resources","Heterosexual / straight","Declared non-disabled","5360","5080","38410","33350"
"In post","2021","Human Resources","Heterosexual / straight","Undeclared","260","250","37340","33960"
"In post","2021","Human Resources","Heterosexual / straight","Unknown","540","510","35090","30750"
"In post","2021","Human Resources","LGBO","Declared disabled","120","110","40280","35000"
"In post","2021","Human Resources","LGBO","Declared non-disabled","290","280","40830","37000"
"In post","2021","Human Resources","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","LGBO","Unknown","30","30","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Declared disabled","90","90","37760","33300"
"In post","2021","Human Resources","Undeclared","Declared non-disabled","330","310","35770","32290"
"In post","2021","Human Resources","Undeclared","Undeclared","180","170","36810","31820"
"In post","2021","Human Resources","Undeclared","Unknown","80","70","31990","29350"
"In post","2021","Human Resources","Unknown","Declared disabled","60","50","34540","30920"
"In post","2021","Human Resources","Unknown","Declared non-disabled","360","330","35150","31810"
"In post","2021","Human Resources","Unknown","Undeclared","50","50","39250","34710"
"In post","2021","Human Resources","Unknown","Unknown","880","830","34030","31380"
"In post","2021","Internal Audit","Heterosexual / straight","Declared disabled","70","60","44870","40000"
"In post","2021","Internal Audit","Heterosexual / straight","Declared non-disabled","480","460","46450","43910"
"In post","2021","Internal Audit","Heterosexual / straight","Undeclared","30","30","[c]","[c]"
"In post","2021","Internal Audit","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","Legal","Heterosexual / straight","Declared disabled","910","840","43780","40800"
"In post","2021","Legal","Heterosexual / straight","Declared non-disabled","6800","6320","46690","48830"
"In post","2021","Legal","Heterosexual / straight","Undeclared","170","160","48750","50500"
"In post","2021","Legal","Heterosexual / straight","Unknown","960","920","37600","38000"
"In post","2021","Legal","LGBO","Declared disabled","100","100","46720","43920"
"In post","2021","Legal","LGBO","Declared non-disabled","390","380","48420","50990"
"In post","2021","Legal","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","Unknown","60","60","31810","26970"
"In post","2021","Legal","Undeclared","Declared disabled","110","100","45850","45050"
"In post","2021","Legal","Undeclared","Declared non-disabled","500","460","48540","47100"
"In post","2021","Legal","Undeclared","Undeclared","160","150","51380","51250"
"In post","2021","Legal","Undeclared","Unknown","1610","1450","27640","22820"
"In post","2021","Legal","Unknown","Declared disabled","120","110","40850","34480"
"In post","2021","Legal","Unknown","Declared non-disabled","1460","1300","48300","52060"
"In post","2021","Legal","Unknown","Undeclared","30","30","[c]","[c]"
"In post","2021","Legal","Unknown","Unknown","1440","1350","45650","48080"
"In post","2021","No function","Heterosexual / straight","Declared disabled","12890","11880","31180","28080"
"In post","2021","No function","Heterosexual / straight","Declared non-disabled","90080","84460","33700","29750"
"In post","2021","No function","Heterosexual / straight","Undeclared","5580","5160","31760","30450"
"In post","2021","No function","Heterosexual / straight","Unknown","8360","7850","34960","32770"
"In post","2021","No function","LGBO","Declared disabled","1560","1520","32200","28990"
"In post","2021","No function","LGBO","Declared non-disabled","5320","5180","34850","30850"
"In post","2021","No function","LGBO","Undeclared","490","480","32290","30990"
"In post","2021","No function","LGBO","Unknown","580","570","34640","31810"
"In post","2021","No function","Undeclared","Declared disabled","1790","1610","30460","27130"
"In post","2021","No function","Undeclared","Declared non-disabled","8520","7750","32860","28400"
"In post","2021","No function","Undeclared","Undeclared","4550","4240","33800","31630"
"In post","2021","No function","Undeclared","Unknown","1030","960","37040","33610"
"In post","2021","No function","Unknown","Declared disabled","1270","1120","30580","28130"
"In post","2021","No function","Unknown","Declared non-disabled","9450","8400","32950","30620"
"In post","2021","No function","Unknown","Undeclared","3230","2920","32920","31650"
"In post","2021","No function","Unknown","Unknown","30220","28520","30260","25950"
"In post","2021","Project Delivery","Heterosexual / straight","Declared disabled","2010","1930","39340","36620"
"In post","2021","Project Delivery","Heterosexual / straight","Declared non-disabled","16370","15840","41460","38630"
"In post","2021","Project Delivery","Heterosexual / straight","Undeclared","610","590","39450","37640"
"In post","2021","Project Delivery","Heterosexual / straight","Unknown","1260","1210","41280","38630"
"In post","2021","Project Delivery","LGBO","Declared disabled","180","180","39030","34570"
"In post","2021","Project Delivery","LGBO","Declared non-disabled","640","630","42250","38610"
"In post","2021","Project Delivery","LGBO","Undeclared","60","60","40370","40030"
"In post","2021","Project Delivery","LGBO","Unknown","60","60","44360","40760"
"In post","2021","Project Delivery","Undeclared","Declared disabled","300","280","39040","37680"
"In post","2021","Project Delivery","Undeclared","Declared non-disabled","1350","1300","42210","39100"
"In post","2021","Project Delivery","Undeclared","Undeclared","970","930","39700","37320"
"In post","2021","Project Delivery","Undeclared","Unknown","300","290","42450","40080"
"In post","2021","Project Delivery","Unknown","Declared disabled","150","140","38670","35000"
"In post","2021","Project Delivery","Unknown","Declared non-disabled","1350","1300","40570","38630"
"In post","2021","Project Delivery","Unknown","Undeclared","170","170","44550","40580"
"In post","2021","Project Delivery","Unknown","Unknown","2620","2530","42220","38630"
"In post","2021","Property","Heterosexual / straight","Declared disabled","540","510","34920","32250"
"In post","2021","Property","Heterosexual / straight","Declared non-disabled","4800","4580","36000","33300"
"In post","2021","Property","Heterosexual / straight","Undeclared","220","210","34090","32860"
"In post","2021","Property","Heterosexual / straight","Unknown","340","330","31850","28870"
"In post","2021","Property","LGBO","Declared disabled","50","40","[c]","[c]"
"In post","2021","Property","LGBO","Declared non-disabled","160","150","35330","32060"
"In post","2021","Property","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Property","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Undeclared","Declared disabled","80","80","36770","33460"
"In post","2021","Property","Undeclared","Declared non-disabled","440","410","36080","33300"
"In post","2021","Property","Undeclared","Undeclared","280","260","37740","33300"
"In post","2021","Property","Undeclared","Unknown","70","70","34040","33000"
"In post","2021","Property","Unknown","Declared disabled","70","70","31310","26670"
"In post","2021","Property","Unknown","Declared non-disabled","940","890","31880","29440"
"In post","2021","Property","Unknown","Undeclared","120","110","34840","31100"
"In post","2021","Property","Unknown","Unknown","1190","1140","29410","25860"
"In post","2021","Security","Heterosexual / straight","Declared disabled","500","480","31500","28480"
"In post","2021","Security","Heterosexual / straight","Declared non-disabled","4530","4430","31000","26670"
"In post","2021","Security","Heterosexual / straight","Undeclared","310","300","32380","30440"
"In post","2021","Security","Heterosexual / straight","Unknown","690","670","30490","27680"
"In post","2021","Security","LGBO","Declared disabled","30","30","[c]","[c]"
"In post","2021","Security","LGBO","Declared non-disabled","160","160","31510","28780"
"In post","2021","Security","LGBO","Undeclared","30","30","[c]","[c]"
"In post","2021","Security","LGBO","Unknown","40","40","[c]","[c]"
"In post","2021","Security","Undeclared","Declared disabled","90","90","34180","34550"
"In post","2021","Security","Undeclared","Declared non-disabled","420","410","34450","36470"
"In post","2021","Security","Undeclared","Undeclared","330","320","35850","38630"
"In post","2021","Security","Undeclared","Unknown","120","120","33920","39070"
"In post","2021","Security","Unknown","Declared disabled","40","40","[c]","[c]"
"In post","2021","Security","Unknown","Declared non-disabled","230","220","35660","35440"
"In post","2021","Security","Unknown","Undeclared","30","30","[c]","[c]"
"In post","2021","Security","Unknown","Unknown","1220","1200","30580","27130"
"In post","2021","Unknown","Heterosexual / straight","Declared disabled","15860","14200","28730","27570"
"In post","2021","Unknown","Heterosexual / straight","Declared non-disabled","91110","84270","31000","27570"
"In post","2021","Unknown","Heterosexual / straight","Undeclared","3590","3360","28910","27570"
"In post","2021","Unknown","Heterosexual / straight","Unknown","4030","3860","37150","32140"
"In post","2021","Unknown","LGBO","Declared disabled","1570","1490","29880","27570"
"In post","2021","Unknown","LGBO","Declared non-disabled","4090","3950","31190","27570"
"In post","2021","Unknown","LGBO","Undeclared","280","270","28740","27570"
"In post","2021","Unknown","LGBO","Unknown","180","180","36010","31640"
"In post","2021","Unknown","Undeclared","Declared disabled","2370","2100","28460","27570"
"In post","2021","Unknown","Undeclared","Declared non-disabled","9170","8320","30730","27570"
"In post","2021","Unknown","Undeclared","Undeclared","2880","2720","32310","27570"
"In post","2021","Unknown","Undeclared","Unknown","500","480","36590","32980"
"In post","2021","Unknown","Unknown","Declared disabled","1720","1460","27300","27570"
"In post","2021","Unknown","Unknown","Declared non-disabled","17690","15150","27980","27570"
"In post","2021","Unknown","Unknown","Undeclared","890","800","28040","27570"
"In post","2021","Unknown","Unknown","Unknown","10790","10430","34550","29290"
"In post","2022","Analysis","Heterosexual / straight","Declared disabled","480","460","42380","38340"
"In post","2022","Analysis","Heterosexual / straight","Declared non-disabled","4200","4030","45240","40270"
"In post","2022","Analysis","Heterosexual / straight","Undeclared","140","140","44730","40720"
"In post","2022","Analysis","Heterosexual / straight","Unknown","660","640","41710","38340"
"In post","2022","Analysis","LGBO","Declared disabled","110","110","39530","37930"
"In post","2022","Analysis","LGBO","Declared non-disabled","360","360","42170","37930"
"In post","2022","Analysis","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","LGBO","Unknown","70","60","37840","33210"
"In post","2022","Analysis","Undeclared","Declared disabled","70","60","42070","35840"
"In post","2022","Analysis","Undeclared","Declared non-disabled","310","300","44300","40180"
"In post","2022","Analysis","Undeclared","Undeclared","100","90","45180","40520"
"In post","2022","Analysis","Undeclared","Unknown","190","180","48740","50710"
"In post","2022","Analysis","Unknown","Declared disabled","50","50","37710","36060"
"In post","2022","Analysis","Unknown","Declared non-disabled","810","780","40470","38070"
"In post","2022","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Unknown","880","850","41030","37020"
"In post","2022","Commercial","Heterosexual / straight","Declared disabled","340","330","39970","37850"
"In post","2022","Commercial","Heterosexual / straight","Declared non-disabled","2920","2830","43690","39450"
"In post","2022","Commercial","Heterosexual / straight","Undeclared","140","140","42900","37350"
"In post","2022","Commercial","Heterosexual / straight","Unknown","460","450","38890","36780"
"In post","2022","Commercial","LGBO","Declared disabled","30","30","[c]","[c]"
"In post","2022","Commercial","LGBO","Declared non-disabled","130","130","39160","34710"
"In post","2022","Commercial","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","LGBO","Unknown","40","30","[c]","[c]"
"In post","2022","Commercial","Undeclared","Declared disabled","50","50","38830","38190"
"In post","2022","Commercial","Undeclared","Declared non-disabled","250","230","41210","37770"
"In post","2022","Commercial","Undeclared","Undeclared","110","110","42000","40600"
"In post","2022","Commercial","Undeclared","Unknown","140","140","45290","40650"
"In post","2022","Commercial","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Declared non-disabled","210","200","48860","38070"
"In post","2022","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Unknown","1740","1710","60290","60140"
"In post","2022","Communications","Heterosexual / straight","Declared disabled","440","420","34760","33080"
"In post","2022","Communications","Heterosexual / straight","Declared non-disabled","4200","4050","36820","33080"
"In post","2022","Communications","Heterosexual / straight","Undeclared","150","140","36070","33080"
"In post","2022","Communications","Heterosexual / straight","Unknown","350","340","39590","36660"
"In post","2022","Communications","LGBO","Declared disabled","80","80","35610","33370"
"In post","2022","Communications","LGBO","Declared non-disabled","310","310","36390","33080"
"In post","2022","Communications","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","LGBO","Unknown","50","40","[c]","[c]"
"In post","2022","Communications","Undeclared","Declared disabled","60","50","34730","31700"
"In post","2022","Communications","Undeclared","Declared non-disabled","240","230","36370","33370"
"In post","2022","Communications","Undeclared","Undeclared","130","120","34640","33080"
"In post","2022","Communications","Undeclared","Unknown","190","190","45040","40650"
"In post","2022","Communications","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Declared non-disabled","260","250","36240","33080"
"In post","2022","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Unknown","2020","1970","33270","26820"
"In post","2022","Counter Fraud","Heterosexual / straight","Declared disabled","1410","1270","31240","27570"
"In post","2022","Counter Fraud","Heterosexual / straight","Declared non-disabled","8660","8070","33070","30750"
"In post","2022","Counter Fraud","Heterosexual / straight","Undeclared","320","300","31630","27570"
"In post","2022","Counter Fraud","Heterosexual / straight","Unknown","320","300","34430","33080"
"In post","2022","Counter Fraud","LGBO","Declared disabled","150","140","31860","28840"
"In post","2022","Counter Fraud","LGBO","Declared non-disabled","410","390","32480","28920"
"In post","2022","Counter Fraud","LGBO","Undeclared","40","40","[c]","[c]"
"In post","2022","Counter Fraud","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Undeclared","Declared disabled","230","210","30200","27570"
"In post","2022","Counter Fraud","Undeclared","Declared non-disabled","760","680","31800","28240"
"In post","2022","Counter Fraud","Undeclared","Undeclared","510","470","36350","33370"
"In post","2022","Counter Fraud","Undeclared","Unknown","60","60","38180","34560"
"In post","2022","Counter Fraud","Unknown","Declared disabled","190","160","30200","28110"
"In post","2022","Counter Fraud","Unknown","Declared non-disabled","1540","1350","29910","27570"
"In post","2022","Counter Fraud","Unknown","Undeclared","90","80","31670","28920"
"In post","2022","Counter Fraud","Unknown","Unknown","2320","2210","32600","31020"
"In post","2022","Debt","Heterosexual / straight","Declared disabled","590","500","23490","21260"
"In post","2022","Debt","Heterosexual / straight","Declared non-disabled","3180","2820","24020","21260"
"In post","2022","Debt","Heterosexual / straight","Undeclared","160","140","23300","21260"
"In post","2022","Debt","Heterosexual / straight","Unknown","80","70","25010","22080"
"In post","2022","Debt","LGBO","Declared disabled","70","60","23380","21260"
"In post","2022","Debt","LGBO","Declared non-disabled","210","200","23720","21260"
"In post","2022","Debt","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Debt","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Undeclared","Declared disabled","80","70","23280","21260"
"In post","2022","Debt","Undeclared","Declared non-disabled","280","240","23730","21260"
"In post","2022","Debt","Undeclared","Undeclared","120","100","23780","22080"
"In post","2022","Debt","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","Declared disabled","80","70","22970","22080"
"In post","2022","Debt","Unknown","Declared non-disabled","580","490","23920","21260"
"In post","2022","Debt","Unknown","Undeclared","40","30","[c]","[c]"
"In post","2022","Debt","Unknown","Unknown","1320","1220","23370","21250"
"In post","2022","Digital, Data & Technology","Heterosexual / straight","Declared disabled","1450","1390","39130","35110"
"In post","2022","Digital, Data & Technology","Heterosexual / straight","Declared non-disabled","11760","11430","41990","38880"
"In post","2022","Digital, Data & Technology","Heterosexual / straight","Undeclared","500","480","40110","37040"
"In post","2022","Digital, Data & Technology","Heterosexual / straight","Unknown","1070","1050","40780","37100"
"In post","2022","Digital, Data & Technology","LGBO","Declared disabled","230","220","38600","36050"
"In post","2022","Digital, Data & Technology","LGBO","Declared non-disabled","640","630","41330","37970"
"In post","2022","Digital, Data & Technology","LGBO","Undeclared","60","60","39320","33370"
"In post","2022","Digital, Data & Technology","LGBO","Unknown","80","80","39610","36500"
"In post","2022","Digital, Data & Technology","Undeclared","Declared disabled","240","230","39280","35730"
"In post","2022","Digital, Data & Technology","Undeclared","Declared non-disabled","1270","1220","40990","38470"
"In post","2022","Digital, Data & Technology","Undeclared","Undeclared","590","580","40960","37960"
"In post","2022","Digital, Data & Technology","Undeclared","Unknown","220","220","43010","40140"
"In post","2022","Digital, Data & Technology","Unknown","Declared disabled","90","80","39480","36840"
"In post","2022","Digital, Data & Technology","Unknown","Declared non-disabled","990","940","40210","35990"
"In post","2022","Digital, Data & Technology","Unknown","Undeclared","50","50","39440","36120"
"In post","2022","Digital, Data & Technology","Unknown","Unknown","2820","2770","41860","38450"
"In post","2022","Finance","Heterosexual / straight","Declared disabled","880","820","38210","34220"
"In post","2022","Finance","Heterosexual / straight","Declared non-disabled","6760","6430","40330","36500"
"In post","2022","Finance","Heterosexual / straight","Undeclared","280","270","39420","35310"
"In post","2022","Finance","Heterosexual / straight","Unknown","620","600","39090","36500"
"In post","2022","Finance","LGBO","Declared disabled","70","70","37300","31990"
"In post","2022","Finance","LGBO","Declared non-disabled","290","280","40590","36500"
"In post","2022","Finance","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","LGBO","Unknown","40","40","[c]","[c]"
"In post","2022","Finance","Undeclared","Declared disabled","110","100","36500","33000"
"In post","2022","Finance","Undeclared","Declared non-disabled","590","550","39720","36850"
"In post","2022","Finance","Undeclared","Undeclared","290","270","39800","35310"
"In post","2022","Finance","Undeclared","Unknown","240","240","40790","36820"
"In post","2022","Finance","Unknown","Declared disabled","70","70","32340","28670"
"In post","2022","Finance","Unknown","Declared non-disabled","820","750","37400","33400"
"In post","2022","Finance","Unknown","Undeclared","50","40","[c]","[c]"
"In post","2022","Finance","Unknown","Unknown","1250","1180","36330","33080"
