"Status","Year","Region_ITL3","Sexual_orientation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Angus and Dundee City","Undeclared","Unknown","90","80","23430","21010"
"In post","2021","Angus and Dundee City","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","No function","140","130","22390","20140"
"In post","2021","Angus and Dundee City","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Unknown","310","280","25560","21010"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","No function","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","Security","60","60","21210","20310"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","Unknown","80","80","25120","21670"
"In post","2021","Antrim and Newtownabbey","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Heterosexual / straight","No function","40","30","[c]","[c]"
"In post","2021","Ards and North Down","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Heterosexual / straight","Security","80","80","20760","20310"
"In post","2021","Ards and North Down","Heterosexual / straight","Unknown","50","40","[c]","[c]"
"In post","2021","Ards and North Down","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Heterosexual / straight","No function","90","80","28670","26410"
"In post","2021","Barking & Dagenham and Havering","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Heterosexual / straight","Unknown","310","280","30810","31060"
"In post","2021","Barking & Dagenham and Havering","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Unknown","120","100","31520","31060"
"In post","2021","Barnet","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Heterosexual / straight","No function","720","670","38190","32650"
"In post","2021","Barnet","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Heterosexual / straight","Unknown","330","320","35590","31060"
"In post","2021","Barnet","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","LGBO","No function","50","40","[c]","[c]"
"In post","2021","Barnet","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","No function","90","90","42930","33100"
"In post","2021","Barnet","Undeclared","Unknown","40","40","[c]","[c]"
"In post","2021","Barnet","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","No function","240","220","50040","44950"
"In post","2021","Barnet","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Unknown","70","60","32100","31060"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","No function","1030","950","28400","26780"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","Security","50","50","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","Unknown","920","790","25310","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","No function","70","60","28310","26300"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","Unknown","50","50","26490","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","No function","120","110","29960","28860"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Unknown","100","80","24520","25720"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","No function","240","230","26340","25400"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Unknown","330","270","24650","26120"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","Analysis","50","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","Commercial","460","450","42360","40290"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","Communications","60","60","38980","36240"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","Digital, Data & Technology","120","110","36760","36620"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","Finance","550","520","40660","35660"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","Human Resources","490","460","35990","32030"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","No function","700","660","31870","31650"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","Project Delivery","6540","6340","38710","36590"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","Property","240","230","39240","37490"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","Security","80","80","27640","19560"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","Unknown","980","920","33840","28430"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","No function","50","50","28860","28530"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","Project Delivery","240","240","33560","31700"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","Unknown","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Commercial","80","80","44040","40580"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Finance","70","70","39980","36920"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Human Resources","60","50","35430","32710"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","No function","100","90","30790","29460"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Project Delivery","950","910","42040","40880"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Property","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Unknown","160","150","34140","30580"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Commercial","80","70","54820","43180"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Finance","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Human Resources","50","50","31040","22600"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","No function","170","150","30010","28840"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Project Delivery","600","580","35110","32700"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Unknown","100","90","29890","27570"
"In post","2021","Bedford","Heterosexual / straight","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Heterosexual / straight","No function","330","310","31620","30400"
"In post","2021","Bedford","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Heterosexual / straight","Unknown","220","200","28310","27570"
"In post","2021","Bedford","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","No function","40","40","[c]","[c]"
"In post","2021","Bedford","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","Human Resources","[c]","[c]","[c]","[c]"
