"Status","Year","Sex","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Charity Commission","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Unknown","140","130","32370","29160"
"In post","2021","Female","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Economics","40","40","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Legal","70","70","69330","71370"
"In post","2021","Female","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Project Delivery","200","190","58740","55860"
"In post","2021","Female","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Commercial","130","120","41130","39650"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Communications","150","140","43890","40050"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Counter Fraud","110","100","38790","39170"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","310","290","39670","37240"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Economics","120","110","46770","39570"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Finance","190","180","43100","40050"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Human Resources","300","280","39880","37420"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Legal","50","40","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Operational Delivery","2410","2210","29980","26290"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Policy","2000","1930","47730","44720"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Project Delivery","200","190","42080","39670"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Science and Engineering","400","370","39490","39650"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Human Resources","40","40","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Other","60","60","36790","34280"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Policy","600","590","48110","51730"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Project Delivery","110","110","46650","51730"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Education","Commercial","200","190","39790","37100"
"In post","2021","Female","Department for Education","Communications","210","200","38680","36780"
"In post","2021","Female","Department for Education","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Education","Digital, Data and Technology","410","380","40530","37100"
"In post","2021","Female","Department for Education","Finance","410","390","41770","37760"
"In post","2021","Female","Department for Education","Human Resources","120","120","35030","30110"
"In post","2021","Female","Department for Education","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Education","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Education","Legal","50","40","[c]","[c]"
"In post","2021","Female","Department for Education","Operational Delivery","980","930","41250","36960"
"In post","2021","Female","Department for Education","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Education","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Education","Policy","1980","1860","45250","40780"
"In post","2021","Female","Department for Education","Project Delivery","30","30","[c]","[c]"
"In post","2021","Female","Department for Education","Property","250","240","48020","50130"
"In post","2021","Female","Department for Education","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Commercial","100","100","36680","36520"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Communications","180","170","40850","37300"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","290","270","42020","39050"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Economics","60","60","44940","48990"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Finance","210","200","40040","36970"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Human Resources","200","190","42870","38600"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Operational Delivery","2260","2030","26220","24920"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Policy","1410","1340","42900","38750"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Project Delivery","220","200","40610","36520"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Property","210","200","34030","30040"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Science and Engineering","720","660","32180","29270"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Statistics","40","40","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Veterinarian","220","210","44360","38560"
"In post","2021","Female","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for International Trade","Communications","80","80","42390","38540"
"In post","2021","Female","Department for International Trade","Digital, Data and Technology","60","60","44730","43000"
"In post","2021","Female","Department for International Trade","Economics","50","50","42710","34110"
"In post","2021","Female","Department for International Trade","Finance","40","40","[c]","[c]"
"In post","2021","Female","Department for International Trade","Human Resources","90","80","43970","38540"
"In post","2021","Female","Department for International Trade","International Trade","570","560","47260","48220"
"In post","2021","Female","Department for International Trade","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for International Trade","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for International Trade","Operational Delivery","50","50","35070","32120"
"In post","2021","Female","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for International Trade","Other","100","100","37230","32120"
"In post","2021","Female","Department for International Trade","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for International Trade","Policy","100","100","44780","38540"
"In post","2021","Female","Department for International Trade","Project Delivery","30","30","[c]","[c]"
"In post","2021","Female","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for International Trade","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for International Trade","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Transport","Commercial","150","130","36710","32180"
"In post","2021","Female","Department for Transport","Communications","170","160","36680","33350"
"In post","2021","Female","Department for Transport","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Transport","Digital, Data and Technology","330","320","35620","32180"
"In post","2021","Female","Department for Transport","Economics","60","60","48160","54110"
"In post","2021","Female","Department for Transport","Finance","230","220","37900","33350"
"In post","2021","Female","Department for Transport","Human Resources","290","270","37440","33350"
"In post","2021","Female","Department for Transport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Transport","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Transport","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Transport","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","Female","Department for Transport","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Transport","Medicine","40","30","[c]","[c]"
"In post","2021","Female","Department for Transport","Operational Delivery","4330","3620","23440","21590"
"In post","2021","Female","Department for Transport","Operational Research","40","30","[c]","[c]"
"In post","2021","Female","Department for Transport","Other","250","240","35430","30540"
"In post","2021","Female","Department for Transport","Policy","610","580","43210","40080"
"In post","2021","Female","Department for Transport","Project Delivery","300","290","46250","42470"
"In post","2021","Female","Department for Transport","Property","80","70","31200","26780"
"In post","2021","Female","Department for Transport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Transport","Security","100","90","40990","37220"
"In post","2021","Female","Department for Transport","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Transport","Statistics","60","50","45950","42890"
"In post","2021","Female","Department for Transport","Unknown","100","90","48650","42470"
"In post","2021","Female","Department for Work and Pensions","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Work and Pensions","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Work and Pensions","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Work and Pensions","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Work and Pensions","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Work and Pensions","Human Resources","30","30","[c]","[c]"
"In post","2021","Female","Department for Work and Pensions","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Work and Pensions","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Work and Pensions","Operational Delivery","880","800","37610","31710"
"In post","2021","Female","Department for Work and Pensions","Policy","50","40","[c]","[c]"
"In post","2021","Female","Department for Work and Pensions","Project Delivery","30","30","[c]","[c]"
"In post","2021","Female","Department for Work and Pensions","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Work and Pensions","Science and Engineering","210","190","38210","35910"
"In post","2021","Female","Department for Work and Pensions","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Work and Pensions","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Work and Pensions","Unknown","59540","51290","27230","27570"
"In post","2021","Female","Department of Health and Social Care","Commercial","130","130","45170","40650"
"In post","2021","Female","Department of Health and Social Care","Communications","190","180","43530","37830"
"In post","2021","Female","Department of Health and Social Care","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department of Health and Social Care","Digital, Data and Technology","150","150","43420","39110"
"In post","2021","Female","Department of Health and Social Care","Economics","50","40","[c]","[c]"
"In post","2021","Female","Department of Health and Social Care","Finance","290","280","38610","33970"
"In post","2021","Female","Department of Health and Social Care","Human Resources","220","210","42610","36820"
"In post","2021","Female","Department of Health and Social Care","Intelligence Analysis","120","110","54280","53360"
"In post","2021","Female","Department of Health and Social Care","Knowledge and Information Management","400","350","38420","36340"
"In post","2021","Female","Department of Health and Social Care","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department of Health and Social Care","Medicine","350","300","89400","92370"
"In post","2021","Female","Department of Health and Social Care","Operational Delivery","2500","2240","38220","33060"
"In post","2021","Female","Department of Health and Social Care","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department of Health and Social Care","Other","160","150","48970","46200"
"In post","2021","Female","Department of Health and Social Care","Policy","1140","1110","45790","40650"
"In post","2021","Female","Department of Health and Social Care","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department of Health and Social Care","Science and Engineering","1780","1620","40650","38710"
"In post","2021","Female","Department of Health and Social Care","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department of Health and Social Care","Statistics","30","30","[c]","[c]"
"In post","2021","Female","Department of Health and Social Care","Unknown","130","130","41010","40450"
"In post","2021","Female","ESTYN","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Inspector of Education and Training","30","30","[c]","[c]"
"In post","2021","Female","ESTYN","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Operational Delivery","160","160","34140","30810"
"In post","2021","Female","Food Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Policy","100","90","41520","37910"
"In post","2021","Female","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Science and Engineering","50","50","41370","37910"
"In post","2021","Female","Food Standards Agency","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Veterinarian","30","30","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Commercial","90","90","43040","39860"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Communications","90","80","46990","42200"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Digital, Data and Technology","90","90","41290","39630"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Economics","80","70","48460","52840"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Finance","140","130","41180","36520"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Human Resources","190","180","43120","37590"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Intelligence Analysis","100","100","43680","38860"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Internal Audit","40","40","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Knowledge and Information Management","70","70","41340","36080"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Legal","50","40","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Operational Delivery","410","380","32920","28000"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Other","160","160","62360","64840"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Policy","2000","1960","49170","48390"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Project Delivery","280","270","40800","38600"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Property","80","80","39930","34160"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Security","80","80","37250","33930"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Unknown","180","180","49840","44880"
"In post","2021","Female","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Land Registry","Digital, Data and Technology","240","210","37460","38450"
"In post","2021","Female","HM Land Registry","Finance","40","40","[c]","[c]"
"In post","2021","Female","HM Land Registry","Human Resources","70","60","38040","33840"
"In post","2021","Female","HM Land Registry","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Land Registry","Legal","160","140","48960","57000"
"In post","2021","Female","HM Land Registry","Operational Delivery","3160","2760","27780","27130"
"In post","2021","Female","HM Land Registry","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Land Registry","Project Delivery","80","70","40820","38550"
"In post","2021","Female","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Revenue and Customs","Commercial","40","40","[c]","[c]"
"In post","2021","Female","HM Revenue and Customs","Communications","150","150","44410","39510"
"In post","2021","Female","HM Revenue and Customs","Digital, Data and Technology","700","660","40000","38630"
"In post","2021","Female","HM Revenue and Customs","Economics","40","30","[c]","[c]"
"In post","2021","Female","HM Revenue and Customs","Finance","950","800","31450","25560"
"In post","2021","Female","HM Revenue and Customs","Human Resources","490","460","41580","38630"
"In post","2021","Female","HM Revenue and Customs","Intelligence Analysis","90","80","36840","31960"
"In post","2021","Female","HM Revenue and Customs","Internal Audit","40","40","[c]","[c]"
"In post","2021","Female","HM Revenue and Customs","International Trade","70","60","33910","31810"
"In post","2021","Female","HM Revenue and Customs","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Revenue and Customs","Legal","1630","1520","32690","29570"
"In post","2021","Female","HM Revenue and Customs","Operational Delivery","16800","14080","25400","21440"
"In post","2021","Female","HM Revenue and Customs","Operational Research","50","50","43770","38630"
"In post","2021","Female","HM Revenue and Customs","Other","260","220","40370","36160"
"In post","2021","Female","HM Revenue and Customs","Policy","550","510","50630","52580"
"In post","2021","Female","HM Revenue and Customs","Project Delivery","1370","1290","41910","38630"
"In post","2021","Female","HM Revenue and Customs","Property","990","880","34470","31100"
"In post","2021","Female","HM Revenue and Customs","Security","70","60","36980","38630"
"In post","2021","Female","HM Revenue and Customs","Social Research","60","60","45290","41760"
"In post","2021","Female","HM Revenue and Customs","Statistics","120","120","43910","38630"
"In post","2021","Female","HM Revenue and Customs","Tax","8390","7750","31970","31810"
"In post","2021","Female","HM Revenue and Customs","Unknown","2150","2030","32290","25560"
"In post","2021","Female","HM Treasury","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Treasury","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Treasury","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Treasury","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Treasury","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Treasury","Economics","80","80","44710","39940"
"In post","2021","Female","HM Treasury","Finance","50","50","46250","44020"
"In post","2021","Female","HM Treasury","Human Resources","70","70","43810","39590"
"In post","2021","Female","HM Treasury","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Treasury","Internal Audit","160","150","47530","44190"
"In post","2021","Female","HM Treasury","Knowledge and Information Management","[c]","[c]","[c]","[c]"
