"Status","Year","Function_of_post","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Statistics","Male","950","930","43630","39850"
"In post","2021","Analysis","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Female","40","30","[c]","[c]"
"In post","2021","Analysis","Unknown","Male","60","60","44470","41760"
"In post","2021","Commercial","Commercial","Female","2210","2100","38880","36460"
"In post","2021","Commercial","Commercial","Male","1880","1850","42360","40000"
"In post","2021","Commercial","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Female","40","40","[c]","[c]"
"In post","2021","Commercial","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Female","330","310","30720","26670"
"In post","2021","Commercial","Knowledge and Information Management","Male","360","350","36140","33300"
"In post","2021","Commercial","Operational Delivery","Female","180","170","36510","33790"
"In post","2021","Commercial","Operational Delivery","Male","230","220","48070","41100"
"In post","2021","Commercial","Other","Female","30","30","[c]","[c]"
"In post","2021","Commercial","Other","Male","30","30","[c]","[c]"
"In post","2021","Commercial","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Male","50","50","47750","43600"
"In post","2021","Commercial","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Male","90","90","41890","41970"
"In post","2021","Commercial","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Female","670","650","65860","62010"
"In post","2021","Commercial","Unknown","Male","770","760","73540","65000"
"In post","2021","Commercial","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Female","2010","1910","41090","37910"
"In post","2021","Communications","Communications","Male","1420","1400","41630","37920"
"In post","2021","Communications","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","Female","760","690","29930","26520"
"In post","2021","Communications","Operational Delivery","Male","760","750","29870","25980"
"In post","2021","Communications","Other","Female","80","80","30500","27290"
"In post","2021","Communications","Other","Male","170","170","23790","20410"
"In post","2021","Communications","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Tax","Female","970","920","27400","25560"
"In post","2021","Communications","Tax","Male","1170","1150","27390","25560"
"In post","2021","Communications","Unknown","Female","440","430","38720","33390"
"In post","2021","Communications","Unknown","Male","350","350","36880","31810"
"In post","2021","Counter Fraud","Counter Fraud","Female","270","260","38820","36030"
"In post","2021","Counter Fraud","Counter Fraud","Male","400","390","42080","39490"
"In post","2021","Counter Fraud","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Intelligence Analysis","Female","90","80","36840","31960"
"In post","2021","Counter Fraud","Intelligence Analysis","Male","110","110","38700","36160"
"In post","2021","Counter Fraud","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Legal","Female","1400","1310","30010","28130"
"In post","2021","Counter Fraud","Legal","Male","1930","1880","32370","31810"
"In post","2021","Counter Fraud","Operational Delivery","Female","1630","1440","29530","28130"
"In post","2021","Counter Fraud","Operational Delivery","Male","1260","1220","30940","28130"
"In post","2021","Counter Fraud","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other","Female","180","150","36950","31810"
"In post","2021","Counter Fraud","Other","Male","160","150","40580","35000"
"In post","2021","Counter Fraud","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Tax","Female","820","750","37430","32100"
"In post","2021","Counter Fraud","Tax","Male","1090","1040","40690","36160"
"In post","2021","Counter Fraud","Unknown","Female","100","100","39130","34550"
"In post","2021","Counter Fraud","Unknown","Male","120","120","38380","32210"
"In post","2021","Debt","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Operational Delivery","Female","2080","1740","23890","21440"
"In post","2021","Debt","Operational Delivery","Male","1500","1420","24020","21440"
"In post","2021","Debt","Tax","Female","520","500","20810","20140"
"In post","2021","Debt","Tax","Male","470","470","20670","20140"
"In post","2021","Debt","Unknown","Female","40","40","[c]","[c]"
"In post","2021","Debt","Unknown","Male","50","50","[c]","[c]"
"In post","2021","Digital, Data & Technology","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Female","3840","3660","39970","36780"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Male","7000","6900","41480","38450"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","Female","70","60","35040","33640"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","Male","80","80","40350","39120"
"In post","2021","Digital, Data & Technology","Operational Delivery","Female","250","240","33760","31810"
"In post","2021","Digital, Data & Technology","Operational Delivery","Male","220","220","36820","31810"
"In post","2021","Digital, Data & Technology","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Science and Engineering","Female","160","150","39320","39650"
"In post","2021","Digital, Data & Technology","Science and Engineering","Male","370","350","44190","40880"
"In post","2021","Digital, Data & Technology","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Tax","Female","40","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","Tax","Male","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Female","550","530","47440","47720"
"In post","2021","Digital, Data & Technology","Unknown","Male","790","780","50080","54700"
"In post","2021","Finance","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Corporate Finance","Female","80","70","43860","40800"
"In post","2021","Finance","Corporate Finance","Male","60","60","49560","46080"
"In post","2021","Finance","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Economics","Female","50","50","44150","36820"
"In post","2021","Finance","Economics","Male","50","50","[c]","[c]"
"In post","2021","Finance","Finance","Female","4270","3940","37290","33300"
"In post","2021","Finance","Finance","Male","3290","3220","43000","39000"
"In post","2021","Finance","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Operational Delivery","Female","490","430","28080","25560"
"In post","2021","Finance","Operational Delivery","Male","370","360","29810","25560"
"In post","2021","Finance","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other","Female","110","100","39790","33110"
"In post","2021","Finance","Other","Male","50","40","[c]","[c]"
"In post","2021","Finance","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Project Delivery","Female","40","30","[c]","[c]"
"In post","2021","Finance","Project Delivery","Male","40","40","[c]","[c]"
"In post","2021","Finance","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Tax","Female","30","30","[c]","[c]"
"In post","2021","Finance","Tax","Male","30","30","[c]","[c]"
"In post","2021","Finance","Unknown","Female","160","150","41220","37530"
"In post","2021","Finance","Unknown","Male","180","170","46630","40290"
"In post","2021","Grants Management","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Operational Delivery","Female","1090","950","25060","21050"
"In post","2021","Grants Management","Operational Delivery","Male","800","780","25980","24920"
"In post","2021","Grants Management","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Female","4940","4620","37860","33300"
"In post","2021","Human Resources","Human Resources","Male","1990","1950","39350","35000"
"In post","2021","Human Resources","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Operational Delivery","Female","650","590","29380","25560"
"In post","2021","Human Resources","Operational Delivery","Male","290","280","30260","25560"
"In post","2021","Human Resources","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Policy","Female","60","60","36150","36030"
"In post","2021","Human Resources","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Tax","Female","90","90","36330","31810"
"In post","2021","Human Resources","Tax","Male","80","80","35670","31810"
"In post","2021","Human Resources","Unknown","Female","860","820","39560","35590"
"In post","2021","Human Resources","Unknown","Male","460","450","38940","34550"
"In post","2021","Internal Audit","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Internal Audit","Female","380","360","43830","41340"
"In post","2021","Internal Audit","Internal Audit","Male","360","350","48160","45390"
"In post","2021","Internal Audit","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Legal","Female","5520","4990","53330","52490"
"In post","2021","Legal","Legal","Male","3120","3020","56240","55610"
"In post","2021","Legal","Operational Delivery","Female","3610","3240","26990","25480"
"In post","2021","Legal","Operational Delivery","Male","1560","1510","28070","25560"
"In post","2021","Legal","Other","Female","240","230","31110","27580"
"In post","2021","Legal","Other","Male","120","120","30770","27350"
"In post","2021","Legal","Policy","Female","40","40","[c]","[c]"
"In post","2021","Legal","Policy","Male","40","30","[c]","[c]"
"In post","2021","Legal","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Tax","Female","170","160","37570","33680"
"In post","2021","Legal","Tax","Male","180","180","40090","37390"
"In post","2021","Legal","Unknown","Female","110","100","55110","59160"
"In post","2021","Legal","Unknown","Male","90","90","60190","59160"
"In post","2021","No function","Commercial","Female","140","130","41800","36780"
"In post","2021","No function","Commercial","Male","150","150","46450","43000"
"In post","2021","No function","Communications","Female","70","70","42640","39200"
"In post","2021","No function","Communications","Male","50","50","39810","38540"
"In post","2021","No function","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","No function","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","No function","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","No function","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","No function","Digital, Data and Technology","Female","100","90","37500","32140"
"In post","2021","No function","Digital, Data and Technology","Male","130","130","41090","36960"
"In post","2021","No function","Economics","Female","190","180","47630","51610"
"In post","2021","No function","Economics","Male","280","280","48310","48410"
"In post","2021","No function","Finance","Female","210","200","41040","37100"
"In post","2021","No function","Finance","Male","200","200","45380","40230"
"In post","2021","No function","Human Resources","Female","50","50","42190","38390"
"In post","2021","No function","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","No function","Inspector of Education and Training","Female","600","590","63550","64500"
"In post","2021","No function","Inspector of Education and Training","Male","260","250","73380","75500"
"In post","2021","No function","Intelligence Analysis","Female","310","290","29880","27380"
"In post","2021","No function","Intelligence Analysis","Male","180","170","34130","32040"
"In post","2021","No function","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","No function","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","No function","International Trade","Female","640","630","45850","39590"
"In post","2021","No function","International Trade","Male","820","820","47820","42470"
"In post","2021","No function","Knowledge and Information Management","Female","640","580","37380","34010"
"In post","2021","No function","Knowledge and Information Management","Male","340","330","40320","36800"
"In post","2021","No function","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","No function","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","No function","Medicine","Female","280","240","96970","96860"
"In post","2021","No function","Medicine","Male","170","150","106540","105470"
"In post","2021","No function","Operational Delivery","Female","69120","61620","27500","24360"
"In post","2021","No function","Operational Delivery","Male","57670","55090","30130","27460"
"In post","2021","No function","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Operational Research","Female","130","120","42950","46080"
"In post","2021","No function","Operational Research","Male","170","170","45790","46090"
"In post","2021","No function","Other","Female","1260","1190","35760","30850"
"In post","2021","No function","Other","Male","1060","1010","44550","35740"
"In post","2021","No function","Planning","Female","80","70","46620","42140"
"In post","2021","No function","Planning","Male","70","70","46190","40590"
"In post","2021","No function","Planning Inspectors","Female","130","110","57850","58810"
"In post","2021","No function","Planning Inspectors","Male","220","190","57960","58810"
"In post","2021","No function","Policy","Female","11040","10630","45570","40220"
"In post","2021","No function","Policy","Male","9600","9520","48450","46660"
"In post","2021","No function","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Project Delivery","Female","110","110","41030","36770"
"In post","2021","No function","Project Delivery","Male","110","100","42660","36800"
"In post","2021","No function","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","No function","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","No function","Psychology","Female","1220","1160","35420","31180"
"In post","2021","No function","Psychology","Male","170","160","36350","30450"
"In post","2021","No function","Science and Engineering","Female","3160","2910","38220","36730"
"In post","2021","No function","Science and Engineering","Male","3800","3690","41780","39940"
"In post","2021","No function","Security","Female","80","70","45830","42890"
"In post","2021","No function","Security","Male","120","110","45410","44030"
"In post","2021","No function","Social Research","Female","30","30","[c]","[c]"
"In post","2021","No function","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","No function","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2021","No function","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","No function","Tax","Female","5690","5210","32760","31810"
"In post","2021","No function","Tax","Male","6250","5980","35460","31810"
"In post","2021","No function","Unknown","Female","3780","3650","35910","30880"
"In post","2021","No function","Unknown","Male","3490","3460","36290","31810"
"In post","2021","No function","Veterinarian","Female","240","230","44110","38390"
"In post","2021","No function","Veterinarian","Male","190","180","46590","46450"
"In post","2021","Project Delivery","Commercial","Female","410","380","36930","34090"
"In post","2021","Project Delivery","Commercial","Male","400","390","40390","37400"
"In post","2021","Project Delivery","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Digital, Data and Technology","Female","110","100","37820","37320"
"In post","2021","Project Delivery","Digital, Data and Technology","Male","330","320","44380","44400"
"In post","2021","Project Delivery","Economics","Female","40","40","[c]","[c]"
"In post","2021","Project Delivery","Economics","Male","70","60","56830","56610"
"In post","2021","Project Delivery","Finance","Female","230","210","42330","39860"
"In post","2021","Project Delivery","Finance","Male","180","180","44040","41000"
"In post","2021","Project Delivery","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Knowledge and Information Management","Female","70","60","37270","37320"
"In post","2021","Project Delivery","Knowledge and Information Management","Male","130","120","37230","35790"
"In post","2021","Project Delivery","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Medicine","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Medicine","Male","30","30","[c]","[c]"
"In post","2021","Project Delivery","Operational Delivery","Female","1120","1030","33650","30630"
"In post","2021","Project Delivery","Operational Delivery","Male","780","760","38550","36110"
