"Status","Year","Organisation","Disability","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Charity Commission","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","SEO/HEO","110","110","32340","29280"
"In post","2021","Charity Commission","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","EO","50","50","25010","24440"
"In post","2021","Charity Commission","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","SEO/HEO","110","100","33550","31500"
"In post","2021","Companies House","Declared disabled","AA/AO","30","30","[c]","[c]"
"In post","2021","Companies House","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Declared non-disabled","AA/AO","220","190","21700","22490"
"In post","2021","Companies House","Declared non-disabled","EO","180","170","27590","27460"
"In post","2021","Companies House","Declared non-disabled","G6/G7","50","50","57620","55710"
"In post","2021","Companies House","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Declared non-disabled","SEO/HEO","220","210","38720","38000"
"In post","2021","Companies House","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","AA/AO","150","130","21700","22490"
"In post","2021","Companies House","Unknown","EO","80","70","28030","27460"
"In post","2021","Companies House","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","EO","70","60","28370","27920"
"In post","2021","Competition and Markets Authority","Declared non-disabled","G6/G7","360","350","65530","62100"
"In post","2021","Competition and Markets Authority","Declared non-disabled","SCS","90","90","107820","100770"
"In post","2021","Competition and Markets Authority","Declared non-disabled","SEO/HEO","170","170","37850","34870"
"In post","2021","Competition and Markets Authority","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","G6/G7","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared non-disabled","AA/AO","60","50","20030","19930"
"In post","2021","Criminal Injuries Compensation Authority","Declared non-disabled","EO","40","40","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared non-disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared non-disabled","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","AA/AO","30","30","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared non-disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared non-disabled","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared non-disabled","G6/G7","50","50","53600","54140"
"In post","2021","Crown Commercial Service","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared non-disabled","SEO/HEO","120","120","33710","34800"
"In post","2021","Crown Commercial Service","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","EO","90","80","23370","22230"
"In post","2021","Crown Commercial Service","Unknown","G6/G7","130","130","52440","52000"
"In post","2021","Crown Commercial Service","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","SEO/HEO","280","270","32830","33340"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared disabled","AA/AO","30","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared disabled","SEO/HEO","50","50","43920","40970"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared non-disabled","AA/AO","640","570","21930","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared non-disabled","EO","290","280","27340","26570"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared non-disabled","G6/G7","180","170","66520","68470"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared non-disabled","SEO/HEO","670","630","41710","37940"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Declared disabled","AA/AO","160","140","22460","21950"
"In post","2021","Crown Prosecution Service","Declared disabled","EO","140","120","28210","28430"
"In post","2021","Crown Prosecution Service","Declared disabled","G6/G7","310","290","59020","55610"
"In post","2021","Crown Prosecution Service","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Declared disabled","SEO/HEO","110","100","36430","35020"
"In post","2021","Crown Prosecution Service","Declared non-disabled","AA/AO","840","740","22730","21950"
"In post","2021","Crown Prosecution Service","Declared non-disabled","EO","960","880","28100","28430"
"In post","2021","Crown Prosecution Service","Declared non-disabled","G6/G7","2040","1890","58130","55610"
"In post","2021","Crown Prosecution Service","Declared non-disabled","SCS","70","70","92780","88150"
"In post","2021","Crown Prosecution Service","Declared non-disabled","SEO/HEO","640","620","35600","34480"
"In post","2021","Crown Prosecution Service","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Unknown","AA/AO","460","440","21260","21000"
"In post","2021","Crown Prosecution Service","Unknown","EO","260","250","27300","26970"
"In post","2021","Crown Prosecution Service","Unknown","G6/G7","510","480","54810","54200"
"In post","2021","Crown Prosecution Service","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Unknown","SEO/HEO","230","230","37470","38000"
"In post","2021","Crown Prosecution Service Inspectorate","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Declared non-disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Declared non-disabled","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Declared non-disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Declared non-disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Declared non-disabled","EO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Declared non-disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Declared non-disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Unknown","G6/G7","60","60","71790","67240"
"In post","2021","Debt Management Office","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Unknown","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Declared non-disabled","AA/AO","50","50","19580","21000"
"In post","2021","Defence Electronics and Components Agency","Declared non-disabled","EO","120","110","28150","28750"
"In post","2021","Defence Electronics and Components Agency","Declared non-disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Declared non-disabled","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Undeclared","AA/AO","30","30","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Undeclared","EO","120","120","28010","28110"
"In post","2021","Defence Electronics and Components Agency","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Undeclared","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Declared disabled","EO","290","270","22630","21850"
"In post","2021","Defence Equipment and Support","Declared disabled","G6/G7","140","130","56380","55210"
"In post","2021","Defence Equipment and Support","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Declared disabled","SEO/HEO","650","630","35790","35430"
"In post","2021","Defence Equipment and Support","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Declared non-disabled","EO","1840","1770","22290","21220"
"In post","2021","Defence Equipment and Support","Declared non-disabled","G6/G7","1250","1220","56870","55210"
"In post","2021","Defence Equipment and Support","Declared non-disabled","SCS","90","90","104740","95170"
"In post","2021","Defence Equipment and Support","Declared non-disabled","SEO/HEO","4660","4510","35450","34850"
"In post","2021","Defence Equipment and Support","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Undeclared","EO","110","110","22840","22560"
"In post","2021","Defence Equipment and Support","Undeclared","G6/G7","120","120","57200","55530"
"In post","2021","Defence Equipment and Support","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Undeclared","SEO/HEO","460","440","36770","37400"
"In post","2021","Defence Equipment and Support","Unknown","EO","370","350","21560","20510"
"In post","2021","Defence Equipment and Support","Unknown","G6/G7","160","160","56940","55420"
"In post","2021","Defence Equipment and Support","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Unknown","SEO/HEO","540","520","36030","36230"
"In post","2021","Defence Science and Technology Laboratory","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Declared disabled","EO","40","30","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Declared disabled","G6/G7","170","160","50480","46650"
"In post","2021","Defence Science and Technology Laboratory","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Declared disabled","SEO/HEO","240","230","33060","32000"
