"Status","Year","Responsibility_level","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Barnet","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnet","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnet","Unknown","50","40","[c]","[c]"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Heterosexual / straight","980","870","23010","21010"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","LGBO","60","60","23760","21010"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Undeclared","110","100","24260","21010"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Unknown","350","300","22960","21010"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","510","470","22820","21010"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","40","40","[c]","[c]"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","80","70","23720","21360"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","130","120","23600","21550"
"In post","2021","AA/AO","Bedford","Heterosexual / straight","190","180","26140","27850"
"In post","2021","AA/AO","Bedford","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedford","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedford","Unknown","70","60","24910","22850"
"In post","2021","AA/AO","Belfast","Heterosexual / straight","540","480","20780","21420"
"In post","2021","AA/AO","Belfast","LGBO","30","30","[c]","[c]"
"In post","2021","AA/AO","Belfast","Undeclared","50","40","20800","21420"
"In post","2021","AA/AO","Belfast","Unknown","380","340","20480","20140"
"In post","2021","AA/AO","Berkshire","Heterosexual / straight","620","600","27420","25540"
"In post","2021","AA/AO","Berkshire","LGBO","40","30","[c]","[c]"
"In post","2021","AA/AO","Berkshire","Undeclared","100","90","29640","25540"
"In post","2021","AA/AO","Berkshire","Unknown","250","230","26970","25540"
"In post","2021","AA/AO","Bexley and Greenwich","Heterosexual / straight","530","510","28230","27240"
"In post","2021","AA/AO","Bexley and Greenwich","LGBO","30","30","[c]","[c]"
"In post","2021","AA/AO","Bexley and Greenwich","Undeclared","60","60","28950","30150"
"In post","2021","AA/AO","Bexley and Greenwich","Unknown","260","240","28730","28720"
"In post","2021","AA/AO","Birmingham","Heterosexual / straight","2090","1900","21110","20140"
"In post","2021","AA/AO","Birmingham","LGBO","100","100","21230","20140"
"In post","2021","AA/AO","Birmingham","Undeclared","290","260","20970","20520"
"In post","2021","AA/AO","Birmingham","Unknown","1090","980","20810","20140"
"In post","2021","AA/AO","Blackburn with Darwen","Heterosexual / straight","100","80","21130","21010"
"In post","2021","AA/AO","Blackburn with Darwen","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Blackburn with Darwen","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Blackburn with Darwen","Unknown","50","40","[c]","[c]"
"In post","2021","AA/AO","Blackpool","Heterosexual / straight","1130","1020","20870","21010"
"In post","2021","AA/AO","Blackpool","LGBO","80","80","20940","21010"
"In post","2021","AA/AO","Blackpool","Undeclared","110","100","20840","21010"
"In post","2021","AA/AO","Blackpool","Unknown","440","370","20750","21010"
"In post","2021","AA/AO","Bournemouth and Poole","Heterosexual / straight","150","130","20290","20100"
"In post","2021","AA/AO","Bournemouth and Poole","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bournemouth and Poole","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bournemouth and Poole","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bradford","Heterosexual / straight","640","540","20420","20140"
"In post","2021","AA/AO","Bradford","LGBO","40","30","[c]","[c]"
"In post","2021","AA/AO","Bradford","Undeclared","110","90","20660","21010"
"In post","2021","AA/AO","Bradford","Unknown","540","460","20530","20140"
"In post","2021","AA/AO","Breckland and South Norfolk","Heterosexual / straight","210","200","24230","23240"
"In post","2021","AA/AO","Breckland and South Norfolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Breckland and South Norfolk","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Breckland and South Norfolk","Unknown","50","50","24100","23240"
"In post","2021","AA/AO","Brent","Heterosexual / straight","90","80","23650","23500"
"In post","2021","AA/AO","Brent","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Brent","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Brent","Unknown","40","30","[c]","[c]"
"In post","2021","AA/AO","Bridgend and Neath Port Talbot","Heterosexual / straight","190","160","20440","21010"
"In post","2021","AA/AO","Bridgend and Neath Port Talbot","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bridgend and Neath Port Talbot","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bridgend and Neath Port Talbot","Unknown","60","50","20620","21010"
"In post","2021","AA/AO","Brighton and Hove","Heterosexual / straight","90","80","20330","20650"
"In post","2021","AA/AO","Brighton and Hove","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Brighton and Hove","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Brighton and Hove","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Heterosexual / straight","830","760","21460","21010"
"In post","2021","AA/AO","Bristol, City of","LGBO","50","50","22170","21270"
"In post","2021","AA/AO","Bristol, City of","Undeclared","100","90","21170","21010"
"In post","2021","AA/AO","Bristol, City of","Unknown","360","320","21640","21050"
"In post","2021","AA/AO","Bromley","Heterosexual / straight","110","100","22360","22080"
"In post","2021","AA/AO","Bromley","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bromley","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bromley","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Buckinghamshire CC","Heterosexual / straight","410","390","24960","23030"
"In post","2021","AA/AO","Buckinghamshire CC","LGBO","30","30","[c]","[c]"
"In post","2021","AA/AO","Buckinghamshire CC","Undeclared","50","50","26150","23160"
"In post","2021","AA/AO","Buckinghamshire CC","Unknown","70","70","26260","23270"
"In post","2021","AA/AO","Caithness and Sutherland and Ross and Cromarty","Heterosexual / straight","40","30","[c]","[c]"
"In post","2021","AA/AO","Caithness and Sutherland and Ross and Cromarty","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Caithness and Sutherland and Ross and Cromarty","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Caithness and Sutherland and Ross and Cromarty","Unknown","40","30","[c]","[c]"
"In post","2021","AA/AO","Calderdale and Kirklees","Heterosexual / straight","140","110","20580","21010"
"In post","2021","AA/AO","Calderdale and Kirklees","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Calderdale and Kirklees","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Calderdale and Kirklees","Unknown","70","60","20630","21010"
"In post","2021","AA/AO","Cambridgeshire CC","Heterosexual / straight","750","690","25230","23240"
"In post","2021","AA/AO","Cambridgeshire CC","LGBO","40","40","[c]","[c]"
"In post","2021","AA/AO","Cambridgeshire CC","Undeclared","100","100","25210","21580"
"In post","2021","AA/AO","Cambridgeshire CC","Unknown","250","230","25840","25850"
"In post","2021","AA/AO","Camden and City of London","Heterosexual / straight","530","500","23660","23270"
"In post","2021","AA/AO","Camden and City of London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Camden and City of London","Undeclared","90","80","23810","23500"
"In post","2021","AA/AO","Camden and City of London","Unknown","230","210","23280","22680"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Heterosexual / straight","1990","1800","21470","21010"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","LGBO","150","140","20780","20140"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Undeclared","250","220","21700","21430"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Unknown","1010","880","21060","20140"
"In post","2021","AA/AO","Causeway Coast and Glens","Heterosexual / straight","50","50","20470","20310"
"In post","2021","AA/AO","Causeway Coast and Glens","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Causeway Coast and Glens","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Causeway Coast and Glens","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Bedfordshire","Heterosexual / straight","110","110","20780","20920"
"In post","2021","AA/AO","Central Bedfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Bedfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Bedfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Hampshire","Heterosexual / straight","580","560","22790","20920"
"In post","2021","AA/AO","Central Hampshire","LGBO","40","40","[c]","[c]"
"In post","2021","AA/AO","Central Hampshire","Undeclared","80","80","23470","20970"
"In post","2021","AA/AO","Central Hampshire","Unknown","100","100","24600","21650"
"In post","2021","AA/AO","Central Valleys","Heterosexual / straight","230","210","21800","21010"
"In post","2021","AA/AO","Central Valleys","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Valleys","Undeclared","30","30","[c]","[c]"
"In post","2021","AA/AO","Central Valleys","Unknown","80","70","20890","21010"
"In post","2021","AA/AO","Cheshire East","Heterosexual / straight","130","120","23510","21940"
"In post","2021","AA/AO","Cheshire East","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire East","Undeclared","30","30","[c]","[c]"
"In post","2021","AA/AO","Cheshire East","Unknown","100","90","23570","21050"
"In post","2021","AA/AO","Cheshire West and Chester","Heterosexual / straight","120","120","20700","21010"
"In post","2021","AA/AO","Cheshire West and Chester","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire West and Chester","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire West and Chester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chorley and West Lancashire","Heterosexual / straight","430","400","25160","24590"
"In post","2021","AA/AO","Chorley and West Lancashire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chorley and West Lancashire","Undeclared","40","40","[c]","[c]"
"In post","2021","AA/AO","Chorley and West Lancashire","Unknown","230","210","26160","25790"
"In post","2021","AA/AO","City of Edinburgh","Heterosexual / straight","1220","1170","22330","21490"
"In post","2021","AA/AO","City of Edinburgh","LGBO","130","120","21880","21150"
"In post","2021","AA/AO","City of Edinburgh","Undeclared","470","440","21800","22820"
"In post","2021","AA/AO","City of Edinburgh","Unknown","1330","1250","22210","21440"
"In post","2021","AA/AO","Clackmannanshire and Fife","Heterosexual / straight","240","220","21770","21010"
"In post","2021","AA/AO","Clackmannanshire and Fife","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Clackmannanshire and Fife","Undeclared","80","60","22630","21580"
"In post","2021","AA/AO","Clackmannanshire and Fife","Unknown","150","140","23140","22240"
"In post","2021","AA/AO","Conwy and Denbighshire","Heterosexual / straight","110","100","22030","22160"
"In post","2021","AA/AO","Conwy and Denbighshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Conwy and Denbighshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Conwy and Denbighshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Heterosexual / straight","470","430","20830","21010"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Undeclared","70","60","21150","21010"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Unknown","150","130","20850","21010"
"In post","2021","AA/AO","Coventry","Heterosexual / straight","180","150","20840","21010"
"In post","2021","AA/AO","Coventry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Coventry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Coventry","Unknown","80","70","21160","21010"
"In post","2021","AA/AO","Croydon","Heterosexual / straight","1200","1090","24590","25630"
"In post","2021","AA/AO","Croydon","LGBO","30","30","[c]","[c]"
"In post","2021","AA/AO","Croydon","Undeclared","200","170","24580","25630"
"In post","2021","AA/AO","Croydon","Unknown","310","290","24150","24120"
"In post","2021","AA/AO","Darlington","Heterosexual / straight","70","60","20870","21000"
"In post","2021","AA/AO","Darlington","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Darlington","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Darlington","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derby","Heterosexual / straight","280","240","21580","21010"
"In post","2021","AA/AO","Derby","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derby","Undeclared","50","40","20440","20920"
"In post","2021","AA/AO","Derby","Unknown","150","130","21650","21010"
"In post","2021","AA/AO","Derry City and Strabane","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derry City and Strabane","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Devon CC","Heterosexual / straight","1220","1090","22190","21010"
"In post","2021","AA/AO","Devon CC","LGBO","70","70","22550","21010"
"In post","2021","AA/AO","Devon CC","Undeclared","150","140","22460","21010"
"In post","2021","AA/AO","Devon CC","Unknown","490","430","22120","21010"
"In post","2021","AA/AO","Dorset CC","Heterosexual / straight","670","630","23710","21710"
"In post","2021","AA/AO","Dorset CC","LGBO","40","40","[c]","[c]"
"In post","2021","AA/AO","Dorset CC","Undeclared","80","70","24280","22350"
"In post","2021","AA/AO","Dorset CC","Unknown","210","190","23880","22350"
"In post","2021","AA/AO","Dudley","Heterosexual / straight","310","260","20760","21010"
"In post","2021","AA/AO","Dudley","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Dudley","Undeclared","50","40","20520","21010"
"In post","2021","AA/AO","Dudley","Unknown","150","130","20780","21010"
"In post","2021","AA/AO","Dumfries and Galloway","Heterosexual / straight","80","70","23080","22220"
"In post","2021","AA/AO","Dumfries and Galloway","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Dumfries and Galloway","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Dumfries and Galloway","Unknown","140","130","24470","25140"
"In post","2021","AA/AO","Durham CC","Heterosexual / straight","2130","1870","22850","21430"
"In post","2021","AA/AO","Durham CC","LGBO","100","90","23290","21550"
"In post","2021","AA/AO","Durham CC","Undeclared","220","200","23370","21430"
"In post","2021","AA/AO","Durham CC","Unknown","880","780","24040","21550"
"In post","2021","AA/AO","Ealing","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","AA/AO","Ealing","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ealing","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ealing","Unknown","30","20","[c]","[c]"
"In post","2021","AA/AO","East Ayrshire and North Ayrshire mainland","Heterosexual / straight","190","160","21680","21010"
"In post","2021","AA/AO","East Ayrshire and North Ayrshire mainland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Ayrshire and North Ayrshire mainland","Undeclared","50","40","[c]","[c]"
"In post","2021","AA/AO","East Ayrshire and North Ayrshire mainland","Unknown","60","50","21430","21010"
"In post","2021","AA/AO","East Cumbria","Heterosexual / straight","220","200","21530","21050"
"In post","2021","AA/AO","East Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Cumbria","Undeclared","30","30","[c]","[c]"
"In post","2021","AA/AO","East Cumbria","Unknown","70","70","21630","21050"
"In post","2021","AA/AO","East Derbyshire","Heterosexual / straight","80","60","20340","20720"
"In post","2021","AA/AO","East Derbyshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Derbyshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Derbyshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Heterosexual / straight","900","850","26310","22220"
"In post","2021","AA/AO","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Undeclared","120","110","28610","22820"
"In post","2021","AA/AO","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Unknown","320","310","26360","24450"
"In post","2021","AA/AO","East Kent","Heterosexual / straight","680","630","22370","21430"
"In post","2021","AA/AO","East Kent","LGBO","40","40","[c]","[c]"
"In post","2021","AA/AO","East Kent","Undeclared","90","80","22780","21580"
"In post","2021","AA/AO","East Kent","Unknown","200","190","23280","24180"
"In post","2021","AA/AO","East Lancashire","Heterosexual / straight","100","80","20230","20850"
"In post","2021","AA/AO","East Lancashire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Lancashire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Lancashire","Unknown","40","30","[c]","[c]"
"In post","2021","AA/AO","East Lothian and Midlothian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Lothian and Midlothian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Lothian and Midlothian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Lothian and Midlothian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Merseyside","Heterosexual / straight","170","150","20720","20320"
"In post","2021","AA/AO","East Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Merseyside","Undeclared","30","30","[c]","[c]"
"In post","2021","AA/AO","East Merseyside","Unknown","80","60","20690","20490"
"In post","2021","AA/AO","East Riding of Yorkshire","Heterosexual / straight","690","650","25040","24440"
"In post","2021","AA/AO","East Riding of Yorkshire","LGBO","40","40","[c]","[c]"
"In post","2021","AA/AO","East Riding of Yorkshire","Undeclared","90","80","26340","24920"
"In post","2021","AA/AO","East Riding of Yorkshire","Unknown","180","170","25700","24920"
"In post","2021","AA/AO","East Surrey","Heterosexual / straight","340","320","30400","33050"
"In post","2021","AA/AO","East Surrey","LGBO","30","30","[c]","[c]"
"In post","2021","AA/AO","East Surrey","Undeclared","40","40","[c]","[c]"
"In post","2021","AA/AO","East Surrey","Unknown","140","130","30060","31500"
"In post","2021","AA/AO","East Sussex CC","Heterosexual / straight","620","540","22410","21010"
"In post","2021","AA/AO","East Sussex CC","LGBO","60","50","22990","21010"
"In post","2021","AA/AO","East Sussex CC","Undeclared","70","60","22460","21010"
"In post","2021","AA/AO","East Sussex CC","Unknown","190","160","22570","21010"
"In post","2021","AA/AO","Enfield","Heterosexual / straight","40","30","[c]","[c]"
"In post","2021","AA/AO","Enfield","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Enfield","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Enfield","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Essex Haven Gateway","Heterosexual / straight","230","220","25420","21430"
"In post","2021","AA/AO","Essex Haven Gateway","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Essex Haven Gateway","Undeclared","50","40","[c]","[c]"
"In post","2021","AA/AO","Essex Haven Gateway","Unknown","40","30","[c]","[c]"
"In post","2021","AA/AO","Essex Thames Gateway","Heterosexual / straight","190","160","23370","24180"
"In post","2021","AA/AO","Essex Thames Gateway","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Essex Thames Gateway","Undeclared","40","30","[c]","[c]"
"In post","2021","AA/AO","Essex Thames Gateway","Unknown","100","80","23640","24180"
"In post","2021","AA/AO","Falkirk","Heterosexual / straight","480","420","21460","21010"
"In post","2021","AA/AO","Falkirk","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Falkirk","Undeclared","60","50","21440","21010"
"In post","2021","AA/AO","Falkirk","Unknown","300","250","21730","21010"
"In post","2021","AA/AO","Fermanagh and Omagh","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Fermanagh and Omagh","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Fermanagh and Omagh","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Fermanagh and Omagh","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Flintshire and Wrexham","Heterosexual / straight","620","590","22500","21550"
"In post","2021","AA/AO","Flintshire and Wrexham","LGBO","50","50","[c]","[c]"
"In post","2021","AA/AO","Flintshire and Wrexham","Undeclared","110","100","21550","21010"
"In post","2021","AA/AO","Flintshire and Wrexham","Unknown","240","220","22120","21010"
"In post","2021","AA/AO","Glasgow City","Heterosexual / straight","2280","2040","21060","21010"
"In post","2021","AA/AO","Glasgow City","LGBO","160","150","21060","21010"
"In post","2021","AA/AO","Glasgow City","Undeclared","390","340","21020","21010"
"In post","2021","AA/AO","Glasgow City","Unknown","1000","910","21140","20810"
"In post","2021","AA/AO","Gloucestershire","Heterosexual / straight","270","250","23120","21010"
"In post","2021","AA/AO","Gloucestershire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Gloucestershire","Undeclared","50","40","[c]","[c]"
"In post","2021","AA/AO","Gloucestershire","Unknown","100","90","22290","22350"
"In post","2021","AA/AO","Greater Manchester North East","Heterosexual / straight","190","180","23020","21010"
"In post","2021","AA/AO","Greater Manchester North East","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Greater Manchester North East","Undeclared","40","30","[c]","[c]"
"In post","2021","AA/AO","Greater Manchester North East","Unknown","110","100","22250","21010"
"In post","2021","AA/AO","Greater Manchester North West","Heterosexual / straight","640","570","21520","21010"
"In post","2021","AA/AO","Greater Manchester North West","LGBO","40","30","[c]","[c]"
"In post","2021","AA/AO","Greater Manchester North West","Undeclared","80","70","21260","21010"
"In post","2021","AA/AO","Greater Manchester North West","Unknown","300","260","21790","21010"
"In post","2021","AA/AO","Greater Manchester South East","Heterosexual / straight","450","400","20900","21010"
"In post","2021","AA/AO","Greater Manchester South East","LGBO","30","30","[c]","[c]"
"In post","2021","AA/AO","Greater Manchester South East","Undeclared","70","60","20830","21010"
"In post","2021","AA/AO","Greater Manchester South East","Unknown","150","130","20780","21010"
"In post","2021","AA/AO","Greater Manchester South West","Heterosexual / straight","800","720","20510","20140"
"In post","2021","AA/AO","Greater Manchester South West","LGBO","90","90","20430","20140"
"In post","2021","AA/AO","Greater Manchester South West","Undeclared","110","100","20510","20570"
"In post","2021","AA/AO","Greater Manchester South West","Unknown","690","620","20470","20140"
"In post","2021","AA/AO","Gwent Valleys","Heterosexual / straight","220","180","21090","21010"
"In post","2021","AA/AO","Gwent Valleys","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Gwent Valleys","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Gwent Valleys","Unknown","90","80","20410","20200"
"In post","2021","AA/AO","Gwynedd","Heterosexual / straight","240","220","21220","21010"
"In post","2021","AA/AO","Gwynedd","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Gwynedd","Undeclared","40","40","[c]","[c]"
"In post","2021","AA/AO","Gwynedd","Unknown","120","100","21000","21010"
"In post","2021","AA/AO","Hackney and Newham","Heterosexual / straight","380","340","24390","25110"
"In post","2021","AA/AO","Hackney and Newham","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Hackney and Newham","Undeclared","70","70","24130","25110"
"In post","2021","AA/AO","Hackney and Newham","Unknown","290","240","24100","24320"
"In post","2021","AA/AO","Haringey and Islington","Heterosexual / straight","370","350","28150","25390"
"In post","2021","AA/AO","Haringey and Islington","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Haringey and Islington","Undeclared","50","40","[c]","[c]"
"In post","2021","AA/AO","Haringey and Islington","Unknown","260","250","27880","26630"
"In post","2021","AA/AO","Harrow and Hillingdon","Heterosexual / straight","430","400","25110","25630"
"In post","2021","AA/AO","Harrow and Hillingdon","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Harrow and Hillingdon","Undeclared","80","70","25080","25630"
"In post","2021","AA/AO","Harrow and Hillingdon","Unknown","90","80","24860","25110"
"In post","2021","AA/AO","Hartlepool and Stockton-on-Tees","Heterosexual / straight","530","490","23370","21710"
"In post","2021","AA/AO","Hartlepool and Stockton-on-Tees","LGBO","30","30","[c]","[c]"
"In post","2021","AA/AO","Hartlepool and Stockton-on-Tees","Undeclared","60","50","23400","21010"
"In post","2021","AA/AO","Hartlepool and Stockton-on-Tees","Unknown","190","160","23290","21010"
"In post","2021","AA/AO","Heart of Essex","Heterosexual / straight","280","260","25320","24590"
"In post","2021","AA/AO","Heart of Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heart of Essex","Undeclared","30","30","[c]","[c]"
"In post","2021","AA/AO","Heart of Essex","Unknown","110","100","25640","25850"
"In post","2021","AA/AO","Herefordshire, County of","Heterosexual / straight","150","150","24930","20920"
