"Status","Year","Disability","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Human Resources","G6/G7","250","240","57590","55570"
"In post","2021","Declared disabled","Human Resources","SCS","40","40","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","SEO/HEO","490","470","36860","36460"
"In post","2021","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","SEO/HEO","70","60","39590","39200"
"In post","2021","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","AA/AO","200","180","22460","21950"
"In post","2021","Declared disabled","Legal","EO","220","200","28050","28430"
"In post","2021","Declared disabled","Legal","G6/G7","500","450","59700","58040"
"In post","2021","Declared disabled","Legal","SCS","30","30","[c]","[c]"
"In post","2021","Declared disabled","Legal","SEO/HEO","300","280","38880","38000"
"In post","2021","Declared disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","AA/AO","6700","5930","22540","21440"
"In post","2021","Declared disabled","No function","EO","3130","2910","27940","27130"
"In post","2021","Declared disabled","No function","G6/G7","1490","1440","57740","54730"
"In post","2021","Declared disabled","No function","SCS","150","150","87230","77870"
"In post","2021","Declared disabled","No function","SEO/HEO","3810","3640","36690","35890"
"In post","2021","Declared disabled","No function","Unknown","2230","2060","30490","30210"
"In post","2021","Declared disabled","Project Delivery","AA/AO","60","60","21790","21490"
"In post","2021","Declared disabled","Project Delivery","EO","500","470","25080","26000"
"In post","2021","Declared disabled","Project Delivery","G6/G7","570","560","57000","55620"
"In post","2021","Declared disabled","Project Delivery","SCS","40","40","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","SEO/HEO","1350","1290","36200","35790"
"In post","2021","Declared disabled","Project Delivery","Unknown","120","120","40450","39860"
"In post","2021","Declared disabled","Property","AA/AO","160","150","21430","21100"
"In post","2021","Declared disabled","Property","EO","160","140","27110","26670"
"In post","2021","Declared disabled","Property","G6/G7","100","100","57660","56360"
"In post","2021","Declared disabled","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Property","SEO/HEO","310","290","36380","34640"
"In post","2021","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","AA/AO","350","340","26690","21130"
"In post","2021","Declared disabled","Security","EO","120","110","31780","27500"
"In post","2021","Declared disabled","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","SEO/HEO","150","150","39100","35630"
"In post","2021","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","AA/AO","7040","6070","21290","21010"
"In post","2021","Declared disabled","Unknown","EO","10190","9120","27980","27570"
"In post","2021","Declared disabled","Unknown","G6/G7","910","880","59840","57680"
"In post","2021","Declared disabled","Unknown","SCS","90","90","88990","83230"
"In post","2021","Declared disabled","Unknown","SEO/HEO","3240","3050","36300","35110"
"In post","2021","Declared disabled","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Analysis","AA/AO","110","100","22020","21050"
"In post","2021","Declared non-disabled","Analysis","EO","460","430","26580","26350"
"In post","2021","Declared non-disabled","Analysis","G6/G7","1630","1560","58860","57390"
"In post","2021","Declared non-disabled","Analysis","SCS","120","120","87100","78630"
"In post","2021","Declared non-disabled","Analysis","SEO/HEO","2230","2160","36340","36160"
"In post","2021","Declared non-disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","AA/AO","320","300","21900","21130"
"In post","2021","Declared non-disabled","Commercial","EO","580","550","27000","26670"
"In post","2021","Declared non-disabled","Commercial","G6/G7","820","800","61430","59850"
"In post","2021","Declared non-disabled","Commercial","SCS","170","170","110570","100540"
"In post","2021","Declared non-disabled","Commercial","SEO/HEO","1930","1880","38490","37960"
"In post","2021","Declared non-disabled","Commercial","Unknown","160","160","39900","37400"
"In post","2021","Declared non-disabled","Communications","AA/AO","290","260","21420","21130"
"In post","2021","Declared non-disabled","Communications","EO","1600","1540","25770","25560"
"In post","2021","Declared non-disabled","Communications","G6/G7","680","660","58030","56140"
"In post","2021","Declared non-disabled","Communications","SCS","90","80","89300","81760"
"In post","2021","Declared non-disabled","Communications","SEO/HEO","2060","2010","35820","34560"
"In post","2021","Declared non-disabled","Counter Fraud","AA/AO","450","400","21440","21440"
"In post","2021","Declared non-disabled","Counter Fraud","EO","1990","1880","26940","25560"
"In post","2021","Declared non-disabled","Counter Fraud","G6/G7","770","740","57320","55010"
"In post","2021","Declared non-disabled","Counter Fraud","SCS","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","SEO/HEO","2680","2550","35280","34170"
"In post","2021","Declared non-disabled","Debt","AA/AO","1500","1330","21120","20140"
"In post","2021","Declared non-disabled","Debt","EO","590","530","26880","25560"
"In post","2021","Declared non-disabled","Debt","G6/G7","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Debt","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Debt","SEO/HEO","180","170","34250","31810"
"In post","2021","Declared non-disabled","Digital, Data & Technology","AA/AO","250","230","21720","21220"
"In post","2021","Declared non-disabled","Digital, Data & Technology","EO","1280","1230","27420","26670"
"In post","2021","Declared non-disabled","Digital, Data & Technology","G6/G7","2460","2410","57340","54730"
"In post","2021","Declared non-disabled","Digital, Data & Technology","SCS","170","170","91390","86600"
"In post","2021","Declared non-disabled","Digital, Data & Technology","SEO/HEO","4290","4150","37370","37350"
"In post","2021","Declared non-disabled","Digital, Data & Technology","Unknown","60","60","37130","35700"
"In post","2021","Declared non-disabled","Finance","AA/AO","860","730","21210","21130"
"In post","2021","Declared non-disabled","Finance","EO","1150","1090","26490","26670"
"In post","2021","Declared non-disabled","Finance","G6/G7","1470","1430","58780","57670"
"In post","2021","Declared non-disabled","Finance","SCS","210","210","90000","82450"
"In post","2021","Declared non-disabled","Finance","SEO/HEO","2590","2500","37500","36990"
"In post","2021","Declared non-disabled","Finance","Unknown","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Grants Management","AA/AO","860","770","21000","21050"
"In post","2021","Declared non-disabled","Grants Management","EO","490","450","25490","25190"
"In post","2021","Declared non-disabled","Grants Management","G6/G7","50","50","52360","49800"
"In post","2021","Declared non-disabled","Grants Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Grants Management","SEO/HEO","290","270","32600","31040"
"In post","2021","Declared non-disabled","Human Resources","AA/AO","1010","920","21310","21030"
"In post","2021","Declared non-disabled","Human Resources","EO","1080","1010","26490","26590"
"In post","2021","Declared non-disabled","Human Resources","G6/G7","1350","1310","57890","56380"
"In post","2021","Declared non-disabled","Human Resources","SCS","150","150","89460","83660"
"In post","2021","Declared non-disabled","Human Resources","SEO/HEO","2560","2450","36360","35590"
"In post","2021","Declared non-disabled","Human Resources","Unknown","180","170","37960","32710"
"In post","2021","Declared non-disabled","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","EO","40","30","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","G6/G7","160","150","58610","56610"
"In post","2021","Declared non-disabled","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","SEO/HEO","340","320","40880","40910"
"In post","2021","Declared non-disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","AA/AO","1020","910","22640","21950"
"In post","2021","Declared non-disabled","Legal","EO","1370","1270","28060","28430"
"In post","2021","Declared non-disabled","Legal","G6/G7","4280","3960","59590","58150"
"In post","2021","Declared non-disabled","Legal","SCS","350","330","89380","83460"
"In post","2021","Declared non-disabled","Legal","SEO/HEO","2150","1990","39180","38180"
"In post","2021","Declared non-disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","No function","AA/AO","40740","36880","23210","21590"
"In post","2021","Declared non-disabled","No function","EO","19250","17980","27680","27080"
"In post","2021","Declared non-disabled","No function","G6/G7","14470","13980","58590","55940"
"In post","2021","Declared non-disabled","No function","SCS","2090","1990","88270","79980"
"In post","2021","Declared non-disabled","No function","SEO/HEO","28280","27060","36930","36000"
"In post","2021","Declared non-disabled","No function","Unknown","8540","7890","30180","30210"
"In post","2021","Declared non-disabled","Project Delivery","AA/AO","400","370","21640","21440"
"In post","2021","Declared non-disabled","Project Delivery","EO","3060","2920","24790","25720"
"In post","2021","Declared non-disabled","Project Delivery","G6/G7","5090","4960","57480","55620"
"In post","2021","Declared non-disabled","Project Delivery","SCS","540","530","91870","83630"
"In post","2021","Declared non-disabled","Project Delivery","SEO/HEO","9660","9340","36250","36340"
"In post","2021","Declared non-disabled","Project Delivery","Unknown","970","960","42230","40100"
"In post","2021","Declared non-disabled","Property","AA/AO","1390","1290","21740","21100"
"In post","2021","Declared non-disabled","Property","EO","1330","1260","27630","26670"
"In post","2021","Declared non-disabled","Property","G6/G7","940","910","57700","55900"
"In post","2021","Declared non-disabled","Property","SCS","60","60","90880","81670"
"In post","2021","Declared non-disabled","Property","SEO/HEO","2590","2480","37410","36520"
"In post","2021","Declared non-disabled","Property","Unknown","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Security","AA/AO","3280","3210","25830","21030"
"In post","2021","Declared non-disabled","Security","EO","740","730","32530","28210"
"In post","2021","Declared non-disabled","Security","G6/G7","260","260","60350","57860"
"In post","2021","Declared non-disabled","Security","SCS","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Security","SEO/HEO","980","960","39730","36890"
"In post","2021","Declared non-disabled","Security","Unknown","50","40","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","AA/AO","36050","31690","21390","21010"
"In post","2021","Declared non-disabled","Unknown","EO","52430","47800","27860","27570"
"In post","2021","Declared non-disabled","Unknown","G6/G7","8740","8410","60620","59730"
"In post","2021","Declared non-disabled","Unknown","SCS","1000","970","89910","83230"
"In post","2021","Declared non-disabled","Unknown","SEO/HEO","23380","22380","36850","35310"
"In post","2021","Declared non-disabled","Unknown","Unknown","470","470","38160","35530"
"In post","2021","Undeclared","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","EO","40","30","[c]","[c]"
"In post","2021","Undeclared","Analysis","G6/G7","140","130","55680","54760"
"In post","2021","Undeclared","Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","SEO/HEO","190","180","36540","36300"
"In post","2021","Undeclared","Commercial","AA/AO","30","30","[c]","[c]"
"In post","2021","Undeclared","Commercial","EO","60","50","26720","26670"
"In post","2021","Undeclared","Commercial","G6/G7","70","70","63230","60420"
"In post","2021","Undeclared","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","SEO/HEO","210","200","39760","39540"
"In post","2021","Undeclared","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","AA/AO","30","30","[c]","[c]"
"In post","2021","Undeclared","Communications","EO","120","110","25740","25560"
"In post","2021","Undeclared","Communications","G6/G7","50","50","59550","58430"
"In post","2021","Undeclared","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","SEO/HEO","150","140","36500","35430"
"In post","2021","Undeclared","Counter Fraud","AA/AO","50","50","21430","21440"
"In post","2021","Undeclared","Counter Fraud","EO","180","170","27510","27120"
"In post","2021","Undeclared","Counter Fraud","G6/G7","100","100","58010","54790"
"In post","2021","Undeclared","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","SEO/HEO","310","290","35110","34000"
"In post","2021","Undeclared","Debt","AA/AO","140","120","21620","21400"
"In post","2021","Undeclared","Debt","EO","50","40","[c]","[c]"
"In post","2021","Undeclared","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","EO","110","110","28120","26780"
"In post","2021","Undeclared","Digital, Data & Technology","G6/G7","160","160","57370","54870"
"In post","2021","Undeclared","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","SEO/HEO","370","360","37470","37910"
"In post","2021","Undeclared","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","AA/AO","70","60","21290","21440"
"In post","2021","Undeclared","Finance","EO","100","90","26810","26670"
"In post","2021","Undeclared","Finance","G6/G7","120","120","58200","57350"
"In post","2021","Undeclared","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","SEO/HEO","220","210","37640","36780"
"In post","2021","Undeclared","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","AA/AO","100","90","21430","21090"
"In post","2021","Undeclared","Human Resources","EO","80","80","27250","26710"
"In post","2021","Undeclared","Human Resources","G6/G7","90","80","59830","58700"
"In post","2021","Undeclared","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","SEO/HEO","220","210","37740","36750"
"In post","2021","Undeclared","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","EO","40","30","[c]","[c]"
"In post","2021","Undeclared","Legal","G6/G7","160","140","63030","64890"
"In post","2021","Undeclared","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","SEO/HEO","140","130","40330","40590"
"In post","2021","Undeclared","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","No function","AA/AO","6290","5590","25580","23270"
"In post","2021","Undeclared","No function","EO","2510","2360","29400","28130"
"In post","2021","Undeclared","No function","G6/G7","1250","1210","57750","54760"
"In post","2021","Undeclared","No function","SCS","150","130","91680","82100"
"In post","2021","Undeclared","No function","SEO/HEO","3140","3010","37430","36710"
"In post","2021","Undeclared","No function","Unknown","530","500","30240","30210"
"In post","2021","Undeclared","Project Delivery","AA/AO","60","50","21480","21130"
"In post","2021","Undeclared","Project Delivery","EO","330","310","26260","26670"
"In post","2021","Undeclared","Project Delivery","G6/G7","410","400","57340","55720"
"In post","2021","Undeclared","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","SEO/HEO","890","860","36870","37320"
"In post","2021","Undeclared","Project Delivery","Unknown","100","100","44340","42530"
"In post","2021","Undeclared","Property","AA/AO","110","100","20400","21100"
"In post","2021","Undeclared","Property","EO","130","130","27360","26530"
"In post","2021","Undeclared","Property","G6/G7","90","80","57510","55930"
"In post","2021","Undeclared","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","SEO/HEO","290","280","37480","36460"
"In post","2021","Undeclared","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Security","AA/AO","370","360","28000","21880"
"In post","2021","Undeclared","Security","EO","110","110","36010","40190"
"In post","2021","Undeclared","Security","G6/G7","40","40","[c]","[c]"
"In post","2021","Undeclared","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Security","SEO/HEO","180","170","41530","38160"
"In post","2021","Undeclared","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","AA/AO","2280","2070","21330","21010"
"In post","2021","Undeclared","Unknown","EO","3340","3110","27990","27570"
"In post","2021","Undeclared","Unknown","G6/G7","470","460","60910","59590"
"In post","2021","Undeclared","Unknown","SCS","40","30","[c]","[c]"
"In post","2021","Undeclared","Unknown","SEO/HEO","1470","1430","37020","36140"
"In post","2021","Undeclared","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","Unknown","Analysis","AA/AO","70","60","20630","19130"
"In post","2021","Unknown","Analysis","EO","180","170","25690","25000"
"In post","2021","Unknown","Analysis","G6/G7","490","470","57550","53560"
"In post","2021","Unknown","Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","SEO/HEO","960","940","34500","33790"
"In post","2021","Unknown","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","AA/AO","100","90","22560","21880"
"In post","2021","Unknown","Commercial","EO","140","140","25850","25890"
"In post","2021","Unknown","Commercial","G6/G7","770","750","61420","55350"
"In post","2021","Unknown","Commercial","SCS","400","390","85390","72000"
"In post","2021","Unknown","Commercial","SEO/HEO","600","580","36620","36820"
"In post","2021","Unknown","Commercial","Unknown","30","30","[c]","[c]"
"In post","2021","Unknown","Communications","AA/AO","100","90","21660","21440"
"In post","2021","Unknown","Communications","EO","1280","1240","25780","25560"
"In post","2021","Unknown","Communications","G6/G7","290","280","58110","55540"
"In post","2021","Unknown","Communications","SCS","40","40","[c]","[c]"
"In post","2021","Unknown","Communications","SEO/HEO","870","860","35550","33090"
"In post","2021","Unknown","Counter Fraud","AA/AO","240","200","21430","21400"
"In post","2021","Unknown","Counter Fraud","EO","960","910","26950","25560"
"In post","2021","Unknown","Counter Fraud","G6/G7","150","140","57550","55120"
"In post","2021","Unknown","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","SEO/HEO","870","840","34970","34050"
"In post","2021","Unknown","Debt","AA/AO","1490","1380","20650","20140"
"In post","2021","Unknown","Debt","EO","240","230","26640","25560"
"In post","2021","Unknown","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Debt","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Unknown","Digital, Data & Technology","AA/AO","140","130","21800","21580"
"In post","2021","Unknown","Digital, Data & Technology","EO","640","620","27360","26670"
"In post","2021","Unknown","Digital, Data & Technology","G6/G7","810","800","57500","55000"
"In post","2021","Unknown","Digital, Data & Technology","SCS","60","60","91800","83910"
"In post","2021","Unknown","Digital, Data & Technology","SEO/HEO","1660","1630","36990","36740"
"In post","2021","Unknown","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","AA/AO","420","350","20890","20140"
"In post","2021","Unknown","Finance","EO","280","270","26360","26120"
"In post","2021","Unknown","Finance","G6/G7","330","320","58440","55920"
"In post","2021","Unknown","Finance","SCS","40","40","[c]","[c]"
"In post","2021","Unknown","Finance","SEO/HEO","680","660","36790","36500"
"In post","2021","Unknown","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","AA/AO","300","270","21370","21000"
"In post","2021","Unknown","Human Resources","EO","390","380","26940","26680"
"In post","2021","Unknown","Human Resources","G6/G7","210","210","56610","54700"
"In post","2021","Unknown","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","SEO/HEO","570","550","35600","35230"
"In post","2021","Unknown","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Unknown","Legal","AA/AO","1350","1220","21610","21950"
"In post","2021","Unknown","Legal","EO","820","770","28070","29350"
"In post","2021","Unknown","Legal","G6/G7","1100","1020","58410","57000"
"In post","2021","Unknown","Legal","SCS","60","60","89500","80580"
"In post","2021","Unknown","Legal","SEO/HEO","740","710","36120","36160"
"In post","2021","Unknown","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","No function","AA/AO","16780","15400","22100","21300"
"In post","2021","Unknown","No function","EO","8230","7840","29180","28170"
"In post","2021","Unknown","No function","G6/G7","3870","3770","57650","54700"
"In post","2021","Unknown","No function","SCS","570","540","99260","93000"
"In post","2021","Unknown","No function","SEO/HEO","10030","9700","35620","34020"
"In post","2021","Unknown","No function","Unknown","720","650","24140","22920"
"In post","2021","Unknown","Project Delivery","AA/AO","100","100","21700","21440"
"In post","2021","Unknown","Project Delivery","EO","720","680","24380","25560"
"In post","2021","Unknown","Project Delivery","G6/G7","1310","1270","57160","55620"
"In post","2021","Unknown","Project Delivery","SCS","90","90","91880","84400"
"In post","2021","Unknown","Project Delivery","SEO/HEO","1850","1790","36680","37320"
"In post","2021","Unknown","Project Delivery","Unknown","170","160","42880","40940"
"In post","2021","Unknown","Property","AA/AO","700","660","21230","20880"
"In post","2021","Unknown","Property","EO","330","310","26910","25930"
"In post","2021","Unknown","Property","G6/G7","140","130","56490","54540"
"In post","2021","Unknown","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Property","SEO/HEO","440","430","37060","36460"
"In post","2021","Unknown","Security","AA/AO","1520","1490","28320","25540"
"In post","2021","Unknown","Security","EO","210","210","30070","26670"
"In post","2021","Unknown","Security","G6/G7","60","60","57660","54540"
"In post","2021","Unknown","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Security","SEO/HEO","270","260","36980","34640"
"In post","2021","Unknown","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","AA/AO","3690","3490","21760","21150"
"In post","2021","Unknown","Unknown","EO","4140","4000","28000","27570"
"In post","2021","Unknown","Unknown","G6/G7","1920","1830","62190","61010"
"In post","2021","Unknown","Unknown","SCS","210","210","92470","85000"
"In post","2021","Unknown","Unknown","SEO/HEO","3620","3500","38620","37890"
"In post","2021","Unknown","Unknown","Unknown","1920","1920","37650","34460"
"In post","2022","Declared disabled","Analysis","AA/AO","30","30","[c]","[c]"
"In post","2022","Declared disabled","Analysis","EO","80","70","27260","26820"
"In post","2022","Declared disabled","Analysis","G6/G7","190","180","59730","57990"
"In post","2022","Declared disabled","Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","SEO/HEO","410","390","36590","36840"
"In post","2022","Declared disabled","Commercial","AA/AO","30","30","[c]","[c]"
"In post","2022","Declared disabled","Commercial","EO","70","70","26850","26670"
"In post","2022","Declared disabled","Commercial","G6/G7","90","80","57610","54700"
"In post","2022","Declared disabled","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SEO/HEO","250","240","37150","37420"
"In post","2022","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA/AO","60","50","21540","21250"
"In post","2022","Declared disabled","Communications","EO","200","190","27220","26820"
