"Status","Year","Function_of_post","Sex","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Property","Female","Declared non-disabled","2770","2580","35530","33000"
"In post","2022","Property","Female","Undeclared","250","240","34980","31900"
"In post","2022","Property","Female","Unknown","730","690","30700","26670"
"In post","2022","Property","Male","Declared disabled","400","390","36870","33300"
"In post","2022","Property","Male","Declared non-disabled","3510","3420","39720","36050"
"In post","2022","Property","Male","Undeclared","400","380","39310","36050"
"In post","2022","Property","Male","Unknown","1110","1090","33630","29900"
"In post","2022","Security","Female","Declared disabled","280","270","32390","29060"
"In post","2022","Security","Female","Declared non-disabled","1840","1760","33390","32000"
"In post","2022","Security","Female","Undeclared","180","170","35640","33300"
"In post","2022","Security","Female","Unknown","470","450","32080","28890"
"In post","2022","Security","Male","Declared disabled","580","560","33470","33300"
"In post","2022","Security","Male","Declared non-disabled","4870","4790","32650","30210"
"In post","2022","Security","Male","Undeclared","690","680","34920","36480"
"In post","2022","Security","Male","Unknown","1790","1750","32140","29250"
"In post","2022","Unknown","Female","Declared disabled","3650","3370","33320","28990"
"In post","2022","Unknown","Female","Declared non-disabled","28690","26420","34230","29370"
"In post","2022","Unknown","Female","Undeclared","1600","1470","32780","28760"
"In post","2022","Unknown","Female","Unknown","7580","7220","35570","30040"
"In post","2022","Unknown","Male","Declared disabled","2940","2840","34050","29430"
"In post","2022","Unknown","Male","Declared non-disabled","24720","24040","35700","30820"
"In post","2022","Unknown","Male","Undeclared","1910","1850","33930","30040"
"In post","2022","Unknown","Male","Unknown","8570","8400","36160","31540"
"Leaver CS","2021","Analysis","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Declared non-disabled","60","50","34870","29540"
"Leaver CS","2021","Analysis","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Unknown","50","50","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Declared non-disabled","80","70","43750","35010"
"Leaver CS","2021","Analysis","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Unknown","70","70","28570","24300"
"Leaver CS","2021","Commercial","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","Declared non-disabled","60","50","45200","38000"
"Leaver CS","2021","Commercial","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","Unknown","50","50","[c]","[c]"
"Leaver CS","2021","Commercial","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","Declared non-disabled","80","80","49520","41680"
"Leaver CS","2021","Commercial","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","Unknown","50","50","60780","51560"
"Leaver CS","2021","Communications","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Female","Declared non-disabled","70","60","37450","35590"
"Leaver CS","2021","Communications","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Female","Unknown","50","50","[c]","[c]"
"Leaver CS","2021","Communications","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Male","Declared non-disabled","70","70","39610","31420"
"Leaver CS","2021","Communications","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Male","Unknown","40","30","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Female","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Male","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Female","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Male","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Female","Declared non-disabled","70","60","39980","35590"
"Leaver CS","2021","Digital, Data & Technology","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Female","Unknown","50","50","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Male","Declared non-disabled","130","130","44860","40150"
"Leaver CS","2021","Digital, Data & Technology","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Male","Unknown","120","110","41340","38570"
"Leaver CS","2021","Digital, Data & Technology","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","Declared non-disabled","80","70","41280","36540"
"Leaver CS","2021","Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Male","Declared non-disabled","70","70","45420","44790"
"Leaver CS","2021","Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Female","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Female","Unknown","50","40","[c]","[c]"
"Leaver CS","2021","Grants Management","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Male","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Male","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Human Resources","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Female","Declared non-disabled","120","110","37290","32310"
"Leaver CS","2021","Human Resources","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Female","Unknown","50","40","[c]","[c]"
"Leaver CS","2021","Human Resources","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Male","Declared non-disabled","70","70","40270","36800"
"Leaver CS","2021","Human Resources","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Male","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Female","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Male","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Female","Declared disabled","30","30","[c]","[c]"
"Leaver CS","2021","Legal","Female","Declared non-disabled","220","180","45450","45220"
"Leaver CS","2021","Legal","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Female","Unknown","130","120","36840","27130"
"Leaver CS","2021","Legal","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Male","Declared non-disabled","160","140","51160","51820"
"Leaver CS","2021","Legal","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Male","Unknown","100","100","35810","29350"
"Leaver CS","2021","No function","Female","Declared disabled","490","420","25330","21580"
"Leaver CS","2021","No function","Female","Declared non-disabled","2510","2200","30630","23530"
"Leaver CS","2021","No function","Female","Undeclared","350","280","30130","22680"
"Leaver CS","2021","No function","Female","Unknown","1290","1200","29480","22680"
"Leaver CS","2021","No function","Male","Declared disabled","400","360","30310","26600"
"Leaver CS","2021","No function","Male","Declared non-disabled","2390","2200","36260","27750"
"Leaver CS","2021","No function","Male","Undeclared","450","390","34700","31650"
"Leaver CS","2021","No function","Male","Unknown","1270","1210","33240","26990"
"Leaver CS","2021","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Female","Declared disabled","30","30","[c]","[c]"
"Leaver CS","2021","Project Delivery","Female","Declared non-disabled","190","170","36630","32430"
"Leaver CS","2021","Project Delivery","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Female","Unknown","60","60","34930","30850"
"Leaver CS","2021","Project Delivery","Male","Declared disabled","50","50","39360","35790"
"Leaver CS","2021","Project Delivery","Male","Declared non-disabled","350","330","40850","37390"
"Leaver CS","2021","Project Delivery","Male","Undeclared","40","40","[c]","[c]"
"Leaver CS","2021","Project Delivery","Male","Unknown","100","100","35700","32370"
"Leaver CS","2021","Property","Female","Declared disabled","[c]","[c]","[c]","[c]"
