"Status","Year","Sex","Organisation","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Attorney General's Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Office","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Office","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Office","White","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","Asian","280","270","44200","38560"
"In post","2021","Female","Cabinet Office (excl. agencies)","Black","170","170","40040","35590"
"In post","2021","Female","Cabinet Office (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","Mixed","110","100","43660","36890"
"In post","2021","Female","Cabinet Office (excl. agencies)","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","Undeclared","80","80","44910","40600"
"In post","2021","Female","Cabinet Office (excl. agencies)","Unknown","2150","2110","42630","32000"
"In post","2021","Female","Cabinet Office (excl. agencies)","White","2200","2110","46390","40600"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","White","270","250","31620","29270"
"In post","2021","Female","Charity Commission","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Unknown","50","50","[c]","[c]"
"In post","2021","Female","Charity Commission","White","190","170","33700","29160"
"In post","2021","Female","Companies House","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Companies House","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Companies House","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Companies House","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Companies House","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Companies House","Undeclared","40","30","[c]","[c]"
"In post","2021","Female","Companies House","Unknown","30","30","[c]","[c]"
"In post","2021","Female","Companies House","White","510","440","29230","24500"
"In post","2021","Female","Competition and Markets Authority","Asian","60","60","42590","35270"
"In post","2021","Female","Competition and Markets Authority","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","White","290","270","62780","58920"
"In post","2021","Female","Criminal Injuries Compensation Authority","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Criminal Injuries Compensation Authority","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Criminal Injuries Compensation Authority","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Criminal Injuries Compensation Authority","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Criminal Injuries Compensation Authority","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Criminal Injuries Compensation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Criminal Injuries Compensation Authority","White","120","110","27250","22710"
"In post","2021","Female","Crown Commercial Service","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Commercial Service","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Commercial Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Commercial Service","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Commercial Service","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Commercial Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Commercial Service","Unknown","60","60","35170","34800"
"In post","2021","Female","Crown Commercial Service","White","300","290","36460","34800"
"In post","2021","Female","Crown Office and Procurator Fiscal Service","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Office and Procurator Fiscal Service","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Office and Procurator Fiscal Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Office and Procurator Fiscal Service","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Office and Procurator Fiscal Service","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Office and Procurator Fiscal Service","Undeclared","30","30","[c]","[c]"
"In post","2021","Female","Crown Office and Procurator Fiscal Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Office and Procurator Fiscal Service","White","1370","1240","34640","29040"
"In post","2021","Female","Crown Prosecution Service","Asian","430","380","38990","31820"
"In post","2021","Female","Crown Prosecution Service","Black","280","260","39330","32240"
"In post","2021","Female","Crown Prosecution Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Prosecution Service","Mixed","120","110","41450","39260"
"In post","2021","Female","Crown Prosecution Service","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Prosecution Service","Undeclared","60","60","39630","33650"
"In post","2021","Female","Crown Prosecution Service","Unknown","440","400","38440","30110"
"In post","2021","Female","Crown Prosecution Service","White","3110","2810","39930","33930"
"In post","2021","Female","Crown Prosecution Service Inspectorate","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Prosecution Service Inspectorate","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Prosecution Service Inspectorate","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Prosecution Service Inspectorate","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Prosecution Service Inspectorate","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Prosecution Service Inspectorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Prosecution Service Inspectorate","White","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt Management Office","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt Management Office","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt Management Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt Management Office","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt Management Office","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt Management Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt Management Office","White","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Electronics and Components Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Electronics and Components Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Electronics and Components Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Electronics and Components Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Electronics and Components Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Electronics and Components Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Electronics and Components Agency","White","60","60","27930","25630"
"In post","2021","Female","Defence Equipment and Support","Asian","110","100","32420","29230"
"In post","2021","Female","Defence Equipment and Support","Black","80","80","30190","30160"
"In post","2021","Female","Defence Equipment and Support","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Equipment and Support","Mixed","60","60","33240","29640"
"In post","2021","Female","Defence Equipment and Support","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Equipment and Support","Undeclared","140","130","36730","34290"
"In post","2021","Female","Defence Equipment and Support","Unknown","170","160","32770","30420"
"In post","2021","Female","Defence Equipment and Support","White","3060","2860","34250","32050"
"In post","2021","Female","Defence Science and Technology Laboratory","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Science and Technology Laboratory","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Science and Technology Laboratory","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Science and Technology Laboratory","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Science and Technology Laboratory","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Science and Technology Laboratory","Undeclared","90","90","39380","37320"
"In post","2021","Female","Defence Science and Technology Laboratory","Unknown","80","70","31950","28650"
"In post","2021","Female","Defence Science and Technology Laboratory","White","1330","1240","37990","37320"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","Asian","260","250","44690","40050"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","Black","180","180","40140","35530"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","Mixed","100","90","45920","40650"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","90","90","50160","53380"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","280","270","44190","40050"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","White","1650","1580","49440","53380"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Asian","70","70","46090","50860"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Black","60","60","39590","34020"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Mixed","40","40","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Unknown","100","90","46660","51730"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","White","660","640","49730","51730"
"In post","2021","Female","Department for Education (excl. agencies)","Asian","260","250","40380","36660"
"In post","2021","Female","Department for Education (excl. agencies)","Black","150","150","40070","36500"
"In post","2021","Female","Department for Education (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Education (excl. agencies)","Mixed","100","100","42470","40510"
"In post","2021","Female","Department for Education (excl. agencies)","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Female","Department for Education (excl. agencies)","Undeclared","80","70","44980","42580"
"In post","2021","Female","Department for Education (excl. agencies)","Unknown","400","380","43750","40230"
"In post","2021","Female","Department for Education (excl. agencies)","White","2330","2190","44340","40510"
"In post","2021","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","Asian","140","140","38860","33620"
"In post","2021","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","Black","120","110","35480","32680"
"In post","2021","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","Mixed","80","80","40510","36520"
"In post","2021","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","70","70","40400","37170"
"In post","2021","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","480","440","43190","38750"
"In post","2021","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","White","2060","1930","41890","37480"
"In post","2021","Female","Department for International Trade","Asian","100","100","41680","38160"
"In post","2021","Female","Department for International Trade","Black","80","80","37270","32230"
"In post","2021","Female","Department for International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for International Trade","Mixed","50","50","44740","39680"
"In post","2021","Female","Department for International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for International Trade","Undeclared","30","30","[c]","[c]"
"In post","2021","Female","Department for International Trade","Unknown","370","370","42470","38540"
"In post","2021","Female","Department for International Trade","White","610","590","47450","51710"
"In post","2021","Female","Department for Transport (excl. agencies)","Asian","150","140","43510","42470"
"In post","2021","Female","Department for Transport (excl. agencies)","Black","110","110","39660","37660"
"In post","2021","Female","Department for Transport (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Transport (excl. agencies)","Mixed","60","60","39050","35060"
"In post","2021","Female","Department for Transport (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Transport (excl. agencies)","Undeclared","40","40","[c]","[c]"
"In post","2021","Female","Department for Transport (excl. agencies)","Unknown","310","300","41780","35430"
"In post","2021","Female","Department for Transport (excl. agencies)","White","850","810","48840","46710"
"In post","2021","Female","Department for Work and Pensions (excl. agencies)","Asian","4390","3760","27670","27570"
"In post","2021","Female","Department for Work and Pensions (excl. agencies)","Black","2700","2510","29050","30330"
"In post","2021","Female","Department for Work and Pensions (excl. agencies)","Chinese","90","80","26270","27570"
"In post","2021","Female","Department for Work and Pensions (excl. agencies)","Mixed","1050","960","27830","27570"
"In post","2021","Female","Department for Work and Pensions (excl. agencies)","Other ethnicity","270","240","28550","27570"
"In post","2021","Female","Department for Work and Pensions (excl. agencies)","Undeclared","2430","2030","26940","27570"
"In post","2021","Female","Department for Work and Pensions (excl. agencies)","Unknown","3600","3170","27200","27570"
"In post","2021","Female","Department for Work and Pensions (excl. agencies)","White","45000","38530","27070","27570"
"In post","2021","Female","Department of Health and Social Care (excl. agencies)","Asian","110","100","42880","37630"
"In post","2021","Female","Department of Health and Social Care (excl. agencies)","Black","80","70","36610","32790"
"In post","2021","Female","Department of Health and Social Care (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department of Health and Social Care (excl. agencies)","Mixed","40","40","[c]","[c]"
"In post","2021","Female","Department of Health and Social Care (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department of Health and Social Care (excl. agencies)","Unknown","1070","1040","44220","40650"
"In post","2021","Female","Department of Health and Social Care (excl. agencies)","White","790","750","48340","49530"
"In post","2021","Female","Disclosure Scotland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Disclosure Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Disclosure Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Disclosure Scotland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Disclosure Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Disclosure Scotland","Unknown","50","50","25870","22230"
"In post","2021","Female","Disclosure Scotland","White","100","90","29160","24910"
"In post","2021","Female","Driver and Vehicle Licensing Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Licensing Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Licensing Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Licensing Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Licensing Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Licensing Agency","Undeclared","90","80","24960","21590"
"In post","2021","Female","Driver and Vehicle Licensing Agency","Unknown","400","350","23300","21590"
"In post","2021","Female","Driver and Vehicle Licensing Agency","White","3210","2640","24280","21590"
"In post","2021","Female","Driver and Vehicle Standards Agency","Asian","30","30","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Standards Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Standards Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Standards Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Standards Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Standards Agency","Undeclared","130","120","28970","26780"
"In post","2021","Female","Driver and Vehicle Standards Agency","Unknown","270","250","28330","26700"
"In post","2021","Female","Driver and Vehicle Standards Agency","White","970","880","29270","26780"
"In post","2021","Female","Education and Skills Funding Agency","Asian","110","100","37590","36500"
"In post","2021","Female","Education and Skills Funding Agency","Black","30","30","[c]","[c]"
"In post","2021","Female","Education and Skills Funding Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Education and Skills Funding Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Education and Skills Funding Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Education and Skills Funding Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Education and Skills Funding Agency","Unknown","90","90","39060","36500"
"In post","2021","Female","Education and Skills Funding Agency","White","730","690","42010","37100"
"In post","2021","Female","Education Scotland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Education Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Education Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Education Scotland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Education Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Education Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Education Scotland","Unknown","70","70","49820","47760"
"In post","2021","Female","Education Scotland","White","160","150","56830","65650"
"In post","2021","Female","ESTYN","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","White","60","60","53430","62360"
"In post","2021","Female","FCDO Services","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","FCDO Services","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","FCDO Services","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","FCDO Services","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","FCDO Services","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","FCDO Services","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","FCDO Services","White","250","230","39110","32880"
"In post","2021","Female","Food Standards Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Unknown","30","30","[c]","[c]"
"In post","2021","Female","Food Standards Agency","White","410","400","39370","37910"
"In post","2021","Female","Food Standards Scotland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Scotland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Scotland","Unknown","30","30","[c]","[c]"
"In post","2021","Female","Food Standards Scotland","White","70","70","35350","33620"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Asian","240","230","41700","36460"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Black","160","160","38060","35280"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Mixed","140","140","44550","38600"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Other ethnicity","50","50","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Undeclared","100","100","44820","39360"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","610","600","46700","44130"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","White","2520","2440","48520","44230"
"In post","2021","Female","Forestry and Land Scotland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Forestry and Land Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Forestry and Land Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Forestry and Land Scotland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Forestry and Land Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Forestry and Land Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Forestry and Land Scotland","Unknown","30","30","[c]","[c]"
"In post","2021","Female","Forestry and Land Scotland","White","290","270","31730","29140"
"In post","2021","Female","Government Actuary's Department","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Actuary's Department","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Actuary's Department","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Actuary's Department","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Actuary's Department","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Actuary's Department","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Actuary's Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Actuary's Department","White","50","40","[c]","[c]"
"In post","2021","Female","Government Internal Audit Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Internal Audit Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Internal Audit Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Internal Audit Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Internal Audit Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Internal Audit Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Internal Audit Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Internal Audit Agency","White","180","170","46230","43100"
"In post","2021","Female","Government Legal Department","Asian","170","160","50110","51250"
"In post","2021","Female","Government Legal Department","Black","120","110","42080","35000"
"In post","2021","Female","Government Legal Department","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Legal Department","Mixed","60","60","54780","51940"
"In post","2021","Female","Government Legal Department","Other ethnicity","50","40","[c]","[c]"
"In post","2021","Female","Government Legal Department","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Legal Department","Unknown","220","190","58470","64680"
"In post","2021","Female","Government Legal Department","White","990","890","55630","52040"
"In post","2021","Female","Government Property Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Property Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Property Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Property Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Property Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Property Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Property Agency","White","70","60","47640","49700"
"In post","2021","Female","Health and Safety Executive","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Health and Safety Executive","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Health and Safety Executive","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Health and Safety Executive","Mixed","[c]","[c]","[c]","[c]"
