"Status","Year","Profession_of_post","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","G6/G7","30","30","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","SEO/HEO","110","100","35670","36700"
"In post","2021","Commercial","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","AA/AO","40","30","[c]","[c]"
"In post","2021","Commercial","Department for Transport","EO","60","50","26510","26700"
"In post","2021","Commercial","Department for Transport","G6/G7","60","60","60730","57290"
"In post","2021","Commercial","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","SEO/HEO","130","120","36940","35060"
"In post","2021","Commercial","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","G6/G7","60","60","56220","53360"
"In post","2021","Commercial","Department of Health and Social Care","SCS","40","30","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","SEO/HEO","120","110","36880","38670"
"In post","2021","Commercial","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","G6/G7","50","50","59410","56300"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","SEO/HEO","80","80","38590","39580"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Commercial","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","SEO/HEO","70","70","40770","42100"
"In post","2021","Commercial","Ministry of Defence","AA/AO","60","50","22500","20920"
"In post","2021","Commercial","Ministry of Defence","EO","340","320","25300","26350"
"In post","2021","Commercial","Ministry of Defence","G6/G7","260","250","58410","55310"
"In post","2021","Commercial","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","SEO/HEO","1190","1140","36620","35950"
"In post","2021","Commercial","Ministry of Defence","Unknown","180","170","37820","34200"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","AA/AO","60","50","22990","21710"
"In post","2021","Commercial","Ministry of Justice","EO","90","90","27490","27380"
"In post","2021","Commercial","Ministry of Justice","G6/G7","180","170","70530","69760"
"In post","2021","Commercial","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","SEO/HEO","520","510","43360","43840"
"In post","2021","Commercial","Ministry of Justice","Unknown","40","40","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","EO","60","60","23500","22550"
"In post","2021","Commercial","Other Cabinet Office Agencies","G6/G7","40","40","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","SEO/HEO","270","260","33250","34800"
"In post","2021","Commercial","Scottish Government","AA/AO","60","50","23570","24450"
"In post","2021","Commercial","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","The National Archives","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Communications","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chancellor's other departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","G6/G7","70","60","59080","58430"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","SEO/HEO","140","130","39320","38910"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education","EO","80","80","27580","26000"
"In post","2021","Communications","Department for Education","G6/G7","80","80","56630","54400"
"In post","2021","Communications","Department for Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education","SEO/HEO","150","150","37540","36960"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","G6/G7","80","80","53460","53200"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","SEO/HEO","160","150","35750","36970"
"In post","2021","Communications","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","G6/G7","50","50","54240","51980"
"In post","2021","Communications","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","SEO/HEO","60","60","35580","34450"
"In post","2021","Communications","Department for Transport","AA/AO","40","30","[c]","[c]"
"In post","2021","Communications","Department for Transport","EO","60","50","26440","26470"
"In post","2021","Communications","Department for Transport","G6/G7","60","60","57950","54760"
"In post","2021","Communications","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport","SEO/HEO","140","130","37500","37380"
"In post","2021","Communications","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Work and Pensions","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care","EO","70","70","27490","27270"
"In post","2021","Communications","Department of Health and Social Care","G6/G7","100","100","58790","55150"
"In post","2021","Communications","Department of Health and Social Care","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care","SEO/HEO","120","120","36650","35340"
"In post","2021","Communications","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","G6/G7","50","40","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","SEO/HEO","80","80","41530","41000"
"In post","2021","Communications","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Land Registry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs","G6/G7","80","80","57450","59160"
"In post","2021","Communications","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs","SEO/HEO","130","130","37440","38630"
"In post","2021","Communications","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Treasury","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Home Office","G6/G7","60","60","60230","57570"
"In post","2021","Communications","Home Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Home Office","SEO/HEO","100","100","41220","41900"
"In post","2021","Communications","Ministry of Defence","AA/AO","100","90","21350","21020"
"In post","2021","Communications","Ministry of Defence","EO","170","160","27460","26670"
"In post","2021","Communications","Ministry of Defence","G6/G7","60","60","60840","61880"
"In post","2021","Communications","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Defence","SEO/HEO","290","280","37940","36620"
"In post","2021","Communications","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","G6/G7","30","30","[c]","[c]"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","SEO/HEO","50","50","36760","34200"
"In post","2021","Communications","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","G6/G7","40","40","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","SEO/HEO","100","90","36830","36800"
"In post","2021","Communications","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other Cabinet Office Agencies","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other Cabinet Office Agencies","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","The National Archives","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Export Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Supreme Court","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","SEO/HEO","60","50","33220","32540"
"In post","2021","Communications","Wales Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Welsh Government","EO","30","30","[c]","[c]"
"In post","2021","Communications","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Welsh Government","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Welsh Government","SEO/HEO","90","80","40590","37410"
"In post","2021","Corporate Finance","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Environment, Food and Rural Affairs","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department of Health and Social Care","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department of Health and Social Care","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department of Health and Social Care","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Ministry of Defence","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Ministry of Defence","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Wales Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Wales Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Water Services Regulation Authority","AA/AO","[c]","[c]","[c]","[c]"
