"Status","Year","Function_of_post","Parent_department","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Competition and Markets Authority","White","100","100","60050","56360"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Unknown","50","50","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","White","210","210","44940","37870"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","White","80","80","53980","59730"
"In post","2021","Analysis","Department for Education","Asian","30","30","[c]","[c]"
"In post","2021","Analysis","Department for Education","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Unknown","40","40","[c]","[c]"
"In post","2021","Analysis","Department for Education","White","300","280","44600","44400"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","White","540","510","34180","30220"
"In post","2021","Analysis","Department for International Trade","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Unknown","60","60","40690","31950"
"In post","2021","Analysis","Department for International Trade","White","130","130","44420","38540"
"In post","2021","Analysis","Department for Transport","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Unknown","80","70","41880","42470"
"In post","2021","Analysis","Department for Transport","White","330","310","44450","42470"
"In post","2021","Analysis","Department for Work and Pensions","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Unknown","140","140","53030","53360"
"In post","2021","Analysis","Department of Health and Social Care","White","130","120","51180","53360"
"In post","2021","Analysis","ESTYN","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","White","50","50","59190","58900"
"In post","2021","Analysis","HM Land Registry","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Asian","70","70","40580","36350"
"In post","2021","Analysis","HM Revenue and Customs","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Unknown","120","110","38630","36160"
"In post","2021","Analysis","HM Revenue and Customs","White","440","420","46360","38980"
"In post","2021","Analysis","HM Treasury","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","White","100","100","56570","55530"
"In post","2021","Analysis","Ministry of Defence","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Undeclared","60","60","41900","43460"
"In post","2021","Analysis","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","White","520","500","40560","37360"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","White","140","140","47430","43570"
"In post","2021","Analysis","Ministry of Justice","Asian","40","40","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Unknown","60","60","43530","41700"
"In post","2021","Analysis","Ministry of Justice","White","260","250","46260","40940"
"In post","2021","Analysis","Office for Standards in Education","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","White","130","120","40480","35010"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","White","40","40","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","White","30","30","[c]","[c]"
"In post","2021","Analysis","Scottish Government","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","Asian","40","40","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","Mixed","30","30","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","Unknown","310","300","33720","30130"
"In post","2021","Analysis","United Kingdom Statistics Authority","White","1270","1210","38130","36030"
"In post","2021","Analysis","Wales Office","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales Office","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales Office","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales Office","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales Office","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Government","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Government","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Government","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Government","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Government","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Government","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","Unknown","1020","1000","71010","64500"
"In post","2021","Commercial","Cabinet Office","White","320","320","71570","62730"
"In post","2021","Commercial","Chancellor's other departments","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","White","200","190","43160","40860"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","White","150","150","41490","38280"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Unknown","30","30","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","White","150","140","37500","36520"
"In post","2021","Commercial","Department for International Trade","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","White","170","160","33840","31300"
