"Status","Year","Profession_of_post","Disability","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Undeclared","50","40","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","450","440","39400","36820"
"In post","2021","Commercial","Unknown","White","450","430","38290","35470"
"In post","2021","Communications","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","White","220","210","37560","34260"
"In post","2021","Communications","Declared non-disabled","Asian","130","130","40310","37640"
"In post","2021","Communications","Declared non-disabled","Black","80","80","39140","36300"
"In post","2021","Communications","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Mixed","90","80","42420","39270"
"In post","2021","Communications","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Undeclared","50","50","41180","39850"
"In post","2021","Communications","Declared non-disabled","Unknown","70","70","40660","37690"
"In post","2021","Communications","Declared non-disabled","White","2110","2030","42110","38630"
"In post","2021","Communications","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Undeclared","40","40","[c]","[c]"
"In post","2021","Communications","Undeclared","Unknown","50","50","[c]","[c]"
"In post","2021","Communications","Undeclared","White","90","90","40660","35660"
"In post","2021","Communications","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","580","560","42280","38630"
"In post","2021","Communications","Unknown","White","290","280","41230","37640"
"In post","2021","Corporate Finance","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","White","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","White","100","90","47070","46080"
"In post","2021","Corporate Finance","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","White","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","White","50","50","34300","31000"
"In post","2021","Counter Fraud","Declared non-disabled","Asian","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","Unknown","50","40","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","White","470","450","37990","35070"
"In post","2021","Counter Fraud","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","White","50","50","39070","36680"
"In post","2021","Counter Fraud","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Unknown","120","110","40830","35070"
"In post","2021","Counter Fraud","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared disabled","Asian","60","60","38740","34910"
"In post","2021","Digital, Data and Technology","Declared disabled","Black","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared disabled","Undeclared","50","50","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared disabled","White","840","810","38880","35900"
"In post","2021","Digital, Data and Technology","Declared non-disabled","Asian","640","640","43010","39800"
"In post","2021","Digital, Data and Technology","Declared non-disabled","Black","320","320","39930","36780"
"In post","2021","Digital, Data and Technology","Declared non-disabled","Chinese","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared non-disabled","Mixed","160","160","42110","39460"
"In post","2021","Digital, Data and Technology","Declared non-disabled","Other ethnicity","60","60","41460","38900"
"In post","2021","Digital, Data and Technology","Declared non-disabled","Undeclared","260","260","42960","40860"
"In post","2021","Digital, Data and Technology","Declared non-disabled","Unknown","250","240","38020","35730"
"In post","2021","Digital, Data and Technology","Declared non-disabled","White","6640","6440","42720","38900"
"In post","2021","Digital, Data and Technology","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Undeclared","300","290","41710","38630"
"In post","2021","Digital, Data and Technology","Undeclared","Unknown","50","50","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","White","330","320","40060","37910"
"In post","2021","Digital, Data and Technology","Unknown","Asian","140","140","40890","37870"
"In post","2021","Digital, Data and Technology","Unknown","Black","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Undeclared","90","90","40420","38630"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","1890","1860","40850","37320"
"In post","2021","Digital, Data and Technology","Unknown","White","950","930","40910","38000"
"In post","2021","Economics","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","White","70","70","46940","49100"
"In post","2021","Economics","Declared non-disabled","Asian","140","130","44330","39300"
"In post","2021","Economics","Declared non-disabled","Black","50","50","[c]","[c]"
"In post","2021","Economics","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared non-disabled","Mixed","70","70","45320","44030"
"In post","2021","Economics","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared non-disabled","Undeclared","40","40","[c]","[c]"
"In post","2021","Economics","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared non-disabled","White","1070","1040","50020","51970"
"In post","2021","Economics","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","Unknown","40","40","[c]","[c]"
"In post","2021","Economics","Undeclared","White","40","40","[c]","[c]"
"In post","2021","Economics","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Unknown","350","350","42380","36160"
"In post","2021","Economics","Unknown","White","120","120","43630","35050"
"In post","2021","Finance","Declared disabled","Asian","50","50","38990","36650"
"In post","2021","Finance","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Undeclared","30","30","[c]","[c]"
"In post","2021","Finance","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","White","620","580","38020","33300"
"In post","2021","Finance","Declared non-disabled","Asian","600","580","40190","36460"
"In post","2021","Finance","Declared non-disabled","Black","310","300","40430","37150"
"In post","2021","Finance","Declared non-disabled","Chinese","40","40","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Mixed","120","110","42420","40000"
"In post","2021","Finance","Declared non-disabled","Other ethnicity","50","50","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Undeclared","150","140","42850","39300"
"In post","2021","Finance","Declared non-disabled","Unknown","110","100","38180","36430"
"In post","2021","Finance","Declared non-disabled","White","5090","4820","41320","37410"
"In post","2021","Finance","Undeclared","Asian","40","40","[c]","[c]"
"In post","2021","Finance","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Undeclared","170","160","40880","36880"
"In post","2021","Finance","Undeclared","Unknown","40","40","[c]","[c]"
"In post","2021","Finance","Undeclared","White","240","230","38330","34440"
"In post","2021","Finance","Unknown","Asian","70","60","38810","36490"
"In post","2021","Finance","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Undeclared","40","40","[c]","[c]"
"In post","2021","Finance","Unknown","Unknown","790","760","37180","32790"
"In post","2021","Finance","Unknown","White","480","450","39970","34600"
"In post","2021","Human Resources","Declared disabled","Asian","50","40","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Black","40","40","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","White","820","770","40160","35820"
"In post","2021","Human Resources","Declared non-disabled","Asian","300","280","37830","35050"
"In post","2021","Human Resources","Declared non-disabled","Black","210","210","37770","35000"
"In post","2021","Human Resources","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared non-disabled","Mixed","120","110","40180","37000"
"In post","2021","Human Resources","Declared non-disabled","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Human Resources","Declared non-disabled","Undeclared","80","80","34550","33150"
"In post","2021","Human Resources","Declared non-disabled","Unknown","70","70","39300","33350"
"In post","2021","Human Resources","Declared non-disabled","White","4470","4230","39500","35000"
"In post","2021","Human Resources","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Undeclared","100","90","38530","33320"
"In post","2021","Human Resources","Undeclared","Unknown","40","40","[c]","[c]"
"In post","2021","Human Resources","Undeclared","White","240","220","38380","35090"
"In post","2021","Human Resources","Unknown","Asian","50","50","34960","31470"
"In post","2021","Human Resources","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Unknown","550","520","35100","31810"
"In post","2021","Human Resources","Unknown","White","520","490","34670","29540"
"In post","2021","Inspector of Education and Training","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Declared disabled","White","60","60","62100","64500"
"In post","2021","Inspector of Education and Training","Declared non-disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Declared non-disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Declared non-disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Declared non-disabled","White","660","640","68060","74730"
"In post","2021","Inspector of Education and Training","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Unknown","White","60","60","57210","51360"
"In post","2021","Intelligence Analysis","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Declared disabled","White","240","230","32670","30500"
"In post","2021","Intelligence Analysis","Declared non-disabled","Asian","170","160","31970","29080"
"In post","2021","Intelligence Analysis","Declared non-disabled","Black","50","40","[c]","[c]"
"In post","2021","Intelligence Analysis","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Declared non-disabled","Mixed","50","40","[c]","[c]"
"In post","2021","Intelligence Analysis","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Declared non-disabled","Undeclared","80","70","34660","30500"
"In post","2021","Intelligence Analysis","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Declared non-disabled","White","2010","1930","33970","30830"
"In post","2021","Intelligence Analysis","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Undeclared","Undeclared","110","110","35890","33230"
"In post","2021","Intelligence Analysis","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Undeclared","White","160","150","33090","30450"
"In post","2021","Intelligence Analysis","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","Unknown","250","250","44650","44500"
"In post","2021","Intelligence Analysis","Unknown","White","130","120","44140","40580"
"In post","2021","Internal Audit","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","White","70","70","43820","39980"
"In post","2021","Internal Audit","Declared non-disabled","Asian","60","50","46240","44310"
"In post","2021","Internal Audit","Declared non-disabled","Black","30","30","[c]","[c]"
"In post","2021","Internal Audit","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared non-disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared non-disabled","White","450","430","46440","43440"
"In post","2021","Internal Audit","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","White","30","30","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared disabled","White","70","70","48120","51710"
"In post","2021","International Trade","Declared non-disabled","Asian","80","80","42500","38160"
"In post","2021","International Trade","Declared non-disabled","Black","40","40","[c]","[c]"
"In post","2021","International Trade","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared non-disabled","Mixed","30","30","[c]","[c]"
"In post","2021","International Trade","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared non-disabled","Unknown","50","50","47490","43060"
"In post","2021","International Trade","Declared non-disabled","White","550","540","48670","50940"
"In post","2021","International Trade","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Undeclared","White","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Unknown","Unknown","370","370","44980","38630"
"In post","2021","International Trade","Unknown","White","120","120","48110","42460"
"In post","2021","Knowledge and Information Management","Declared disabled","Asian","[c]","[c]","[c]","[c]"
