"Status","Year","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Unknown","Operational Delivery","12210","11280","29920","28430"
"In post","2021","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","2060","2060","38270","34660"
"In post","2021","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Project Delivery","550","540","43170","40640"
"In post","2021","Unknown","Property","40","40","[c]","[c]"
"In post","2021","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Science and Engineering","810","800","39340","37030"
"In post","2021","Unknown","Security","80","80","37190","37170"
"In post","2021","Unknown","Unknown","250","250","[c]","[c]"
"In post","2022","AA/AO","Commercial","320","290","22560","21640"
"In post","2022","AA/AO","Communications","210","200","22310","21830"
"In post","2022","AA/AO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Counter Fraud","1490","1280","22500","21260"
"In post","2022","AA/AO","Digital, Data and Technology","670","650","21910","21300"
"In post","2022","AA/AO","Economics","80","80","22130","22460"
"In post","2022","AA/AO","Finance","980","880","22000","21380"
"In post","2022","AA/AO","Geography","70","70","20470","20420"
"In post","2022","AA/AO","Human Resources","1230","1130","21980","21380"
"In post","2022","AA/AO","Intelligence Analysis","120","100","23290","21820"
"In post","2022","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Knowledge and Information Management","370","350","22280","21380"
"In post","2022","AA/AO","Legal","270","240","22380","22080"
"In post","2022","AA/AO","Medicine","350","320","22730","23280"
"In post","2022","AA/AO","Operational Delivery","103150","91970","22980","21640"
"In post","2022","AA/AO","Operational Research","40","30","[c]","[c]"
"In post","2022","AA/AO","Other","10550","9790","21390","21260"
"In post","2022","AA/AO","Planning","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Policy","660","630","23730","24250"
"In post","2022","AA/AO","Project Delivery","470","400","22090","21260"
"In post","2022","AA/AO","Property","980","920","20200","19810"
"In post","2022","AA/AO","Psychology","90","80","21680","21590"
"In post","2022","AA/AO","Science and Engineering","1100","1070","21810","22180"
"In post","2022","AA/AO","Security","5590","5460","27010","23380"
"In post","2022","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Statistics","70","70","22340","22460"
"In post","2022","AA/AO","Tax","3400","3180","21360","21250"
"In post","2022","AA/AO","Unknown","4840","4560","23100","22140"
"In post","2022","AA/AO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","EO","Commercial","900","860","26470","26350"
"In post","2022","EO","Communications","600","580","27740","27270"
"In post","2022","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","EO","Counter Fraud","3620","3250","28150","27570"
"In post","2022","EO","Digital, Data and Technology","3470","3330","27740","27570"
"In post","2022","EO","Economics","150","140","27010","27270"
"In post","2022","EO","Finance","2370","2270","26940","26670"
"In post","2022","EO","Geography","160","150","27540","26740"
"In post","2022","EO","Human Resources","1730","1620","27390","26930"
"In post","2022","EO","Intelligence Analysis","1580","1500","27700","27370"
"In post","2022","EO","Internal Audit","40","40","[c]","[c]"
"In post","2022","EO","International Trade","110","110","27390","26510"
"In post","2022","EO","Knowledge and Information Management","580","550","27730","27570"
"In post","2022","EO","Legal","1860","1780","28350","26940"
"In post","2022","EO","Medicine","310","280","31850","31530"
"In post","2022","EO","Operational Delivery","85240","78260","28140","27570"
"In post","2022","EO","Operational Research","50","50","28390","27560"
"In post","2022","EO","Other","8750","8290","27220","27570"
"In post","2022","EO","Planning","[c]","[c]","[c]","[c]"
"In post","2022","EO","Policy","2760","2670","28110","27920"
"In post","2022","EO","Project Delivery","1410","1320","26930","26780"
"In post","2022","EO","Property","1540","1450","27290","26880"
"In post","2022","EO","Psychology","420","400","27100","26850"
"In post","2022","EO","Science and Engineering","1980","1920","26150","26370"
"In post","2022","EO","Security","1050","1030","33700","29550"
"In post","2022","EO","Social Research","60","60","30810","33650"
"In post","2022","EO","Statistics","250","240","28010","28010"
"In post","2022","EO","Tax","4800","4540","27400","26820"
"In post","2022","EO","Unknown","5440","5260","28110","27500"
"In post","2022","EO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Commercial","1230","1190","57970","54700"
"In post","2022","G6/G7","Communications","1090","1050","58600","57430"
"In post","2022","G6/G7","Corporate Finance","60","50","58710","57480"
"In post","2022","G6/G7","Counter Fraud","170","160","59870","58700"
"In post","2022","G6/G7","Digital, Data and Technology","5600","5500","58570","57050"
"In post","2022","G6/G7","Economics","910","880","59960","57850"
"In post","2022","G6/G7","Finance","2740","2670","58910","57460"
"In post","2022","G6/G7","Geography","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Human Resources","2100","2030","58050","56860"
"In post","2022","G6/G7","Inspector of Education and Training","540","530","75390","75500"
"In post","2022","G6/G7","Intelligence Analysis","230","230","59670","58350"
"In post","2022","G6/G7","Internal Audit","210","200","58610","57200"
"In post","2022","G6/G7","International Trade","670","670","56200","53600"
"In post","2022","G6/G7","Knowledge and Information Management","320","310","57700","55650"
"In post","2022","G6/G7","Legal","6260","5800","59430","58040"
"In post","2022","G6/G7","Medicine","760","650","73780","75970"
"In post","2022","G6/G7","Operational Delivery","8040","7830","58690","55330"
"In post","2022","G6/G7","Operational Research","500","470","55630","55210"
"In post","2022","G6/G7","Other","2080","2010","60100","57430"
"In post","2022","G6/G7","Planning","70","70","58640","59660"
"In post","2022","G6/G7","Planning Inspectors","360","320","56940","58810"
"In post","2022","G6/G7","Policy","13110","12710","58190","56730"
"In post","2022","G6/G7","Project Delivery","4740","4620","57640","55210"
"In post","2022","G6/G7","Property","1510","1470","58420","57150"
"In post","2022","G6/G7","Psychology","120","120","64740","65520"
"In post","2022","G6/G7","Science and Engineering","3140","2990","55990","54560"
"In post","2022","G6/G7","Security","510","510","59180","57680"
"In post","2022","G6/G7","Social Research","370","350","57590","57190"
"In post","2022","G6/G7","Statistics","780","740","58190","57850"
"In post","2022","G6/G7","Tax","3010","2880","59450","55210"
"In post","2022","G6/G7","Unknown","8100","7890","61710","61710"
"In post","2022","G6/G7","Veterinarian","130","130","55170","54360"
"In post","2022","SCS","Commercial","110","100","87010","79580"
"In post","2022","SCS","Communications","110","110","88830","83450"
"In post","2022","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data and Technology","290","290","91930","87250"
"In post","2022","SCS","Economics","90","90","92290","81770"
"In post","2022","SCS","Finance","340","330","88310","80790"
"In post","2022","SCS","Geography","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","230","220","86580","79620"
"In post","2022","SCS","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","SCS","International Trade","120","110","82590","75040"
"In post","2022","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","400","380","87930","82720"
"In post","2022","SCS","Medicine","340","300","106180","101430"
"In post","2022","SCS","Operational Delivery","870","850","91470","83280"
"In post","2022","SCS","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other","330","310","96500","88020"
"In post","2022","SCS","Planning","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Policy","1910","1840","85320","77730"
"In post","2022","SCS","Project Delivery","370","360","90490","84220"
"In post","2022","SCS","Property","90","90","89640","84120"
"In post","2022","SCS","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Science and Engineering","90","90","95200","92290"
"In post","2022","SCS","Security","30","30","[c]","[c]"
"In post","2022","SCS","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Statistics","60","50","84820","78830"
"In post","2022","SCS","Tax","80","80","81870","78910"
"In post","2022","SCS","Unknown","1220","1200","97030","86390"
"In post","2022","SCS","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","3440","3330","37140","36820"
"In post","2022","SEO/HEO","Communications","2150","2080","37950","37910"
"In post","2022","SEO/HEO","Corporate Finance","60","60","37670","38060"
"In post","2022","SEO/HEO","Counter Fraud","1300","1240","35440","34290"
"In post","2022","SEO/HEO","Digital, Data and Technology","9940","9700","37810","37210"
"In post","2022","SEO/HEO","Economics","870","860","35500","34320"
"In post","2022","SEO/HEO","Finance","5820","5630","37510","36650"
"In post","2022","SEO/HEO","Geography","250","230","35630","33290"
"In post","2022","SEO/HEO","Human Resources","4290","4100","36560","36050"
"In post","2022","SEO/HEO","Inspector of Education and Training","390","370","50370","51360"
"In post","2022","SEO/HEO","Intelligence Analysis","1270","1240","37060","36500"
"In post","2022","SEO/HEO","Internal Audit","470","440","40470","40520"
"In post","2022","SEO/HEO","International Trade","740","730","36330","37930"
"In post","2022","SEO/HEO","Knowledge and Information Management","1050","1020","36650","35980"
"In post","2022","SEO/HEO","Legal","3890","3670","39490","38000"
"In post","2022","SEO/HEO","Medicine","760","690","40050","39030"
"In post","2022","SEO/HEO","Operational Delivery","38230","36450","36970","35380"
"In post","2022","SEO/HEO","Operational Research","530","520","37100","38070"
"In post","2022","SEO/HEO","Other","6710","6450","36210","35110"
"In post","2022","SEO/HEO","Planning","110","100","38750","39100"
"In post","2022","SEO/HEO","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Policy","14480","14120","37190","36720"
"In post","2022","SEO/HEO","Project Delivery","8400","8070","37280","37640"
"In post","2022","SEO/HEO","Property","3430","3300","37740","36500"
"In post","2022","SEO/HEO","Psychology","900","860","37080","33120"
"In post","2022","SEO/HEO","Science and Engineering","6830","6560","37160","38070"
"In post","2022","SEO/HEO","Security","1920","1870","39380","37640"
"In post","2022","SEO/HEO","Social Research","870","830","36440","37610"
"In post","2022","SEO/HEO","Statistics","1250","1210","37370","37710"
"In post","2022","SEO/HEO","Tax","8310","7950","36100","33370"
"In post","2022","SEO/HEO","Unknown","12640","12330","36910","36130"
"In post","2022","SEO/HEO","Veterinarian","260","250","39810","37530"
"In post","2022","Unknown","Commercial","200","190","39900","38240"
"In post","2022","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2022","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","80","70","48730","42050"
"In post","2022","Unknown","Human Resources","40","40","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2022","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Delivery","19470","18030","30110","28200"
"In post","2022","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other","1960","1950","37450","34160"
"In post","2022","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Policy","50","50","[c]","[c]"
"In post","2022","Unknown","Project Delivery","500","490","45020","41540"
"In post","2022","Unknown","Property","50","50","[c]","[c]"
"In post","2022","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Science and Engineering","800","790","40870","38250"
"In post","2022","Unknown","Security","190","180","32860","31370"
"In post","2022","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","30","30","[c]","[c]"
"Leaver CS","2021","AA/AO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data and Technology","50","50","[c]","[c]"
"Leaver CS","2021","AA/AO","Economics","60","60","[c]","[c]"
"Leaver CS","2021","AA/AO","Finance","40","30","[c]","[c]"
"Leaver CS","2021","AA/AO","Human Resources","70","60","21460","21130"
"Leaver CS","2021","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Medicine","40","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Operational Delivery","5210","4640","20660","20650"
"Leaver CS","2021","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Other","490","450","20760","20920"
"Leaver CS","2021","AA/AO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Policy","70","70","22100","21590"
"Leaver CS","2021","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Property","90","80","19350","18780"
"Leaver CS","2021","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Science and Engineering","230","220","20330","20150"
"Leaver CS","2021","AA/AO","Security","310","290","27730","23540"
"Leaver CS","2021","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","5100","4200","21300","21010"
"Leaver CS","2021","EO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Communications","40","40","[c]","[c]"
"Leaver CS","2021","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Digital, Data and Technology","90","80","27190","26670"
"Leaver CS","2021","EO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Finance","40","40","[c]","[c]"
"Leaver CS","2021","EO","Human Resources","50","50","26160","27000"
"Leaver CS","2021","EO","Intelligence Analysis","40","40","[c]","[c]"
"Leaver CS","2021","EO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Medicine","40","30","[c]","[c]"
"Leaver CS","2021","EO","Operational Delivery","1280","1130","27360","26700"
"Leaver CS","2021","EO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Other","430","410","27180","27510"
"Leaver CS","2021","EO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Policy","130","120","25150","26960"
"Leaver CS","2021","EO","Project Delivery","80","70","23470","25970"
"Leaver CS","2021","EO","Property","140","120","25970","25900"
"Leaver CS","2021","EO","Psychology","50","40","[c]","[c]"
"Leaver CS","2021","EO","Science and Engineering","110","110","24890","25190"
"Leaver CS","2021","EO","Security","50","40","[c]","[c]"
"Leaver CS","2021","EO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","3510","2900","27920","27570"
"Leaver CS","2021","G6/G7","Commercial","50","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Communications","40","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Digital, Data and Technology","120","120","59730","58090"
"Leaver CS","2021","G6/G7","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Finance","60","60","63150","62220"
"Leaver CS","2021","G6/G7","Human Resources","60","50","58060","58480"
"Leaver CS","2021","G6/G7","Inspector of Education and Training","50","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Legal","240","210","58640","55610"
"Leaver CS","2021","G6/G7","Medicine","60","50","72860","74070"
"Leaver CS","2021","G6/G7","Operational Delivery","270","260","59680","57460"
"Leaver CS","2021","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Other","60","60","64070","61630"
"Leaver CS","2021","G6/G7","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Policy","270","250","59030","57000"
"Leaver CS","2021","G6/G7","Project Delivery","90","90","58730","56300"
"Leaver CS","2021","G6/G7","Property","40","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Science and Engineering","80","70","56700","54540"
"Leaver CS","2021","G6/G7","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","880","740","61450","59640"
"Leaver CS","2021","G6/G7","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Communications","[c]","[c]","[c]","[c]"
