"Status","Year","Organisation","Function_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Office","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","No function","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","No function","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Declared disabled","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Declared non-disabled","330","320","76000","65310"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Unknown","1040","1020","69450","64500"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Declared non-disabled","210","200","47320","40850"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Unknown","110","110","47040","42550"
"In post","2021","Cabinet Office (excl. agencies)","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Counter Fraud","Declared non-disabled","70","70","48440","53230"
"In post","2021","Cabinet Office (excl. agencies)","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data & Technology","Declared disabled","90","90","48410","54700"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data & Technology","Declared non-disabled","730","720","52050","54700"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data & Technology","Undeclared","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data & Technology","Unknown","120","110","48980","49700"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Declared non-disabled","60","60","45990","41820"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Declared disabled","190","180","40360","35790"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Declared non-disabled","760","730","39580","35590"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Undeclared","60","60","36100","32000"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Unknown","110","110","36170","32000"
"In post","2021","Cabinet Office (excl. agencies)","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Legal","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Declared disabled","230","220","44140","37030"
"In post","2021","Cabinet Office (excl. agencies)","No function","Declared non-disabled","1610","1580","47350","41250"
"In post","2021","Cabinet Office (excl. agencies)","No function","Undeclared","90","90","45920","38580"
"In post","2021","Cabinet Office (excl. agencies)","No function","Unknown","2250","2240","35420","29250"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","Declared non-disabled","160","150","72390","64500"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Property","Declared non-disabled","80","70","49570","52720"
"In post","2021","Cabinet Office (excl. agencies)","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Security","Declared disabled","90","80","33190","33300"
"In post","2021","Cabinet Office (excl. agencies)","Security","Declared non-disabled","430","410","35560","33300"
"In post","2021","Cabinet Office (excl. agencies)","Security","Undeclared","50","50","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Security","Unknown","310","290","29300","26670"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Analysis","Declared non-disabled","300","290","32240","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Analysis","Unknown","150","140","37560","35900"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","No function","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","No function","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Grants Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Declared non-disabled","100","100","33640","29160"
"In post","2021","Charity Commission","Unknown","Unknown","130","120","31850","29160"
"In post","2021","Companies House","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Digital, Data & Technology","Declared non-disabled","180","170","39260","38000"
"In post","2021","Companies House","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Digital, Data & Technology","Unknown","50","50","36370","36530"
"In post","2021","Companies House","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Finance","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Companies House","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Human Resources","Declared non-disabled","60","60","32450","25460"
"In post","2021","Companies House","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","No function","Declared disabled","40","40","[c]","[c]"
"In post","2021","Companies House","No function","Declared non-disabled","340","310","26730","22490"
"In post","2021","Companies House","No function","Undeclared","40","40","[c]","[c]"
"In post","2021","Companies House","No function","Unknown","200","170","23780","22490"
"In post","2021","Companies House","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Analysis","Declared non-disabled","110","110","58380","56360"
"In post","2021","Competition and Markets Authority","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data & Technology","Declared non-disabled","60","60","57480","55860"
"In post","2021","Competition and Markets Authority","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","Declared non-disabled","140","140","68830","71900"
"In post","2021","Competition and Markets Authority","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","Declared non-disabled","310","300","59310","55860"
"In post","2021","Competition and Markets Authority","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","Unknown","50","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","No function","Declared disabled","40","30","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","No function","Declared non-disabled","150","140","26970","22710"
"In post","2021","Criminal Injuries Compensation Authority","No function","Undeclared","70","70","23680","22570"
"In post","2021","Criminal Injuries Compensation Authority","No function","Unknown","40","30","[c]","[c]"
"In post","2021","Crown Commercial Service","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Commercial","Declared non-disabled","70","70","37560","35290"
"In post","2021","Crown Commercial Service","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Commercial","Unknown","260","250","32540","31400"
"In post","2021","Crown Commercial Service","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Digital, Data & Technology","Unknown","90","80","42310","40000"
"In post","2021","Crown Commercial Service","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","No function","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","No function","Declared non-disabled","60","60","45430","39580"
"In post","2021","Crown Commercial Service","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","No function","Unknown","120","120","37400","31500"
"In post","2021","Crown Commercial Service","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Digital, Data & Technology","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Legal","Declared disabled","40","40","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Legal","Declared non-disabled","520","490","54770","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","Legal","Undeclared","30","30","[c]","[c]"
