"Status","Year","Sexual_orientation","Region_ITL2","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Devon","Other","290","280","24310","21130"
"In post","2021","Heterosexual / straight","Devon","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","Project Delivery","150","140","39900","39860"
"In post","2021","Heterosexual / straight","Devon","Property","140","140","33820","33000"
"In post","2021","Heterosexual / straight","Devon","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","Science and Engineering","170","170","32800","26840"
"In post","2021","Heterosexual / straight","Devon","Security","260","250","26000","19560"
"In post","2021","Heterosexual / straight","Devon","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","Unknown","1350","1170","25950","27570"
"In post","2021","Heterosexual / straight","Devon","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Commercial","50","50","42850","42510"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Digital, Data and Technology","160","160","37630","33540"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Finance","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Human Resources","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Medicine","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Operational Delivery","1560","1440","28660","27130"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Other","460","450","25970","21580"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Project Delivery","120","120","35900","33630"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Property","60","60","29490","30040"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Science and Engineering","200","200","35480","34130"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Security","110","100","23260","19560"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Unknown","640","570","26790","27570"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Anglia","Commercial","160","150","38520","35570"
"In post","2021","Heterosexual / straight","East Anglia","Communications","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","East Anglia","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Anglia","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Anglia","Digital, Data and Technology","110","110","35790","33100"
"In post","2021","Heterosexual / straight","East Anglia","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Anglia","Finance","110","110","36840","33300"
"In post","2021","Heterosexual / straight","East Anglia","Human Resources","90","90","35810","32680"
"In post","2021","Heterosexual / straight","East Anglia","Inspector of Education and Training","80","80","65450","75500"
"In post","2021","Heterosexual / straight","East Anglia","Intelligence Analysis","290","280","32830","33300"
"In post","2021","Heterosexual / straight","East Anglia","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Anglia","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Anglia","Knowledge and Information Management","90","90","36600","33300"
"In post","2021","Heterosexual / straight","East Anglia","Legal","240","220","32760","28130"
"In post","2021","Heterosexual / straight","East Anglia","Medicine","60","50","57750","37890"
"In post","2021","Heterosexual / straight","East Anglia","Operational Delivery","4100","3800","27970","26350"
"In post","2021","Heterosexual / straight","East Anglia","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Anglia","Other","620","600","23810","21130"
"In post","2021","Heterosexual / straight","East Anglia","Policy","60","60","42770","40310"
"In post","2021","Heterosexual / straight","East Anglia","Project Delivery","240","230","38460","35140"
"In post","2021","Heterosexual / straight","East Anglia","Property","290","270","34780","33300"
"In post","2021","Heterosexual / straight","East Anglia","Psychology","120","110","35140","31180"
"In post","2021","Heterosexual / straight","East Anglia","Science and Engineering","340","320","32670","30460"
"In post","2021","Heterosexual / straight","East Anglia","Security","180","170","29290","26700"
"In post","2021","Heterosexual / straight","East Anglia","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Anglia","Tax","90","80","36640","31870"
"In post","2021","Heterosexual / straight","East Anglia","Unknown","1310","1180","27870","27570"
"In post","2021","Heterosexual / straight","East Anglia","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Wales","Commercial","110","110","37110","34800"
"In post","2021","Heterosexual / straight","East Wales","Communications","190","180","38310","37410"
"In post","2021","Heterosexual / straight","East Wales","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Wales","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Wales","Digital, Data and Technology","660","650","41270","38000"
"In post","2021","Heterosexual / straight","East Wales","Economics","100","100","42350","37020"
"In post","2021","Heterosexual / straight","East Wales","Finance","290","270","39300","36240"
"In post","2021","Heterosexual / straight","East Wales","Human Resources","460","420","35750","31020"
"In post","2021","Heterosexual / straight","East Wales","Inspector of Education and Training","60","50","74440","74730"
"In post","2021","Heterosexual / straight","East Wales","Intelligence Analysis","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","East Wales","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Wales","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Wales","Knowledge and Information Management","80","80","35560","32540"
"In post","2021","Heterosexual / straight","East Wales","Legal","390","360","45760","48080"
"In post","2021","Heterosexual / straight","East Wales","Medicine","150","140","44830","37890"
"In post","2021","Heterosexual / straight","East Wales","Operational Delivery","5370","4980","28910","25560"
"In post","2021","Heterosexual / straight","East Wales","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Wales","Other","380","360","31580","25560"
"In post","2021","Heterosexual / straight","East Wales","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Wales","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Wales","Policy","980","930","43450","37410"
"In post","2021","Heterosexual / straight","East Wales","Project Delivery","260","250","43380","39310"
"In post","2021","Heterosexual / straight","East Wales","Property","170","160","37170","33300"
"In post","2021","Heterosexual / straight","East Wales","Psychology","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","East Wales","Science and Engineering","310","300","42760","40720"
"In post","2021","Heterosexual / straight","East Wales","Security","110","110","25360","20060"
"In post","2021","Heterosexual / straight","East Wales","Social Research","220","210","40650","37940"
"In post","2021","Heterosexual / straight","East Wales","Statistics","240","230","41500","37410"
"In post","2021","Heterosexual / straight","East Wales","Tax","880","830","31330","31810"
"In post","2021","Heterosexual / straight","East Wales","Unknown","1650","1520","26650","27570"
"In post","2021","Heterosexual / straight","East Wales","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Intelligence Analysis","50","50","28500","27370"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Legal","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Operational Delivery","1850","1720","28120","26590"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Other","320","310","26200","26670"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Property","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Psychology","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Security","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Unknown","780","660","26060","27570"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Eastern Scotland","Commercial","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Eastern Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Eastern Scotland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Eastern Scotland","Digital, Data and Technology","100","100","40950","36780"
"In post","2021","Heterosexual / straight","Eastern Scotland","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Eastern Scotland","Finance","70","60","35620","31870"
"In post","2021","Heterosexual / straight","Eastern Scotland","Human Resources","130","130","36630","33650"
"In post","2021","Heterosexual / straight","Eastern Scotland","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Eastern Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Eastern Scotland","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Eastern Scotland","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Eastern Scotland","Legal","200","190","54030","52490"
"In post","2021","Heterosexual / straight","Eastern Scotland","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Eastern Scotland","Operational Delivery","2210","2080","29450","27460"
"In post","2021","Heterosexual / straight","Eastern Scotland","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Eastern Scotland","Other","370","350","29240","25560"
"In post","2021","Heterosexual / straight","Eastern Scotland","Policy","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Eastern Scotland","Project Delivery","160","150","42290","38630"
"In post","2021","Heterosexual / straight","Eastern Scotland","Property","120","110","32940","33300"
"In post","2021","Heterosexual / straight","Eastern Scotland","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Eastern Scotland","Science and Engineering","60","60","32130","25400"
"In post","2021","Heterosexual / straight","Eastern Scotland","Security","70","60","26500","20060"
"In post","2021","Heterosexual / straight","Eastern Scotland","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Eastern Scotland","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Eastern Scotland","Tax","510","480","33240","31810"
"In post","2021","Heterosexual / straight","Eastern Scotland","Unknown","6800","6390","37610","31810"
"In post","2021","Heterosexual / straight","Eastern Scotland","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Essex","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Essex","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Essex","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Essex","Digital, Data and Technology","140","130","38410","35000"
