"Status","Year","Organisation","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Animal and Plant Health Agency","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Unknown","200","180","29350","25520"
"In post","2021","Animal and Plant Health Agency","White","Heterosexual / straight","1730","1640","30440","27560"
"In post","2021","Animal and Plant Health Agency","White","LGBO","120","120","27350","24920"
"In post","2021","Animal and Plant Health Agency","White","Undeclared","190","180","33770","30610"
"In post","2021","Animal and Plant Health Agency","White","Unknown","110","100","32200","27910"
"In post","2021","Attorney General's Office","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","White","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","White","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","Heterosexual / straight","420","410","45750","40600"
"In post","2021","Cabinet Office (excl. agencies)","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","Heterosexual / straight","230","230","42050","35590"
"In post","2021","Cabinet Office (excl. agencies)","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","Heterosexual / straight","150","150","46320","40250"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","Heterosexual / straight","50","50","46880","39020"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Undeclared","180","170","48680","43890"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Heterosexual / straight","50","50","58940","54700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Unknown","3970","3920","44920","32000"
"In post","2021","Cabinet Office (excl. agencies)","White","Heterosexual / straight","3440","3340","48600","41820"
"In post","2021","Cabinet Office (excl. agencies)","White","LGBO","370","360","45140","40600"
"In post","2021","Cabinet Office (excl. agencies)","White","Undeclared","260","250","47400","40600"
"In post","2021","Cabinet Office (excl. agencies)","White","Unknown","100","100","59860","56720"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","White","Heterosexual / straight","210","200","33950","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","White","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","White","Unknown","310","300","34350","29750"
"In post","2021","Charity Commission","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Unknown","80","80","36230","29160"
"In post","2021","Charity Commission","White","Heterosexual / straight","210","200","33920","29160"
"In post","2021","Charity Commission","White","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","White","Unknown","90","80","35270","30580"
"In post","2021","Companies House","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","Undeclared","30","30","[c]","[c]"
"In post","2021","Companies House","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Unknown","90","90","29430","24500"
"In post","2021","Companies House","White","Heterosexual / straight","650","600","32100","27460"
"In post","2021","Companies House","White","LGBO","30","30","[c]","[c]"
"In post","2021","Companies House","White","Undeclared","50","50","30840","25100"
"In post","2021","Companies House","White","Unknown","140","120","26830","22490"
"In post","2021","Competition and Markets Authority","Asian","Heterosexual / straight","100","90","45380","36990"
"In post","2021","Competition and Markets Authority","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Black","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Mixed","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","White","Heterosexual / straight","490","470","64260","59940"
"In post","2021","Competition and Markets Authority","White","LGBO","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","White","Undeclared","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","Unknown","50","50","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","White","Heterosexual / straight","170","150","27220","22710"
"In post","2021","Criminal Injuries Compensation Authority","White","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Unknown","100","100","32940","27770"
"In post","2021","Crown Commercial Service","White","Heterosexual / straight","480","460","38680","34800"
"In post","2021","Crown Commercial Service","White","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","White","Unknown","60","50","36560","34800"
"In post","2021","Crown Office and Procurator Fiscal Service","Asian","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","Undeclared","40","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","White","Heterosexual / straight","1630","1510","35030","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","White","LGBO","70","70","33210","26570"
"In post","2021","Crown Office and Procurator Fiscal Service","White","Undeclared","70","60","36050","33550"
"In post","2021","Crown Office and Procurator Fiscal Service","White","Unknown","110","100","43250","40970"
"In post","2021","Crown Prosecution Service","Asian","Heterosexual / straight","500","460","39580","35020"
"In post","2021","Crown Prosecution Service","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Asian","Unknown","90","70","38930","30110"
"In post","2021","Crown Prosecution Service","Black","Heterosexual / straight","290","280","40220","32720"
"In post","2021","Crown Prosecution Service","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Black","Unknown","60","50","41970","34750"
"In post","2021","Crown Prosecution Service","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Mixed","Heterosexual / straight","140","130","42270","40000"
"In post","2021","Crown Prosecution Service","Mixed","LGBO","[c]","[c]","[c]","[c]"
