"Status","Year","Function_of_post","Responsibility_level","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","SEO/HEO","Mixed","110","110","35800","34710"
"In post","2021","Analysis","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Undeclared","120","110","37230","37320"
"In post","2021","Analysis","SEO/HEO","Unknown","500","490","35040","35140"
"In post","2021","Analysis","SEO/HEO","White","2590","2500","35740","36030"
"In post","2021","Analysis","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Unknown","80","70","21800","20920"
"In post","2021","Commercial","AA/AO","White","370","340","21960","21130"
"In post","2021","Commercial","EO","Asian","50","50","28100","28080"
"In post","2021","Commercial","EO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Undeclared","40","40","[c]","[c]"
"In post","2021","Commercial","EO","Unknown","90","90","25500","26010"
"In post","2021","Commercial","EO","White","630","600","26800","26670"
"In post","2021","Commercial","G6/G7","Asian","40","40","[c]","[c]"
"In post","2021","Commercial","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Undeclared","50","40","[c]","[c]"
"In post","2021","Commercial","G6/G7","Unknown","670","660","62480","56200"
"In post","2021","Commercial","G6/G7","White","940","910","60740","58670"
"In post","2021","Commercial","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Unknown","400","400","87570","72000"
"In post","2021","Commercial","SCS","White","150","150","105660","95580"
"In post","2021","Commercial","SEO/HEO","Asian","140","140","38190","37590"
"In post","2021","Commercial","SEO/HEO","Black","100","100","39700","39440"
"In post","2021","Commercial","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Mixed","50","40","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Undeclared","150","150","37660","37920"
"In post","2021","Commercial","SEO/HEO","Unknown","350","340","37340","38200"
"In post","2021","Commercial","SEO/HEO","White","2220","2150","38330","37640"
"In post","2021","Commercial","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","White","180","180","40370","38240"
"In post","2021","Communications","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Unknown","90","80","21600","21050"
"In post","2021","Communications","AA/AO","White","360","320","21290","21130"
"In post","2021","Communications","EO","Asian","250","240","25250","25560"
"In post","2021","Communications","EO","Black","100","100","25860","25560"
"In post","2021","Communications","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Mixed","50","50","[c]","[c]"
"In post","2021","Communications","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Undeclared","70","70","25850","25560"
"In post","2021","Communications","EO","Unknown","1110","1080","25820","25560"
"In post","2021","Communications","EO","White","1600","1520","25800","25560"
"In post","2021","Communications","G6/G7","Asian","40","30","[c]","[c]"
"In post","2021","Communications","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Unknown","230","230","57850","55080"
"In post","2021","Communications","G6/G7","White","730","700","57860","55890"
"In post","2021","Communications","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Unknown","30","30","[c]","[c]"
"In post","2021","Communications","SCS","White","90","90","90920","82850"
"In post","2021","Communications","SEO/HEO","Asian","210","210","35090","32280"
"In post","2021","Communications","SEO/HEO","Black","80","80","35770","34970"
"In post","2021","Communications","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Mixed","80","80","36790","36360"
"In post","2021","Communications","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Undeclared","90","90","36070","34250"
"In post","2021","Communications","SEO/HEO","Unknown","710","700","35380","32790"
"In post","2021","Communications","SEO/HEO","White","2110","2050","35870","34770"
"In post","2021","Counter Fraud","AA/AO","Asian","70","60","22420","21440"
"In post","2021","Counter Fraud","AA/AO","Black","40","30","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Undeclared","50","40","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Unknown","160","140","21130","20140"
"In post","2021","Counter Fraud","AA/AO","White","520","450","21220","21440"
"In post","2021","Counter Fraud","EO","Asian","250","240","27770","27700"
"In post","2021","Counter Fraud","EO","Black","110","110","28870","29570"
"In post","2021","Counter Fraud","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Mixed","50","50","26980","25560"
"In post","2021","Counter Fraud","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Undeclared","170","150","27890","28130"
"In post","2021","Counter Fraud","EO","Unknown","730","700","26840","25560"
"In post","2021","Counter Fraud","EO","White","2080","1930","26750","25560"
"In post","2021","Counter Fraud","G6/G7","Asian","50","50","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Undeclared","100","90","58250","56400"
"In post","2021","Counter Fraud","G6/G7","Unknown","120","120","57500","56740"
"In post","2021","Counter Fraud","G6/G7","White","800","760","57470","54700"
"In post","2021","Counter Fraud","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","White","40","40","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Asian","240","240","35180","36160"
"In post","2021","Counter Fraud","SEO/HEO","Black","100","90","35860","36160"
"In post","2021","Counter Fraud","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Mixed","50","50","36880","36160"
"In post","2021","Counter Fraud","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Undeclared","260","250","35660","36160"
"In post","2021","Counter Fraud","SEO/HEO","Unknown","680","650","35390","35000"
"In post","2021","Counter Fraud","SEO/HEO","White","2870","2710","35070","33140"
"In post","2021","Debt","AA/AO","Asian","280","240","22270","20430"
"In post","2021","Debt","AA/AO","Black","110","100","22900","24120"
"In post","2021","Debt","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Debt","AA/AO","Mixed","30","30","[c]","[c]"
"In post","2021","Debt","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Debt","AA/AO","Undeclared","100","90","21930","21440"
"In post","2021","Debt","AA/AO","Unknown","1340","1250","20570","20140"
"In post","2021","Debt","AA/AO","White","1530","1340","20800","20140"
"In post","2021","Debt","EO","Asian","60","60","28050","26470"
"In post","2021","Debt","EO","Black","30","30","[c]","[c]"
"In post","2021","Debt","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Debt","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Debt","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Debt","EO","Undeclared","40","30","[c]","[c]"
"In post","2021","Debt","EO","Unknown","190","180","26440","25560"
"In post","2021","Debt","EO","White","630","570","26630","25560"
"In post","2021","Debt","G6/G7","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Debt","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2021","Debt","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Debt","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Debt","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Debt","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","G6/G7","White","40","40","[c]","[c]"
"In post","2021","Debt","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SCS","White","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO/HEO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO/HEO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO/HEO","White","200","190","34230","31810"
"In post","2021","Digital, Data & Technology","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Unknown","100","90","21570","21590"
"In post","2021","Digital, Data & Technology","AA/AO","White","290","280","21850","21440"
"In post","2021","Digital, Data & Technology","EO","Asian","160","160","27780","27130"
"In post","2021","Digital, Data & Technology","EO","Black","80","80","28250","28170"
"In post","2021","Digital, Data & Technology","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","EO","Mixed","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","EO","Undeclared","90","90","28650","27510"
"In post","2021","Digital, Data & Technology","EO","Unknown","450","450","26880","26210"
"In post","2021","Digital, Data & Technology","EO","White","1440","1370","27440","26670"
"In post","2021","Digital, Data & Technology","G6/G7","Asian","210","210","58370","55480"
"In post","2021","Digital, Data & Technology","G6/G7","Black","80","80","56210","54700"
"In post","2021","Digital, Data & Technology","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","G6/G7","Mixed","80","80","56450","54700"
"In post","2021","Digital, Data & Technology","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","G6/G7","Undeclared","180","170","58430","57050"
"In post","2021","Digital, Data & Technology","G6/G7","Unknown","620","600","57680","55550"
"In post","2021","Digital, Data & Technology","G6/G7","White","2460","2400","57230","54700"
"In post","2021","Digital, Data & Technology","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SCS","Unknown","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","SCS","White","190","180","90040","83410"
"In post","2021","Digital, Data & Technology","SEO/HEO","Asian","390","380","36810","36500"
"In post","2021","Digital, Data & Technology","SEO/HEO","Black","200","190","36840","36160"
"In post","2021","Digital, Data & Technology","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SEO/HEO","Mixed","90","90","37000","36490"
"In post","2021","Digital, Data & Technology","SEO/HEO","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","SEO/HEO","Undeclared","360","350","38010","38450"
"In post","2021","Digital, Data & Technology","SEO/HEO","Unknown","1270","1250","36710","36160"
"In post","2021","Digital, Data & Technology","SEO/HEO","White","4450","4300","37400","37420"
"In post","2021","Digital, Data & Technology","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","White","70","70","38130","38270"
"In post","2021","Finance","AA/AO","Asian","100","90","21490","20140"
"In post","2021","Finance","AA/AO","Black","30","30","[c]","[c]"
"In post","2021","Finance","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Undeclared","60","50","21340","21440"
"In post","2021","Finance","AA/AO","Unknown","310","260","20710","20140"
"In post","2021","Finance","AA/AO","White","980","820","21100","21180"
"In post","2021","Finance","EO","Asian","150","140","27150","26490"
"In post","2021","Finance","EO","Black","60","60","28420","28670"
"In post","2021","Finance","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Finance","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Finance","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Finance","EO","Undeclared","70","60","27240","26720"
"In post","2021","Finance","EO","Unknown","180","170","26130","25810"
"In post","2021","Finance","EO","White","1190","1120","26240","26670"
"In post","2021","Finance","G6/G7","Asian","140","130","59200","59120"
"In post","2021","Finance","G6/G7","Black","60","60","58230","57380"
"In post","2021","Finance","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Finance","G6/G7","Mixed","40","40","[c]","[c]"
"In post","2021","Finance","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Finance","G6/G7","Undeclared","90","90","59060","57940"
"In post","2021","Finance","G6/G7","Unknown","220","220","57560","54990"
"In post","2021","Finance","G6/G7","White","1500","1460","58720","57540"
"In post","2021","Finance","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","White","230","220","91470","85100"
"In post","2021","Finance","SEO/HEO","Asian","350","340","37810","36890"
"In post","2021","Finance","SEO/HEO","Black","190","190","38450","37510"
"In post","2021","Finance","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SEO/HEO","Mixed","70","70","37420","36970"
"In post","2021","Finance","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SEO/HEO","Undeclared","150","150","37900","36970"
"In post","2021","Finance","SEO/HEO","Unknown","480","470","36200","35950"
"In post","2021","Finance","SEO/HEO","White","2520","2420","37340","36970"
"In post","2021","Finance","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","White","40","40","[c]","[c]"
"In post","2021","Grants Management","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","AA/AO","Unknown","420","400","20990","21050"
"In post","2021","Grants Management","AA/AO","White","470","400","21020","21050"
"In post","2021","Grants Management","EO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","EO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","EO","Undeclared","30","30","[c]","[c]"
"In post","2021","Grants Management","EO","Unknown","180","170","25090","25100"
"In post","2021","Grants Management","EO","White","330","300","25700","25660"
"In post","2021","Grants Management","G6/G7","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","G6/G7","White","40","40","[c]","[c]"
"In post","2021","Grants Management","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SCS","White","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SEO/HEO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SEO/HEO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SEO/HEO","Unknown","80","70","32470","31130"
"In post","2021","Grants Management","SEO/HEO","White","230","210","32740","31080"
"In post","2021","Human Resources","AA/AO","Asian","60","50","21730","20920"
"In post","2021","Human Resources","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Undeclared","60","50","21120","21130"
"In post","2021","Human Resources","AA/AO","Unknown","180","160","21150","20920"
"In post","2021","Human Resources","AA/AO","White","1260","1140","21310","21130"
"In post","2021","Human Resources","EO","Asian","110","110","27280","27380"
"In post","2021","Human Resources","EO","Black","80","80","28050","27710"
"In post","2021","Human Resources","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Undeclared","60","50","27510","26670"
"In post","2021","Human Resources","EO","Unknown","220","210","26680","26670"
"In post","2021","Human Resources","EO","White","1260","1180","26500","26590"
"In post","2021","Human Resources","G6/G7","Asian","80","80","58370","56730"
"In post","2021","Human Resources","G6/G7","Black","40","40","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Mixed","50","50","57650","56540"
