"Status","Year","Ethnicity","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Scottish Housing Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Serious Fraud Office","Attorney General's Departments","50","40","[c]","[c]"
"In post","2021","Asian","Social Security Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Submarine Delivery Agency","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","Asian","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","The National Archives","The National Archives","50","40","[c]","[c]"
"In post","2021","Asian","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Export Finance","UK Export Finance","60","60","49250","42240"
"In post","2021","Asian","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","United Kingdom Statistics Authority","United Kingdom Statistics Authority","130","120","30310","29540"
"In post","2021","Asian","Valuation Office Agency","HM Revenue and Customs","190","180","32600","30000"
"In post","2021","Asian","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales Office","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Welsh Government (excl. agencies)","Welsh Government","50","50","[c]","[c]"
"In post","2021","Asian","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","40","30","[c]","[c]"
"In post","2021","Black","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Black","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cabinet Office (excl. agencies)","Cabinet Office","260","250","41960","35590"
"In post","2021","Black","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Black","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Black","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Black","Competition and Markets Authority","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Black","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Black","Crown Commercial Service","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Black","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Crown Prosecution Service","Attorney General's Departments","370","350","40320","32720"
"In post","2021","Black","Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Black","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Black","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Black","Defence Equipment and Support","Ministry of Defence","220","210","32550","32250"
"In post","2021","Black","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","270","270","40950","37420"
"In post","2021","Black","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","90","90","40910","34020"
"In post","2021","Black","Department for Education (excl. agencies)","Department for Education","230","220","40140","36780"
"In post","2021","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","180","180","36240","33010"
"In post","2021","Black","Department for International Trade","Department for International Trade","130","130","38750","35560"
"In post","2021","Black","Department for Transport (excl. agencies)","Department for Transport","170","170","39460","36160"
"In post","2021","Black","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","3860","3650","29100","30010"
"In post","2021","Black","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","100","90","36890","32790"
"In post","2021","Black","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Black","Driver and Vehicle Standards Agency","Department for Transport","50","50","31590","30780"
"In post","2021","Black","Education and Skills Funding Agency","Department for Education","50","50","[c]","[c]"
"In post","2021","Black","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Black","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Food Standards Agency","Food Standards Agency","50","50","[c]","[c]"
"In post","2021","Black","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","230","230","38520","34770"
"In post","2021","Black","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Black","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Black","Government Legal Department","Attorney General's Departments","170","160","41640","33460"
"In post","2021","Black","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Black","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Black","HM Courts and Tribunals Service","Ministry of Justice","950","890","25380","23500"
"In post","2021","Black","HM Land Registry","HM Land Registry","60","60","32480","30600"
"In post","2021","Black","HM Prison and Probation Service","Ministry of Justice","2180","2110","31490","30670"
"In post","2021","Black","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","1400","1350","31980","29570"
"In post","2021","Black","HM Treasury (excl. agencies)","HM Treasury","70","70","36810","32320"
"In post","2021","Black","Home Office (incl. agencies)","Home Office","1890","1780","32540","29080"
"In post","2021","Black","Insolvency Service","Department for Business, Energy and Industrial Strategy","60","60","29990","25120"
"In post","2021","Black","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal Aid Agency","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","Black","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Black","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","100","100","37830","32970"
"In post","2021","Black","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Black","Ministry of Defence (excl. agencies)","Ministry of Defence","500","490","32570","30200"
"In post","2021","Black","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","150","140","41270","38160"
"In post","2021","Black","Ministry of Justice (excl. agencies)","Ministry of Justice","340","340","36030","32360"
"In post","2021","Black","National Crime Agency","National Crime Agency","100","100","36660","36200"
"In post","2021","Black","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Black","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Black","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","60","60","44520","44610"
"In post","2021","Black","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","60","60","43040","39550"
"In post","2021","Black","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Black","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Black","Office of the Public Guardian","Ministry of Justice","100","90","21120","19930"
"In post","2021","Black","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning Inspectorate","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Public Health England","Department of Health and Social Care","490","450","40500","33180"
"In post","2021","Black","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Royal Fleet Auxiliary","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Black","Rural Payments Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scottish Government (excl. agencies)","Scottish Government","40","30","[c]","[c]"
"In post","2021","Black","Scottish Housing Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Black","Social Security Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Black","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Black","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Black","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Black","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","UK Export Finance","UK Export Finance","30","30","[c]","[c]"
"In post","2021","Black","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Black","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Black","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Black","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Black","United Kingdom Statistics Authority","United Kingdom Statistics Authority","70","60","30210","29540"
"In post","2021","Black","Valuation Office Agency","HM Revenue and Customs","60","60","35170","31060"
"In post","2021","Black","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Black","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Black","Wales Office","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Welsh Government (excl. agencies)","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Crown Commercial Service","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Defence Equipment and Support","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","Chinese","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for Education (excl. agencies)","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","150","130","27220","27570"
"In post","2021","Chinese","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","40","30","[c]","[c]"
"In post","2021","Chinese","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","HM Courts and Tribunals Service","Ministry of Justice","60","50","28330","23500"
"In post","2021","Chinese","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","HM Prison and Probation Service","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","Chinese","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","170","160","34470","29570"
"In post","2021","Chinese","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Home Office (incl. agencies)","Home Office","150","140","31790","28980"
"In post","2021","Chinese","Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Ministry of Defence (excl. agencies)","Ministry of Defence","70","70","32650","29250"
"In post","2021","Chinese","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Ministry of Justice (excl. agencies)","Ministry of Justice","30","30","[c]","[c]"
"In post","2021","Chinese","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of the Public Guardian","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning Inspectorate","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Public Health England","Department of Health and Social Care","40","40","[c]","[c]"
