"Status","Year","Ethnicity","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Knowledge and Information Management","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Counter Fraud","160","160","30670","29570"
"In post","2021","Asian","Legal","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Legal","720","670","51160","51250"
"In post","2021","Asian","Legal","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","No function","80","70","102930","101030"
"In post","2021","Asian","Medicine","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Unknown","110","100","50160","44770"
"In post","2021","Asian","Operational Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Delivery","Commercial","40","40","[c]","[c]"
"In post","2021","Asian","Operational Delivery","Communications","110","100","31150","31810"
"In post","2021","Asian","Operational Delivery","Counter Fraud","210","190","28770","27560"
"In post","2021","Asian","Operational Delivery","Debt","300","260","24220","24390"
"In post","2021","Asian","Operational Delivery","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Asian","Operational Delivery","Finance","80","70","26190","22910"
"In post","2021","Asian","Operational Delivery","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Delivery","Human Resources","30","30","[c]","[c]"
"In post","2021","Asian","Operational Delivery","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Delivery","Legal","350","320","26800","24590"
"In post","2021","Asian","Operational Delivery","No function","5470","5030","27660","24250"
"In post","2021","Asian","Operational Delivery","Project Delivery","70","60","33080","30630"
"In post","2021","Asian","Operational Delivery","Property","70","60","28530","25920"
"In post","2021","Asian","Operational Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Delivery","Unknown","3270","2980","28270","27810"
"In post","2021","Asian","Operational Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","Communications","50","40","[c]","[c]"
"In post","2021","Asian","Other","Counter Fraud","30","30","[c]","[c]"
"In post","2021","Asian","Other","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","Legal","50","40","[c]","[c]"
"In post","2021","Asian","Other","No function","130","120","39410","35010"
"In post","2021","Asian","Other","Project Delivery","60","50","39130","36150"
"In post","2021","Asian","Other","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","Unknown","500","480","31040","28670"
"In post","2021","Asian","Planning","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","Analysis","30","30","[c]","[c]"
"In post","2021","Asian","Policy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","No function","1380","1350","42020","36900"
"In post","2021","Asian","Policy","Project Delivery","160","160","48230","43260"
"In post","2021","Asian","Policy","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","Unknown","330","320","43830","41950"
"In post","2021","Asian","Project Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Project Delivery","600","590","40700","37640"
"In post","2021","Asian","Project Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Unknown","170","160","41590","41950"
"In post","2021","Asian","Property","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Property","220","210","35500","31490"
"In post","2021","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","No function","40","30","[c]","[c]"
"In post","2021","Asian","Psychology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","No function","350","330","35990","33100"
"In post","2021","Asian","Science and Engineering","Project Delivery","110","110","35720","33330"
"In post","2021","Asian","Science and Engineering","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","Unknown","100","90","39670","37640"
"In post","2021","Asian","Security","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Security","180","180","30790","26680"
"In post","2021","Asian","Security","Unknown","80","80","28140","25630"
"In post","2021","Asian","Social Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","Analysis","120","120","41490","39070"
"In post","2021","Asian","Statistics","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tax","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tax","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tax","Communications","140","140","27720","25560"
"In post","2021","Asian","Tax","Counter Fraud","150","140","36100","35160"
"In post","2021","Asian","Tax","Debt","50","40","[c]","[c]"
"In post","2021","Asian","Tax","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tax","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tax","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tax","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tax","No function","990","930","33110","31810"
"In post","2021","Asian","Tax","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Commercial","30","30","[c]","[c]"
"In post","2021","Asian","Unknown","Communications","50","50","36220","31810"
"In post","2021","Asian","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Digital, Data & Technology","120","120","47780","41850"
"In post","2021","Asian","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Human Resources","90","90","37840","34840"
"In post","2021","Asian","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","No function","440","420","34970","30270"
"In post","2021","Asian","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","7590","6860","28070","27570"
"In post","2021","Asian","Veterinarian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Commercial","140","130","38360","36390"
"In post","2021","Black","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","No function","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Communications","100","90","37550","34970"
"In post","2021","Black","Communications","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","No function","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","No function","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","Digital, Data & Technology","280","280","38390","36030"
"In post","2021","Black","Digital, Data and Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","No function","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","Unknown","90","90","46550","42170"
"In post","2021","Black","Economics","Analysis","40","40","[c]","[c]"
"In post","2021","Black","Economics","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","No function","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Finance","300","290","39740","36960"
"In post","2021","Black","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Human Resources","230","220","37070","33890"
"In post","2021","Black","Human Resources","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","No function","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Unknown","50","50","41740","36190"
"In post","2021","Black","Inspector of Education and Training","No function","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","No function","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","Unknown","40","40","[c]","[c]"
"In post","2021","Black","Internal Audit","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","Internal Audit","30","30","[c]","[c]"
"In post","2021","Black","Internal Audit","No function","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","No function","50","50","42650","38540"
"In post","2021","Black","International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","No function","50","40","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","Counter Fraud","80","80","31480","29570"
"In post","2021","Black","Legal","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","Legal","340","330","52590","51830"
"In post","2021","Black","Legal","No function","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Medicine","No function","[c]","[c]","[c]","[c]"
"In post","2021","Black","Medicine","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","Medicine","Unknown","40","40","[c]","[c]"
"In post","2021","Black","Operational Delivery","Analysis","[c]","[c]","[c]","[c]"
