"Status","Year","Parent_department","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Charity Commission","Knowledge and Information Management","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Unknown","220","210","32810","29160"
"In post","2021","Competition and Markets Authority","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Communications","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","Digital, Data & Technology","70","60","56530","54550"
"In post","2021","Competition and Markets Authority","Economics","Analysis","90","90","62530","59510"
"In post","2021","Competition and Markets Authority","Human Resources","Human Resources","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","Analysis","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","Legal","130","120","70480","72430"
"In post","2021","Competition and Markets Authority","Policy","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","Project Delivery","380","360","60880","56360"
"In post","2021","Competition and Markets Authority","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Statistics","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","Commercial","240","230","43140","42290"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","Communications","230","220","43860","39820"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","Counter Fraud","260","250","39330","39170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Digital, Data & Technology","1000","980","40720","38000"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Economics","Analysis","210","210","41510","35640"
"In post","2021","Department for Business, Energy and Industrial Strategy","Economics","No function","100","100","57750","57850"
"In post","2021","Department for Business, Energy and Industrial Strategy","Economics","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","Finance","310","300","44430","41580"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Human Resources","380","360","39780","36580"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Internal Audit","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","Legal","90","80","51950","52960"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","No function","3740","3500","30110","26000"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","Project Delivery","310","290","41560","39750"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","Property","50","50","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Research","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other","Unknown","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Policy","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Policy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Policy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Policy","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Policy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Policy","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Policy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Policy","No function","3770","3680","49450","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","Policy","Project Delivery","220","210","49580","52080"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","No function","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","Project Delivery","360","350","42380","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Property","Property","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Science and Engineering","Digital, Data & Technology","530","490","42260","39750"
"In post","2021","Department for Business, Energy and Industrial Strategy","Science and Engineering","No function","800","770","42640","40800"
"In post","2021","Department for Business, Energy and Industrial Strategy","Science and Engineering","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Security","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Social Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Social Research","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Statistics","Analysis","50","50","45030","42290"
"In post","2021","Department for Business, Energy and Industrial Strategy","Statistics","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","Communications","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Economics","Analysis","80","70","53810","59730"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Finance","70","70","56710","58490"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","Human Resources","60","60","48880","37990"
"In post","2021","Department for Digital, Culture, Media and Sport","Intelligence Analysis","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","International Trade","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Other","No function","90","90","40850","34330"
"In post","2021","Department for Digital, Culture, Media and Sport","Policy","No function","1080","1060","48480","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Project Delivery","210","210","48530","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Science and Engineering","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Science and Engineering","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Social Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Statistics","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Commercial","Commercial","190","190","40230","38000"
"In post","2021","Department for Education","Commercial","No function","190","180","41350","36960"
"In post","2021","Department for Education","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Communications","Communications","330","320","39370","36780"
"In post","2021","Department for Education","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Digital, Data and Technology","Analysis","150","140","44060","42420"
"In post","2021","Department for Education","Digital, Data and Technology","Digital, Data & Technology","650","640","39650","36780"
"In post","2021","Department for Education","Digital, Data and Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Digital, Data and Technology","No function","90","90","35400","30200"
"In post","2021","Department for Education","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Finance","Finance","530","520","43160","41150"
"In post","2021","Department for Education","Finance","No function","230","230","40890","37100"
"In post","2021","Department for Education","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Human Resources","Human Resources","150","140","36260","30200"
"In post","2021","Department for Education","Human Resources","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Intelligence Analysis","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Legal","Legal","70","60","54640","55000"
"In post","2021","Department for Education","Legal","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Operational Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Operational Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Operational Delivery","No function","1520","1480","41910","37000"
"In post","2021","Department for Education","Operational Delivery","Project Delivery","60","50","33630","30200"
"In post","2021","Department for Education","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Other","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Planning","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Policy","Analysis","260","250","44540","45250"
"In post","2021","Department for Education","Policy","No function","2100","2010","44650","40510"
"In post","2021","Department for Education","Policy","Project Delivery","200","190","44380","40480"
"In post","2021","Department for Education","Policy","Unknown","470","460","53640","49860"
"In post","2021","Department for Education","Project Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Project Delivery","Project Delivery","60","50","46840","49860"
"In post","2021","Department for Education","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Property","Project Delivery","220","220","53970","61010"
"In post","2021","Department for Education","Property","Property","270","260","49500","50630"
"In post","2021","Department for Education","Property","Unknown","70","70","47290","41450"
"In post","2021","Department for Education","Security","Security","30","30","[c]","[c]"
"In post","2021","Department for Education","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Commercial","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Commercial","Commercial","170","160","38710","36970"
"In post","2021","Department for Environment, Food and Rural Affairs","Communications","Communications","270","260","41360","37560"
"In post","2021","Department for Environment, Food and Rural Affairs","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Digital, Data & Technology","710","690","43180","42440"
"In post","2021","Department for Environment, Food and Rural Affairs","Economics","No function","160","160","44720","47550"
"In post","2021","Department for Environment, Food and Rural Affairs","Finance","Finance","410","390","43010","38060"
"In post","2021","Department for Environment, Food and Rural Affairs","Human Resources","Human Resources","270","250","42740","38600"
"In post","2021","Department for Environment, Food and Rural Affairs","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Delivery","Analysis","30","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Delivery","Communications","110","90","28870","26030"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Delivery","Grants Management","1880","1720","25450","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Delivery","No function","1610","1530","27760","25190"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Delivery","Project Delivery","100","90","30480","29220"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Delivery","Unknown","90","90","36730","32640"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Research","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Other","No function","30","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Planning","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Policy","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Policy","No function","2470","2390","43010","38750"
