"Status","Year","Region_ITL1","Sex","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","London","Female","Redbridge and Waltham Forest","720","630","28820","30330"
"In post","2021","London","Female","Tower Hamlets","3580","3410","46080","40600"
"In post","2021","London","Female","Wandsworth","480","450","30480","30220"
"In post","2021","London","Female","Westminster","29620","28450","46860","41970"
"In post","2021","London","Male","Barking & Dagenham and Havering","210","200","31100","31060"
"In post","2021","London","Male","Barnet","620","600","42610","38520"
"In post","2021","London","Male","Bexley and Greenwich","840","820","33250","33180"
"In post","2021","London","Male","Brent","210","200","33300","31060"
"In post","2021","London","Male","Bromley","130","120","29250","31060"
"In post","2021","London","Male","Camden and City of London","1860","1820","40630","36160"
"In post","2021","London","Male","Croydon","4270","4190","40290","36160"
"In post","2021","London","Male","Ealing","180","170","30700","31060"
"In post","2021","London","Male","Enfield","120","120","30030","31060"
"In post","2021","London","Male","Hackney and Newham","1220","1180","36550","31880"
"In post","2021","London","Male","Haringey and Islington","670","650","32310","31540"
"In post","2021","London","Male","Harrow and Hillingdon","1730","1590","31460","29410"
"In post","2021","London","Male","Hounslow and Richmond upon Thames","1380","1330","33640","31870"
"In post","2021","London","Male","Kensington & Chelsea and Hammersmith & Fulham","420","410","33470","32680"
"In post","2021","London","Male","Lambeth","1790","1730","45540","40170"
"In post","2021","London","Male","Lewisham and Southwark","580","560","33550","31060"
"In post","2021","London","Male","Merton, Kingston upon Thames and Sutton","250","250","32870","31060"
"In post","2021","London","Male","Redbridge and Waltham Forest","340","330","29360","31060"
"In post","2021","London","Male","Tower Hamlets","3300","3240","50850","47980"
"In post","2021","London","Male","Wandsworth","480","470","33660","33260"
"In post","2021","London","Male","Westminster","26060","25800","49460","45200"
"In post","2021","London","Unknown","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Female","Darlington","600","550","34360","30200"
"In post","2021","North East (England)","Female","Durham CC","3150","2750","26070","23240"
"In post","2021","North East (England)","Female","Hartlepool and Stockton-on-Tees","870","760","26530","27470"
"In post","2021","North East (England)","Female","Northumberland","250","220","27710","27570"
"In post","2021","North East (England)","Female","South Teesside","750","650","26620","26060"
"In post","2021","North East (England)","Female","Sunderland","3090","2500","24490","21440"
"In post","2021","North East (England)","Female","Tyneside","9330","8090","28140","25560"
"In post","2021","North East (England)","Male","Darlington","380","370","37750","36500"
"In post","2021","North East (England)","Male","Durham CC","2440","2280","28250","26780"
"In post","2021","North East (England)","Male","Hartlepool and Stockton-on-Tees","680","650","28150","27570"
"In post","2021","North East (England)","Male","Northumberland","140","140","29420","27570"
"In post","2021","North East (England)","Male","South Teesside","370","360","25980","24890"
"In post","2021","North East (England)","Male","Sunderland","1340","1250","26430","25560"
"In post","2021","North East (England)","Male","Tyneside","7210","6930","30490","26470"
"In post","2021","North West (England)","Female","Blackburn with Darwen","300","250","26530","27570"
"In post","2021","North West (England)","Female","Blackpool","3220","2840","28370","27570"
"In post","2021","North West (England)","Female","Cheshire East","470","430","29740","27570"
"In post","2021","North West (England)","Female","Cheshire West and Chester","290","260","26370","27570"
"In post","2021","North West (England)","Female","Chorley and West Lancashire","630","580","28710","27380"
"In post","2021","North West (England)","Female","East Cumbria","540","470","27230","25010"
"In post","2021","North West (England)","Female","East Lancashire","320","280","25540","27570"
"In post","2021","North West (England)","Female","East Merseyside","730","630","26930","27570"
"In post","2021","North West (England)","Female","Greater Manchester North East","740","680","27400","27570"
"In post","2021","North West (England)","Female","Greater Manchester North West","1340","1160","24820","22850"
"In post","2021","North West (England)","Female","Greater Manchester South East","870","770","25440","21920"
"In post","2021","North West (England)","Female","Greater Manchester South West","3090","2830","29920","25570"
"In post","2021","North West (England)","Female","Lancaster and Wyre","600","540","27720","26670"
"In post","2021","North West (England)","Female","Liverpool","5970","5340","28360","25040"
"In post","2021","North West (England)","Female","Manchester","4710","4380","33180","28430"
"In post","2021","North West (England)","Female","Mid Lancashire","3210","2770","27110","23840"
"In post","2021","North West (England)","Female","Sefton","3520","3060","27950","25560"
"In post","2021","North West (England)","Female","Warrington","1430","1330","30800","28840"
"In post","2021","North West (England)","Female","West Cumbria","700","600","26070","24440"
"In post","2021","North West (England)","Female","Wirral","1470","1230","25940","25860"
"In post","2021","North West (England)","Male","Blackburn with Darwen","200","190","27180","27570"
"In post","2021","North West (England)","Male","Blackpool","1930","1860","30190","27570"
"In post","2021","North West (England)","Male","Cheshire East","290","270","30540","27570"
"In post","2021","North West (England)","Male","Cheshire West and Chester","170","160","25600","23840"
"In post","2021","North West (England)","Male","Chorley and West Lancashire","700","650","30590","28830"
"In post","2021","North West (England)","Male","East Cumbria","400","390","28160","24920"
"In post","2021","North West (England)","Male","East Lancashire","160","160","26320","27570"
"In post","2021","North West (England)","Male","East Merseyside","310","300","29280","27570"
"In post","2021","North West (England)","Male","Greater Manchester North East","470","450","27940","27570"
"In post","2021","North West (England)","Male","Greater Manchester North West","650","620","26330","26780"
"In post","2021","North West (England)","Male","Greater Manchester South East","520","500","25950","24300"
"In post","2021","North West (England)","Male","Greater Manchester South West","3050","2960","31070","27570"
"In post","2021","North West (England)","Male","Lancaster and Wyre","450","440","29660","26930"
"In post","2021","North West (England)","Male","Liverpool","4270","4120","30120","25560"
"In post","2021","North West (England)","Male","Manchester","4280","4150","34440","30990"
"In post","2021","North West (England)","Male","Mid Lancashire","2400","2260","27920","25560"
"In post","2021","North West (England)","Male","Sefton","2540","2440","30500","26920"
"In post","2021","North West (England)","Male","Warrington","1260","1230","34480","32770"
"In post","2021","North West (England)","Male","West Cumbria","500","490","31350","27570"
"In post","2021","North West (England)","Male","Wirral","680","640","26870","27130"
"In post","2021","Northern Ireland","Female","Antrim and Newtownabbey","60","60","26650","21670"
"In post","2021","Northern Ireland","Female","Ards and North Down","60","50","28760","22330"
"In post","2021","Northern Ireland","Female","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Belfast","1440","1290","28780","25560"
"In post","2021","Northern Ireland","Female","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Lisburn and Castlereagh","180","170","26820","22580"
"In post","2021","Northern Ireland","Female","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Antrim and Newtownabbey","140","140","23700","20310"
"In post","2021","Northern Ireland","Male","Ards and North Down","170","170","24940","20310"
"In post","2021","Northern Ireland","Male","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Belfast","1380","1330","29010","25560"
"In post","2021","Northern Ireland","Male","Causeway Coast and Glens","60","60","20740","20310"
"In post","2021","Northern Ireland","Male","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Lisburn and Castlereagh","220","210","28150","24970"
"In post","2021","Northern Ireland","Male","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Newry, Mourne and Down","60","60","21140","20310"
"In post","2021","Overseas","Female","Overseas","1500","1490","49160","46620"
"In post","2021","Overseas","Male","Overseas","2260","2250","50540","50430"
"In post","2021","Scotland","Female","Aberdeen City and Aberdeenshire","930","840","32400","27570"
"In post","2021","Scotland","Female","Angus and Dundee City","1160","1040","26520","22230"
"In post","2021","Scotland","Female","Caithness and Sutherland and Ross and Cromarty","110","100","27650","27570"
"In post","2021","Scotland","Female","City of Edinburgh","6750","6310","37110","31810"
"In post","2021","Scotland","Female","Clackmannanshire and Fife","680","610","27840","27570"
"In post","2021","Scotland","Female","Dumfries and Galloway","250","220","27880","26530"
"In post","2021","Scotland","Female","East Ayrshire and North Ayrshire mainland","510","440","26050","27570"
"In post","2021","Scotland","Female","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","840","770","27910","26670"
"In post","2021","Scotland","Female","East Lothian and Midlothian","70","60","27240","27570"
"In post","2021","Scotland","Female","Falkirk","1150","980","26250","22820"
"In post","2021","Scotland","Female","Glasgow City","6320","5720","31190","27570"
"In post","2021","Scotland","Female","Inverclyde, East Renfrewshire and Renfrewshire","590","510","28080","27570"
"In post","2021","Scotland","Female","Inverness and Nairn and Moray, Badenoch and Strathspey","600","550","28410","27570"
"In post","2021","Scotland","Female","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","150","140","27810","27570"
"In post","2021","Scotland","Female","Na h-Eileanan Siar","100","90","24500","21010"
"In post","2021","Scotland","Female","North Lanarkshire","1750","1470","25360","21440"
"In post","2021","Scotland","Female","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Female","Perth and Kinross and Stirling","610","560","29630","27570"
"In post","2021","Scotland","Female","Scottish Borders","260","220","28640","27570"
"In post","2021","Scotland","Female","Shetland Islands","30","30","[c]","[c]"
"In post","2021","Scotland","Female","South Ayrshire","200","180","27800","27570"
"In post","2021","Scotland","Female","South Lanarkshire","2280","1980","29490","25560"
"In post","2021","Scotland","Female","West Lothian","310","280","32890","27570"
"In post","2021","Scotland","Male","Aberdeen City and Aberdeenshire","940","910","39900","33650"
"In post","2021","Scotland","Male","Angus and Dundee City","740","710","25790","21150"
"In post","2021","Scotland","Male","Caithness and Sutherland and Ross and Cromarty","100","100","31100","29190"
"In post","2021","Scotland","Male","City of Edinburgh","6050","5900","37710","33620"
"In post","2021","Scotland","Male","Clackmannanshire and Fife","670","640","32110","33300"
"In post","2021","Scotland","Male","Dumfries and Galloway","320","300","30440","28870"
"In post","2021","Scotland","Male","East Ayrshire and North Ayrshire mainland","450","430","27460","26160"
"In post","2021","Scotland","Male","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","1580","1540","31950","29420"
"In post","2021","Scotland","Male","East Lothian and Midlothian","50","40","[c]","[c]"
"In post","2021","Scotland","Male","Falkirk","660","620","29880","27570"
"In post","2021","Scotland","Male","Glasgow City","5330","5140","32570","27570"
"In post","2021","Scotland","Male","Inverclyde, East Renfrewshire and Renfrewshire","460","430","31640","27570"
"In post","2021","Scotland","Male","Inverness and Nairn and Moray, Badenoch and Strathspey","540","520","29850","27570"
"In post","2021","Scotland","Male","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","180","170","28970","27150"
"In post","2021","Scotland","Male","Na h-Eileanan Siar","80","70","27570","27570"
"In post","2021","Scotland","Male","North Lanarkshire","1050","980","27540","25560"
"In post","2021","Scotland","Male","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Male","Perth and Kinross and Stirling","750","710","32050","31040"
"In post","2021","Scotland","Male","Scottish Borders","220","220","30380","27570"
"In post","2021","Scotland","Male","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Male","South Ayrshire","120","110","28270","27570"
"In post","2021","Scotland","Male","South Lanarkshire","1420","1340","31520","26120"
"In post","2021","Scotland","Male","West Lothian","200","200","32460","27570"
"In post","2021","South East (England)","Female","Berkshire","1370","1260","32720","29290"
"In post","2021","South East (England)","Female","Brighton and Hove","420","370","30640","27570"
"In post","2021","South East (England)","Female","Buckinghamshire CC","980","920","31030","28670"
"In post","2021","South East (England)","Female","Central Hampshire","1870","1760","33500","33000"
"In post","2021","South East (England)","Female","East Kent","2060","1840","27960","25980"
"In post","2021","South East (England)","Female","East Surrey","520","480","33020","31880"
"In post","2021","South East (England)","Female","East Sussex CC","1180","1010","26080","26350"
"In post","2021","South East (England)","Female","Isle of Wight","390","350","25840","25790"
"In post","2021","South East (England)","Female","Kent Thames Gateway","760","700","28550","29290"
"In post","2021","South East (England)","Female","Medway","780","720","29570","29290"
"In post","2021","South East (England)","Female","Mid Kent","500","460","29710","29290"
"In post","2021","South East (England)","Female","Milton Keynes","990","930","30420","27570"
"In post","2021","South East (England)","Female","North Hampshire","600","560","29400","26870"
"In post","2021","South East (England)","Female","Oxfordshire","1440","1310","31500","27570"
"In post","2021","South East (England)","Female","Portsmouth","1950","1740","29240","26670"
"In post","2021","South East (England)","Female","South Hampshire","2070","1740","29850","27570"
"In post","2021","South East (England)","Female","Southampton","710","630","29440","27570"
"In post","2021","South East (England)","Female","West Kent","130","120","32890","29290"
"In post","2021","South East (England)","Female","West Surrey","1220","1120","31860","29290"
"In post","2021","South East (England)","Female","West Sussex (North East)","650","570","30360","27570"
"In post","2021","South East (England)","Female","West Sussex (South West)","720","630","28900","27570"
"In post","2021","South East (England)","Male","Berkshire","1590","1560","35820","33170"
"In post","2021","South East (England)","Male","Brighton and Hove","230","220","30520","27570"
"In post","2021","South East (England)","Male","Buckinghamshire CC","700","680","33710","31810"
"In post","2021","South East (England)","Male","Central Hampshire","2320","2270","38340","37320"
"In post","2021","South East (England)","Male","East Kent","2170","2050","28400","27240"
"In post","2021","South East (England)","Male","East Surrey","470","460","33880","33880"
"In post","2021","South East (England)","Male","East Sussex CC","820","780","27860","27570"
"In post","2021","South East (England)","Male","Isle of Wight","510","480","28820","27380"
"In post","2021","South East (England)","Male","Kent Thames Gateway","850","820","31590","31650"
"In post","2021","South East (England)","Male","Medway","640","620","32860","30400"
"In post","2021","South East (England)","Male","Mid Kent","380","370","31030","29290"
"In post","2021","South East (England)","Male","Milton Keynes","1220","1190","34090","31800"
"In post","2021","South East (England)","Male","North Hampshire","420","410","37610","32060"
"In post","2021","South East (England)","Male","Oxfordshire","1300","1270","32850","30400"
"In post","2021","South East (England)","Male","Portsmouth","1960","1900","31940","28130"
"In post","2021","South East (England)","Male","South Hampshire","1980","1770","30180","27570"
"In post","2021","South East (England)","Male","Southampton","570","550","37030","31040"
"In post","2021","South East (England)","Male","West Kent","270","260","38140","37320"
"In post","2021","South East (England)","Male","West Surrey","890","870","34120","30780"
"In post","2021","South East (England)","Male","West Sussex (North East)","590","530","31130","28350"
"In post","2021","South East (England)","Male","West Sussex (South West)","600","560","31660","28130"
"In post","2021","South East (England)","Unknown","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","5370","4980","34700","32660"
"In post","2021","South West (England)","Female","Bournemouth and Poole","420","360","27030","27570"
"In post","2021","South West (England)","Female","Bristol, City of","3520","3170","34380","29870"
"In post","2021","South West (England)","Female","Cornwall and Isles of Scilly","920","800","26230","26590"
"In post","2021","South West (England)","Female","Devon CC","2710","2360","29700","27570"
"In post","2021","South West (England)","Female","Dorset CC","950","860","27860","26670"
"In post","2021","South West (England)","Female","Gloucestershire","830","730","28130","27130"
"In post","2021","South West (England)","Female","Plymouth","1420","1260","29110","27130"
"In post","2021","South West (England)","Female","Somerset","1140","1000","29250","27570"
"In post","2021","South West (England)","Female","Swindon","290","270","30880","27570"
"In post","2021","South West (England)","Female","Torbay","220","180","25920","25190"
"In post","2021","South West (England)","Female","Wiltshire","3640","3400","34080","31780"
"In post","2021","South West (England)","Male","Bath and North East Somerset, North Somerset and South Gloucestershire","7990","7850","39800","37990"
"In post","2021","South West (England)","Male","Bournemouth and Poole","300","290","26620","27290"
"In post","2021","South West (England)","Male","Bristol, City of","3090","2960","37550","31860"
"In post","2021","South West (England)","Male","Cornwall and Isles of Scilly","730","700","27040","26670"
"In post","2021","South West (England)","Male","Devon CC","2870","2750","33560","31580"
"In post","2021","South West (England)","Male","Dorset CC","1190","1150","30160","28220"
"In post","2021","South West (England)","Male","Gloucestershire","570","530","30890","27570"
"In post","2021","South West (England)","Male","Plymouth","1680","1630","32880","30640"
"In post","2021","South West (England)","Male","Somerset","1220","1180","32550","32160"
"In post","2021","South West (England)","Male","Swindon","180","170","34670","27570"
"In post","2021","South West (England)","Male","Torbay","110","110","25850","27570"
"In post","2021","South West (England)","Male","Wiltshire","3840","3770","38410","37320"
"In post","2021","Unknown","Female","Unknown","1200","1130","33020","29250"
"In post","2021","Unknown","Male","Unknown","2530","2510","36930","32700"
"In post","2021","Wales","Female","Bridgend and Neath Port Talbot","500","430","26480","27570"
"In post","2021","Wales","Female","Cardiff and Vale of Glamorgan","6510","5880","32300","27570"
"In post","2021","Wales","Female","Central Valleys","1130","1030","32770","28850"
"In post","2021","Wales","Female","Conwy and Denbighshire","450","410","34420","30210"
"In post","2021","Wales","Female","Flintshire and Wrexham","1090","1000","27130","25200"
"In post","2021","Wales","Female","Gwent Valleys","760","660","27540","27570"
"In post","2021","Wales","Female","Gwynedd","460","400","24760","21050"
"In post","2021","Wales","Female","Isle of Anglesey","130","120","26900","26670"
"In post","2021","Wales","Female","Monmouthshire and Newport","3090","2810","31370","28030"
"In post","2021","Wales","Female","Powys","290","270","29690","27570"
"In post","2021","Wales","Female","South West Wales","880","800","29690","27570"
"In post","2021","Wales","Female","Swansea","5380","4550","25580","21590"
"In post","2021","Wales","Male","Bridgend and Neath Port Talbot","210","200","28560","27570"
"In post","2021","Wales","Male","Cardiff and Vale of Glamorgan","5560","5380","33710","28850"
"In post","2021","Wales","Male","Central Valleys","580","560","38080","31700"
"In post","2021","Wales","Male","Conwy and Denbighshire","240","220","36310","30600"
"In post","2021","Wales","Male","Flintshire and Wrexham","1060","1030","28500","27460"
"In post","2021","Wales","Male","Gwent Valleys","330","320","30230","27570"
"In post","2021","Wales","Male","Gwynedd","290","280","25630","23600"
"In post","2021","Wales","Male","Isle of Anglesey","120","120","28520","26800"
"In post","2021","Wales","Male","Monmouthshire and Newport","2490","2420","36810","32820"
"In post","2021","Wales","Male","Powys","260","250","28380","26670"
"In post","2021","Wales","Male","South West Wales","590","560","31030","27570"
"In post","2021","Wales","Male","Swansea","3690","3530","29800","26350"
"In post","2021","Wales","Unknown","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Female","Birmingham","6600","5950","30240","27570"
"In post","2021","West Midlands (England)","Female","Coventry","1460","1350","35630","31000"
"In post","2021","West Midlands (England)","Female","Dudley","810","670","24960","25410"
"In post","2021","West Midlands (England)","Female","Herefordshire, County of","220","200","26490","26670"
"In post","2021","West Midlands (England)","Female","Sandwell","310","270","26810","27570"
"In post","2021","West Midlands (England)","Female","Shropshire CC","490","440","27660","26670"
"In post","2021","West Midlands (England)","Female","Solihull","620","550","28490","26160"
"In post","2021","West Midlands (England)","Female","Staffordshire CC","2090","1920","29320","27380"
"In post","2021","West Midlands (England)","Female","Stoke-on-Trent","830","730","24810","21170"
"In post","2021","West Midlands (England)","Female","Telford and Wrekin","1130","1010","31680","27570"
"In post","2021","West Midlands (England)","Female","Walsall","420","350","25270","26120"
"In post","2021","West Midlands (England)","Female","Warwickshire","730","640","26400","23420"
"In post","2021","West Midlands (England)","Female","Wolverhampton","610","510","24640","23840"
"In post","2021","West Midlands (England)","Female","Worcestershire","1200","1100","27750","25520"
"In post","2021","West Midlands (England)","Male","Birmingham","5000","4850","32400","27570"
"In post","2021","West Midlands (England)","Male","Coventry","970","950","38730","36430"
"In post","2021","West Midlands (England)","Male","Dudley","340","320","25360","26580"
"In post","2021","West Midlands (England)","Male","Herefordshire, County of","220","220","29320","26930"
"In post","2021","West Midlands (England)","Male","Sandwell","140","130","27970","27570"
"In post","2021","West Midlands (England)","Male","Shropshire CC","680","670","30110","29670"
"In post","2021","West Midlands (England)","Male","Solihull","480","470","29450","27370"
"In post","2021","West Midlands (England)","Male","Staffordshire CC","1880","1820","30510","27570"
"In post","2021","West Midlands (England)","Male","Stoke-on-Trent","410","390","25950","23200"
"In post","2021","West Midlands (England)","Male","Telford and Wrekin","800","770","35680","31810"
"In post","2021","West Midlands (England)","Male","Walsall","190","170","24710","26120"
"In post","2021","West Midlands (England)","Male","Warwickshire","570","540","27360","25710"
"In post","2021","West Midlands (England)","Male","Wolverhampton","280","260","25760","27570"
"In post","2021","West Midlands (England)","Male","Worcestershire","1050","1030","29850","27570"
"In post","2021","Yorkshire and The Humber","Female","Barnsley, Doncaster and Rotherham","1840","1570","26140","26120"
"In post","2021","Yorkshire and The Humber","Female","Bradford","1860","1570","26880","25560"
"In post","2021","Yorkshire and The Humber","Female","Calderdale and Kirklees","700","590","26790","27570"
"In post","2021","Yorkshire and The Humber","Female","East Riding of Yorkshire","680","620","26540","25570"
"In post","2021","Yorkshire and The Humber","Female","Kingston upon Hull, City of","1090","930","27400","27130"
"In post","2021","Yorkshire and The Humber","Female","Leeds","6130","5600","32610","28200"
"In post","2021","Yorkshire and The Humber","Female","North and North East Lincolnshire","560","480","25560","25560"
"In post","2021","Yorkshire and The Humber","Female","North Yorkshire CC","900","830","28900","26700"
"In post","2021","Yorkshire and The Humber","Female","Sheffield","3880","3440","32330","27570"
"In post","2021","Yorkshire and The Humber","Female","Wakefield","880","790","29230","27570"
"In post","2021","Yorkshire and The Humber","Female","York","1560","1440","35900","31350"
"In post","2021","Yorkshire and The Humber","Male","Barnsley, Doncaster and Rotherham","1150","1100","28800","27570"
"In post","2021","Yorkshire and The Humber","Male","Bradford","1240","1180","27660","25560"
"In post","2021","Yorkshire and The Humber","Male","Calderdale and Kirklees","360","350","27480","27570"
"In post","2021","Yorkshire and The Humber","Male","East Riding of Yorkshire","1210","1160","29820","26930"
"In post","2021","Yorkshire and The Humber","Male","Kingston upon Hull, City of","920","870","28690","27370"
"In post","2021","Yorkshire and The Humber","Male","Leeds","5290","5140","33700","28970"
"In post","2021","Yorkshire and The Humber","Male","North and North East Lincolnshire","260","250","26290","26700"
"In post","2021","Yorkshire and The Humber","Male","North Yorkshire CC","1030","1000","30220","27570"
"In post","2021","Yorkshire and The Humber","Male","Sheffield","3060","2960","34320","30200"
"In post","2021","Yorkshire and The Humber","Male","Wakefield","800","750","31400","31650"
"In post","2021","Yorkshire and The Humber","Male","York","1230","1200","36560","32160"
"In post","2022","East Midlands (England)","Female","Derby","730","620","26010","24090"
"In post","2022","East Midlands (England)","Female","East Derbyshire","290","240","27140","27570"
"In post","2022","East Midlands (England)","Female","Leicester","1580","1390","27400","25120"
"In post","2022","East Midlands (England)","Female","Leicestershire CC and Rutland","1050","950","28310","26160"
"In post","2022","East Midlands (England)","Female","Lincolnshire CC","1570","1440","27690","26310"
"In post","2022","East Midlands (England)","Female","North Northamptonshire","390","340","25550","22510"
"In post","2022","East Midlands (England)","Female","North Nottinghamshire","600","540","29750","27570"
"In post","2022","East Midlands (England)","Female","Nottingham","4910","4490","32130","27570"
"In post","2022","East Midlands (England)","Female","South and West Derbyshire","700","620","32080","27570"
