"Status","Year","Profession_of_post","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Project Delivery","Unknown","60","60","36630","33620"
"In post","2021","Commercial","Property","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Commercial","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Heterosexual / straight","90","90","40460","41940"
"In post","2021","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Heterosexual / straight","2180","2100","41220","37560"
"In post","2021","Communications","Communications","LGBO","180","170","42070","40310"
"In post","2021","Communications","Communications","Undeclared","260","240","37910","35270"
"In post","2021","Communications","Communications","Unknown","810","790","42470","38650"
"In post","2021","Communications","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","Heterosexual / straight","80","80","42340","40050"
"In post","2021","Communications","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","Unknown","30","30","[c]","[c]"
"In post","2021","Communications","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Heterosexual / straight","270","260","44250","41730"
"In post","2021","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Undeclared","40","40","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Heterosexual / straight","90","90","47570","46080"
"In post","2021","Corporate Finance","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Unknown","40","30","[c]","[c]"
"In post","2021","Corporate Finance","No function","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Heterosexual / straight","420","400","41080","38510"
"In post","2021","Counter Fraud","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Undeclared","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Unknown","180","180","40950","39170"
"In post","2021","Counter Fraud","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Heterosexual / straight","160","140","27010","25310"
"In post","2021","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Heterosexual / straight","170","160","41960","42000"
"In post","2021","Digital, Data and Technology","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Unknown","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Heterosexual / straight","6500","6310","41430","38450"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","LGBO","400","390","40460","36800"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Undeclared","1060","1020","39890","37940"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Unknown","2900","2830","40300","37100"
"In post","2021","Digital, Data and Technology","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","Heterosexual / straight","130","120","37300","33100"
"In post","2021","Digital, Data and Technology","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","Unknown","70","70","41180","37100"
"In post","2021","Digital, Data and Technology","Project Delivery","Heterosexual / straight","330","320","43200","43000"
"In post","2021","Digital, Data and Technology","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Project Delivery","Undeclared","50","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Project Delivery","Unknown","50","50","[c]","[c]"
"In post","2021","Digital, Data and Technology","Property","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Heterosexual / straight","1090","1070","48040","44470"
"In post","2021","Digital, Data and Technology","Unknown","LGBO","60","50","47880","40460"
"In post","2021","Digital, Data and Technology","Unknown","Undeclared","170","170","48360","46980"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","130","130","49250","46000"
"In post","2021","Economics","Analysis","Heterosexual / straight","850","830","47460","42280"
"In post","2021","Economics","Analysis","LGBO","80","80","43700","35640"
"In post","2021","Economics","Analysis","Undeclared","90","90","48660","50150"
"In post","2021","Economics","Analysis","Unknown","260","260","43290","35840"
"In post","2021","Economics","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Finance","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Economics","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Finance","Unknown","50","50","[c]","[c]"
"In post","2021","Economics","No function","Heterosexual / straight","330","320","47680","50780"
"In post","2021","Economics","No function","LGBO","30","30","[c]","[c]"
"In post","2021","Economics","No function","Undeclared","40","40","[c]","[c]"
"In post","2021","Economics","No function","Unknown","70","70","50850","52480"
"In post","2021","Economics","Project Delivery","Heterosexual / straight","60","60","55740","55990"
"In post","2021","Economics","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Project Delivery","Unknown","40","40","[c]","[c]"
"In post","2021","Economics","Unknown","Heterosexual / straight","120","120","47630","41760"
"In post","2021","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Unknown","60","60","44460","35610"
"In post","2021","Finance","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","Heterosexual / straight","60","50","34310","30850"
"In post","2021","Finance","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Debt","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Finance","Heterosexual / straight","5360","5100","40390","36740"
"In post","2021","Finance","Finance","LGBO","200","200","42540","38630"
"In post","2021","Finance","Finance","Undeclared","740","690","39510","36160"
"In post","2021","Finance","Finance","Unknown","1260","1180","36870","32790"
"In post","2021","Finance","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","No function","Heterosexual / straight","270","250","41990","36980"
"In post","2021","Finance","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","No function","Undeclared","40","40","[c]","[c]"
"In post","2021","Finance","No function","Unknown","90","90","44960","40300"
"In post","2021","Finance","Project Delivery","Heterosexual / straight","310","300","42720","39860"
"In post","2021","Finance","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Project Delivery","Undeclared","50","50","[c]","[c]"
"In post","2021","Finance","Project Delivery","Unknown","40","40","[c]","[c]"
"In post","2021","Finance","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Heterosexual / straight","530","510","43560","37430"
"In post","2021","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Undeclared","70","60","44790","42070"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Heterosexual / straight","5260","4980","38700","33700"
"In post","2021","Human Resources","Human Resources","LGBO","310","300","41190","36640"
"In post","2021","Human Resources","Human Resources","Undeclared","520","490","35880","32690"
"In post","2021","Human Resources","Human Resources","Unknown","840","800","36140","32560"
"In post","2021","Human Resources","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","Heterosexual / straight","50","50","40910","36330"
"In post","2021","Human Resources","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Heterosexual / straight","630","600","41400","37410"
"In post","2021","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Undeclared","80","70","40800","37410"
"In post","2021","Human Resources","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","Inspector of Education and Training","No function","Heterosexual / straight","720","700","66390","74730"
"In post","2021","Inspector of Education and Training","No function","LGBO","50","50","69920","75500"
"In post","2021","Inspector of Education and Training","No function","Undeclared","50","40","[c]","[c]"
"In post","2021","Inspector of Education and Training","No function","Unknown","40","40","[c]","[c]"
"In post","2021","Intelligence Analysis","Analysis","Heterosexual / straight","140","130","49290","51420"
"In post","2021","Intelligence Analysis","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Analysis","Unknown","130","130","54140","53360"
"In post","2021","Intelligence Analysis","Counter Fraud","Heterosexual / straight","120","120","38640","36160"
"In post","2021","Intelligence Analysis","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Counter Fraud","Unknown","50","40","[c]","[c]"
"In post","2021","Intelligence Analysis","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","No function","Heterosexual / straight","350","340","31350","28080"
"In post","2021","Intelligence Analysis","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","No function","Undeclared","40","40","[c]","[c]"
"In post","2021","Intelligence Analysis","No function","Unknown","70","60","32340","31050"
"In post","2021","Intelligence Analysis","Security","Heterosexual / straight","140","140","44680","38860"
"In post","2021","Intelligence Analysis","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","Heterosexual / straight","1720","1640","32430","29490"
"In post","2021","Intelligence Analysis","Unknown","LGBO","70","70","31560","29250"
"In post","2021","Intelligence Analysis","Unknown","Undeclared","330","310","32880","30780"
"In post","2021","Intelligence Analysis","Unknown","Unknown","120","110","34130","33000"
"In post","2021","Internal Audit","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Internal Audit","Heterosexual / straight","570","550","46170","43450"
"In post","2021","Internal Audit","Internal Audit","LGBO","30","30","[c]","[c]"
"In post","2021","Internal Audit","Internal Audit","Undeclared","80","80","45890","42520"
"In post","2021","Internal Audit","Internal Audit","Unknown","60","50","42260","39890"
"In post","2021","Internal Audit","No function","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","No function","Heterosexual / straight","830","820","47820","44030"
"In post","2021","International Trade","No function","LGBO","80","80","51070","51970"
"In post","2021","International Trade","No function","Undeclared","90","90","44800","38780"
"In post","2021","International Trade","No function","Unknown","460","460","45080","38810"
"In post","2021","International Trade","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Analysis","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Commercial","Heterosexual / straight","510","490","32790","30200"
"In post","2021","Knowledge and Information Management","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Commercial","Undeclared","120","110","37160","33300"
"In post","2021","Knowledge and Information Management","Commercial","Unknown","50","50","[c]","[c]"
"In post","2021","Knowledge and Information Management","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Digital, Data & Technology","Heterosexual / straight","110","100","37610","35510"
"In post","2021","Knowledge and Information Management","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","No function","Heterosexual / straight","620","580","39040","36330"
"In post","2021","Knowledge and Information Management","No function","LGBO","50","40","[c]","[c]"
"In post","2021","Knowledge and Information Management","No function","Undeclared","100","100","37750","35410"
"In post","2021","Knowledge and Information Management","No function","Unknown","210","190","37640","35020"
"In post","2021","Knowledge and Information Management","Project Delivery","Heterosexual / straight","140","140","36790","35790"
"In post","2021","Knowledge and Information Management","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
