"Status","Year","Sexual_orientation","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Chinese","Department for Work and Pensions","110","100","28200","27570"
"In post","2021","Heterosexual / straight","Chinese","Department of Health and Social Care","60","60","46760","41940"
"In post","2021","Heterosexual / straight","Chinese","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Foreign, Commonwealth and Development Office","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","HM Revenue and Customs","120","120","33690","29570"
"In post","2021","Heterosexual / straight","Chinese","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Home Office","130","120","31470","28670"
"In post","2021","Heterosexual / straight","Chinese","Ministry of Defence","70","70","33960","30750"
"In post","2021","Heterosexual / straight","Chinese","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Ministry of Justice","110","110","31510","26810"
"In post","2021","Heterosexual / straight","Chinese","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Attorney General's Departments","220","210","46000","50520"
"In post","2021","Heterosexual / straight","Mixed","Cabinet Office","150","150","46320","40250"
"In post","2021","Heterosexual / straight","Mixed","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Department for Business, Energy and Industrial Strategy","190","190","45320","40470"
"In post","2021","Heterosexual / straight","Mixed","Department for Digital, Culture, Media and Sport","60","60","44140","40570"
"In post","2021","Heterosexual / straight","Mixed","Department for Education","160","150","41950","40230"
"In post","2021","Heterosexual / straight","Mixed","Department for Environment, Food and Rural Affairs","150","140","38360","33790"
"In post","2021","Heterosexual / straight","Mixed","Department for International Trade","70","70","46800","43600"
"In post","2021","Heterosexual / straight","Mixed","Department for Transport","160","150","36040","33350"
"In post","2021","Heterosexual / straight","Mixed","Department for Work and Pensions","1200","1120","28380","27570"
"In post","2021","Heterosexual / straight","Mixed","Department of Health and Social Care","240","230","40790","37500"
"In post","2021","Heterosexual / straight","Mixed","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Foreign, Commonwealth and Development Office","220","210","45990","39560"
"In post","2021","Heterosexual / straight","Mixed","HM Land Registry","50","50","29240","27130"
"In post","2021","Heterosexual / straight","Mixed","HM Revenue and Customs","540","510","34000","31810"
"In post","2021","Heterosexual / straight","Mixed","HM Treasury","80","80","45300","43150"
"In post","2021","Heterosexual / straight","Mixed","Home Office","610","570","33480","29030"
"In post","2021","Heterosexual / straight","Mixed","Ministry of Defence","520","510","34510","32260"
"In post","2021","Heterosexual / straight","Mixed","Ministry of Housing, Communities and Local Government","80","70","42880","39600"
"In post","2021","Heterosexual / straight","Mixed","Ministry of Justice","1280","1220","30660","27850"
"In post","2021","Heterosexual / straight","Mixed","National Crime Agency","90","90","39850","38540"
"In post","2021","Heterosexual / straight","Mixed","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Scottish Government","90","80","41600","38060"
"In post","2021","Heterosexual / straight","Mixed","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","United Kingdom Statistics Authority","60","60","32500","29840"
"In post","2021","Heterosexual / straight","Mixed","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Welsh Government","50","50","40430","37410"
"In post","2021","Heterosexual / straight","Other ethnicity","Attorney General's Departments","70","70","46490","49580"
"In post","2021","Heterosexual / straight","Other ethnicity","Cabinet Office","50","50","46880","39020"
"In post","2021","Heterosexual / straight","Other ethnicity","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Department for Business, Energy and Industrial Strategy","70","60","45140","40050"
"In post","2021","Heterosexual / straight","Other ethnicity","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Department for Education","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Department for Transport","50","50","37810","34710"
"In post","2021","Heterosexual / straight","Other ethnicity","Department for Work and Pensions","310","300","30630","28010"
"In post","2021","Heterosexual / straight","Other ethnicity","Department of Health and Social Care","60","60","47310","40070"
"In post","2021","Heterosexual / straight","Other ethnicity","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Foreign, Commonwealth and Development Office","70","60","41230","37240"
"In post","2021","Heterosexual / straight","Other ethnicity","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","HM Revenue and Customs","140","140","34390","31810"
"In post","2021","Heterosexual / straight","Other ethnicity","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Home Office","180","160","32230","28670"
"In post","2021","Heterosexual / straight","Other ethnicity","Ministry of Defence","170","160","33580","28650"
"In post","2021","Heterosexual / straight","Other ethnicity","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Ministry of Justice","320","300","30420","27110"
"In post","2021","Heterosexual / straight","Other ethnicity","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Other Cabinet Office Agencies","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Attorney General's Departments","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Cabinet Office","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Department for Business, Energy and Industrial Strategy","70","70","41040","40140"
"In post","2021","Heterosexual / straight","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Department for Education","50","50","41480","36500"
"In post","2021","Heterosexual / straight","Undeclared","Department for Environment, Food and Rural Affairs","60","60","35480","32680"
"In post","2021","Heterosexual / straight","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Department for Transport","290","280","31560","27680"
"In post","2021","Heterosexual / straight","Undeclared","Department for Work and Pensions","630","570","28180","27570"
"In post","2021","Heterosexual / straight","Undeclared","Department of Health and Social Care","70","60","43360","41010"
"In post","2021","Heterosexual / straight","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Foreign, Commonwealth and Development Office","80","80","46090","39040"
"In post","2021","Heterosexual / straight","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","HM Revenue and Customs","220","210","31940","31810"
"In post","2021","Heterosexual / straight","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Home Office","380","350","32210","28850"
"In post","2021","Heterosexual / straight","Undeclared","Ministry of Defence","170","170","34900","33120"
"In post","2021","Heterosexual / straight","Undeclared","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Ministry of Justice","450","420","28080","26160"
"In post","2021","Heterosexual / straight","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Scottish Government","150","140","35050","33650"
"In post","2021","Heterosexual / straight","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Attorney General's Departments","160","150","40540","33770"
"In post","2021","Heterosexual / straight","Unknown","Cabinet Office","50","50","58940","54700"
"In post","2021","Heterosexual / straight","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Department for Business, Energy and Industrial Strategy","130","120","39080","36060"
"In post","2021","Heterosexual / straight","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Department for Education","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Department for Environment, Food and Rural Affairs","70","60","38190","36970"
"In post","2021","Heterosexual / straight","Unknown","Department for International Trade","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Department for Transport","190","170","32120","26780"
"In post","2021","Heterosexual / straight","Unknown","Department for Work and Pensions","390","360","29890","27570"
"In post","2021","Heterosexual / straight","Unknown","Department of Health and Social Care","80","70","41970","33960"
"In post","2021","Heterosexual / straight","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Foreign, Commonwealth and Development Office","60","60","45490","39250"
"In post","2021","Heterosexual / straight","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","HM Revenue and Customs","650","560","30750","28130"
"In post","2021","Heterosexual / straight","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Ministry of Defence","140","140","32900","31200"
"In post","2021","Heterosexual / straight","Unknown","Ministry of Housing, Communities and Local Government","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Ministry of Justice","950","890","28610","26810"
"In post","2021","Heterosexual / straight","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Scottish Government","80","80","36130","29040"
"In post","2021","Heterosexual / straight","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","United Kingdom Statistics Authority","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","White","Attorney General's Departments","5040","4720","44900","48080"
"In post","2021","Heterosexual / straight","White","Cabinet Office","3440","3340","48600","41820"
"In post","2021","Heterosexual / straight","White","Chancellor's other departments","220","210","63560","53300"
"In post","2021","Heterosexual / straight","White","Charity Commission","210","200","33920","29160"
"In post","2021","Heterosexual / straight","White","Competition and Markets Authority","490","470","64260","59940"
"In post","2021","Heterosexual / straight","White","Department for Business, Energy and Industrial Strategy","5580","5330","43740","40050"
"In post","2021","Heterosexual / straight","White","Department for Digital, Culture, Media and Sport","970","950","51080","51730"
"In post","2021","Heterosexual / straight","White","Department for Education","4340","4160","44620","40510"
"In post","2021","Heterosexual / straight","White","Department for Environment, Food and Rural Affairs","6140","5820","37000","32770"
"In post","2021","Heterosexual / straight","White","Department for International Trade","1090","1070","47970","48840"
"In post","2021","Heterosexual / straight","White","Department for Transport","8590","8000","33680","27250"
"In post","2021","Heterosexual / straight","White","Department for Work and Pensions","49470","44420","28290","27570"
"In post","2021","Heterosexual / straight","White","Department of Health and Social Care","4880","4520","45090","40070"
"In post","2021","Heterosexual / straight","White","ESTYN","100","90","57900","74730"
"In post","2021","Heterosexual / straight","White","Food Standards Agency","720","700","38160","35730"
"In post","2021","Heterosexual / straight","White","Foreign, Commonwealth and Development Office","4880","4760","48430","44230"
"In post","2021","Heterosexual / straight","White","HM Land Registry","3250","2930","32140","27130"
"In post","2021","Heterosexual / straight","White","HM Revenue and Customs","30620","28120","33060","31810"
"In post","2021","Heterosexual / straight","White","HM Treasury","1520","1470","49250","52080"
"In post","2021","Heterosexual / straight","White","Home Office","21080","19490","31780","26160"
"In post","2021","Heterosexual / straight","White","Ministry of Defence","39290","37950","33770","31600"
"In post","2021","Heterosexual / straight","White","Ministry of Housing, Communities and Local Government","2040","1950","46890","47660"
"In post","2021","Heterosexual / straight","White","Ministry of Justice","45540","42600","29910","26850"
"In post","2021","Heterosexual / straight","White","National Crime Agency","3640","3550","40390","37560"
"In post","2021","Heterosexual / straight","White","Northern Ireland Office","80","70","44920","38960"
"In post","2021","Heterosexual / straight","White","Office for Standards in Education","1250","1200","51220","51360"
"In post","2021","Heterosexual / straight","White","Office of Gas and Electricity Markets","360","360","43440","37230"
"In post","2021","Heterosexual / straight","White","Office of Qualifications and Examinations Regulation","140","130","47210","42240"
"In post","2021","Heterosexual / straight","White","Office of Rail and Road","120","120","53010","52310"
"In post","2021","Heterosexual / straight","White","Other Cabinet Office Agencies","610","590","41730","35760"
"In post","2021","Heterosexual / straight","White","Scotland Office","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","White","Scottish Government","11080","10540","39150","33650"
"In post","2021","Heterosexual / straight","White","The National Archives","170","160","37430","34260"
"In post","2021","Heterosexual / straight","White","UK Export Finance","220","210","55390","50400"
"In post","2021","Heterosexual / straight","White","UK Supreme Court","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","White","United Kingdom Statistics Authority","3230","2860","33010","29540"
"In post","2021","Heterosexual / straight","White","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","White","Water Services Regulation Authority","70","70","61880","59000"
"In post","2021","Heterosexual / straight","White","Welsh Government","4510","4250","40840","37410"
"In post","2021","LGBO","Asian","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Cabinet Office","[c]","[c]","[c]","[c]"
