"Status","Year","Ethnicity","Sex","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Male","Department for Digital, Culture, Media and Sport","60","60","47270","42020"
"In post","2021","Asian","Male","Department for Education","300","300","40130","36780"
"In post","2021","Asian","Male","Department for Environment, Food and Rural Affairs","150","150","37270","33510"
"In post","2021","Asian","Male","Department for International Trade","110","110","43610","38540"
"In post","2021","Asian","Male","Department for Transport","300","300","41130","35060"
"In post","2021","Asian","Male","Department for Work and Pensions","2980","2890","28180","27570"
"In post","2021","Asian","Male","Department of Health and Social Care","390","380","44280","38930"
"In post","2021","Asian","Male","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Foreign, Commonwealth and Development Office","210","210","45050","38680"
"In post","2021","Asian","Male","HM Land Registry","90","90","31440","27130"
"In post","2021","Asian","Male","HM Revenue and Customs","2310","2230","31270","29570"
"In post","2021","Asian","Male","HM Treasury","130","130","45690","39410"
"In post","2021","Asian","Male","Home Office","1890","1820","31490","28810"
"In post","2021","Asian","Male","Ministry of Defence","780","770","34870","33020"
"In post","2021","Asian","Male","Ministry of Housing, Communities and Local Government","90","90","41450","36340"
"In post","2021","Asian","Male","Ministry of Justice","1700","1630","29530","26410"
"In post","2021","Asian","Male","National Crime Agency","100","100","37740","36740"
"In post","2021","Asian","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Office for Standards in Education","30","30","[c]","[c]"
"In post","2021","Asian","Male","Office of Gas and Electricity Markets","50","50","[c]","[c]"
"In post","2021","Asian","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Scottish Government","90","80","37230","33620"
"In post","2021","Asian","Male","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","UK Export Finance","40","40","[c]","[c]"
"In post","2021","Asian","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","United Kingdom Statistics Authority","60","50","29660","26050"
"In post","2021","Asian","Male","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Attorney General's Departments","410","380","39860","32410"
"In post","2021","Black","Female","Cabinet Office","170","170","40040","35590"
"In post","2021","Black","Female","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Department for Business, Energy and Industrial Strategy","250","250","37750","33640"
"In post","2021","Black","Female","Department for Digital, Culture, Media and Sport","60","60","39590","34020"
"In post","2021","Black","Female","Department for Education","200","200","39630","36500"
"In post","2021","Black","Female","Department for Environment, Food and Rural Affairs","130","130","34650","32560"
"In post","2021","Black","Female","Department for International Trade","80","80","37270","32230"
"In post","2021","Black","Female","Department for Transport","130","130","38010","35430"
"In post","2021","Black","Female","Department for Work and Pensions","2720","2520","29080","30330"
"In post","2021","Black","Female","Department of Health and Social Care","500","470","38000","32790"
"In post","2021","Black","Female","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Foreign, Commonwealth and Development Office","180","180","37730","34260"
"In post","2021","Black","Female","HM Land Registry","40","40","[c]","[c]"
"In post","2021","Black","Female","HM Revenue and Customs","890","840","31930","30430"
"In post","2021","Black","Female","HM Treasury","60","60","37940","32960"
"In post","2021","Black","Female","Home Office","1220","1130","32360","29080"
"In post","2021","Black","Female","Ministry of Defence","380","380","32430","30750"
"In post","2021","Black","Female","Ministry of Housing, Communities and Local Government","100","90","41010","39600"
"In post","2021","Black","Female","Ministry of Justice","2210","2110","29410","26630"
"In post","2021","Black","Female","National Crime Agency","60","60","36230","35690"
"In post","2021","Black","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Office for Standards in Education","40","40","[c]","[c]"
"In post","2021","Black","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Scottish Government","30","30","[c]","[c]"
"In post","2021","Black","Female","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","United Kingdom Statistics Authority","40","30","[c]","[c]"
"In post","2021","Black","Female","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Attorney General's Departments","150","150","41760","32520"
"In post","2021","Black","Male","Cabinet Office","90","90","45850","40600"
"In post","2021","Black","Male","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Department for Business, Energy and Industrial Strategy","150","140","39440","36880"
"In post","2021","Black","Male","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Department for Education","90","90","40400","37100"
"In post","2021","Black","Male","Department for Environment, Food and Rural Affairs","80","80","36200","32640"
"In post","2021","Black","Male","Department for International Trade","50","50","[c]","[c]"
"In post","2021","Black","Male","Department for Transport","120","110","35950","33390"
"In post","2021","Black","Male","Department for Work and Pensions","1170","1150","29530","29290"
"In post","2021","Black","Male","Department of Health and Social Care","180","170","44090","35980"
"In post","2021","Black","Male","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Foreign, Commonwealth and Development Office","80","80","40030","36020"
"In post","2021","Black","Male","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","HM Revenue and Customs","570","560","32390","30470"
"In post","2021","Black","Male","HM Treasury","40","40","[c]","[c]"
"In post","2021","Black","Male","Home Office","670","650","32890","29080"
"In post","2021","Black","Male","Ministry of Defence","370","370","33080","32050"
"In post","2021","Black","Male","Ministry of Housing, Communities and Local Government","60","60","40030","34920"
"In post","2021","Black","Male","Ministry of Justice","1390","1370","30910","30260"
"In post","2021","Black","Male","National Crime Agency","40","40","[c]","[c]"
"In post","2021","Black","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2021","Black","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Scottish Government","30","30","[c]","[c]"
"In post","2021","Black","Male","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","United Kingdom Statistics Authority","30","30","[c]","[c]"
"In post","2021","Black","Male","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Attorney General's Departments","30","30","[c]","[c]"
"In post","2021","Chinese","Female","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Department for Work and Pensions","100","90","27190","27570"
"In post","2021","Chinese","Female","Department of Health and Social Care","60","60","47360","41460"
"In post","2021","Chinese","Female","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","HM Revenue and Customs","100","90","35840","29570"
"In post","2021","Chinese","Female","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Home Office","90","80","32130","29080"
"In post","2021","Chinese","Female","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","Chinese","Female","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Ministry of Justice","80","80","31660","27360"
"In post","2021","Chinese","Female","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","Chinese","Male","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Department for Work and Pensions","60","60","31100","27570"
"In post","2021","Chinese","Male","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","HM Revenue and Customs","80","80","32320","29570"
"In post","2021","Chinese","Male","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Home Office","60","60","31320","28670"
"In post","2021","Chinese","Male","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","Chinese","Male","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Ministry of Justice","60","60","30080","26410"
"In post","2021","Chinese","Male","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Attorney General's Departments","180","170","46160","50520"
"In post","2021","Mixed","Female","Cabinet Office","110","100","43660","36890"
"In post","2021","Mixed","Female","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Department for Business, Energy and Industrial Strategy","150","140","42120","40050"
"In post","2021","Mixed","Female","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2021","Mixed","Female","Department for Education","120","120","42700","40780"
"In post","2021","Mixed","Female","Department for Environment, Food and Rural Affairs","110","100","36730","32620"
"In post","2021","Mixed","Female","Department for International Trade","50","50","44740","39680"
"In post","2021","Mixed","Female","Department for Transport","110","100","33020","30720"
"In post","2021","Mixed","Female","Department for Work and Pensions","1060","970","27930","27570"
"In post","2021","Mixed","Female","Department of Health and Social Care","230","210","39720","33640"
"In post","2021","Mixed","Female","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Foreign, Commonwealth and Development Office","150","150","44140","38600"
"In post","2021","Mixed","Female","HM Land Registry","50","40","[c]","[c]"
"In post","2021","Mixed","Female","HM Revenue and Customs","400","370","32060","29450"
"In post","2021","Mixed","Female","HM Treasury","60","60","43640","38360"
"In post","2021","Mixed","Female","Home Office","430","390","33510","28850"
"In post","2021","Mixed","Female","Ministry of Defence","280","270","33820","30750"
"In post","2021","Mixed","Female","Ministry of Housing, Communities and Local Government","50","50","41100","38880"
"In post","2021","Mixed","Female","Ministry of Justice","950","880","30570","26850"
"In post","2021","Mixed","Female","National Crime Agency","50","50","38160","36200"
"In post","2021","Mixed","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Scottish Government","70","60","40860","35680"
"In post","2021","Mixed","Female","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","United Kingdom Statistics Authority","50","50","30010","29540"
"In post","2021","Mixed","Female","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Welsh Government","40","40","[c]","[c]"
"In post","2021","Mixed","Male","Attorney General's Departments","100","90","47930","50500"
"In post","2021","Mixed","Male","Cabinet Office","90","90","51220","51100"
"In post","2021","Mixed","Male","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Department for Business, Energy and Industrial Strategy","140","140","45630","41020"
"In post","2021","Mixed","Male","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2021","Mixed","Male","Department for Education","70","70","41310","38330"
"In post","2021","Mixed","Male","Department for Environment, Food and Rural Affairs","80","80","39670","35900"
"In post","2021","Mixed","Male","Department for International Trade","50","50","[c]","[c]"
"In post","2021","Mixed","Male","Department for Transport","100","100","36490","33730"
"In post","2021","Mixed","Male","Department for Work and Pensions","580","560","29180","27570"
"In post","2021","Mixed","Male","Department of Health and Social Care","100","100","44510","40470"
"In post","2021","Mixed","Male","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Foreign, Commonwealth and Development Office","120","120","47050","44230"
"In post","2021","Mixed","Male","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","HM Revenue and Customs","360","340","35800","31810"
"In post","2021","Mixed","Male","HM Treasury","50","50","49920","52530"
"In post","2021","Mixed","Male","Home Office","300","280","33020","29010"
"In post","2021","Mixed","Male","Ministry of Defence","330","320","35760","33300"
"In post","2021","Mixed","Male","Ministry of Housing, Communities and Local Government","40","30","[c]","[c]"
"In post","2021","Mixed","Male","Ministry of Justice","640","620","31730","30210"
"In post","2021","Mixed","Male","National Crime Agency","50","50","[c]","[c]"
"In post","2021","Mixed","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Scottish Government","50","50","40640","35110"
"In post","2021","Mixed","Male","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","United Kingdom Statistics Authority","30","30","[c]","[c]"
"In post","2021","Mixed","Male","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Attorney General's Departments","80","70","48740","51830"
"In post","2021","Other ethnicity","Female","Cabinet Office","40","40","[c]","[c]"
"In post","2021","Other ethnicity","Female","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Department for Business, Energy and Industrial Strategy","50","50","[c]","[c]"
"In post","2021","Other ethnicity","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Department for Education","40","30","[c]","[c]"
"In post","2021","Other ethnicity","Female","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Department for Work and Pensions","280","250","28990","28210"
"In post","2021","Other ethnicity","Female","Department of Health and Social Care","80","70","49930","41030"
"In post","2021","Other ethnicity","Female","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Foreign, Commonwealth and Development Office","50","50","[c]","[c]"
"In post","2021","Other ethnicity","Female","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","HM Revenue and Customs","120","110","33910","29780"
"In post","2021","Other ethnicity","Female","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Home Office","110","100","32580","28920"
"In post","2021","Other ethnicity","Female","Ministry of Defence","100","90","30590","26670"
"In post","2021","Other ethnicity","Female","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Ministry of Justice","230","210","30180","26550"
"In post","2021","Other ethnicity","Female","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
