"Status","Year","Sexual_orientation","Age","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","40-49","Security","1200","1180","33440","33200"
"In post","2021","Heterosexual / straight","40-49","Unknown","27910","25870","32700","27570"
"In post","2021","Heterosexual / straight","50-59","Analysis","650","620","48130","44280"
"In post","2021","Heterosexual / straight","50-59","Commercial","1320","1290","46350","40780"
"In post","2021","Heterosexual / straight","50-59","Communications","900","860","36530","31810"
"In post","2021","Heterosexual / straight","50-59","Counter Fraud","2000","1910","36070","32030"
"In post","2021","Heterosexual / straight","50-59","Debt","660","590","25370","24120"
"In post","2021","Heterosexual / straight","50-59","Digital, Data & Technology","2040","1980","43490","39460"
"In post","2021","Heterosexual / straight","50-59","Finance","1950","1860","41100","36930"
"In post","2021","Heterosexual / straight","50-59","Grants Management","250","230","28620","26520"
"In post","2021","Heterosexual / straight","50-59","Human Resources","2140","2060","40630","36030"
"In post","2021","Heterosexual / straight","50-59","Internal Audit","240","230","48670","45960"
"In post","2021","Heterosexual / straight","50-59","Legal","2430","2280","48350","48080"
"In post","2021","Heterosexual / straight","50-59","No function","31360","29420","34730","31370"
"In post","2021","Heterosexual / straight","50-59","Project Delivery","6070","5920","44190","40580"
"In post","2021","Heterosexual / straight","50-59","Property","2190","2130","37600","33300"
"In post","2021","Heterosexual / straight","50-59","Security","2320","2290","31840","27420"
"In post","2021","Heterosexual / straight","50-59","Unknown","36640","33990","31260","27570"
"In post","2021","Heterosexual / straight","60-64","Analysis","120","100","43660","40150"
"In post","2021","Heterosexual / straight","60-64","Commercial","250","220","43280","40000"
"In post","2021","Heterosexual / straight","60-64","Communications","230","200","32440","28130"
"In post","2021","Heterosexual / straight","60-64","Counter Fraud","470","360","34800","32520"
"In post","2021","Heterosexual / straight","60-64","Debt","230","180","24700","21440"
"In post","2021","Heterosexual / straight","60-64","Digital, Data & Technology","430","380","40660","36300"
"In post","2021","Heterosexual / straight","60-64","Finance","420","370","38640","33630"
"In post","2021","Heterosexual / straight","60-64","Grants Management","70","60","26650","25190"
"In post","2021","Heterosexual / straight","60-64","Human Resources","410","350","36550","32030"
"In post","2021","Heterosexual / straight","60-64","Internal Audit","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","Legal","500","420","47780","48080"
"In post","2021","Heterosexual / straight","60-64","No function","8520","7000","31480","27130"
"In post","2021","Heterosexual / straight","60-64","Project Delivery","1440","1290","41590","38630"
"In post","2021","Heterosexual / straight","60-64","Property","700","630","35090","33300"
"In post","2021","Heterosexual / straight","60-64","Security","600","540","27210","20920"
"In post","2021","Heterosexual / straight","60-64","Unknown","10180","8370","28970","27570"
"In post","2021","Heterosexual / straight","65+","Analysis","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Commercial","60","50","39030","33900"
"In post","2021","Heterosexual / straight","65+","Communications","60","60","31320","27310"
"In post","2021","Heterosexual / straight","65+","Counter Fraud","110","80","33380","32020"
"In post","2021","Heterosexual / straight","65+","Debt","70","50","25660","24630"
"In post","2021","Heterosexual / straight","65+","Digital, Data & Technology","110","100","41070","35900"
"In post","2021","Heterosexual / straight","65+","Finance","130","110","32300","28990"
"In post","2021","Heterosexual / straight","65+","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Human Resources","90","70","34450","32810"
"In post","2021","Heterosexual / straight","65+","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Legal","140","110","48260","52490"
"In post","2021","Heterosexual / straight","65+","No function","2620","1970","30080","25400"
"In post","2021","Heterosexual / straight","65+","Project Delivery","400","340","38870","35980"
"In post","2021","Heterosexual / straight","65+","Property","240","210","32450","31140"
"In post","2021","Heterosexual / straight","65+","Security","160","140","25340","20920"
"In post","2021","Heterosexual / straight","65+","Unknown","3070","2370","28030","26120"
"In post","2021","Heterosexual / straight","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Debt","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Legal","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","No function","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Security","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Unknown","30","30","[c]","[c]"
"In post","2021","LGBO","20-29","Analysis","230","230","35600","33610"
"In post","2021","LGBO","20-29","Commercial","60","60","32250","29000"
"In post","2021","LGBO","20-29","Communications","130","130","31290","28840"
"In post","2021","LGBO","20-29","Counter Fraud","60","60","31060","27850"
"In post","2021","LGBO","20-29","Debt","60","60","21470","20140"
"In post","2021","LGBO","20-29","Digital, Data & Technology","150","150","35960","32540"
"In post","2021","LGBO","20-29","Finance","60","60","32220","30390"
"In post","2021","LGBO","20-29","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","20-29","Human Resources","130","120","33030","29360"
"In post","2021","LGBO","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","20-29","Legal","130","130","31200","27350"
"In post","2021","LGBO","20-29","No function","2510","2480","30240","28000"
"In post","2021","LGBO","20-29","Project Delivery","240","240","31950","29750"
"In post","2021","LGBO","20-29","Property","40","40","[c]","[c]"
"In post","2021","LGBO","20-29","Security","60","60","29000","26610"
"In post","2021","LGBO","20-29","Unknown","1570","1540","27690","27570"
"In post","2021","LGBO","30-39","Analysis","120","110","46550","43890"
"In post","2021","LGBO","30-39","Commercial","50","50","[c]","[c]"
"In post","2021","LGBO","30-39","Communications","120","120","37700","33120"
"In post","2021","LGBO","30-39","Counter Fraud","90","90","33680","31810"
"In post","2021","LGBO","30-39","Debt","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","30-39","Digital, Data & Technology","190","180","43260","39040"
"In post","2021","LGBO","30-39","Finance","70","60","43230","40600"
"In post","2021","LGBO","30-39","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","30-39","Human Resources","120","120","40280","36920"
"In post","2021","LGBO","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","30-39","Legal","150","150","45500","50500"
"In post","2021","LGBO","30-39","No function","2360","2320","35080","31650"
"In post","2021","LGBO","30-39","Project Delivery","300","300","42800","39200"
"In post","2021","LGBO","30-39","Property","60","60","34100","30550"
"In post","2021","LGBO","30-39","Security","90","90","32890","32260"
"In post","2021","LGBO","30-39","Unknown","1570","1530","31440","27570"
"In post","2021","LGBO","40-49","Analysis","50","50","51440","52040"
"In post","2021","LGBO","40-49","Commercial","40","40","[c]","[c]"
"In post","2021","LGBO","40-49","Communications","60","60","43400","38630"
"In post","2021","LGBO","40-49","Counter Fraud","60","60","34760","31810"
"In post","2021","LGBO","40-49","Debt","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","40-49","Digital, Data & Technology","110","110","45350","40290"
"In post","2021","LGBO","40-49","Finance","70","70","46050","44130"
"In post","2021","LGBO","40-49","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","40-49","Human Resources","100","100","46370","42110"
"In post","2021","LGBO","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","40-49","Legal","130","130","53850","54780"
"In post","2021","LGBO","40-49","No function","1520","1480","38300","31900"
"In post","2021","LGBO","40-49","Project Delivery","210","200","47020","41950"
"In post","2021","LGBO","40-49","Property","50","50","36650","33530"
"In post","2021","LGBO","40-49","Security","50","50","36160","33930"
"In post","2021","LGBO","40-49","Unknown","1330","1280","33470","27570"
"In post","2021","LGBO","50-59","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","50-59","Commercial","30","30","[c]","[c]"
"In post","2021","LGBO","50-59","Communications","60","60","35770","31810"
"In post","2021","LGBO","50-59","Counter Fraud","80","70","36360","31870"
"In post","2021","LGBO","50-59","Debt","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","50-59","Digital, Data & Technology","70","70","44000","40580"
"In post","2021","LGBO","50-59","Finance","50","40","[c]","[c]"
"In post","2021","LGBO","50-59","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","50-59","Human Resources","80","80","41620","39750"
"In post","2021","LGBO","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","50-59","Legal","130","120","54140","55610"
"In post","2021","LGBO","50-59","No function","1240","1190","35970","31650"
"In post","2021","LGBO","50-59","Project Delivery","160","160","47000","42110"
"In post","2021","LGBO","50-59","Property","50","50","40590","35930"
"In post","2021","LGBO","50-59","Security","50","50","32980","31810"
"In post","2021","LGBO","50-59","Unknown","1260","1200","32370","27570"
"In post","2021","LGBO","60-64","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","60-64","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","60-64","Debt","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","60-64","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","60-64","Legal","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","60-64","No function","240","200","32540","26780"
"In post","2021","LGBO","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","60-64","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","60-64","Security","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","60-64","Unknown","280","230","28850","27570"
"In post","2021","LGBO","65+","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","65+","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","65+","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","65+","Debt","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","65+","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","65+","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","65+","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","65+","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","65+","Legal","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","65+","No function","60","50","29390","24630"
"In post","2021","LGBO","65+","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","65+","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","65+","Security","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","65+","Unknown","90","70","27110","25890"
"In post","2021","LGBO","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","No function","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Property","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Security","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Analysis","140","130","35730","33880"
"In post","2021","Undeclared","20-29","Commercial","50","50","31080","32260"
"In post","2021","Undeclared","20-29","Communications","80","80","31690","31810"
"In post","2021","Undeclared","20-29","Counter Fraud","50","50","[c]","[c]"
"In post","2021","Undeclared","20-29","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Digital, Data & Technology","120","110","33490","31040"
"In post","2021","Undeclared","20-29","Finance","70","70","31850","30240"
"In post","2021","Undeclared","20-29","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Human Resources","50","40","[c]","[c]"
"In post","2021","Undeclared","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Legal","270","270","26310","22820"
"In post","2021","Undeclared","20-29","No function","1770","1730","30830","28870"
"In post","2021","Undeclared","20-29","Project Delivery","230","230","31760","30850"
"In post","2021","Undeclared","20-29","Property","40","30","[c]","[c]"
"In post","2021","Undeclared","20-29","Security","60","60","31060","28890"
"In post","2021","Undeclared","20-29","Unknown","1000","980","28450","27570"
"In post","2021","Undeclared","30-39","Analysis","150","140","45350","42480"
"In post","2021","Undeclared","30-39","Commercial","100","90","36680","38280"
"In post","2021","Undeclared","30-39","Communications","130","130","35370","31810"
"In post","2021","Undeclared","30-39","Counter Fraud","120","120","33230","31810"
"In post","2021","Undeclared","30-39","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Digital, Data & Technology","250","240","43220","40420"
"In post","2021","Undeclared","30-39","Finance","120","120","42990","40580"
"In post","2021","Undeclared","30-39","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Human Resources","110","110","34900","30790"
"In post","2021","Undeclared","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Legal","500","460","33700","29350"
"In post","2021","Undeclared","30-39","No function","2910","2760","33850","31220"
"In post","2021","Undeclared","30-39","Project Delivery","430","420","41640","39860"
"In post","2021","Undeclared","30-39","Property","100","90","33400","32100"
"In post","2021","Undeclared","30-39","Security","140","140","36240","37480"
"In post","2021","Undeclared","30-39","Unknown","2050","1930","32510","27570"
"In post","2021","Undeclared","40-49","Analysis","100","90","51640","49850"
"In post","2021","Undeclared","40-49","Commercial","140","140","41060","35300"
"In post","2021","Undeclared","40-49","Communications","100","100","35610","31810"
"In post","2021","Undeclared","40-49","Counter Fraud","240","230","35380","31810"
"In post","2021","Undeclared","40-49","Debt","80","70","23210","21440"
"In post","2021","Undeclared","40-49","Digital, Data & Technology","350","340","42520","39120"
"In post","2021","Undeclared","40-49","Finance","230","210","41670","37580"
"In post","2021","Undeclared","40-49","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","40-49","Human Resources","190","180","36920","33300"
"In post","2021","Undeclared","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","40-49","Legal","550","500","39210","30540"
"In post","2021","Undeclared","40-49","No function","3670","3440","34250","31370"
"In post","2021","Undeclared","40-49","Project Delivery","680","660","42960","40580"
"In post","2021","Undeclared","40-49","Property","190","180","36020","33300"
"In post","2021","Undeclared","40-49","Security","230","230","35410","39070"
"In post","2021","Undeclared","40-49","Unknown","3520","3260","32260","27570"
"In post","2021","Undeclared","50-59","Analysis","80","80","48340","42480"
"In post","2021","Undeclared","50-59","Commercial","210","210","43790","39580"
"In post","2021","Undeclared","50-59","Communications","140","130","34370","30980"
"In post","2021","Undeclared","50-59","Counter Fraud","400","380","36620","32520"
"In post","2021","Undeclared","50-59","Debt","120","110","25020","21440"
"In post","2021","Undeclared","50-59","Digital, Data & Technology","410","400","40640","38450"
"In post","2021","Undeclared","50-59","Finance","340","320","38990","34980"
"In post","2021","Undeclared","50-59","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","50-59","Human Resources","250","240","37410","33300"
"In post","2021","Undeclared","50-59","Internal Audit","50","50","[c]","[c]"
"In post","2021","Undeclared","50-59","Legal","760","690","36000","29350"
"In post","2021","Undeclared","50-59","No function","5320","4940","33750","30200"
"In post","2021","Undeclared","50-59","Project Delivery","1170","1140","42230","39030"
"In post","2021","Undeclared","50-59","Property","380","360","38870","35100"
"In post","2021","Undeclared","50-59","Security","380","380","35850","39070"
"In post","2021","Undeclared","50-59","Unknown","5980","5550","30640","27570"
"In post","2021","Undeclared","60-64","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","60-64","Commercial","60","50","39380","33300"
"In post","2021","Undeclared","60-64","Communications","30","30","[c]","[c]"
"In post","2021","Undeclared","60-64","Counter Fraud","110","80","36000","31870"
"In post","2021","Undeclared","60-64","Debt","50","40","24670","21440"
"In post","2021","Undeclared","60-64","Digital, Data & Technology","80","70","40380","39450"
"In post","2021","Undeclared","60-64","Finance","90","80","35560","31280"
"In post","2021","Undeclared","60-64","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","60-64","Human Resources","60","50","33180","31780"
"In post","2021","Undeclared","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","60-64","Legal","230","190","31110","22820"
"In post","2021","Undeclared","60-64","No function","1660","1290","30770","26780"
"In post","2021","Undeclared","60-64","Project Delivery","320","280","39800","37960"
"In post","2021","Undeclared","60-64","Property","120","110","36090","33300"
"In post","2021","Undeclared","60-64","Security","100","90","31710","33150"
"In post","2021","Undeclared","60-64","Unknown","1790","1460","28990","27570"
"In post","2021","Undeclared","65+","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Legal","70","50","31570","22820"
"In post","2021","Undeclared","65+","No function","550","380","30830","26780"
"In post","2021","Undeclared","65+","Project Delivery","90","70","38050","35000"
"In post","2021","Undeclared","65+","Property","40","40","[c]","[c]"
"In post","2021","Undeclared","65+","Security","30","30","[c]","[c]"
"In post","2021","Undeclared","65+","Unknown","550","420","29030","26930"
"In post","2021","Undeclared","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Debt","40","30","[c]","[c]"
"In post","2021","Unknown","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","No function","220","210","20650","20140"
"In post","2021","Unknown","16-19","Project Delivery","60","60","17480","16780"
"In post","2021","Unknown","16-19","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Unknown","110","110","20680","21150"
"In post","2021","Unknown","20-29","Analysis","560","550","34350","32320"
"In post","2021","Unknown","20-29","Commercial","250","240","37570","33930"
"In post","2021","Unknown","20-29","Communications","860","850","29080","25560"
"In post","2021","Unknown","20-29","Counter Fraud","430","430","28420","25560"
"In post","2021","Unknown","20-29","Debt","630","620","21010","20140"
"In post","2021","Unknown","20-29","Digital, Data & Technology","770","770","32220","31580"
"In post","2021","Unknown","20-29","Finance","380","370","30540","28970"
"In post","2021","Unknown","20-29","Grants Management","180","180","22160","21050"
"In post","2021","Unknown","20-29","Human Resources","280","280","28920","27270"
"In post","2021","Unknown","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","20-29","Legal","270","270","29700","26970"
"In post","2021","Unknown","20-29","No function","11090","10920","27670","25980"
"In post","2021","Unknown","20-29","Project Delivery","820","810","32200","31580"
"In post","2021","Unknown","20-29","Property","370","360","26250","25140"
"In post","2021","Unknown","20-29","Security","390","380","26510","25680"
"In post","2021","Unknown","20-29","Unknown","3690","3620","28200","27570"
"In post","2021","Unknown","30-39","Analysis","460","450","42040","38010"
"In post","2021","Unknown","30-39","Commercial","450","440","52750","49700"
"In post","2021","Unknown","30-39","Communications","790","770","34200","31810"
"In post","2021","Unknown","30-39","Counter Fraud","560","540","30920","29570"
"In post","2021","Unknown","30-39","Debt","400","370","21480","20140"
"In post","2021","Unknown","30-39","Digital, Data & Technology","1050","1030","40630","38590"
"In post","2021","Unknown","30-39","Finance","370","350","38700","35300"
