"Status","Year","Ethnicity","Sexual_orientation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Other ethnicity","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Declared non-disabled","170","150","33850","29290"
"In post","2021","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Unknown","70","70","42750","37750"
"In post","2021","Undeclared","Heterosexual / straight","Declared disabled","380","350","30750","27690"
"In post","2021","Undeclared","Heterosexual / straight","Declared non-disabled","1930","1820","32950","28850"
"In post","2021","Undeclared","Heterosexual / straight","Undeclared","350","340","33030","29370"
"In post","2021","Undeclared","Heterosexual / straight","Unknown","220","210","36700","33650"
"In post","2021","Undeclared","LGBO","Declared disabled","70","70","30820","27570"
"In post","2021","Undeclared","LGBO","Declared non-disabled","110","110","34190","31060"
"In post","2021","Undeclared","LGBO","Undeclared","90","80","34200","28890"
"In post","2021","Undeclared","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Undeclared","Declared disabled","1340","1230","32370","28200"
"In post","2021","Undeclared","Undeclared","Declared non-disabled","4580","4290","34870","30980"
"In post","2021","Undeclared","Undeclared","Undeclared","6460","6130","36020","32140"
"In post","2021","Undeclared","Undeclared","Unknown","850","820","39120","36460"
"In post","2021","Undeclared","Unknown","Declared disabled","250","220","29150","27570"
"In post","2021","Undeclared","Unknown","Declared non-disabled","2320","2010","29890","27570"
"In post","2021","Undeclared","Unknown","Undeclared","480","440","36610","32100"
"In post","2021","Undeclared","Unknown","Unknown","1100","1030","37680","33650"
"In post","2021","Unknown","Heterosexual / straight","Declared disabled","280","240","30340","26810"
"In post","2021","Unknown","Heterosexual / straight","Declared non-disabled","2070","1920","33420","28590"
"In post","2021","Unknown","Heterosexual / straight","Undeclared","160","140","33090","30630"
"In post","2021","Unknown","Heterosexual / straight","Unknown","750","700","34720","29770"
"In post","2021","Unknown","LGBO","Declared disabled","30","30","[c]","[c]"
"In post","2021","Unknown","LGBO","Declared non-disabled","100","90","39800","31220"
"In post","2021","Unknown","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Unknown","80","80","35730","31300"
"In post","2021","Unknown","Undeclared","Declared disabled","100","90","32210","29350"
"In post","2021","Unknown","Undeclared","Declared non-disabled","420","390","34160","30470"
"In post","2021","Unknown","Undeclared","Undeclared","610","570","32450","29200"
"In post","2021","Unknown","Undeclared","Unknown","1930","1750","29150","26550"
"In post","2021","Unknown","Unknown","Declared disabled","850","770","31930","28970"
"In post","2021","Unknown","Unknown","Declared non-disabled","7000","6390","32010","27570"
"In post","2021","Unknown","Unknown","Undeclared","1240","1170","37610","34710"
"In post","2021","Unknown","Unknown","Unknown","51440","49370","32800","28000"
"In post","2021","White","Heterosexual / straight","Declared disabled","31760","29000","31540","27570"
"In post","2021","White","Heterosexual / straight","Declared non-disabled","208040","194690","34510","29360"
"In post","2021","White","Heterosexual / straight","Undeclared","9710","9070","32340","28920"
"In post","2021","White","Heterosexual / straight","Unknown","15530","14740","36120","33300"
"In post","2021","White","LGBO","Declared disabled","3510","3370","32670","28200"
"In post","2021","White","LGBO","Declared non-disabled","11210","10930","34970","30180"
"In post","2021","White","LGBO","Undeclared","790","770","32570","29290"
"In post","2021","White","LGBO","Unknown","950","930","35100","31810"
"In post","2021","White","Undeclared","Declared disabled","3410","3040","30680","27570"
"In post","2021","White","Undeclared","Declared non-disabled","15890","14480","33440","28000"
"In post","2021","White","Undeclared","Undeclared","3390","3150","33400","30800"
"In post","2021","White","Undeclared","Unknown","1270","1190","36610","33300"
"In post","2021","White","Unknown","Declared disabled","2390","2070","29390","27570"
"In post","2021","White","Unknown","Declared non-disabled","23290","20420","31950","27570"
"In post","2021","White","Unknown","Undeclared","2810","2500","31000","31650"
"In post","2021","White","Unknown","Unknown","6470","5890","35850","30720"
"In post","2022","Asian","Heterosexual / straight","Declared disabled","2630","2430","32810","29370"
"In post","2022","Asian","Heterosexual / straight","Declared non-disabled","22500","21280","33570","29610"
"In post","2022","Asian","Heterosexual / straight","Undeclared","1020","960","33350","30140"
"In post","2022","Asian","Heterosexual / straight","Unknown","1800","1740","36830","32970"
"In post","2022","Asian","LGBO","Declared disabled","110","100","34590","31060"
"In post","2022","Asian","LGBO","Declared non-disabled","510","480","34200","29970"
"In post","2022","Asian","LGBO","Undeclared","40","40","[c]","[c]"
"In post","2022","Asian","LGBO","Unknown","60","60","37290","33080"
"In post","2022","Asian","Undeclared","Declared disabled","200","180","30360","27570"
"In post","2022","Asian","Undeclared","Declared non-disabled","1350","1220","31290","28310"
"In post","2022","Asian","Undeclared","Undeclared","200","190","34820","31060"
"In post","2022","Asian","Undeclared","Unknown","110","110","40100","36500"
"In post","2022","Asian","Unknown","Declared disabled","190","160","28890","27570"
"In post","2022","Asian","Unknown","Declared non-disabled","1960","1710","31150","27570"
"In post","2022","Asian","Unknown","Undeclared","110","90","30050","27570"
"In post","2022","Asian","Unknown","Unknown","870","820","37180","33080"
"In post","2022","Black","Heterosexual / straight","Declared disabled","1740","1650","32870","31020"
"In post","2022","Black","Heterosexual / straight","Declared non-disabled","11530","11150","33280","31060"
"In post","2022","Black","Heterosexual / straight","Undeclared","510","490","33450","31060"
"In post","2022","Black","Heterosexual / straight","Unknown","750","730","37130","33400"
"In post","2022","Black","LGBO","Declared disabled","90","90","36160","31060"
"In post","2022","Black","LGBO","Declared non-disabled","220","220","33570","30750"
"In post","2022","Black","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Undeclared","Declared disabled","140","130","32350","30690"
"In post","2022","Black","Undeclared","Declared non-disabled","520","490","32330","30330"
"In post","2022","Black","Undeclared","Undeclared","100","100","33590","31180"
"In post","2022","Black","Undeclared","Unknown","50","50","[c]","[c]"
"In post","2022","Black","Unknown","Declared disabled","90","80","31740","30430"
"In post","2022","Black","Unknown","Declared non-disabled","870","790","31800","30750"
"In post","2022","Black","Unknown","Undeclared","140","120","31280","31650"
"In post","2022","Black","Unknown","Unknown","300","290","36730","32090"
"In post","2022","Mixed","Heterosexual / straight","Declared disabled","980","920","34110","30710"
"In post","2022","Mixed","Heterosexual / straight","Declared non-disabled","5400","5170","35850","31060"
"In post","2022","Mixed","Heterosexual / straight","Undeclared","260","250","35860","31220"
"In post","2022","Mixed","Heterosexual / straight","Unknown","490","470","38410","34170"
"In post","2022","Mixed","LGBO","Declared disabled","210","210","34440","31060"
"In post","2022","Mixed","LGBO","Declared non-disabled","490","480","36150","31650"
"In post","2022","Mixed","LGBO","Undeclared","50","50","35050","31820"
"In post","2022","Mixed","LGBO","Unknown","60","60","40140","37750"
"In post","2022","Mixed","Undeclared","Declared disabled","140","130","32480","29370"
"In post","2022","Mixed","Undeclared","Declared non-disabled","380","360","36430","31060"
"In post","2022","Mixed","Undeclared","Undeclared","90","90","33980","31060"
"In post","2022","Mixed","Undeclared","Unknown","40","40","[c]","[c]"
"In post","2022","Mixed","Unknown","Declared disabled","60","50","33860","30220"
"In post","2022","Mixed","Unknown","Declared non-disabled","340","310","35020","29450"
"In post","2022","Mixed","Unknown","Undeclared","30","30","[c]","[c]"
"In post","2022","Mixed","Unknown","Unknown","150","140","38740","33370"
"In post","2022","Other ethnicity","Heterosexual / straight","Declared disabled","250","230","35190","31650"
"In post","2022","Other ethnicity","Heterosexual / straight","Declared non-disabled","1490","1420","35980","31060"
"In post","2022","Other ethnicity","Heterosexual / straight","Undeclared","60","60","33340","29970"
"In post","2022","Other ethnicity","Heterosexual / straight","Unknown","130","120","37860","32790"
"In post","2022","Other ethnicity","LGBO","Declared disabled","70","60","38210","32790"
"In post","2022","Other ethnicity","LGBO","Declared non-disabled","120","110","39590","33390"
"In post","2022","Other ethnicity","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Undeclared","Declared disabled","40","40","[c]","[c]"
"In post","2022","Other ethnicity","Undeclared","Declared non-disabled","160","150","39940","33400"
"In post","2022","Other ethnicity","Undeclared","Undeclared","40","40","[c]","[c]"
"In post","2022","Other ethnicity","Undeclared","Unknown","30","30","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Declared non-disabled","140","120","34360","30680"
"In post","2022","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Unknown","70","60","45240","38180"
"In post","2022","Undeclared","Heterosexual / straight","Declared disabled","410","380","31760","28310"
"In post","2022","Undeclared","Heterosexual / straight","Declared non-disabled","2050","1930","33600","29440"
"In post","2022","Undeclared","Heterosexual / straight","Undeclared","390","370","33850","29940"
"In post","2022","Undeclared","Heterosexual / straight","Unknown","220","200","37080","35000"
"In post","2022","Undeclared","LGBO","Declared disabled","80","80","31520","28240"
"In post","2022","Undeclared","LGBO","Declared non-disabled","130","120","35240","31650"
"In post","2022","Undeclared","LGBO","Undeclared","80","70","34710","30940"
"In post","2022","Undeclared","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Declared disabled","1360","1250","33070","28920"
"In post","2022","Undeclared","Undeclared","Declared non-disabled","4610","4320","35790","31650"
"In post","2022","Undeclared","Undeclared","Undeclared","6240","5920","36840","33350"
"In post","2022","Undeclared","Undeclared","Unknown","860","820","40180","36330"
"In post","2022","Undeclared","Unknown","Declared disabled","250","220","30020","27570"
"In post","2022","Undeclared","Unknown","Declared non-disabled","2260","1970","31710","27570"
"In post","2022","Undeclared","Unknown","Undeclared","360","330","35090","31040"
"In post","2022","Undeclared","Unknown","Unknown","900","830","38830","35000"
"In post","2022","Unknown","Heterosexual / straight","Declared disabled","300","270","33020","28920"
"In post","2022","Unknown","Heterosexual / straight","Declared non-disabled","2070","1930","34690","30450"
"In post","2022","Unknown","Heterosexual / straight","Undeclared","150","140","33280","30400"
"In post","2022","Unknown","Heterosexual / straight","Unknown","840","790","34910","30450"
"In post","2022","Unknown","LGBO","Declared disabled","40","30","[c]","[c]"
"In post","2022","Unknown","LGBO","Declared non-disabled","110","100","39420","31900"
"In post","2022","Unknown","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","LGBO","Unknown","90","90","34220","31310"
"In post","2022","Unknown","Undeclared","Declared disabled","100","90","36560","32900"
"In post","2022","Unknown","Undeclared","Declared non-disabled","500","460","36610","33430"
"In post","2022","Unknown","Undeclared","Undeclared","470","440","34080","30450"
"In post","2022","Unknown","Undeclared","Unknown","1520","1470","45270","40650"
"In post","2022","Unknown","Unknown","Declared disabled","850","770","32350","28760"
"In post","2022","Unknown","Unknown","Declared non-disabled","6490","5970","31590","27570"
"In post","2022","Unknown","Unknown","Undeclared","470","430","32240","31650"
"In post","2022","Unknown","Unknown","Unknown","58480","56000","33360","28500"
"In post","2022","White","Heterosexual / straight","Declared disabled","34350","31430","32290","27570"
"In post","2022","White","Heterosexual / straight","Declared non-disabled","219590","206050","35200","30470"
"In post","2022","White","Heterosexual / straight","Undeclared","10190","9520","32910","29290"
"In post","2022","White","Heterosexual / straight","Unknown","17170","16340","37540","34430"
"In post","2022","White","LGBO","Declared disabled","4290","4120","33100","28920"
"In post","2022","White","LGBO","Declared non-disabled","12960","12650","35410","30760"
"In post","2022","White","LGBO","Undeclared","920","890","33370","29950"
"In post","2022","White","LGBO","Unknown","1240","1220","36030","32770"
"In post","2022","White","Undeclared","Declared disabled","3560","3200","31380","27570"
"In post","2022","White","Undeclared","Declared non-disabled","15710","14400","34070","29080"
"In post","2022","White","Undeclared","Undeclared","3380","3150","33910","31530"
"In post","2022","White","Undeclared","Unknown","1330","1260","38840","35000"
"In post","2022","White","Unknown","Declared disabled","2060","1790","29950","27570"
"In post","2022","White","Unknown","Declared non-disabled","20260","17870","33190","27570"
"In post","2022","White","Unknown","Undeclared","2120","1870","30820","31650"
"In post","2022","White","Unknown","Unknown","5700","5210","36210","31910"
"Leaver CS","2021","Asian","Heterosexual / straight","Declared disabled","70","60","31570","27570"
"Leaver CS","2021","Asian","Heterosexual / straight","Declared non-disabled","610","570","30110","26880"
"Leaver CS","2021","Asian","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Unknown","50","50","32180","27460"
"Leaver CS","2021","Asian","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Declared non-disabled","50","40","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Declared non-disabled","230","190","29570","24500"
"Leaver CS","2021","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Unknown","60","50","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Declared disabled","50","40","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Declared non-disabled","360","350","31370","27140"
"Leaver CS","2021","Black","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Declared non-disabled","70","60","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Declared non-disabled","200","190","30490","26970"
"Leaver CS","2021","Mixed","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Declared non-disabled","40","30","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Declared non-disabled","70","60","36600","29940"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Heterosexual / straight","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Heterosexual / straight","Declared non-disabled","60","50","32590","27570"
"Leaver CS","2021","Undeclared","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","Declared disabled","70","60","31230","28400"
"Leaver CS","2021","Undeclared","Undeclared","Declared non-disabled","180","160","35900","32330"
"Leaver CS","2021","Undeclared","Undeclared","Undeclared","230","200","35150","32690"
"Leaver CS","2021","Undeclared","Undeclared","Unknown","40","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Declared disabled","60","50","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Declared non-disabled","160","120","29770","26890"
"Leaver CS","2021","Undeclared","Unknown","Undeclared","240","210","33180","34530"
"Leaver CS","2021","Undeclared","Unknown","Unknown","260","230","27430","19130"
"Leaver CS","2021","Unknown","Heterosexual / straight","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Heterosexual / straight","Declared non-disabled","150","130","36750","27570"
"Leaver CS","2021","Unknown","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Heterosexual / straight","Unknown","40","30","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Declared non-disabled","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Undeclared","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Unknown","110","100","28250","22820"
"Leaver CS","2021","Unknown","Unknown","Declared disabled","80","70","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Declared non-disabled","450","380","36030","27570"
"Leaver CS","2021","Unknown","Unknown","Undeclared","120","110","37780","33610"
"Leaver CS","2021","Unknown","Unknown","Unknown","5500","5020","31760","27570"
"Leaver CS","2021","White","Heterosexual / straight","Declared disabled","1490","1290","29580","26660"
"Leaver CS","2021","White","Heterosexual / straight","Declared non-disabled","7970","7120","33450","27570"
"Leaver CS","2021","White","Heterosexual / straight","Undeclared","460","400","31570","27570"
"Leaver CS","2021","White","Heterosexual / straight","Unknown","610","570","35820","32120"
"Leaver CS","2021","White","LGBO","Declared disabled","170","160","30490","27130"
"Leaver CS","2021","White","LGBO","Declared non-disabled","430","410","33960","27570"
"Leaver CS","2021","White","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","LGBO","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","White","Undeclared","Declared disabled","190","160","29820","26890"
"Leaver CS","2021","White","Undeclared","Declared non-disabled","750","630","33570","27240"
"Leaver CS","2021","White","Undeclared","Undeclared","150","130","31300","27570"
