"Status","Year","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Medicine","Declared disabled","120","110","56050","41640"
"In post","2021","Medicine","Declared non-disabled","1560","1400","54190","40850"
"In post","2021","Medicine","Undeclared","130","110","62810","51390"
"In post","2021","Medicine","Unknown","700","630","59780","43610"
"In post","2021","Operational Delivery","Declared disabled","17340","15730","28020","25620"
"In post","2021","Operational Delivery","Declared non-disabled","113090","104010","29010","26200"
"In post","2021","Operational Delivery","Undeclared","12750","11640","29620","28130"
"In post","2021","Operational Delivery","Unknown","32930","30630","27510","24880"
"In post","2021","Operational Research","Declared disabled","140","130","42190","38630"
"In post","2021","Operational Research","Declared non-disabled","790","760","44790","45130"
"In post","2021","Operational Research","Undeclared","100","100","45340","46080"
"In post","2021","Operational Research","Unknown","170","160","42640","38630"
"In post","2021","Other","Declared disabled","1900","1790","28430","25560"
"In post","2021","Other","Declared non-disabled","14080","13500","31520","26670"
"In post","2021","Other","Undeclared","1350","1290","29960","26670"
"In post","2021","Other","Unknown","5340","5180","34450","31320"
"In post","2021","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Declared non-disabled","160","150","47210","41000"
"In post","2021","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Declared non-disabled","250","220","58270","58810"
"In post","2021","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Unknown","60","60","56520","58810"
"In post","2021","Policy","Declared disabled","2460","2390","44940","40050"
"In post","2021","Policy","Declared non-disabled","19710","19130","48170","45250"
"In post","2021","Policy","Undeclared","1650","1620","46010","42100"
"In post","2021","Policy","Unknown","5270","5160","46040","40650"
"In post","2021","Project Delivery","Declared disabled","1470","1420","40430","38290"
"In post","2021","Project Delivery","Declared non-disabled","11460","11120","42740","39450"
"In post","2021","Project Delivery","Undeclared","930","910","42020","40000"
"In post","2021","Project Delivery","Unknown","2150","2090","42450","38630"
"In post","2021","Property","Declared disabled","570","540","35270","33300"
"In post","2021","Property","Declared non-disabled","4820","4620","37220","33300"
"In post","2021","Property","Undeclared","540","510","37040","33300"
"In post","2021","Property","Unknown","1040","1000","32620","30000"
"In post","2021","Psychology","Declared disabled","120","110","33040","29930"
"In post","2021","Psychology","Declared non-disabled","1010","970","35980","31180"
"In post","2021","Psychology","Undeclared","140","130","37360","31180"
"In post","2021","Psychology","Unknown","150","140","34220","30930"
"In post","2021","Science and Engineering","Declared disabled","1120","1080","36770","35080"
"In post","2021","Science and Engineering","Declared non-disabled","9570","9190","38710","37320"
"In post","2021","Science and Engineering","Undeclared","1050","1010","39050","37380"
"In post","2021","Science and Engineering","Unknown","2340","2240","39790","37480"
"In post","2021","Security","Declared disabled","600","580","31900","28750"
"In post","2021","Security","Declared non-disabled","5230","5120","31180","26750"
"In post","2021","Security","Undeclared","680","670","34410","34890"
"In post","2021","Security","Unknown","1800","1770","31160","28750"
"In post","2021","Social Research","Declared disabled","110","100","41770","38900"
"In post","2021","Social Research","Declared non-disabled","740","700","45100","43870"
"In post","2021","Social Research","Undeclared","40","40","[c]","[c]"
"In post","2021","Social Research","Unknown","270","260","36190","36030"
"In post","2021","Statistics","Declared disabled","180","170","43030","38750"
"In post","2021","Statistics","Declared non-disabled","1350","1300","44390","40680"
"In post","2021","Statistics","Undeclared","90","90","43030","41760"
"In post","2021","Statistics","Unknown","420","410","39740","37020"
"In post","2021","Tax","Declared disabled","1360","1260","35230","31810"
"In post","2021","Tax","Declared non-disabled","9750","9180","35690","31810"
"In post","2021","Tax","Undeclared","860","810","38080","32520"
"In post","2021","Tax","Unknown","5820","5550","28270","25560"
"In post","2021","Unknown","Declared disabled","17490","15530","28590","27570"
"In post","2021","Unknown","Declared non-disabled","84410","76660","30390","27570"
"In post","2021","Unknown","Undeclared","4860","4540","29520","27570"
"In post","2021","Unknown","Unknown","13880","13420","37380","30650"
"In post","2021","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Declared non-disabled","340","320","46140","45430"
"In post","2021","Veterinarian","Undeclared","50","50","46130","37910"
"In post","2021","Veterinarian","Unknown","40","30","[c]","[c]"
"In post","2022","Commercial","Declared disabled","590","570","38240","36510"
"In post","2022","Commercial","Declared non-disabled","4000","3850","40150","37380"
"In post","2022","Commercial","Undeclared","340","330","42180","40000"
"In post","2022","Commercial","Unknown","1270","1230","39290","36820"
"In post","2022","Communications","Declared disabled","320","310","38830","35480"
"In post","2022","Communications","Declared non-disabled","2630","2530","42750","39580"
"In post","2022","Communications","Undeclared","160","160","40820","38370"
"In post","2022","Communications","Unknown","1060","1040","42930","38870"
"In post","2022","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Declared non-disabled","120","120","49230","45830"
"In post","2022","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Declared disabled","990","880","28350","27570"
"In post","2022","Counter Fraud","Declared non-disabled","4940","4450","29090","27570"
"In post","2022","Counter Fraud","Undeclared","330","310","29760","27570"
"In post","2022","Counter Fraud","Unknown","320","300","33410","27570"
"In post","2022","Digital, Data and Technology","Declared disabled","1740","1670","40060","36500"
"In post","2022","Digital, Data and Technology","Declared non-disabled","13000","12640","42430","39040"
"In post","2022","Digital, Data and Technology","Undeclared","1090","1070","41220","38410"
"In post","2022","Digital, Data and Technology","Unknown","4170","4110","42200","38480"
"In post","2022","Economics","Declared disabled","120","110","46830","40050"
"In post","2022","Economics","Declared non-disabled","1400","1360","49100","51140"
"In post","2022","Economics","Undeclared","100","90","45980","40350"
"In post","2022","Economics","Unknown","480","470","43390","36650"
"In post","2022","Finance","Declared disabled","1120","1060","38440","33900"
"In post","2022","Finance","Declared non-disabled","8590","8250","40950","36650"
"In post","2022","Finance","Undeclared","670","640","40170","36050"
"In post","2022","Finance","Unknown","1950","1890","39520","36500"
"In post","2022","Geography","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Declared non-disabled","300","280","31810","33290"
"In post","2022","Geography","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Unknown","140","130","30470","29290"
"In post","2022","Human Resources","Declared disabled","1260","1200","39840","35310"
"In post","2022","Human Resources","Declared non-disabled","6430","6100","39410","35200"
"In post","2022","Human Resources","Undeclared","490","470","38050","34960"
"In post","2022","Human Resources","Unknown","1420","1370","36340","32600"
"In post","2022","Inspector of Education and Training","Declared disabled","70","70","63630","64500"
"In post","2022","Inspector of Education and Training","Declared non-disabled","800","780","66350","70500"
"In post","2022","Inspector of Education and Training","Unknown","70","60","59760","51360"
"In post","2022","Intelligence Analysis","Declared disabled","300","280","33310","30820"
"In post","2022","Intelligence Analysis","Declared non-disabled","2310","2210","33640","30810"
"In post","2022","Intelligence Analysis","Undeclared","280","260","34580","32000"
"In post","2022","Intelligence Analysis","Unknown","360","350","35360","33000"
"In post","2022","Internal Audit","Declared disabled","90","90","44680","40580"
"In post","2022","Internal Audit","Declared non-disabled","580","550","46050","43300"
"In post","2022","Internal Audit","Undeclared","60","50","51670","49750"
"In post","2022","Internal Audit","Unknown","50","40","[c]","[c]"
"In post","2022","International Trade","Declared disabled","130","130","47380","43820"
"In post","2022","International Trade","Declared non-disabled","870","860","48050","47980"
"In post","2022","International Trade","Undeclared","50","40","[c]","[c]"
"In post","2022","International Trade","Unknown","590","580","46040","40520"
"In post","2022","Knowledge and Information Management","Declared disabled","300","290","35030","32520"
"In post","2022","Knowledge and Information Management","Declared non-disabled","1660","1590","35420","32640"
"In post","2022","Knowledge and Information Management","Undeclared","150","150","35910","31990"
"In post","2022","Knowledge and Information Management","Unknown","260","250","36740","33210"
"In post","2022","Legal","Declared disabled","1050","970","49230","50500"
"In post","2022","Legal","Declared non-disabled","8560","7990","50140","51250"
"In post","2022","Legal","Undeclared","550","520","46870","43240"
"In post","2022","Legal","Unknown","2520","2400","44870","40910"
"In post","2022","Medicine","Declared disabled","120","110","57240","45840"
"In post","2022","Medicine","Declared non-disabled","1540","1370","53610","41900"
"In post","2022","Medicine","Undeclared","100","90","51920","39780"
"In post","2022","Medicine","Unknown","750","670","60320","46440"
"In post","2022","Operational Delivery","Declared disabled","31330","28080","27900","27570"
"In post","2022","Operational Delivery","Declared non-disabled","167780","153380","28760","27380"
"In post","2022","Operational Delivery","Undeclared","14910","13610","29290","27570"
"In post","2022","Operational Delivery","Unknown","40980","38320","28880","26350"
"In post","2022","Operational Research","Declared disabled","90","80","43730","41750"
"In post","2022","Operational Research","Declared non-disabled","880","850","45490","47010"
"In post","2022","Operational Research","Undeclared","40","40","[c]","[c]"
"In post","2022","Operational Research","Unknown","120","120","41610","37260"
"In post","2022","Other","Declared disabled","3330","3080","28410","26930"
"In post","2022","Other","Declared non-disabled","19660","18590","30410","26950"
"In post","2022","Other","Undeclared","1670","1590","28450","26670"
"In post","2022","Other","Unknown","5720","5550","34290","31060"
"In post","2022","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Planning","Declared non-disabled","170","170","45980","41560"
"In post","2022","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectors","Declared non-disabled","270","240","56300","58810"
"In post","2022","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectors","Unknown","70","60","56070","58810"
"In post","2022","Policy","Declared disabled","3090","2990","45120","40220"
"In post","2022","Policy","Declared non-disabled","22410","21720","48130","45310"
"In post","2022","Policy","Undeclared","1700","1660","46660","42470"
"In post","2022","Policy","Unknown","5760","5640","45590","41750"
"In post","2022","Project Delivery","Declared disabled","1510","1430","40880","38600"
"In post","2022","Project Delivery","Declared non-disabled","11480","11020","43710","40520"
"In post","2022","Project Delivery","Undeclared","770","740","43610","40580"
"In post","2022","Project Delivery","Unknown","2130","2070","44010","40520"
"In post","2022","Property","Declared disabled","600","570","37210","33300"
"In post","2022","Property","Declared non-disabled","5230","5000","38840","34110"
"In post","2022","Property","Undeclared","540","510","38590","34490"
"In post","2022","Property","Unknown","1230","1190","34580","31090"
"In post","2022","Psychology","Declared disabled","120","120","32490","29750"
"In post","2022","Psychology","Declared non-disabled","1120","1070","36390","31180"
"In post","2022","Psychology","Undeclared","130","120","37050","31180"
"In post","2022","Psychology","Unknown","160","150","32780","29750"
"In post","2022","Science and Engineering","Declared disabled","1020","970","36780","34310"
"In post","2022","Science and Engineering","Declared non-disabled","10460","10090","39180","38070"
"In post","2022","Science and Engineering","Undeclared","660","640","38050","35910"
"In post","2022","Science and Engineering","Unknown","1810","1730","41250","40200"
"In post","2022","Security","Declared disabled","700","680","32630","30320"
"In post","2022","Security","Declared non-disabled","5920","5790","32270","28990"
"In post","2022","Security","Undeclared","780","760","34560","34910"
"In post","2022","Security","Unknown","1880","1850","31980","28890"
"In post","2022","Social Research","Declared disabled","130","120","40780","38340"
"In post","2022","Social Research","Declared non-disabled","830","790","44270","40520"
"In post","2022","Social Research","Undeclared","40","40","[c]","[c]"
"In post","2022","Social Research","Unknown","330","320","38480","38340"
"In post","2022","Statistics","Declared disabled","240","230","42440","38340"
"In post","2022","Statistics","Declared non-disabled","1610","1550","45000","40680"
"In post","2022","Statistics","Undeclared","70","70","44650","42430"
"In post","2022","Statistics","Unknown","470","460","39970","38250"
"In post","2022","Tax","Declared disabled","1570","1460","36520","33370"
"In post","2022","Tax","Declared non-disabled","11590","11020","36710","33370"
"In post","2022","Tax","Undeclared","930","880","39660","33440"
"In post","2022","Tax","Unknown","5520","5260","30860","26820"
"In post","2022","Unknown","Declared disabled","2580","2490","39710","34550"
"In post","2022","Unknown","Declared non-disabled","17230","16700","42620","36390"
"In post","2022","Unknown","Undeclared","790","770","41190","36130"
"In post","2022","Unknown","Unknown","11630","11300","41240","33250"
"In post","2022","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Declared non-disabled","310","300","44570","41510"
"In post","2022","Veterinarian","Undeclared","40","40","[c]","[c]"
"In post","2022","Veterinarian","Unknown","40","30","[c]","[c]"
"Leaver CS","2021","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Declared non-disabled","120","110","42450","38990"
"Leaver CS","2021","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","50","50","[c]","[c]"
"Leaver CS","2021","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Declared non-disabled","130","120","37630","33300"
"Leaver CS","2021","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","80","80","35610","33120"
"Leaver CS","2021","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Declared disabled","40","40","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Declared non-disabled","230","220","43420","38790"
"Leaver CS","2021","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Unknown","170","160","41740","38220"
"Leaver CS","2021","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Declared non-disabled","50","50","[c]","[c]"
"Leaver CS","2021","Economics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Unknown","50","50","27080","19130"
"Leaver CS","2021","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Declared non-disabled","170","160","43450","40300"
"Leaver CS","2021","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Unknown","50","50","[c]","[c]"
"Leaver CS","2021","Human Resources","Declared disabled","40","40","[c]","[c]"
"Leaver CS","2021","Human Resources","Declared non-disabled","180","170","38600","33940"
"Leaver CS","2021","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","70","70","37960","30330"
"Leaver CS","2021","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","Declared non-disabled","60","60","68170","75500"
"Leaver CS","2021","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Declared non-disabled","60","50","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Declared non-disabled","80","70","35700","32650"
"Leaver CS","2021","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Declared disabled","30","30","[c]","[c]"
"Leaver CS","2021","Legal","Declared non-disabled","280","230","54390","54400"
"Leaver CS","2021","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Unknown","90","80","51980","55000"
"Leaver CS","2021","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","Declared non-disabled","150","130","53130","38690"
"Leaver CS","2021","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","Unknown","80","70","52490","38570"
"Leaver CS","2021","Operational Delivery","Declared disabled","840","730","26630","22230"
"Leaver CS","2021","Operational Delivery","Declared non-disabled","4480","3950","28250","23500"
"Leaver CS","2021","Operational Delivery","Undeclared","660","560","28910","24890"
"Leaver CS","2021","Operational Delivery","Unknown","2280","2130","27410","22680"
"Leaver CS","2021","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Declared disabled","160","150","28340","26430"
"Leaver CS","2021","Other","Declared non-disabled","750","710","29780","26670"
"Leaver CS","2021","Other","Undeclared","80","70","27590","21890"
"Leaver CS","2021","Other","Unknown","490","470","32210","29930"
"Leaver CS","2021","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Declared disabled","60","50","[c]","[c]"
"Leaver CS","2021","Policy","Declared non-disabled","430","410","48890","41970"
"Leaver CS","2021","Policy","Undeclared","40","40","[c]","[c]"
"Leaver CS","2021","Policy","Unknown","300","290","40980","34730"
"Leaver CS","2021","Project Delivery","Declared disabled","50","40","[c]","[c]"
"Leaver CS","2021","Project Delivery","Declared non-disabled","290","280","43120","39380"
"Leaver CS","2021","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Unknown","80","80","34890","36030"
"Leaver CS","2021","Property","Declared disabled","40","30","[c]","[c]"
"Leaver CS","2021","Property","Declared non-disabled","250","220","34370","31070"
"Leaver CS","2021","Property","Undeclared","30","30","[c]","[c]"
"Leaver CS","2021","Property","Unknown","120","100","27640","24500"
"Leaver CS","2021","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","Declared non-disabled","70","60","[c]","[c]"
"Leaver CS","2021","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Declared disabled","60","60","28440","26570"
"Leaver CS","2021","Science and Engineering","Declared non-disabled","470","450","32900","30090"
"Leaver CS","2021","Science and Engineering","Undeclared","80","70","32300","34530"
"Leaver CS","2021","Science and Engineering","Unknown","190","170","33810","28660"
"Leaver CS","2021","Security","Declared disabled","40","40","[c]","[c]"
"Leaver CS","2021","Security","Declared non-disabled","220","200","30880","27050"
"Leaver CS","2021","Security","Undeclared","40","30","[c]","[c]"
"Leaver CS","2021","Security","Unknown","110","110","28090","24860"
"Leaver CS","2021","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","1480","1200","27420","26890"
"Leaver CS","2021","Unknown","Declared non-disabled","6890","5720","29210","26120"
"Leaver CS","2021","Unknown","Undeclared","630","550","30710","27570"
"Leaver CS","2021","Unknown","Unknown","3260","2780","33600","27570"
"Leaver CS","2021","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinarian","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Declared disabled","30","30","[c]","[c]"
"Leaver CS","2022","Commercial","Declared non-disabled","220","200","38830","36870"
"Leaver CS","2022","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","150","80","37700","35340"
"Leaver CS","2022","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Declared non-disabled","200","180","39760","37540"
"Leaver CS","2022","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","140","110","39100","34370"
"Leaver CS","2022","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Declared disabled","40","30","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Declared non-disabled","210","160","28990","27570"
"Leaver CS","2022","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Declared disabled","110","100","38360","34110"
"Leaver CS","2022","Digital, Data and Technology","Declared non-disabled","770","740","42440","39040"
"Leaver CS","2022","Digital, Data and Technology","Undeclared","80","80","38910","36840"
"Leaver CS","2022","Digital, Data and Technology","Unknown","430","380","40750","37410"
"Leaver CS","2022","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Declared non-disabled","110","110","39660","34970"
"Leaver CS","2022","Economics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Unknown","50","40","[c]","[c]"
"Leaver CS","2022","Finance","Declared disabled","60","50","37900","33300"
"Leaver CS","2022","Finance","Declared non-disabled","410","370","39930","33630"
"Leaver CS","2022","Finance","Undeclared","30","30","[c]","[c]"
"Leaver CS","2022","Finance","Unknown","160","110","37630","33000"
"Leaver CS","2022","Geography","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Geography","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Geography","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Geography","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Declared disabled","70","60","35910","32730"
"Leaver CS","2022","Human Resources","Declared non-disabled","370","340","38830","34290"
"Leaver CS","2022","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Unknown","140","120","32730","27270"
"Leaver CS","2022","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","Declared non-disabled","100","100","67250","75500"
