"Status","Year","Parent_department","Region_ITL1","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","North West (England)","50-59","320","300","41750","34480"
"In post","2021","Attorney General's Departments","North West (England)","60-64","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","20-29","120","110","26790","24590"
"In post","2021","Attorney General's Departments","South East (England)","30-39","120","110","41300","40000"
"In post","2021","Attorney General's Departments","South East (England)","40-49","190","180","47030","50520"
"In post","2021","Attorney General's Departments","South East (England)","50-59","210","190","45580","40720"
"In post","2021","Attorney General's Departments","South East (England)","60-64","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","20-29","50","50","25440","23470"
"In post","2021","Attorney General's Departments","South West (England)","30-39","50","50","43010","48080"
"In post","2021","Attorney General's Departments","South West (England)","40-49","90","80","44770","49580"
"In post","2021","Attorney General's Departments","South West (England)","50-59","100","90","45900","51470"
"In post","2021","Attorney General's Departments","South West (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","30-39","60","50","37890","38000"
"In post","2021","Attorney General's Departments","Wales","40-49","110","100","42130","48080"
"In post","2021","Attorney General's Departments","Wales","50-59","140","130","42010","34480"
"In post","2021","Attorney General's Departments","Wales","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","20-29","50","50","26580","23470"
"In post","2021","Attorney General's Departments","West Midlands (England)","30-39","100","100","37540","38000"
"In post","2021","Attorney General's Departments","West Midlands (England)","40-49","180","160","42240","48080"
"In post","2021","Attorney General's Departments","West Midlands (England)","50-59","180","170","43840","43420"
"In post","2021","Attorney General's Departments","West Midlands (England)","60-64","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","20-29","120","120","26970","25480"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","30-39","150","140","39420","38180"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","40-49","260","240","43780","48830"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","50-59","380","340","46540","51660"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","60-64","60","50","45530","55610"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East of England","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East of England","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East of England","40-49","40","40","[c]","[c]"
"In post","2021","Cabinet Office","East of England","50-59","40","30","[c]","[c]"
"In post","2021","Cabinet Office","East of England","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","London","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","London","20-29","2520","2510","35450","32000"
"In post","2021","Cabinet Office","London","30-39","1780","1750","52530","54700"
"In post","2021","Cabinet Office","London","40-49","1200","1170","63420","59160"
"In post","2021","Cabinet Office","London","50-59","830","820","64900","58110"
"In post","2021","Cabinet Office","London","60-64","130","120","66010","57980"
"In post","2021","Cabinet Office","London","65+","30","30","[c]","[c]"
"In post","2021","Cabinet Office","North East (England)","20-29","90","90","25160","23850"
"In post","2021","Cabinet Office","North East (England)","30-39","130","120","28170","25060"
"In post","2021","Cabinet Office","North East (England)","40-49","90","90","31880","25550"
"In post","2021","Cabinet Office","North East (England)","50-59","80","80","35440","26160"
"In post","2021","Cabinet Office","North East (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North East (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North West (England)","20-29","90","90","32230","29250"
"In post","2021","Cabinet Office","North West (England)","30-39","90","90","43700","37300"
"In post","2021","Cabinet Office","North West (England)","40-49","120","120","56380","51310"
"In post","2021","Cabinet Office","North West (England)","50-59","130","130","51070","49700"
"In post","2021","Cabinet Office","North West (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Northern Ireland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Northern Ireland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","South East (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","South East (England)","20-29","40","40","[c]","[c]"
"In post","2021","Cabinet Office","South East (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","South East (England)","40-49","50","50","[c]","[c]"
"In post","2021","Cabinet Office","South East (England)","50-59","80","80","44890","36240"
"In post","2021","Cabinet Office","South East (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","South East (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","South West (England)","20-29","40","40","[c]","[c]"
"In post","2021","Cabinet Office","South West (England)","30-39","40","30","[c]","[c]"
"In post","2021","Cabinet Office","South West (England)","40-49","50","50","64670","62010"
"In post","2021","Cabinet Office","South West (England)","50-59","60","60","60370","53320"
"In post","2021","Cabinet Office","South West (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","South West (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","20-29","370","370","31530","29250"
"In post","2021","Cabinet Office","Unknown","30-39","140","130","41090","33250"
"In post","2021","Cabinet Office","Unknown","40-49","50","50","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","50-59","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Wales","20-29","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Wales","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Wales","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Wales","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Midlands (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Yorkshire and The Humber","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Yorkshire and The Humber","20-29","160","160","27400","26670"
"In post","2021","Cabinet Office","Yorkshire and The Humber","30-39","120","120","36160","33170"
"In post","2021","Cabinet Office","Yorkshire and The Humber","40-49","190","180","41600","38650"
"In post","2021","Cabinet Office","Yorkshire and The Humber","50-59","200","190","38810","33300"
"In post","2021","Cabinet Office","Yorkshire and The Humber","60-64","50","40","35720","33300"
"In post","2021","Cabinet Office","Yorkshire and The Humber","65+","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","London","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","London","20-29","80","80","35820","34030"
"In post","2021","Chancellor's other departments","London","30-39","90","90","59340","55000"
"In post","2021","Chancellor's other departments","London","40-49","100","90","67530","59070"
"In post","2021","Chancellor's other departments","London","50-59","70","60","71690","56480"
"In post","2021","Chancellor's other departments","London","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","London","65+","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","North East (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","North East (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","North East (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","North East (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","North East (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","North West (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","North West (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","North West (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","North West (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","20-29","30","30","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","30-39","80","80","31390","29160"
"In post","2021","Charity Commission","North West (England)","40-49","90","80","36470","29400"
"In post","2021","Charity Commission","North West (England)","50-59","80","70","34010","29320"
"In post","2021","Charity Commission","North West (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Wales","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Wales","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Wales","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","20-29","140","140","37810","33610"
"In post","2021","Competition and Markets Authority","London","30-39","280","270","59830","56630"
"In post","2021","Competition and Markets Authority","London","40-49","200","190","72040","72430"
"In post","2021","Competition and Markets Authority","London","50-59","140","140","68870","61210"
"In post","2021","Competition and Markets Authority","London","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","65+","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Northern Ireland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Northern Ireland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Wales","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Wales","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Wales","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","East Midlands (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","East Midlands (England)","20-29","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","East Midlands (England)","30-39","50","50","30240","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","East Midlands (England)","40-49","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","East Midlands (England)","50-59","60","60","36510","34500"
"In post","2021","Department for Business, Energy and Industrial Strategy","East Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","East Midlands (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","East of England","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","East of England","30-39","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","East of England","40-49","60","50","34550","32880"
"In post","2021","Department for Business, Energy and Industrial Strategy","East of England","50-59","70","70","35900","35070"
"In post","2021","Department for Business, Energy and Industrial Strategy","East of England","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","East of England","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","20-29","1860","1850","40840","39610"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","30-39","1560","1520","52020","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","40-49","1050","1000","55810","53750"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","50-59","910","890","51040","49100"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","60-64","170","160","46480","40900"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","65+","70","60","44190","43090"
"In post","2021","Department for Business, Energy and Industrial Strategy","North East (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","North East (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","North East (England)","30-39","60","60","30460","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","North East (England)","40-49","60","50","32470","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","North East (England)","50-59","60","60","34030","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","North East (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","North West (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","North West (England)","20-29","50","50","25370","24250"
"In post","2021","Department for Business, Energy and Industrial Strategy","North West (England)","30-39","100","90","31320","30360"
"In post","2021","Department for Business, Energy and Industrial Strategy","North West (England)","40-49","130","130","34460","34390"
"In post","2021","Department for Business, Energy and Industrial Strategy","North West (England)","50-59","140","130","35310","34500"
"In post","2021","Department for Business, Energy and Industrial Strategy","North West (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","North West (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Northern Ireland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Northern Ireland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Northern Ireland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Northern Ireland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Northern Ireland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Scotland","20-29","50","50","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Scotland","30-39","90","90","31360","28550"
"In post","2021","Department for Business, Energy and Industrial Strategy","Scotland","40-49","100","100","39930","31440"
"In post","2021","Department for Business, Energy and Industrial Strategy","Scotland","50-59","130","130","37840","33860"
"In post","2021","Department for Business, Energy and Industrial Strategy","Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","South East (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","South East (England)","20-29","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","South East (England)","30-39","60","60","35330","36730"
"In post","2021","Department for Business, Energy and Industrial Strategy","South East (England)","40-49","60","50","34670","34390"
"In post","2021","Department for Business, Energy and Industrial Strategy","South East (England)","50-59","60","60","37630","36150"
"In post","2021","Department for Business, Energy and Industrial Strategy","South East (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","South East (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","South West (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","South West (England)","20-29","260","260","28490","26640"
"In post","2021","Department for Business, Energy and Industrial Strategy","South West (England)","30-39","600","580","37810","38200"
"In post","2021","Department for Business, Energy and Industrial Strategy","South West (England)","40-49","570","540","43020","41900"
"In post","2021","Department for Business, Energy and Industrial Strategy","South West (England)","50-59","520","500","43860","41900"
"In post","2021","Department for Business, Energy and Industrial Strategy","South West (England)","60-64","80","70","39910","39490"
"In post","2021","Department for Business, Energy and Industrial Strategy","South West (England)","65+","30","20","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Wales","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Wales","20-29","440","440","28070","24500"
"In post","2021","Department for Business, Energy and Industrial Strategy","Wales","30-39","680","640","33770","30360"
"In post","2021","Department for Business, Energy and Industrial Strategy","Wales","40-49","730","690","39020","36530"
"In post","2021","Department for Business, Energy and Industrial Strategy","Wales","50-59","670","630","36790","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Wales","60-64","180","150","30950","24500"
"In post","2021","Department for Business, Energy and Industrial Strategy","Wales","65+","70","50","29420","22490"
"In post","2021","Department for Business, Energy and Industrial Strategy","West Midlands (England)","20-29","100","90","26100","24250"
"In post","2021","Department for Business, Energy and Industrial Strategy","West Midlands (England)","30-39","140","140","32650","30360"
"In post","2021","Department for Business, Energy and Industrial Strategy","West Midlands (England)","40-49","180","170","34800","31550"
"In post","2021","Department for Business, Energy and Industrial Strategy","West Midlands (England)","50-59","210","200","35550","32610"
"In post","2021","Department for Business, Energy and Industrial Strategy","West Midlands (England)","60-64","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","West Midlands (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","30-39","50","50","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","40-49","60","50","34310","33350"
"In post","2021","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","50-59","50","50","36710","34500"
"In post","2021","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","London","20-29","650","650","41310","35660"
"In post","2021","Department for Digital, Culture, Media and Sport","London","30-39","580","570","52890","52130"
"In post","2021","Department for Digital, Culture, Media and Sport","London","40-49","270","260","58050","58420"
"In post","2021","Department for Digital, Culture, Media and Sport","London","50-59","170","160","54200","52250"
"In post","2021","Department for Digital, Culture, Media and Sport","London","60-64","30","30","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","London","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","North East (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","North East (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","North East (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","North West (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","North West (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","North West (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","North West (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Northern Ireland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Northern Ireland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","South West (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","South West (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","East Midlands (England)","20-29","30","30","[c]","[c]"
"In post","2021","Department for Education","East Midlands (England)","30-39","90","80","40560","36960"
"In post","2021","Department for Education","East Midlands (England)","40-49","100","100","42950","40300"
"In post","2021","Department for Education","East Midlands (England)","50-59","60","60","47520","44380"
"In post","2021","Department for Education","East Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","East of England","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","East of England","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","East of England","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","East of England","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","East of England","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","East of England","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","London","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","London","20-29","650","650","39850","36980"
"In post","2021","Department for Education","London","30-39","730","710","52130","53760"
"In post","2021","Department for Education","London","40-49","630","580","56910","54400"
"In post","2021","Department for Education","London","50-59","490","480","53410","54400"
