"Status","Year","Parent_department","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Cabinet Office","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Heterosexual / straight","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Heterosexual / straight","Unknown","4350","4230","48050","40600"
"In post","2021","Cabinet Office","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","Unknown","430","420","44970","40600"
"In post","2021","Cabinet Office","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Unknown","500","490","47580","40600"
"In post","2021","Cabinet Office","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Unknown","4070","4020","45300","33250"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Other","200","190","65190","57250"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Other","60","60","61740","48780"
"In post","2021","Chancellor's other departments","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Operational Delivery","50","50","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Unknown","90","80","33710","29160"
"In post","2021","Charity Commission","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Unknown","120","110","32580","29160"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Digital, Data and Technology","60","60","56130","51270"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Economics","70","70","62960","59140"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Human Resources","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Legal","100","100","69190","72430"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Project Delivery","310","290","59750","56360"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Commercial","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Communications","150","140","44350","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Counter Fraud","140","130","39590","39170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Digital, Data and Technology","420","410","44060","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Economics","210","210","47990","44300"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Finance","230","220","45840","41870"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Human Resources","270","250","41640","39570"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Legal","50","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Operational Delivery","2180","2040","32470","28280"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Policy","2830","2760","49990","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Project Delivery","140","130","47270","43340"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Science and Engineering","210","190","48370","43110"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Statistics","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Operational Delivery","160","160","34120","30660"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Policy","350","340","47970","45160"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Digital, Data and Technology","70","70","44530","41660"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Finance","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Operational Delivery","250","230","34040","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Policy","430","420","50340","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Science and Engineering","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Commercial","200","190","43080","40140"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Communications","90","80","41220","39620"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Counter Fraud","110","100","39160","39170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Digital, Data and Technology","510","500","37940","35020"
