"Status","Year","Organisation","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","Department for Environment, Food and Rural Affairs","60","60","33860","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Department for Environment, Food and Rural Affairs","480","450","33720","29750"
"In post","2021","Charity Commission","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Corporate Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","Charity Commission","50","40","[c]","[c]"
"In post","2021","Charity Commission","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","International Trade","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Charity Commission","60","50","32020","29160"
"In post","2021","Charity Commission","Other","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Charity Commission","220","210","32970","29160"
"In post","2021","Companies House","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","260","250","38840","38000"
"In post","2021","Companies House","Finance","Department for Business, Energy and Industrial Strategy","60","50","30930","27460"
"In post","2021","Companies House","Human Resources","Department for Business, Energy and Industrial Strategy","90","80","33040","27460"
"In post","2021","Companies House","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Legal","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Operational Delivery","Department for Business, Energy and Industrial Strategy","580","520","24590","22490"
"In post","2021","Companies House","Other","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Policy","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Property","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","Competition and Markets Authority","70","60","56530","54550"
"In post","2021","Competition and Markets Authority","Economics","Competition and Markets Authority","90","90","62530","59510"
"In post","2021","Competition and Markets Authority","Human Resources","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","Competition and Markets Authority","130","120","70480","72430"
"In post","2021","Competition and Markets Authority","Policy","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","Competition and Markets Authority","380","360","60680","56360"
"In post","2021","Competition and Markets Authority","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Statistics","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Digital, Data and Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Operational Delivery","Ministry of Justice","290","270","25500","22570"
"In post","2021","Criminal Injuries Compensation Authority","Policy","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Commercial","Other Cabinet Office Agencies","370","360","34050","34800"
"In post","2021","Crown Commercial Service","Communications","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Digital, Data and Technology","Other Cabinet Office Agencies","120","110","41230","35760"
"In post","2021","Crown Commercial Service","Finance","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","Other Cabinet Office Agencies","30","30","[c]","[c]"
"In post","2021","Crown Commercial Service","Operational Delivery","Other Cabinet Office Agencies","190","180","41070","35570"
"In post","2021","Crown Commercial Service","Project Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Communications","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","Scottish Government","50","50","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Human Resources","Scottish Government","30","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Legal","Scottish Government","600","560","54610","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","Operational Delivery","Scottish Government","1270","1170","26330","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Policy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Security","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","Attorney General's Departments","50","50","41310","39750"
"In post","2021","Crown Prosecution Service","Digital, Data and Technology","Attorney General's Departments","120","120","39820","38180"
"In post","2021","Crown Prosecution Service","Finance","Attorney General's Departments","90","90","32650","30130"
"In post","2021","Crown Prosecution Service","Human Resources","Attorney General's Departments","140","140","40720","35610"
"In post","2021","Crown Prosecution Service","Legal","Attorney General's Departments","3190","2960","54980","55610"
"In post","2021","Crown Prosecution Service","Operational Delivery","Attorney General's Departments","3050","2820","27280","25480"
"In post","2021","Crown Prosecution Service","Policy","Attorney General's Departments","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","Security","Attorney General's Departments","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Other","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Digital, Data and Technology","HM Treasury","40","30","[c]","[c]"
"In post","2021","Debt Management Office","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Knowledge and Information Management","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Legal","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Operational Delivery","HM Treasury","40","40","[c]","[c]"
"In post","2021","Debt Management Office","Policy","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Project Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Security","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Digital, Data and Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Knowledge and Information Management","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Medicine","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Operational Delivery","Ministry of Defence","60","60","30360","28110"
"In post","2021","Defence Electronics and Components Agency","Other","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Science and Engineering","Ministry of Defence","240","230","26900","28750"
"In post","2021","Defence Electronics and Components Agency","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Commercial","Ministry of Defence","920","880","39490","35570"
"In post","2021","Defence Equipment and Support","Communications","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","Defence Equipment and Support","Digital, Data and Technology","Ministry of Defence","370","360","41030","40640"
"In post","2021","Defence Equipment and Support","Finance","Ministry of Defence","460","440","38920","32860"
"In post","2021","Defence Equipment and Support","Human Resources","Ministry of Defence","190","180","38330","33190"
"In post","2021","Defence Equipment and Support","Knowledge and Information Management","Ministry of Defence","180","180","35340","33110"
"In post","2021","Defence Equipment and Support","Other","Ministry of Defence","3460","3310","31410","27950"
"In post","2021","Defence Equipment and Support","Policy","Ministry of Defence","80","80","42760","40890"
"In post","2021","Defence Equipment and Support","Project Delivery","Ministry of Defence","2270","2200","40450","39230"
"In post","2021","Defence Equipment and Support","Property","Ministry of Defence","110","110","35850","33670"
"In post","2021","Defence Equipment and Support","Science and Engineering","Ministry of Defence","2570","2520","37010","36400"
"In post","2021","Defence Equipment and Support","Security","Ministry of Defence","60","50","36820","36090"
"In post","2021","Defence Science and Technology Laboratory","Commercial","Ministry of Defence","70","70","33740","35520"
"In post","2021","Defence Science and Technology Laboratory","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Corporate Finance","Ministry of Defence","50","50","39680","37760"
"In post","2021","Defence Science and Technology Laboratory","Digital, Data and Technology","Ministry of Defence","120","120","45900","46080"
"In post","2021","Defence Science and Technology Laboratory","Economics","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Human Resources","Ministry of Defence","80","70","33990","28650"
"In post","2021","Defence Science and Technology Laboratory","Intelligence Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Knowledge and Information Management","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Medicine","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Operational Delivery","Ministry of Defence","380","360","38980","37320"
"In post","2021","Defence Science and Technology Laboratory","Operational Research","Ministry of Defence","490","470","42750","46080"
"In post","2021","Defence Science and Technology Laboratory","Other","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Project Delivery","Ministry of Defence","450","430","40740","37360"
"In post","2021","Defence Science and Technology Laboratory","Property","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Psychology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Science and Engineering","Ministry of Defence","2500","2420","39950","37360"
"In post","2021","Defence Science and Technology Laboratory","Security","Ministry of Defence","60","60","36300","37320"
"In post","2021","Defence Science and Technology Laboratory","Statistics","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Veterinarian","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","Department for Business, Energy and Industrial Strategy","130","130","48060","45270"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","120","120","45390","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","Department for Business, Energy and Industrial Strategy","300","290","46610","39570"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","Department for Business, Energy and Industrial Strategy","170","170","52940","54880"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Department for Business, Energy and Industrial Strategy","140","140","48590","49080"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Department for Business, Energy and Industrial Strategy","530","520","45020","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Department for Business, Energy and Industrial Strategy","3740","3660","49610","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","Department for Business, Energy and Industrial Strategy","70","70","50870","49200"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Science and Engineering","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Social Research","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Corporate Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Economics","Department for Digital, Culture, Media and Sport","80","70","53810","59730"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Department for Digital, Culture, Media and Sport","70","70","56710","58490"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","Department for Digital, Culture, Media and Sport","60","60","48880","37990"
"In post","2021","Department for Digital, Culture, Media and Sport","Intelligence Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","International Trade","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Other","Department for Digital, Culture, Media and Sport","90","90","40850","34330"
"In post","2021","Department for Digital, Culture, Media and Sport","Policy","Department for Digital, Culture, Media and Sport","1080","1060","48480","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Department for Digital, Culture, Media and Sport","210","210","48690","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Science and Engineering","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Security","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Social Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Statistics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Commercial","Department for Education","190","180","39800","38000"
"In post","2021","Department for Education (excl. agencies)","Communications","Department for Education","240","230","37810","33510"
"In post","2021","Department for Education (excl. agencies)","Digital, Data and Technology","Department for Education","580","560","40690","37100"
"In post","2021","Department for Education (excl. agencies)","Finance","Department for Education","470","450","43130","40940"
"In post","2021","Department for Education (excl. agencies)","Human Resources","Department for Education","140","130","34780","29730"
"In post","2021","Department for Education (excl. agencies)","Legal","Department for Education","60","60","54720","57570"
"In post","2021","Department for Education (excl. agencies)","Operational Delivery","Department for Education","580","560","41110","36780"
"In post","2021","Department for Education (excl. agencies)","Policy","Department for Education","2800","2680","45800","41190"
"In post","2021","Department for Education (excl. agencies)","Project Delivery","Department for Education","50","50","47790","49860"
"In post","2021","Department for Education (excl. agencies)","Property","Department for Education","560","550","51020","51910"
"In post","2021","Department for Education (excl. agencies)","Security","Department for Education","30","30","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","Department for Environment, Food and Rural Affairs","140","140","39210","36970"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","Department for Environment, Food and Rural Affairs","260","250","41570","37790"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","670","650","43890","47550"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Economics","Department for Environment, Food and Rural Affairs","160","160","44720","47550"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","Department for Environment, Food and Rural Affairs","400","390","43210","38060"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","Department for Environment, Food and Rural Affairs","260","250","42830","38710"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Internal Audit","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Delivery","Department for Environment, Food and Rural Affairs","100","100","38900","35900"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Research","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Planning","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","Department for Environment, Food and Rural Affairs","2470","2390","43010","38750"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","Department for Environment, Food and Rural Affairs","230","230","42220","37110"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","Department for Environment, Food and Rural Affairs","390","370","36760","32560"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Science and Engineering","Department for Environment, Food and Rural Affairs","160","150","43590","39610"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Social Research","Department for Environment, Food and Rural Affairs","40","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","Department for Environment, Food and Rural Affairs","70","70","38190","32840"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Veterinarian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Communications","Department for International Trade","140","140","43060","38540"
"In post","2021","Department for International Trade","Digital, Data and Technology","Department for International Trade","120","120","47030","44020"
"In post","2021","Department for International Trade","Economics","Department for International Trade","150","150","43500","33220"
"In post","2021","Department for International Trade","Finance","Department for International Trade","90","90","49850","51970"
"In post","2021","Department for International Trade","Human Resources","Department for International Trade","130","130","43380","38540"
"In post","2021","Department for International Trade","International Trade","Department for International Trade","1300","1280","48330","50430"
"In post","2021","Department for International Trade","Knowledge and Information Management","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Legal","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Delivery","Department for International Trade","110","110","36650","32120"
