"Status","Year","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Cabinet Office","Female","5900","5730","44400","37300"
"In post","2022","Cabinet Office","Male","5150","5110","49560","41250"
"In post","2022","Chancellor's other departments","Female","180","170","54640","48120"
"In post","2022","Chancellor's other departments","Male","240","230","62090","54100"
"In post","2022","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Female","290","270","34020","29160"
"In post","2022","Charity Commission","Male","180","180","33970","29160"
"In post","2022","Competition and Markets Authority","Female","430","410","58420","55860"
"In post","2022","Competition and Markets Authority","Male","430","420","64140","59450"
"In post","2022","Department for Business, Energy and Industrial Strategy","Female","7020","6600","39640","36740"
"In post","2022","Department for Business, Energy and Industrial Strategy","Male","7060","6910","43430","40050"
"In post","2022","Department for Digital, Culture, Media and Sport","Female","1100","1070","46410","46980"
"In post","2022","Department for Digital, Culture, Media and Sport","Male","910","910","47640","51730"
"In post","2022","Department for Education","Female","5180","4910","42840","37690"
"In post","2022","Department for Education","Male","3520","3490","44620","40510"
"In post","2022","Department for Environment, Food and Rural Affairs","Female","7220","6710","34800","30730"
"In post","2022","Department for Environment, Food and Rural Affairs","Male","5570","5450","37080","33110"
"In post","2022","Department for International Trade","Female","1390","1370","45340","40600"
"In post","2022","Department for International Trade","Male","1490","1480","47770","44030"
"In post","2022","Department for Levelling Up, Housing and Communities","Female","2120","2010","44340","39600"
"In post","2022","Department for Levelling Up, Housing and Communities","Male","2040","1990","45980","42940"
"In post","2022","Department for Transport","Female","7490","6640","30790","26350"
"In post","2022","Department for Transport","Male","8900","8610","35270","30700"
"In post","2022","Department for Work and Pensions","Female","60410","52220","27750","27570"
"In post","2022","Department for Work and Pensions","Male","33750","32440","29860","27570"
"In post","2022","Department of Health and Social Care","Female","7660","7160","43650","40060"
"In post","2022","Department of Health and Social Care","Male","4150","4030","48070","41410"
"In post","2022","Estyn","Female","70","60","55870","66900"
"In post","2022","Estyn","Male","50","50","[c]","[c]"
"In post","2022","Food Standards Agency","Female","650","630","39100","37350"
"In post","2022","Food Standards Agency","Male","810","790","36410","30810"
"In post","2022","Foreign, Commonwealth and Development Office","Female","4020","3890","46770","42410"
"In post","2022","Foreign, Commonwealth and Development Office","Male","4220","4170","48960","45950"
"In post","2022","HM Land Registry","Female","4010","3560","30510","27130"
"In post","2022","HM Land Registry","Male","2620","2480","32540","27130"
"In post","2022","HM Revenue and Customs","Female","37350","33470","32310","28180"
"In post","2022","HM Revenue and Customs","Male","34020","32850","34600","33080"
"In post","2022","HM Treasury","Female","1360","1300","46210","42580"
"In post","2022","HM Treasury","Male","1410","1390","50310","52500"
"In post","2022","Home Office","Female","18870","17210","32070","28350"
"In post","2022","Home Office","Male","17660","17020","33290","28650"
"In post","2022","Ministry of Defence","Female","23010","21710","33020","29550"
"In post","2022","Ministry of Defence","Male","34810","34190","35840","33300"
"In post","2022","Ministry of Justice","Female","49590","45700","29630","26310"
"In post","2022","Ministry of Justice","Male","37310","35780","31560","29670"
"In post","2022","National Crime Agency","Female","2490","2380","38260","36520"
"In post","2022","National Crime Agency","Male","3050","3020","42670","40170"
"In post","2022","Northern Ireland Office","Female","100","100","45360","41750"
"In post","2022","Northern Ireland Office","Male","80","80","47750","41750"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Female","1230","1170","49600","51360"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Male","600","590","51760","51360"
"In post","2022","Office of Gas and Electricity Markets","Female","620","600","42170","36500"
"In post","2022","Office of Gas and Electricity Markets","Male","730","720","44610","38030"
"In post","2022","Office of Qualifications and Examinations Regulation","Female","180","170","42880","38630"
"In post","2022","Office of Qualifications and Examinations Regulation","Male","110","110","47450","46660"
"In post","2022","Office of Rail and Road","Female","150","140","50430","50810"
"In post","2022","Office of Rail and Road","Male","200","190","56820","55430"
"In post","2022","Office of the Secretary of State for Scotland","Female","70","70","47490","43000"
"In post","2022","Office of the Secretary of State for Scotland","Male","40","40","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Female","13600","12740","36930","31540"
"In post","2022","Scottish Government","Male","11730","11350","37830","35000"
"In post","2022","The National Archives","Female","310","290","35420","34120"
"In post","2022","The National Archives","Male","270","260","36030","32310"
"In post","2022","UK Export Finance","Female","220","210","48260","42000"
"In post","2022","UK Export Finance","Male","280","280","56310","51390"
"In post","2022","UK Statistics Authority","Female","3360","2950","32720","30710"
"In post","2022","UK Statistics Authority","Male","2510","2310","35200","30810"
"In post","2022","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Female","140","130","52660","44850"
"In post","2022","Water Services Regulation Authority","Male","120","120","56760","51630"
"In post","2022","Welsh Government","Female","3550","3290","40800","38160"
"In post","2022","Welsh Government","Male","2410","2350","43660","38160"
"Leaver CS","2021","Attorney General's Departments","Female","240","210","45480","50520"
"Leaver CS","2021","Attorney General's Departments","Male","170","150","49880","55000"
"Leaver CS","2021","Cabinet Office","Female","180","170","42800","33110"
"Leaver CS","2021","Cabinet Office","Male","200","190","52180","41590"
"Leaver CS","2021","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Female","40","40","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Male","40","40","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Female","210","190","36760","29040"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Male","300","280","42850","38220"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Female","40","40","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Male","40","40","[c]","[c]"
"Leaver CS","2021","Department for Education","Female","190","180","42930","36980"
"Leaver CS","2021","Department for Education","Male","160","150","43970","40300"
"Leaver CS","2021","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Female","300","280","31600","26230"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Male","250","240","35690","29290"
"Leaver CS","2021","Department for International Trade","Female","80","70","35950","31180"
"Leaver CS","2021","Department for International Trade","Male","70","70","40520","32250"
"Leaver CS","2021","Department for Transport","Female","310","250","25790","21590"
"Leaver CS","2021","Department for Transport","Male","420","370","33140","26780"
"Leaver CS","2021","Department for Work and Pensions","Female","2820","2290","26360","26890"
"Leaver CS","2021","Department for Work and Pensions","Male","1690","1550","27850","26890"
"Leaver CS","2021","Department of Health and Social Care","Female","620","460","37720","32650"
"Leaver CS","2021","Department of Health and Social Care","Male","310","210","46950","37690"
"Leaver CS","2021","Department of Health and Social Care","Unknown","100","90","46080","40230"
"Leaver CS","2021","ESTYN","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Female","110","50","42310","38600"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Male","170","100","45460","42050"
"Leaver CS","2021","HM Land Registry","Female","160","130","31110","27130"
"Leaver CS","2021","HM Land Registry","Male","110","100","32440","27130"
"Leaver CS","2021","HM Revenue and Customs","Female","3450","2780","27750","25000"
"Leaver CS","2021","HM Revenue and Customs","Male","2250","2010","31520","26000"
"Leaver CS","2021","HM Treasury","Female","60","50","[c]","[c]"
"Leaver CS","2021","HM Treasury","Male","70","70","[c]","[c]"
"Leaver CS","2021","Home Office","Female","670","560","28790","25120"
"Leaver CS","2021","Home Office","Male","660","590","31920","27250"
"Leaver CS","2021","Ministry of Defence","Female","1130","1030","29920","26670"
"Leaver CS","2021","Ministry of Defence","Male","2090","2010","33390","30800"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","Female","70","70","40760","32990"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","Male","80","80","42850","41150"
"Leaver CS","2021","Ministry of Justice","Female","2970","2640","25160","20430"
"Leaver CS","2021","Ministry of Justice","Male","2900","2680","27560","21180"
"Leaver CS","2021","National Crime Agency","Female","60","60","42300","39000"
"Leaver CS","2021","National Crime Agency","Male","120","120","44540","41060"
"Leaver CS","2021","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education","Female","90","80","50040","51360"
"Leaver CS","2021","Office for Standards in Education","Male","40","40","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Female","40","40","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Male","50","50","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other Cabinet Office Agencies","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other Cabinet Office Agencies","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Female","430","380","34060","28170"
"Leaver CS","2021","Scottish Government","Male","510","470","36240","33650"
"Leaver CS","2021","The National Archives","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Female","140","110","28830","23050"
"Leaver CS","2021","United Kingdom Statistics Authority","Male","160","140","28480","22130"
"Leaver CS","2021","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government","Female","70","60","40540","36500"
"Leaver CS","2021","Welsh Government","Male","70","60","45920","37410"
"Leaver CS","2022","Attorney General's Departments","Female","410","370","42310","39940"
"Leaver CS","2022","Attorney General's Departments","Male","250","240","47030","50500"
"Leaver CS","2022","Cabinet Office","Female","380","360","47380","40600"
"Leaver CS","2022","Cabinet Office","Male","440","430","51430","50530"
"Leaver CS","2022","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Male","40","30","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Female","50","50","53920","53920"
"Leaver CS","2022","Competition and Markets Authority","Male","40","40","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Female","370","330","35860","32730"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Male","470","430","40680","38200"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","Female","90","80","39170","34020"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","Male","70","70","45480","38010"
"Leaver CS","2022","Department for Education","Female","240","230","40060","36500"
"Leaver CS","2022","Department for Education","Male","210","210","43770","37100"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Female","510","470","27530","24920"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Male","440","420","30810","25190"
"Leaver CS","2022","Department for International Trade","Female","100","100","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Male","120","120","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Female","110","110","41000","38070"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Male","130","130","44130","41020"
"Leaver CS","2022","Department for Transport","Female","540","450","28870","21840"
"Leaver CS","2022","Department for Transport","Male","740","690","32880","26830"
"Leaver CS","2022","Department for Work and Pensions","Female","5460","4610","26820","27570"
"Leaver CS","2022","Department for Work and Pensions","Male","3410","3190","28080","27570"
"Leaver CS","2022","Department of Health and Social Care","Female","2200","1670","41810","37450"
"Leaver CS","2022","Department of Health and Social Care","Male","1000","730","45930","38750"
"Leaver CS","2022","Estyn","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Male","60","50","34730","30320"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Female","180","80","47200","39810"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Male","240","120","47140","42790"
"Leaver CS","2022","HM Land Registry","Female","230","190","31680","27130"
"Leaver CS","2022","HM Land Registry","Male","180","160","34600","33840"
"Leaver CS","2022","HM Revenue and Customs","Female","2770","2230","28190","22080"
"Leaver CS","2022","HM Revenue and Customs","Male","2200","1970","33870","28920"
"Leaver CS","2022","HM Treasury","Female","110","110","[c]","[c]"
"Leaver CS","2022","HM Treasury","Male","130","130","[c]","[c]"
"Leaver CS","2022","Home Office","Female","1030","870","30600","25630"
"Leaver CS","2022","Home Office","Male","1060","930","33210","27910"
"Leaver CS","2022","Ministry of Defence","Female","1800","1640","30370","26670"
"Leaver CS","2022","Ministry of Defence","Male","3240","3120","33830","31920"
"Leaver CS","2022","Ministry of Justice","Female","5230","4700","26000","21170"
"Leaver CS","2022","Ministry of Justice","Male","4550","4280","28760","22570"
"Leaver CS","2022","National Crime Agency","Female","120","110","39450","34140"
"Leaver CS","2022","National Crime Agency","Male","200","200","44200","41170"
"Leaver CS","2022","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","Female","130","130","50600","51360"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","Male","50","50","58370","62220"
"Leaver CS","2022","Office of Gas and Electricity Markets","Female","110","110","41580","35980"
"Leaver CS","2022","Office of Gas and Electricity Markets","Male","130","120","49330","41410"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Wales","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Wales","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Government","Female","640","570","34450","28990"
"Leaver CS","2022","Scottish Government","Male","790","720","36400","32930"
"Leaver CS","2022","The National Archives","Female","40","40","[c]","[c]"
"Leaver CS","2022","The National Archives","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","UK Export Finance","Male","30","30","[c]","[c]"
"Leaver CS","2022","UK Statistics Authority","Female","260","220","27460","23050"
"Leaver CS","2022","UK Statistics Authority","Male","310","270","28950","23630"
"Leaver CS","2022","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Welsh Government","Female","140","110","40980","36080"
"Leaver CS","2022","Welsh Government","Male","110","110","44610","37790"
"Leaver Dept.","2021","Attorney General's Departments","Female","120","120","42150","38070"
"Leaver Dept.","2021","Attorney General's Departments","Male","70","70","45770","50000"
"Leaver Dept.","2021","Cabinet Office","Female","780","770","39070","32320"
"Leaver Dept.","2021","Cabinet Office","Male","610","610","40800","32910"
"Leaver Dept.","2021","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Charity Commission","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Charity Commission","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy","Female","310","290","42580","39080"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy","Male","320","290","44300","40050"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","Female","120","120","47670","49600"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","Male","90","90","45880","49600"
"Leaver Dept.","2021","Department for Education","Female","160","160","44290","40780"
"Leaver Dept.","2021","Department for Education","Male","100","100","40380","36780"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs","Female","310","290","38580","35230"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs","Male","240","240","37760","34270"
"Leaver Dept.","2021","Department for International Trade","Female","130","130","43030","38480"
"Leaver Dept.","2021","Department for International Trade","Male","140","140","43620","38540"
"Leaver Dept.","2021","Department for Transport","Female","200","190","35790","34140"
"Leaver Dept.","2021","Department for Transport","Male","210","200","38310","34700"
"Leaver Dept.","2021","Department for Work and Pensions","Female","820","780","29990","27570"
"Leaver Dept.","2021","Department for Work and Pensions","Male","570","560","31010","27570"
"Leaver Dept.","2021","Department of Health and Social Care","Female","120","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","Male","90","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","ESTYN","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","ESTYN","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Female","180","50","49710","49590"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","Male","170","40","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","Female","910","870","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","Male","790","780","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","Female","70","70","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","Male","80","80","[c]","[c]"
"Leaver Dept.","2021","Home Office","Female","640","600","36500","30820"
"Leaver Dept.","2021","Home Office","Male","430","420","34640","28670"
"Leaver Dept.","2021","Ministry of Defence","Female","420","400","36240","32860"
"Leaver Dept.","2021","Ministry of Defence","Male","450","440","38280","34640"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","Female","200","190","42130","38820"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","Male","170","170","39130","33210"
"Leaver Dept.","2021","Ministry of Justice","Female","800","770","31770","26410"
"Leaver Dept.","2021","Ministry of Justice","Male","520","510","34030","29130"
"Leaver Dept.","2021","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","Male","40","40","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","Female","30","30","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Female","30","30","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other Cabinet Office Agencies","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other Cabinet Office Agencies","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","Female","50","50","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","Male","30","30","[c]","[c]"
"Leaver Dept.","2021","The National Archives","Female","[c]","[c]","[c]","[c]"
