"Status","Year","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Social Research","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Social Research","SEO/HEO","190","180","33540","32540"
"New entrant CS","2021","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","EO","90","90","26690","27200"
"New entrant CS","2021","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","SEO/HEO","220","210","34100","32540"
"New entrant CS","2021","Tax","AA/AO","2200","2140","20190","20140"
"New entrant CS","2021","Tax","EO","770","760","25620","25560"
"New entrant CS","2021","Tax","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Tax","SEO/HEO","270","270","32640","31810"
"New entrant CS","2021","Unknown","AA/AO","6540","6440","21530","21010"
"New entrant CS","2021","Unknown","EO","11610","11350","28470","27570"
"New entrant CS","2021","Unknown","G6/G7","730","710","58790","54700"
"New entrant CS","2021","Unknown","SCS","240","230","86780","73350"
"New entrant CS","2021","Unknown","SEO/HEO","1990","1970","33230","31990"
"New entrant CS","2021","Unknown","Unknown","340","330","[c]","[c]"
"New entrant CS","2021","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinarian","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinarian","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","AA/AO","70","60","20760","21220"
"New entrant CS","2022","Commercial","EO","250","240","25500","26130"
"New entrant CS","2022","Commercial","G6/G7","60","50","54230","53360"
"New entrant CS","2022","Commercial","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","SEO/HEO","410","350","35210","35000"
"New entrant CS","2022","Commercial","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","AA/AO","60","50","22050","21410"
"New entrant CS","2022","Communications","EO","140","120","27110","27270"
"New entrant CS","2022","Communications","G6/G7","90","70","56680","54190"
"New entrant CS","2022","Communications","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","SEO/HEO","310","300","35760","34710"
"New entrant CS","2022","Communications","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","AA/AO","290","280","22670","21260"
"New entrant CS","2022","Counter Fraud","EO","360","350","27850","27570"
"New entrant CS","2022","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","SEO/HEO","40","40","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","AA/AO","210","210","20440","21170"
"New entrant CS","2022","Digital, Data and Technology","EO","580","570","26660","26590"
"New entrant CS","2022","Digital, Data and Technology","G6/G7","670","650","56320","54650"
"New entrant CS","2022","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","SEO/HEO","1310","1270","36210","35900"
"New entrant CS","2022","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","AA/AO","80","70","21420","21250"
"New entrant CS","2022","Economics","EO","70","70","26960","26750"
"New entrant CS","2022","Economics","G6/G7","40","40","[c]","[c]"
"New entrant CS","2022","Economics","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","SEO/HEO","210","200","33860","33080"
"New entrant CS","2022","Finance","AA/AO","130","120","21050","21250"
"New entrant CS","2022","Finance","EO","350","320","25160","25120"
"New entrant CS","2022","Finance","G6/G7","170","160","56190","54590"
"New entrant CS","2022","Finance","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","SEO/HEO","540","500","36580","36500"
"New entrant CS","2022","Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","AA/AO","50","50","20440","20420"
"New entrant CS","2022","Geography","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","SEO/HEO","30","30","[c]","[c]"
"New entrant CS","2022","Human Resources","AA/AO","240","230","21500","21170"
"New entrant CS","2022","Human Resources","EO","320","290","25930","26350"
"New entrant CS","2022","Human Resources","G6/G7","160","150","55950","54220"
"New entrant CS","2022","Human Resources","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","SEO/HEO","410","390","34580","33080"
"New entrant CS","2022","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Inspector of Education and Training","G6/G7","80","80","72050","70500"
"New entrant CS","2022","Inspector of Education and Training","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Inspector of Education and Training","SEO/HEO","90","90","47320","46360"
"New entrant CS","2022","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","EO","130","130","27340","26590"
"New entrant CS","2022","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","SEO/HEO","80","70","33540","33080"
"New entrant CS","2022","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","SEO/HEO","40","40","[c]","[c]"
"New entrant CS","2022","International Trade","EO","60","60","[c]","[c]"
"New entrant CS","2022","International Trade","G6/G7","30","30","[c]","[c]"
"New entrant CS","2022","International Trade","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","SEO/HEO","100","100","33580","31800"
"New entrant CS","2022","Knowledge and Information Management","AA/AO","40","40","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","EO","60","60","26170","26820"
"New entrant CS","2022","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","SEO/HEO","100","90","33760","32330"
"New entrant CS","2022","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","EO","200","200","27800","27050"
"New entrant CS","2022","Legal","G6/G7","370","360","53720","51810"
"New entrant CS","2022","Legal","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","SEO/HEO","340","340","37740","38000"
"New entrant CS","2022","Medicine","AA/AO","50","50","22390","21830"
"New entrant CS","2022","Medicine","EO","40","30","[c]","[c]"
"New entrant CS","2022","Medicine","G6/G7","90","70","69340","75820"
"New entrant CS","2022","Medicine","SCS","50","40","94550","88000"
"New entrant CS","2022","Medicine","SEO/HEO","100","90","37150","39030"
"New entrant CS","2022","Medicine","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","AA/AO","17470","16940","22140","21260"
"New entrant CS","2022","Operational Delivery","EO","7860","7570","27610","27570"
"New entrant CS","2022","Operational Delivery","G6/G7","500","480","56030","53360"
"New entrant CS","2022","Operational Delivery","SCS","70","70","98580","86720"
"New entrant CS","2022","Operational Delivery","SEO/HEO","2210","2140","35440","33080"
"New entrant CS","2022","Operational Delivery","Unknown","8710","8020","28530","26310"
"New entrant CS","2022","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","SEO/HEO","80","80","32060","31550"
"New entrant CS","2022","Other","AA/AO","1120","1080","21200","21260"
"New entrant CS","2022","Other","EO","730","720","25440","26350"
"New entrant CS","2022","Other","G6/G7","140","140","57040","54110"
"New entrant CS","2022","Other","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","SEO/HEO","480","470","34530","33900"
"New entrant CS","2022","Other","Unknown","160","160","20840","16190"
"New entrant CS","2022","Planning","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","AA/AO","130","130","21360","21260"
"New entrant CS","2022","Policy","EO","730","710","26580","26180"
"New entrant CS","2022","Policy","G6/G7","640","620","54440","53170"
"New entrant CS","2022","Policy","SCS","40","40","[c]","[c]"
"New entrant CS","2022","Policy","SEO/HEO","2360","2320","34650","33570"
"New entrant CS","2022","Policy","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","AA/AO","80","80","21710","21260"
"New entrant CS","2022","Project Delivery","EO","240","230","25660","25120"
"New entrant CS","2022","Project Delivery","G6/G7","210","210","55930","54110"
"New entrant CS","2022","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","SEO/HEO","630","620","35980","35050"
"New entrant CS","2022","Project Delivery","Unknown","60","60","40190","38500"
"New entrant CS","2022","Property","AA/AO","70","70","20050","19810"
"New entrant CS","2022","Property","EO","240","240","25800","25000"
"New entrant CS","2022","Property","G6/G7","130","120","55790","53500"
"New entrant CS","2022","Property","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Property","SEO/HEO","330","320","35310","33000"
"New entrant CS","2022","Psychology","AA/AO","30","30","[c]","[c]"
"New entrant CS","2022","Psychology","EO","70","70","25100","24620"
"New entrant CS","2022","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Psychology","SEO/HEO","90","90","29420","27700"
"New entrant CS","2022","Science and Engineering","AA/AO","250","250","20770","20910"
"New entrant CS","2022","Science and Engineering","EO","360","350","25000","26370"
"New entrant CS","2022","Science and Engineering","G6/G7","140","130","54460","52610"
"New entrant CS","2022","Science and Engineering","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Science and Engineering","SEO/HEO","840","800","34400","33000"
"New entrant CS","2022","Science and Engineering","Unknown","100","100","34840","31750"
"New entrant CS","2022","Security","AA/AO","480","480","25090","24540"
"New entrant CS","2022","Security","EO","50","50","[c]","[c]"
"New entrant CS","2022","Security","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Security","SEO/HEO","110","110","36160","35530"
"New entrant CS","2022","Security","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Social Research","EO","40","40","[c]","[c]"
"New entrant CS","2022","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Social Research","SEO/HEO","240","230","33990","31000"
"New entrant CS","2022","Statistics","AA/AO","70","70","21980","22460"
"New entrant CS","2022","Statistics","EO","90","90","27120","27480"
"New entrant CS","2022","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Statistics","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Statistics","SEO/HEO","190","190","34090","33080"
"New entrant CS","2022","Tax","AA/AO","750","710","21250","21250"
"New entrant CS","2022","Tax","EO","1080","1070","26980","26590"
"New entrant CS","2022","Tax","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Tax","SEO/HEO","700","690","33860","33080"
"New entrant CS","2022","Unknown","AA/AO","2390","2320","21860","21250"
"New entrant CS","2022","Unknown","EO","2130","2090","27290","27230"
"New entrant CS","2022","Unknown","G6/G7","870","840","59450","55580"
"New entrant CS","2022","Unknown","SCS","90","90","100610","89000"
"New entrant CS","2022","Unknown","SEO/HEO","2440","2390","33750","31990"
"New entrant CS","2022","Unknown","Unknown","160","130","[c]","[c]"
"New entrant CS","2022","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Veterinarian","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Veterinarian","SEO/HEO","40","30","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at March 31st).","","","","","",""
"Responsibility_level","With the exception of the Senior Civil Service level, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","",""
"Profession_of_post","Professions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","",""
"","Cabinet Office (excl agencies) reported profession information for only 60 out of a total 9,930 employees.","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any professions information for their employees.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
