"Status","Year","Ethnicity","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","AA/AO","120","110","23260","23520"
"In post","2021","Black","Legal","EO","140","140","28390","27760"
"In post","2021","Black","Legal","G6/G7","220","220","59330","59900"
"In post","2021","Black","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","SEO/HEO","150","150","37090","36240"
"In post","2021","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","No function","AA/AO","2190","2070","25000","23500"
"In post","2021","Black","No function","EO","1020","990","28770","28170"
"In post","2021","Black","No function","G6/G7","400","390","56870","54020"
"In post","2021","Black","No function","SCS","60","50","98350","93000"
"In post","2021","Black","No function","SEO/HEO","1370","1340","37060","36160"
"In post","2021","Black","No function","Unknown","780","760","30930","28200"
"In post","2021","Black","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","EO","120","110","26580","26790"
"In post","2021","Black","Project Delivery","G6/G7","150","150","57390","58030"
"In post","2021","Black","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","SEO/HEO","370","360","36320","36160"
"In post","2021","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","EO","40","40","[c]","[c]"
"In post","2021","Black","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","SEO/HEO","70","70","38890","37580"
"In post","2021","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","AA/AO","60","60","23710","22650"
"In post","2021","Black","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","AA/AO","1420","1290","23120","23130"
"In post","2021","Black","Unknown","EO","3560","3380","29580","29500"
"In post","2021","Black","Unknown","G6/G7","200","200","60370","57680"
"In post","2021","Black","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","SEO/HEO","960","940","37770","36650"
"In post","2021","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Chinese","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Debt","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Debt","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Grants Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Legal","G6/G7","30","30","[c]","[c]"
"In post","2021","Chinese","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","No function","AA/AO","120","110","22570","21160"
"In post","2021","Chinese","No function","EO","80","80","27390","26780"
"In post","2021","Chinese","No function","G6/G7","90","90","57220","54700"
"In post","2021","Chinese","No function","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","No function","SEO/HEO","150","140","37790","36880"
"In post","2021","Chinese","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","AA/AO","110","100","21560","21010"
"In post","2021","Chinese","Unknown","EO","140","130","28290","27570"
"In post","2021","Chinese","Unknown","G6/G7","40","40","[c]","[c]"
"In post","2021","Chinese","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","SEO/HEO","90","80","37770","36840"
"In post","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Analysis","G6/G7","60","60","58100","55430"
"In post","2021","Mixed","Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Analysis","SEO/HEO","110","110","35800","34710"
"In post","2021","Mixed","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Commercial","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Communications","EO","50","50","[c]","[c]"
"In post","2021","Mixed","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Communications","SEO/HEO","80","80","36790","36360"
"In post","2021","Mixed","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Counter Fraud","EO","50","50","26980","25560"
"In post","2021","Mixed","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Counter Fraud","SEO/HEO","50","50","36880","36160"
"In post","2021","Mixed","Debt","AA/AO","30","30","[c]","[c]"
"In post","2021","Mixed","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Debt","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Digital, Data & Technology","EO","40","40","[c]","[c]"
"In post","2021","Mixed","Digital, Data & Technology","G6/G7","80","80","56450","54700"
"In post","2021","Mixed","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Digital, Data & Technology","SEO/HEO","90","90","37000","36490"
"In post","2021","Mixed","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Finance","G6/G7","40","40","[c]","[c]"
"In post","2021","Mixed","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Finance","SEO/HEO","70","70","37420","36970"
"In post","2021","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Grants Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Human Resources","G6/G7","50","50","57650","56540"
"In post","2021","Mixed","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Human Resources","SEO/HEO","80","70","35320","34640"
"In post","2021","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Legal","AA/AO","40","30","[c]","[c]"
"In post","2021","Mixed","Legal","EO","50","50","28800","27570"
"In post","2021","Mixed","Legal","G6/G7","180","170","58670","57630"
"In post","2021","Mixed","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Legal","SEO/HEO","60","60","37780","38000"
"In post","2021","Mixed","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","No function","AA/AO","970","910","23950","22490"
"In post","2021","Mixed","No function","EO","520","490","28130","27130"
"In post","2021","Mixed","No function","G6/G7","460","450","58120","54700"
"In post","2021","Mixed","No function","SCS","70","70","84430","75980"
"In post","2021","Mixed","No function","SEO/HEO","910","880","36630","35590"
"In post","2021","Mixed","No function","Unknown","350","330","30360","30210"
"In post","2021","Mixed","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Project Delivery","EO","70","60","25410","26350"
"In post","2021","Mixed","Project Delivery","G6/G7","140","140","57460","55990"
"In post","2021","Mixed","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Project Delivery","SEO/HEO","220","210","35840","36160"
"In post","2021","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Property","SEO/HEO","50","50","36810","36400"
"In post","2021","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Security","AA/AO","40","40","[c]","[c]"
"In post","2021","Mixed","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","AA/AO","740","670","21970","21010"
"In post","2021","Mixed","Unknown","EO","1300","1220","28390","27570"
"In post","2021","Mixed","Unknown","G6/G7","210","200","59720","57680"
"In post","2021","Mixed","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","SEO/HEO","510","490","37360","36650"
"In post","2021","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Commercial","AA/AO","[c]","[c]","[c]","[c]"
