"Status","Year","Function_of_post","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Policy","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","HM Treasury","40","40","[c]","[c]"
"In post","2021","Analysis","Policy","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Department for Environment, Food and Rural Affairs","480","450","33720","29750"
"In post","2021","Analysis","Science and Engineering","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Ministry of Defence","160","150","37330","37320"
"In post","2021","Analysis","Science and Engineering","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","Department for Transport","40","40","[c]","[c]"
"In post","2021","Analysis","Social Research","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","HM Revenue and Customs","80","80","45540","41760"
"In post","2021","Analysis","Social Research","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","Ministry of Justice","70","60","48710","46300"
"In post","2021","Analysis","Social Research","Office for Standards in Education","40","40","[c]","[c]"
"In post","2021","Analysis","Social Research","United Kingdom Statistics Authority","550","520","37670","37020"
"In post","2021","Analysis","Statistics","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Department for Business, Energy and Industrial Strategy","50","50","45030","42290"
"In post","2021","Analysis","Statistics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Department for Environment, Food and Rural Affairs","70","70","38190","32840"
"In post","2021","Analysis","Statistics","Department for International Trade","50","50","[c]","[c]"
"In post","2021","Analysis","Statistics","Department for Transport","120","110","45060","42890"
"In post","2021","Analysis","Statistics","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Department of Health and Social Care","50","50","[c]","[c]"
"In post","2021","Analysis","Statistics","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","HM Revenue and Customs","310","290","43830","38630"
"In post","2021","Analysis","Statistics","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Ministry of Defence","170","170","39870","37810"
"In post","2021","Analysis","Statistics","Ministry of Housing, Communities and Local Government","100","100","47480","43400"
"In post","2021","Analysis","Statistics","Ministry of Justice","110","110","45540","40480"
"In post","2021","Analysis","Statistics","Office for Standards in Education","110","110","39300","35010"
"In post","2021","Analysis","Statistics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","United Kingdom Statistics Authority","530","520","42070","37020"
"In post","2021","Analysis","Tax","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","HM Revenue and Customs","40","40","[c]","[c]"
"In post","2021","Analysis","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Department for Business, Energy and Industrial Strategy","240","230","43140","42290"
"In post","2021","Commercial","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Department for Education","190","190","40230","38000"
"In post","2021","Commercial","Commercial","Department for Environment, Food and Rural Affairs","170","160","38710","36970"
"In post","2021","Commercial","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Department for Transport","210","190","33760","31300"
"In post","2021","Commercial","Commercial","Department for Work and Pensions","30","30","[c]","[c]"
"In post","2021","Commercial","Commercial","Department of Health and Social Care","240","230","47480","40650"
"In post","2021","Commercial","Commercial","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Foreign, Commonwealth and Development Office","160","150","44440","41170"
"In post","2021","Commercial","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","HM Revenue and Customs","80","70","39720","38630"
"In post","2021","Commercial","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Ministry of Defence","1170","1130","37330","34800"
"In post","2021","Commercial","Commercial","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Ministry of Justice","880","860","46720","44760"
"In post","2021","Commercial","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Other Cabinet Office Agencies","370","360","34050","34800"
"In post","2021","Commercial","Commercial","Scottish Government","100","100","31960","25870"
"In post","2021","Commercial","Commercial","The National Archives","40","40","[c]","[c]"
"In post","2021","Commercial","Commercial","United Kingdom Statistics Authority","30","30","[c]","[c]"
"In post","2021","Commercial","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Ministry of Justice","60","60","31560","28350"
"In post","2021","Commercial","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Ministry of Defence","680","660","33520","30870"
"In post","2021","Commercial","Knowledge and Information Management","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Ministry of Justice","90","90","30350","26410"
"In post","2021","Commercial","Operational Delivery","UK Export Finance","190","190","53960","49790"
"In post","2021","Commercial","Other","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","Ministry of Defence","50","50","39920","39890"
"In post","2021","Commercial","Policy","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Ministry of Defence","60","60","47010","42610"
"In post","2021","Commercial","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Ministry of Defence","90","90","42150","41970"
"In post","2021","Commercial","Tax","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Cabinet Office","1400","1380","70770","64500"
"In post","2021","Commercial","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","HM Revenue and Customs","40","40","[c]","[c]"
"In post","2021","Commercial","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Veterinarian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Attorney General's Departments","80","80","42430","39750"
"In post","2021","Communications","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Communications","Communications","Department for Business, Energy and Industrial Strategy","230","220","43860","39820"
"In post","2021","Communications","Communications","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2021","Communications","Communications","Department for Education","330","320","39370","36780"
"In post","2021","Communications","Communications","Department for Environment, Food and Rural Affairs","270","260","41360","37560"
"In post","2021","Communications","Communications","Department for International Trade","90","90","42740","38540"
"In post","2021","Communications","Communications","Department for Transport","290","280","37840","34710"
"In post","2021","Communications","Communications","Department for Work and Pensions","30","30","[c]","[c]"
"In post","2021","Communications","Communications","Department of Health and Social Care","310","300","44020","40650"
"In post","2021","Communications","Communications","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","Communications","Communications","Foreign, Commonwealth and Development Office","140","140","47970","44670"
"In post","2021","Communications","Communications","HM Land Registry","30","30","[c]","[c]"
"In post","2021","Communications","Communications","HM Revenue and Customs","250","240","44360","39200"
"In post","2021","Communications","Communications","HM Treasury","40","40","[c]","[c]"
"In post","2021","Communications","Communications","Ministry of Defence","600","580","35110","33300"
"In post","2021","Communications","Communications","Ministry of Housing, Communities and Local Government","110","110","40730","34920"
"In post","2021","Communications","Communications","Ministry of Justice","120","110","46020","42910"
"In post","2021","Communications","Communications","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Communications","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Office for Standards in Education","40","30","[c]","[c]"
"In post","2021","Communications","Communications","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2021","Communications","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Scottish Government","40","30","[c]","[c]"
"In post","2021","Communications","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","United Kingdom Statistics Authority","90","80","37320","36030"
"In post","2021","Communications","Communications","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Corporate Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Economics","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Communications","International Trade","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Knowledge and Information Management","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","Department for Environment, Food and Rural Affairs","110","90","28870","26030"
"In post","2021","Communications","Operational Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","HM Revenue and Customs","1360","1280","29110","25560"
"In post","2021","Communications","Operational Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other","Ministry of Defence","230","220","23990","20510"
"In post","2021","Communications","Other","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Science and Engineering","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Tax","HM Revenue and Customs","2140","2070","27400","25560"
"In post","2021","Communications","Unknown","Cabinet Office","340","340","47180","42190"
"In post","2021","Communications","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","HM Revenue and Customs","430","430","30660","25560"
"In post","2021","Communications","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Attorney General's Departments","250","240","45590","40000"
"In post","2021","Counter Fraud","Counter Fraud","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Department for Business, Energy and Industrial Strategy","260","250","39330","39170"
"In post","2021","Counter Fraud","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Department for Transport","60","60","30410","26780"
"In post","2021","Counter Fraud","Counter Fraud","Food Standards Agency","60","60","38850","37630"
"In post","2021","Counter Fraud","Counter Fraud","HM Treasury","40","30","[c]","[c]"
"In post","2021","Counter Fraud","Economics","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Intelligence Analysis","HM Revenue and Customs","200","190","37880","36160"
"In post","2021","Counter Fraud","Knowledge and Information Management","HM Revenue and Customs","40","30","[c]","[c]"
"In post","2021","Counter Fraud","Legal","HM Revenue and Customs","3340","3190","31380","29570"
"In post","2021","Counter Fraud","Operational Delivery","HM Revenue and Customs","2890","2660","30150","28130"
"In post","2021","Counter Fraud","Operational Research","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other","HM Revenue and Customs","340","300","38680","32520"
"In post","2021","Counter Fraud","Policy","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Tax","HM Revenue and Customs","1910","1790","39290","35000"
"In post","2021","Counter Fraud","Unknown","Cabinet Office","90","90","47100","49700"
"In post","2021","Counter Fraud","Unknown","HM Revenue and Customs","120","120","32440","31810"
