"Status","Year","Region_ITL3","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedford","East of England","Department for Work and Pensions (excl. agencies)","170","150","27950","27570"
"In post","2021","Bedford","East of England","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2021","Bedford","East of England","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","East of England","Health and Safety Executive","60","60","43690","45100"
"In post","2021","Bedford","East of England","HM Courts and Tribunals Service","30","30","[c]","[c]"
"In post","2021","Bedford","East of England","HM Prison and Probation Service","370","350","29520","29920"
"In post","2021","Bedford","East of England","Home Office (incl. agencies)","120","110","28790","26160"
"In post","2021","Bedford","East of England","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","East of England","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","East of England","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","East of England","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Northern Ireland","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Northern Ireland","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Northern Ireland","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Northern Ireland","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Northern Ireland","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Northern Ireland","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Northern Ireland","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Northern Ireland","Food Standards Agency","80","80","38880","37910"
"In post","2021","Belfast","Northern Ireland","HM Revenue and Customs (excl. agencies)","1990","1850","28520","25560"
"In post","2021","Belfast","Northern Ireland","Home Office (incl. agencies)","460","410","24980","24880"
"In post","2021","Belfast","Northern Ireland","Ministry of Defence (excl. agencies)","60","60","21760","20310"
"In post","2021","Belfast","Northern Ireland","National Crime Agency","110","110","39890","39200"
"In post","2021","Belfast","Northern Ireland","Northern Ireland Office","90","80","38110","34990"
"In post","2021","Berkshire","South East (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","South East (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","South East (England)","Crown Prosecution Service","140","130","43310","40000"
"In post","2021","Berkshire","South East (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","South East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","180","180","40880","36970"
"In post","2021","Berkshire","South East (England)","Department for International Trade","120","110","47060","51860"
"In post","2021","Berkshire","South East (England)","Department for Work and Pensions (excl. agencies)","460","420","29410","29290"
"In post","2021","Berkshire","South East (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","South East (England)","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2021","Berkshire","South East (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","South East (England)","HM Courts and Tribunals Service","120","110","25660","22450"
"In post","2021","Berkshire","South East (England)","HM Prison and Probation Service","150","140","29290","24870"
"In post","2021","Berkshire","South East (England)","HM Revenue and Customs (excl. agencies)","310","290","34710","32520"
"In post","2021","Berkshire","South East (England)","Home Office (incl. agencies)","50","40","[c]","[c]"
"In post","2021","Berkshire","South East (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","South East (England)","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","South East (England)","Ministry of Defence (excl. agencies)","1020","1010","34380","33300"
"In post","2021","Berkshire","South East (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","South East (England)","National Crime Agency","110","110","39480","39570"
"In post","2021","Berkshire","South East (England)","Rural Payments Agency","180","170","30530","25770"
"In post","2021","Berkshire","South East (England)","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","London","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","London","Department for Work and Pensions (excl. agencies)","390","360","31090","31060"
"In post","2021","Bexley and Greenwich","London","Driver and Vehicle Standards Agency","50","50","32970","30780"
"In post","2021","Bexley and Greenwich","London","HM Courts and Tribunals Service","70","60","24080","23500"
"In post","2021","Bexley and Greenwich","London","HM Prison and Probation Service","1110","1070","32270","32700"
"In post","2021","Bexley and Greenwich","London","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","London","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","London","Ministry of Defence (excl. agencies)","120","110","33260","33950"
"In post","2021","Bexley and Greenwich","London","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","West Midlands (England)","Advisory, Conciliation and Arbitration Service","90","80","30970","30950"
"In post","2021","Birmingham","West Midlands (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","West Midlands (England)","Crown Commercial Service","30","30","[c]","[c]"
"In post","2021","Birmingham","West Midlands (England)","Crown Prosecution Service","490","460","39820","38000"
"In post","2021","Birmingham","West Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","150","150","40000","36740"
"In post","2021","Birmingham","West Midlands (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","West Midlands (England)","Department for Transport (excl. agencies)","60","60","34990","30730"
"In post","2021","Birmingham","West Midlands (England)","Department for Work and Pensions (excl. agencies)","2160","1920","26690","27570"
"In post","2021","Birmingham","West Midlands (England)","Driver and Vehicle Standards Agency","90","90","27620","26700"
"In post","2021","Birmingham","West Midlands (England)","Food Standards Agency","70","70","39260","37910"
"In post","2021","Birmingham","West Midlands (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","West Midlands (England)","Government Property Agency","40","40","[c]","[c]"
"In post","2021","Birmingham","West Midlands (England)","Health and Safety Executive","80","80","44170","46320"
"In post","2021","Birmingham","West Midlands (England)","HM Courts and Tribunals Service","880","810","23250","20650"
"In post","2021","Birmingham","West Midlands (England)","HM Prison and Probation Service","1020","970","29800","28080"
"In post","2021","Birmingham","West Midlands (England)","HM Revenue and Customs (excl. agencies)","2810","2630","31160","28130"
"In post","2021","Birmingham","West Midlands (England)","Home Office (incl. agencies)","130","120","29970","25310"
"In post","2021","Birmingham","West Midlands (England)","Insolvency Service","420","400","31260","26410"
"In post","2021","Birmingham","West Midlands (England)","Legal Aid Agency","110","110","25030","21170"
"In post","2021","Birmingham","West Midlands (England)","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","West Midlands (England)","Ministry of Defence (excl. agencies)","260","250","34060","33300"
"In post","2021","Birmingham","West Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","130","130","38760","36340"
"In post","2021","Birmingham","West Midlands (England)","Ministry of Justice (excl. agencies)","130","130","43030","41240"
"In post","2021","Birmingham","West Midlands (England)","National Crime Agency","410","400","37700","36410"
"In post","2021","Birmingham","West Midlands (England)","Office for Standards in Education, Children's Services and Skills","150","150","55180","51360"
"In post","2021","Birmingham","West Midlands (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","West Midlands (England)","Office of the Public Guardian","990","920","22300","19930"
"In post","2021","Birmingham","West Midlands (England)","Public Health England","450","410","41950","35160"
"In post","2021","Birmingham","West Midlands (England)","Valuation Office Agency","180","160","33490","31100"
"In post","2021","Birmingham","West Midlands (England)","Water Services Regulation Authority","180","170","50470","47200"
"In post","2021","Blackburn with Darwen","North West (England)","Department for Work and Pensions (excl. agencies)","350","310","26610","27570"
"In post","2021","Blackburn with Darwen","North West (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","North West (England)","HM Courts and Tribunals Service","40","40","[c]","[c]"
"In post","2021","Blackburn with Darwen","North West (England)","HM Prison and Probation Service","70","60","28460","28200"
"In post","2021","Blackburn with Darwen","North West (England)","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","North West (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","North West (England)","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","North West (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","North West (England)","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Blackpool","North West (England)","Department for Work and Pensions (excl. agencies)","4900","4470","28740","27570"
"In post","2021","Blackpool","North West (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","North West (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","North West (England)","HM Courts and Tribunals Service","50","40","[c]","[c]"
"In post","2021","Blackpool","North West (England)","HM Prison and Probation Service","70","70","29310","30210"
"In post","2021","Blackpool","North West (England)","Insolvency Service","50","50","[c]","[c]"
"In post","2021","Blackpool","North West (England)","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","North West (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","North West (England)","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","South West (England)","Department for Work and Pensions (excl. agencies)","280","240","27400","27570"
"In post","2021","Bournemouth and Poole","South West (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","South West (England)","HM Courts and Tribunals Service","120","110","23130","20100"
"In post","2021","Bournemouth and Poole","South West (England)","HM Prison and Probation Service","110","90","30530","28200"
"In post","2021","Bournemouth and Poole","South West (England)","Home Office (incl. agencies)","80","70","28110","27260"
"In post","2021","Bournemouth and Poole","South West (England)","Ministry of Defence (excl. agencies)","100","100","24170","20920"
"In post","2021","Bournemouth and Poole","South West (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Yorkshire and The Humber","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Yorkshire and The Humber","Department for Work and Pensions (excl. agencies)","900","790","25300","27570"
"In post","2021","Bradford","Yorkshire and The Humber","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Yorkshire and The Humber","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Yorkshire and The Humber","HM Courts and Tribunals Service","210","180","21530","20100"
"In post","2021","Bradford","Yorkshire and The Humber","HM Prison and Probation Service","120","120","30320","30210"
"In post","2021","Bradford","Yorkshire and The Humber","HM Revenue and Customs (excl. agencies)","1840","1640","28530","25560"
"In post","2021","Bradford","Yorkshire and The Humber","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","East of England","Department for Work and Pensions (excl. agencies)","60","50","27890","27570"
"In post","2021","Breckland and South Norfolk","East of England","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","East of England","HM Prison and Probation Service","430","410","28250","25790"
"In post","2021","Breckland and South Norfolk","East of England","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","East of England","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","East of England","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","East of England","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Brent","London","Department for Work and Pensions (excl. agencies)","260","240","30440","31060"
"In post","2021","Brent","London","HM Courts and Tribunals Service","150","130","27380","23500"
"In post","2021","Brent","London","HM Prison and Probation Service","60","60","32140","28690"
"In post","2021","Brent","London","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Brent","London","Valuation Office Agency","140","130","37250","34280"
"In post","2021","Bridgend and Neath Port Talbot","Wales","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Wales","Department for Work and Pensions (excl. agencies)","460","400","25730","27570"
"In post","2021","Bridgend and Neath Port Talbot","Wales","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Wales","HM Courts and Tribunals Service","100","90","21610","19830"
"In post","2021","Bridgend and Neath Port Talbot","Wales","HM Prison and Probation Service","70","60","34790","31760"
"In post","2021","Bridgend and Neath Port Talbot","Wales","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Wales","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Wales","National Crime Agency","60","60","37280","36410"
"In post","2021","Bridgend and Neath Port Talbot","Wales","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","South East (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","South East (England)","Crown Prosecution Service","110","100","42660","36240"
"In post","2021","Brighton and Hove","South East (England)","Department for Work and Pensions (excl. agencies)","280","250","27580","27570"
"In post","2021","Brighton and Hove","South East (England)","HM Courts and Tribunals Service","130","110","24400","20650"
"In post","2021","Brighton and Hove","South East (England)","HM Prison and Probation Service","90","80","30110","28200"
"In post","2021","Brighton and Hove","South East (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","South East (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","South East (England)","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","South East (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","South West (England)","Advisory, Conciliation and Arbitration Service","60","50","33460","30970"
"In post","2021","Bristol, City of","South West (England)","Animal and Plant Health Agency","50","50","25450","21050"
"In post","2021","Bristol, City of","South West (England)","Cabinet Office (excl. agencies)","70","60","43300","38420"
"In post","2021","Bristol, City of","South West (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","South West (England)","Crown Prosecution Service","150","140","40450","38000"
"In post","2021","Bristol, City of","South West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","South West (England)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","South West (England)","Department for Education (excl. agencies)","140","130","46090","42220"
"In post","2021","Bristol, City of","South West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","770","730","40680","36970"
"In post","2021","Bristol, City of","South West (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","South West (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","South West (England)","Department for Work and Pensions (excl. agencies)","850","740","26080","27570"
"In post","2021","Bristol, City of","South West (England)","Driver and Vehicle Standards Agency","300","280","35290","31770"
"In post","2021","Bristol, City of","South West (England)","Education and Skills Funding Agency","80","80","39360","36780"
"In post","2021","Bristol, City of","South West (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","South West (England)","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","South West (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","South West (England)","Health and Safety Executive","50","50","46980","46320"
"In post","2021","Bristol, City of","South West (England)","HM Courts and Tribunals Service","240","220","23270","20650"
"In post","2021","Bristol, City of","South West (England)","HM Prison and Probation Service","510","480","28340","25380"
"In post","2021","Bristol, City of","South West (England)","HM Revenue and Customs (excl. agencies)","1290","1220","35180","31810"
"In post","2021","Bristol, City of","South West (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","South West (England)","Insolvency Service","50","50","[c]","[c]"
"In post","2021","Bristol, City of","South West (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","South West (England)","Legal Aid Agency","60","60","25430","22570"
"In post","2021","Bristol, City of","South West (England)","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Bristol, City of","South West (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","70","60","42060","38160"
"In post","2021","Bristol, City of","South West (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","South West (England)","Office for Standards in Education, Children's Services and Skills","280","270","43010","35010"
"In post","2021","Bristol, City of","South West (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","South West (England)","Planning Inspectorate","810","740","43430","42050"
"In post","2021","Bristol, City of","South West (England)","Public Health England","360","320","40130","34660"
"In post","2021","Bristol, City of","South West (England)","Rural Payments Agency","30","30","[c]","[c]"
"In post","2021","Bristol, City of","South West (England)","Valuation Office Agency","110","90","35950","32100"
"In post","2021","Bristol, City of","South West (England)","Vehicle Certification Agency","130","120","33750","28980"
"In post","2021","Bromley","London","Department for Work and Pensions (excl. agencies)","280","260","31150","31060"
"In post","2021","Bromley","London","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bromley","London","HM Courts and Tribunals Service","140","130","25280","22450"
"In post","2021","Bromley","London","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
