"Status","Year","Disability","Region_ITL1","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","East of England","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Declared disabled","East of England","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Finance","30","30","[c]","[c]"
"In post","2021","Declared disabled","East of England","Human Resources","30","30","[c]","[c]"
"In post","2021","Declared disabled","East of England","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","Declared disabled","East of England","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Legal","70","60","41220","37640"
"In post","2021","Declared disabled","East of England","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Operational Delivery","1000","920","27790","26550"
"In post","2021","Declared disabled","East of England","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Other","110","100","23140","21130"
"In post","2021","Declared disabled","East of England","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Project Delivery","60","60","38870","37970"
"In post","2021","Declared disabled","East of England","Property","50","50","34120","33300"
"In post","2021","Declared disabled","East of England","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Science and Engineering","60","60","33660","31700"
"In post","2021","Declared disabled","East of England","Security","50","50","36440","39070"
"In post","2021","Declared disabled","East of England","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Tax","40","30","[c]","[c]"
"In post","2021","Declared disabled","East of England","Unknown","880","780","28270","27570"
"In post","2021","Declared disabled","East of England","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Commercial","80","80","44430","41030"
"In post","2021","Declared disabled","London","Communications","100","100","43530","39600"
"In post","2021","Declared disabled","London","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Digital, Data and Technology","230","230","46710","42850"
"In post","2021","Declared disabled","London","Economics","80","80","47460","49100"
"In post","2021","Declared disabled","London","Finance","180","170","47780","43610"
"In post","2021","Declared disabled","London","Human Resources","300","290","47690","42230"
"In post","2021","Declared disabled","London","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Intelligence Analysis","130","120","38230","35680"
"In post","2021","Declared disabled","London","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","International Trade","70","70","46760","40840"
"In post","2021","Declared disabled","London","Knowledge and Information Management","80","80","38140","34010"
"In post","2021","Declared disabled","London","Legal","340","320","55390","56560"
"In post","2021","Declared disabled","London","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Operational Delivery","2480","2320","33050","30010"
"In post","2021","Declared disabled","London","Operational Research","30","30","[c]","[c]"
"In post","2021","Declared disabled","London","Other","290","280","35100","29270"
"In post","2021","Declared disabled","London","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Policy","1670","1630","47050","41970"
"In post","2021","Declared disabled","London","Project Delivery","330","320","47520","42170"
"In post","2021","Declared disabled","London","Property","80","80","41460","35390"
"In post","2021","Declared disabled","London","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Science and Engineering","70","60","45130","40960"
"In post","2021","Declared disabled","London","Security","100","100","39010","37640"
"In post","2021","Declared disabled","London","Social Research","40","40","[c]","[c]"
"In post","2021","Declared disabled","London","Statistics","80","80","45680","41760"
"In post","2021","Declared disabled","London","Tax","200","190","42460","39800"
"In post","2021","Declared disabled","London","Unknown","2140","2000","37280","31060"
"In post","2021","Declared disabled","London","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Digital, Data and Technology","50","50","38150","36950"
"In post","2021","Declared disabled","North East (England)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Legal","40","40","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Operational Delivery","1320","1150","25260","21550"
"In post","2021","Declared disabled","North East (England)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Policy","40","40","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Project Delivery","80","70","39220","38630"
"In post","2021","Declared disabled","North East (England)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Tax","140","130","30120","29970"
"In post","2021","Declared disabled","North East (England)","Unknown","1620","1400","25980","27570"
"In post","2021","Declared disabled","North East (England)","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Commercial","50","50","38100","37040"
"In post","2021","Declared disabled","North West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Digital, Data and Technology","80","70","38530","33690"
"In post","2021","Declared disabled","North West (England)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Finance","70","70","35590","33260"
"In post","2021","Declared disabled","North West (England)","Human Resources","120","120","37150","31810"
"In post","2021","Declared disabled","North West (England)","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Intelligence Analysis","30","30","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Legal","100","90","44260","45100"
"In post","2021","Declared disabled","North West (England)","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Operational Delivery","2680","2410","26750","24890"
"In post","2021","Declared disabled","North West (England)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Other","100","90","26100","22080"
"In post","2021","Declared disabled","North West (England)","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Policy","120","120","38690","36340"
"In post","2021","Declared disabled","North West (England)","Project Delivery","130","130","37890","36460"
"In post","2021","Declared disabled","North West (England)","Property","50","40","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Science and Engineering","50","40","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Tax","240","220","34680","31810"
"In post","2021","Declared disabled","North West (England)","Unknown","3040","2680","26270","27570"
"In post","2021","Declared disabled","North West (England)","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Operational Delivery","150","130","25830","25310"
"In post","2021","Declared disabled","Northern Ireland","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Other","40","40","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Tax","50","50","32580","31810"
"In post","2021","Declared disabled","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Policy","130","130","49730","52720"
"In post","2021","Declared disabled","Overseas","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Digital, Data and Technology","50","50","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Finance","60","50","25350","21440"
"In post","2021","Declared disabled","Scotland","Human Resources","90","80","29490","25000"
"In post","2021","Declared disabled","Scotland","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Legal","70","60","47690","44990"
"In post","2021","Declared disabled","Scotland","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Operational Delivery","1150","1030","28250","25870"
"In post","2021","Declared disabled","Scotland","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Other","160","150","28640","25560"
"In post","2021","Declared disabled","Scotland","Policy","30","30","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Project Delivery","60","50","39500","38630"
"In post","2021","Declared disabled","Scotland","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Security","60","60","30150","26670"
"In post","2021","Declared disabled","Scotland","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Tax","130","120","32970","31810"
"In post","2021","Declared disabled","Scotland","Unknown","2490","2250","30430","27570"
"In post","2021","Declared disabled","Scotland","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South East (England)","Commercial","40","40","[c]","[c]"
"In post","2021","Declared disabled","South East (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South East (England)","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South East (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South East (England)","Digital, Data and Technology","80","80","35070","33300"
"In post","2021","Declared disabled","South East (England)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South East (England)","Finance","80","70","34800","32950"
"In post","2021","Declared disabled","South East (England)","Human Resources","60","60","38670","33300"
"In post","2021","Declared disabled","South East (England)","Intelligence Analysis","40","30","[c]","[c]"
"In post","2021","Declared disabled","South East (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South East (England)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South East (England)","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","Declared disabled","South East (England)","Legal","60","50","49830","50520"
"In post","2021","Declared disabled","South East (England)","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South East (England)","Operational Delivery","1770","1610","28180","26340"
"In post","2021","Declared disabled","South East (England)","Operational Research","60","60","39460","37320"
"In post","2021","Declared disabled","South East (England)","Other","280","260","26330","22080"
"In post","2021","Declared disabled","South East (England)","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South East (England)","Policy","40","40","[c]","[c]"
"In post","2021","Declared disabled","South East (England)","Project Delivery","180","170","37870","33500"
"In post","2021","Declared disabled","South East (England)","Property","80","80","33980","33300"
"In post","2021","Declared disabled","South East (England)","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South East (England)","Science and Engineering","210","210","35280","33300"
"In post","2021","Declared disabled","South East (England)","Security","130","130","32040","28750"
"In post","2021","Declared disabled","South East (England)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South East (England)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South East (England)","Tax","60","50","33860","32100"
"In post","2021","Declared disabled","South East (England)","Unknown","1230","1090","27570","27570"
"In post","2021","Declared disabled","South East (England)","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South West (England)","Commercial","170","160","39890","37560"
"In post","2021","Declared disabled","South West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South West (England)","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South West (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South West (England)","Digital, Data and Technology","190","180","36970","34700"
"In post","2021","Declared disabled","South West (England)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South West (England)","Finance","120","110","37560","34490"
"In post","2021","Declared disabled","South West (England)","Human Resources","120","110","36330","32980"
"In post","2021","Declared disabled","South West (England)","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South West (England)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South West (England)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South West (England)","Knowledge and Information Management","70","70","36420","33300"
"In post","2021","Declared disabled","South West (England)","Legal","40","40","[c]","[c]"
"In post","2021","Declared disabled","South West (England)","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South West (England)","Operational Delivery","1050","950","28600","26660"
"In post","2021","Declared disabled","South West (England)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South West (England)","Other","500","470","29100","26060"
"In post","2021","Declared disabled","South West (England)","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South West (England)","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South West (England)","Policy","70","70","38320","35900"
"In post","2021","Declared disabled","South West (England)","Project Delivery","420","400","38330","36500"
"In post","2021","Declared disabled","South West (England)","Property","80","80","35570","33300"
"In post","2021","Declared disabled","South West (England)","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South West (England)","Science and Engineering","540","520","37380","37320"
"In post","2021","Declared disabled","South West (England)","Security","100","100","28550","23920"
"In post","2021","Declared disabled","South West (England)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South West (England)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South West (England)","Tax","70","60","38830","31940"
"In post","2021","Declared disabled","South West (England)","Unknown","1130","980","26900","27570"
"In post","2021","Declared disabled","South West (England)","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","160","150","30580","27570"
"In post","2021","Declared disabled","Wales","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales","Digital, Data and Technology","110","110","39320","36930"
"In post","2021","Declared disabled","Wales","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales","Finance","40","40","[c]","[c]"
"In post","2021","Declared disabled","Wales","Human Resources","80","70","36060","31840"
"In post","2021","Declared disabled","Wales","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales","Legal","50","40","[c]","[c]"
"In post","2021","Declared disabled","Wales","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales","Operational Delivery","1630","1420","25520","21590"
"In post","2021","Declared disabled","Wales","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales","Other","80","80","32160","29260"
"In post","2021","Declared disabled","Wales","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales","Policy","110","100","38760","37410"
"In post","2021","Declared disabled","Wales","Project Delivery","40","40","[c]","[c]"
"In post","2021","Declared disabled","Wales","Property","40","40","[c]","[c]"
"In post","2021","Declared disabled","Wales","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales","Science and Engineering","60","50","36430","30040"
"In post","2021","Declared disabled","Wales","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales","Social Research","30","30","[c]","[c]"
"In post","2021","Declared disabled","Wales","Statistics","30","30","[c]","[c]"
"In post","2021","Declared disabled","Wales","Tax","130","120","34050","31810"
"In post","2021","Declared disabled","Wales","Unknown","980","870","25810","27570"
"In post","2021","Declared disabled","Wales","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","West Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","West Midlands (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","West Midlands (England)","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","West Midlands (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","West Midlands (England)","Digital, Data and Technology","80","80","38220","35000"
"In post","2021","Declared disabled","West Midlands (England)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","West Midlands (England)","Finance","50","50","42150","38630"
"In post","2021","Declared disabled","West Midlands (England)","Human Resources","30","30","[c]","[c]"
"In post","2021","Declared disabled","West Midlands (England)","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","West Midlands (England)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","West Midlands (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","West Midlands (England)","International Trade","[c]","[c]","[c]","[c]"
