"Status","Year","Organisation","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Defence Equipment and Support","Other","Project Delivery","2930","2810","31430","28290"
"In post","2021","Defence Equipment and Support","Other","Property","60","60","37690","35230"
"In post","2021","Defence Equipment and Support","Other","Unknown","40","40","[c]","[c]"
"In post","2021","Defence Equipment and Support","Policy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Policy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Policy","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Policy","Project Delivery","50","40","[c]","[c]"
"In post","2021","Defence Equipment and Support","Policy","Property","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Project Delivery","Commercial","60","60","47010","42610"
"In post","2021","Defence Equipment and Support","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Project Delivery","Finance","60","60","43620","39940"
"In post","2021","Defence Equipment and Support","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Project Delivery","Project Delivery","2070","2010","39920","39000"
"In post","2021","Defence Equipment and Support","Project Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Project Delivery","Unknown","50","50","[c]","[c]"
"In post","2021","Defence Equipment and Support","Property","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Property","Project Delivery","70","70","36240","33740"
"In post","2021","Defence Equipment and Support","Property","Property","40","40","[c]","[c]"
"In post","2021","Defence Equipment and Support","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Science and Engineering","Commercial","90","90","42150","41970"
"In post","2021","Defence Equipment and Support","Science and Engineering","Project Delivery","2460","2410","36780","35740"
"In post","2021","Defence Equipment and Support","Science and Engineering","Property","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Security","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Security","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Security","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Security","Property","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Commercial","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Commercial","Commercial","70","60","33560","35470"
"In post","2021","Defence Science and Technology Laboratory","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Communications","No function","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Corporate Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Corporate Finance","Finance","50","50","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Corporate Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Digital, Data and Technology","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Digital, Data and Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Digital, Data and Technology","Project Delivery","110","110","45640","46080"
"In post","2021","Defence Science and Technology Laboratory","Economics","No function","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Human Resources","Human Resources","70","70","33540","28650"
"In post","2021","Defence Science and Technology Laboratory","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Intelligence Analysis","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Knowledge and Information Management","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Knowledge and Information Management","Project Delivery","40","40","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Medicine","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Operational Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Operational Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Operational Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Operational Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Operational Delivery","Project Delivery","360","340","38520","37320"
"In post","2021","Defence Science and Technology Laboratory","Operational Research","Analysis","250","240","41950","46080"
"In post","2021","Defence Science and Technology Laboratory","Operational Research","No function","230","220","43430","46080"
"In post","2021","Defence Science and Technology Laboratory","Operational Research","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Other","No function","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Project Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Project Delivery","Finance","[c]","[c]","[c]","[c]"
