"Status","Year","Organisation","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Unknown","1090","1040","39230","35590"
"In post","2021","Cabinet Office (excl. agencies)","Legal","Unknown","60","50","79760","79760"
"In post","2021","Cabinet Office (excl. agencies)","No function","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Unknown","4120","4080","40640","32000"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","Unknown","190","190","69400","62550"
"In post","2021","Cabinet Office (excl. agencies)","Property","Unknown","100","100","50780","52720"
"In post","2021","Cabinet Office (excl. agencies)","Security","Unknown","870","840","33080","33300"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Analysis","Science and Engineering","480","450","33720","29750"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","No function","Other","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Operational Delivery","60","60","33860","29270"
"In post","2021","Charity Commission","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Grants Management","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Unknown","220","210","32810","29160"
"In post","2021","Companies House","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Digital, Data & Technology","Digital, Data and Technology","260","250","38840","38000"
"In post","2021","Companies House","Finance","Finance","60","50","30930","27460"
"In post","2021","Companies House","Human Resources","Human Resources","90","80","33040","27460"
"In post","2021","Companies House","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","No function","Operational Delivery","580","520","24590","22490"
"In post","2021","Companies House","No function","Other","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","No function","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Analysis","Economics","90","90","62530","59510"
"In post","2021","Competition and Markets Authority","Analysis","Intelligence Analysis","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Analysis","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Communications","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data & Technology","Digital, Data and Technology","70","60","56530","54550"
"In post","2021","Competition and Markets Authority","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","Human Resources","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","Legal","130","120","70480","72430"
"In post","2021","Competition and Markets Authority","Legal","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","Project Delivery","380","360","60880","56360"
"In post","2021","Competition and Markets Authority","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","No function","Operational Delivery","290","270","25500","22570"
"In post","2021","Criminal Injuries Compensation Authority","No function","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Commercial","Commercial","370","360","34050","34800"
"In post","2021","Crown Commercial Service","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Digital, Data & Technology","Digital, Data and Technology","120","110","41230","35760"
"In post","2021","Crown Commercial Service","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","Human Resources","30","30","[c]","[c]"
"In post","2021","Crown Commercial Service","No function","Operational Delivery","180","180","40500","35520"
"In post","2021","Crown Commercial Service","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Digital, Data & Technology","Digital, Data and Technology","50","50","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Human Resources","Human Resources","30","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Legal","Legal","600","560","54610","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","No function","Operational Delivery","1270","1170","26330","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","No function","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","Communications","50","50","41310","39750"
"In post","2021","Crown Prosecution Service","Digital, Data & Technology","Digital, Data and Technology","100","100","40070","38180"
"In post","2021","Crown Prosecution Service","Digital, Data & Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Finance","Finance","90","90","32650","30130"
"In post","2021","Crown Prosecution Service","Human Resources","Human Resources","140","140","40720","35610"
"In post","2021","Crown Prosecution Service","Legal","Legal","3190","2960","54980","55610"
"In post","2021","Crown Prosecution Service","Legal","Operational Delivery","3050","2820","27280","25480"
"In post","2021","Crown Prosecution Service","Security","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Security","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Unknown","Policy","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Legal","Other","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Analysis","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Debt","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Digital, Data & Technology","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","Debt Management Office","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Legal","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Security","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Security","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Project Delivery","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Project Delivery","Operational Delivery","60","60","30360","28110"
"In post","2021","Defence Electronics and Components Agency","Project Delivery","Other","30","30","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Project Delivery","Science and Engineering","240","230","26900","28750"
"In post","2021","Defence Electronics and Components Agency","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Commercial","Commercial","60","60","48790","37530"
"In post","2021","Defence Equipment and Support","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Commercial","Other","50","50","39920","39890"
"In post","2021","Defence Equipment and Support","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Commercial","Project Delivery","60","60","47010","42610"
"In post","2021","Defence Equipment and Support","Commercial","Science and Engineering","90","90","42150","41970"
"In post","2021","Defence Equipment and Support","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Communications","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Communications","Other","230","220","23990","20510"
"In post","2021","Defence Equipment and Support","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Communications","Property","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Digital, Data & Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Finance","Finance","210","200","33300","25560"
"In post","2021","Defence Equipment and Support","Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Finance","Other","120","100","40450","32860"
"In post","2021","Defence Equipment and Support","Finance","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Finance","Project Delivery","60","60","43620","39940"
"In post","2021","Defence Equipment and Support","Finance","Security","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Human Resources","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Human Resources","Human Resources","170","160","38940","33740"
"In post","2021","Defence Equipment and Support","Human Resources","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Human Resources","Other","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Project Delivery","Commercial","800","760","38640","35080"
"In post","2021","Defence Equipment and Support","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Project Delivery","Digital, Data and Technology","320","310","41550","41570"
"In post","2021","Defence Equipment and Support","Project Delivery","Finance","240","230","43400","39980"
"In post","2021","Defence Equipment and Support","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Project Delivery","Knowledge and Information Management","140","130","34950","33080"
"In post","2021","Defence Equipment and Support","Project Delivery","Other","2930","2810","31430","28290"
"In post","2021","Defence Equipment and Support","Project Delivery","Policy","50","40","[c]","[c]"
"In post","2021","Defence Equipment and Support","Project Delivery","Project Delivery","2070","2010","39920","39000"
"In post","2021","Defence Equipment and Support","Project Delivery","Property","70","70","36240","33740"
"In post","2021","Defence Equipment and Support","Project Delivery","Science and Engineering","2460","2410","36780","35740"
"In post","2021","Defence Equipment and Support","Project Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Property","Commercial","30","30","[c]","[c]"
"In post","2021","Defence Equipment and Support","Property","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Property","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","Defence Equipment and Support","Property","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Property","Other","60","60","37690","35230"
"In post","2021","Defence Equipment and Support","Property","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Property","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Property","Property","40","40","[c]","[c]"
"In post","2021","Defence Equipment and Support","Property","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Property","Security","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Unknown","Other","40","40","[c]","[c]"
"In post","2021","Defence Equipment and Support","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Unknown","Project Delivery","50","50","[c]","[c]"
"In post","2021","Defence Equipment and Support","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Analysis","Operational Research","250","240","41950","46080"
"In post","2021","Defence Science and Technology Laboratory","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Analysis","Science and Engineering","160","150","37330","37320"
"In post","2021","Defence Science and Technology Laboratory","Analysis","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Commercial","Commercial","70","60","33560","35470"
"In post","2021","Defence Science and Technology Laboratory","Commercial","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Digital, Data & Technology","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Finance","Corporate Finance","50","50","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Finance","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Human Resources","Human Resources","70","70","33540","28650"
"In post","2021","Defence Science and Technology Laboratory","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","No function","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","No function","Operational Research","230","220","43430","46080"
"In post","2021","Defence Science and Technology Laboratory","No function","Other","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","No function","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","No function","Science and Engineering","2320","2250","40080","37360"
"In post","2021","Defence Science and Technology Laboratory","No function","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Project Delivery","Corporate Finance","[c]","[c]","[c]","[c]"
