"Status","Year","Organisation","Sex","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Declared disabled","260","250","46900","41660"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Declared non-disabled","1800","1720","48400","49080"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Undeclared","120","120","48240","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Unknown","430","420","44300","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Declared disabled","220","220","46810","40220"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Declared non-disabled","1890","1870","51560","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Undeclared","160","160","52220","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Unknown","450","450","45270","40050"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Declared disabled","70","70","46980","39190"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Declared non-disabled","720","700","48500","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Undeclared","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Unknown","140","130","47880","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Declared disabled","50","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Declared non-disabled","610","610","50940","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Undeclared","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Unknown","120","120","49100","47930"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Female","Declared disabled","320","300","41790","37100"
"In post","2021","Department for Education (excl. agencies)","Female","Declared non-disabled","2250","2120","44990","41990"
"In post","2021","Department for Education (excl. agencies)","Female","Undeclared","150","140","44190","40230"
"In post","2021","Department for Education (excl. agencies)","Female","Unknown","640","620","40160","36500"
"In post","2021","Department for Education (excl. agencies)","Male","Declared disabled","200","190","41870","36960"
"In post","2021","Department for Education (excl. agencies)","Male","Declared non-disabled","1600","1590","47150","45850"
"In post","2021","Department for Education (excl. agencies)","Male","Undeclared","120","120","45580","40940"
"In post","2021","Department for Education (excl. agencies)","Male","Unknown","420","410","39720","36500"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","Declared disabled","340","320","40050","36970"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","Declared non-disabled","2040","1920","41640","37240"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","Undeclared","130","130","40660","36970"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","Unknown","460","430","42990","38750"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","Declared disabled","250","250","40900","36970"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","Declared non-disabled","1730","1720","43940","39490"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","Undeclared","90","90","42100","39870"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","Unknown","370","370","43430","38750"
"In post","2021","Department for International Trade","Female","Declared disabled","100","100","45360","41640"
"In post","2021","Department for International Trade","Female","Declared non-disabled","640","620","46030","40810"
"In post","2021","Department for International Trade","Female","Undeclared","30","30","[c]","[c]"
"In post","2021","Department for International Trade","Female","Unknown","500","490","42690","38540"
"In post","2021","Department for International Trade","Male","Declared disabled","100","100","44850","38540"
"In post","2021","Department for International Trade","Male","Declared non-disabled","780","770","47240","41730"
"In post","2021","Department for International Trade","Male","Undeclared","40","40","[c]","[c]"
"In post","2021","Department for International Trade","Male","Unknown","500","500","46570","40000"
"In post","2021","Department for Transport (excl. agencies)","Female","Declared disabled","100","100","42680","37610"
"In post","2021","Department for Transport (excl. agencies)","Female","Declared non-disabled","1040","990","47480","43360"
"In post","2021","Department for Transport (excl. agencies)","Female","Undeclared","320","310","41520","35430"
"In post","2021","Department for Transport (excl. agencies)","Female","Unknown","80","80","44990","42470"
"In post","2021","Department for Transport (excl. agencies)","Male","Declared disabled","90","90","49250","46710"
"In post","2021","Department for Transport (excl. agencies)","Male","Declared non-disabled","1320","1300","51370","46710"
"In post","2021","Department for Transport (excl. agencies)","Male","Undeclared","420","400","43500","37640"
"In post","2021","Department for Transport (excl. agencies)","Male","Unknown","150","150","46980","43360"
"In post","2021","Department for Work and Pensions (excl. agencies)","Female","Declared disabled","10240","8690","26980","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Female","Declared non-disabled","45040","38720","27260","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Female","Undeclared","2410","2160","27070","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Female","Unknown","1850","1720","28120","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Male","Declared disabled","4980","4670","27180","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Male","Declared non-disabled","23470","22560","28690","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Male","Undeclared","1620","1570","27840","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Male","Unknown","1340","1330","29590","27570"
"In post","2021","Department of Health and Social Care (excl. agencies)","Female","Declared disabled","80","80","43170","39610"
"In post","2021","Department of Health and Social Care (excl. agencies)","Female","Declared non-disabled","510","480","49160","50260"
"In post","2021","Department of Health and Social Care (excl. agencies)","Female","Unknown","1510","1470","44320","40650"
"In post","2021","Department of Health and Social Care (excl. agencies)","Male","Declared disabled","60","50","50710","42480"
"In post","2021","Department of Health and Social Care (excl. agencies)","Male","Declared non-disabled","350","340","50990","50750"
"In post","2021","Department of Health and Social Care (excl. agencies)","Male","Unknown","1020","1010","47600","40650"
"In post","2021","Disclosure Scotland","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Female","Declared non-disabled","60","60","27570","24110"
"In post","2021","Disclosure Scotland","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Female","Unknown","80","70","28790","24110"
"In post","2021","Disclosure Scotland","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Male","Declared non-disabled","70","70","28600","22230"
"In post","2021","Disclosure Scotland","Male","Unknown","70","70","27940","24110"
"In post","2021","Driver and Vehicle Licensing Agency","Female","Declared disabled","460","360","23020","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Female","Declared non-disabled","2680","2220","24690","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Female","Undeclared","240","200","24390","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Female","Unknown","390","340","22470","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Male","Declared disabled","200","190","26470","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Male","Declared non-disabled","1760","1710","29370","25390"
"In post","2021","Driver and Vehicle Licensing Agency","Male","Undeclared","230","220","30030","26020"
"In post","2021","Driver and Vehicle Licensing Agency","Male","Unknown","280","270","27200","21590"
"In post","2021","Driver and Vehicle Standards Agency","Female","Declared disabled","170","150","28740","26780"
"In post","2021","Driver and Vehicle Standards Agency","Female","Declared non-disabled","930","840","29370","26780"
"In post","2021","Driver and Vehicle Standards Agency","Female","Undeclared","60","60","29970","26780"
"In post","2021","Driver and Vehicle Standards Agency","Female","Unknown","270","260","27790","26470"
"In post","2021","Driver and Vehicle Standards Agency","Male","Declared disabled","290","270","29560","26780"
"In post","2021","Driver and Vehicle Standards Agency","Male","Declared non-disabled","2320","2200","30400","27680"
"In post","2021","Driver and Vehicle Standards Agency","Male","Undeclared","200","190","29650","27680"
"In post","2021","Driver and Vehicle Standards Agency","Male","Unknown","560","550","28260","26700"
"In post","2021","Education and Skills Funding Agency","Female","Declared disabled","100","90","39050","36780"
"In post","2021","Education and Skills Funding Agency","Female","Declared non-disabled","790","750","41850","37100"
"In post","2021","Education and Skills Funding Agency","Female","Undeclared","40","40","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Female","Unknown","90","90","37240","36500"
"In post","2021","Education and Skills Funding Agency","Male","Declared disabled","70","70","40350","37100"
"In post","2021","Education and Skills Funding Agency","Male","Declared non-disabled","600","590","43900","37570"
"In post","2021","Education and Skills Funding Agency","Male","Undeclared","40","40","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Male","Unknown","90","90","38710","36500"
"In post","2021","Education Scotland","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Female","Declared non-disabled","100","90","55710","61010"
"In post","2021","Education Scotland","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Female","Unknown","130","120","53690","56120"
"In post","2021","Education Scotland","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Male","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Education Scotland","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Male","Unknown","50","40","[c]","[c]"
"In post","2021","ESTYN","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Female","Declared non-disabled","60","50","54760","69690"
"In post","2021","ESTYN","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Male","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","ESTYN","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Female","Declared disabled","30","30","[c]","[c]"
"In post","2021","FCDO Services","Female","Declared non-disabled","260","240","38910","32090"
"In post","2021","FCDO Services","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Male","Declared disabled","50","50","[c]","[c]"
"In post","2021","FCDO Services","Male","Declared non-disabled","640","630","41330","39580"
"In post","2021","FCDO Services","Male","Undeclared","40","30","[c]","[c]"
"In post","2021","FCDO Services","Male","Unknown","40","40","[c]","[c]"
"In post","2021","Food Standards Agency","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Female","Declared non-disabled","280","260","40230","37910"
"In post","2021","Food Standards Agency","Female","Undeclared","220","220","38340","37350"
"In post","2021","Food Standards Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Male","Declared disabled","40","40","[c]","[c]"
"In post","2021","Food Standards Agency","Male","Declared non-disabled","530","520","34930","29090"
"In post","2021","Food Standards Agency","Male","Undeclared","210","200","39040","37350"
"In post","2021","Food Standards Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Female","Declared non-disabled","50","50","36130","33620"
"In post","2021","Food Standards Scotland","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Female","Unknown","50","50","[c]","[c]"
"In post","2021","Food Standards Scotland","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Male","Declared non-disabled","50","50","35300","29290"
"In post","2021","Food Standards Scotland","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Male","Unknown","80","70","34690","30650"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Female","Declared disabled","390","370","43380","38600"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Female","Declared non-disabled","2550","2470","47180","41770"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Female","Undeclared","130","120","45920","39260"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Female","Unknown","790","770","48320","48500"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Male","Declared disabled","330","330","45530","39110"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Male","Declared non-disabled","2390","2380","50870","50430"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Male","Undeclared","170","170","52480","52400"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Male","Unknown","730","720","49920","52390"
"In post","2021","Forestry and Land Scotland","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Female","Declared non-disabled","290","270","31530","29140"
"In post","2021","Forestry and Land Scotland","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Male","Declared non-disabled","620","600","31780","30160"
"In post","2021","Forestry and Land Scotland","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","Female","Declared non-disabled","50","50","61950","62730"
"In post","2021","Government Actuary's Department","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","Male","Declared non-disabled","100","90","74010","66000"
"In post","2021","Government Actuary's Department","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Internal Audit Agency","Female","Declared disabled","30","30","[c]","[c]"
"In post","2021","Government Internal Audit Agency","Female","Declared non-disabled","180","160","46860","44020"
"In post","2021","Government Internal Audit Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Government Internal Audit Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Internal Audit Agency","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Government Internal Audit Agency","Male","Declared non-disabled","180","180","50930","49750"
"In post","2021","Government Internal Audit Agency","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Female","Declared disabled","100","100","54980","59310"
"In post","2021","Government Legal Department","Female","Declared non-disabled","1210","1100","53760","51830"
"In post","2021","Government Legal Department","Female","Undeclared","70","70","56020","54680"
"In post","2021","Government Legal Department","Female","Unknown","250","230","56330","58440"
"In post","2021","Government Legal Department","Male","Declared disabled","80","80","50470","51250"
"In post","2021","Government Legal Department","Male","Declared non-disabled","650","630","54450","52040"
"In post","2021","Government Legal Department","Male","Undeclared","40","40","[c]","[c]"
"In post","2021","Government Legal Department","Male","Unknown","120","120","59140","65180"
"In post","2021","Government Property Agency","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Female","Declared non-disabled","70","70","45400","45200"
"In post","2021","Government Property Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Male","Declared non-disabled","90","90","53870","52000"
"In post","2021","Government Property Agency","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Female","Declared disabled","200","170","36680","31710"
"In post","2021","Health and Safety Executive","Female","Declared non-disabled","1010","910","38750","35910"
"In post","2021","Health and Safety Executive","Female","Undeclared","70","70","40040","35910"
"In post","2021","Health and Safety Executive","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Male","Declared disabled","130","120","43530","43830"
"In post","2021","Health and Safety Executive","Male","Declared non-disabled","1030","1000","48790","45870"
