"Status","Year","Profession_of_post","Age","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Corporate Finance","50-59","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","60-64","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","65+","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","20-29","Heterosexual / straight","50","50","[c]","[c]"
"In post","2021","Counter Fraud","20-29","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","30-39","Heterosexual / straight","120","120","35990","34390"
"In post","2021","Counter Fraud","30-39","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","30-39","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","30-39","Unknown","50","50","[c]","[c]"
"In post","2021","Counter Fraud","40-49","Heterosexual / straight","150","140","37350","34900"
"In post","2021","Counter Fraud","40-49","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","40-49","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","40-49","Unknown","50","50","[c]","[c]"
"In post","2021","Counter Fraud","50-59","Heterosexual / straight","200","190","40050","37910"
"In post","2021","Counter Fraud","50-59","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","50-59","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","50-59","Unknown","70","70","45010","39490"
"In post","2021","Counter Fraud","60-64","Heterosexual / straight","60","60","37150","35640"
"In post","2021","Counter Fraud","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","65+","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","20-29","Heterosexual / straight","1020","1010","33630","31810"
"In post","2021","Digital, Data and Technology","20-29","LGBO","130","130","33940","31810"
"In post","2021","Digital, Data and Technology","20-29","Undeclared","120","120","34010","31080"
"In post","2021","Digital, Data and Technology","20-29","Unknown","670","670","32440","31740"
"In post","2021","Digital, Data and Technology","30-39","Heterosexual / straight","2030","1980","40750","38390"
"In post","2021","Digital, Data and Technology","30-39","LGBO","160","160","41660","38490"
"In post","2021","Digital, Data and Technology","30-39","Undeclared","250","250","41430","38630"
"In post","2021","Digital, Data and Technology","30-39","Unknown","870","850","41410","38550"
"In post","2021","Digital, Data and Technology","40-49","Heterosexual / straight","2410","2360","45400","42000"
"In post","2021","Digital, Data and Technology","40-49","LGBO","110","110","45550","38830"
"In post","2021","Digital, Data and Technology","40-49","Undeclared","360","360","42320","39250"
"In post","2021","Digital, Data and Technology","40-49","Unknown","840","820","44200","40880"
"In post","2021","Digital, Data and Technology","50-59","Heterosexual / straight","2220","2170","44400","40580"
"In post","2021","Digital, Data and Technology","50-59","LGBO","80","80","46880","43560"
"In post","2021","Digital, Data and Technology","50-59","Undeclared","470","450","41780","38930"
"In post","2021","Digital, Data and Technology","50-59","Unknown","630","620","44440","40300"
"In post","2021","Digital, Data and Technology","60-64","Heterosexual / straight","470","420","42800","38630"
"In post","2021","Digital, Data and Technology","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","60-64","Undeclared","100","80","40790","39110"
"In post","2021","Digital, Data and Technology","60-64","Unknown","130","120","41290","36820"
"In post","2021","Digital, Data and Technology","65+","Heterosexual / straight","130","110","41140","36160"
"In post","2021","Digital, Data and Technology","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","65+","Unknown","40","40","[c]","[c]"
"In post","2021","Economics","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Economics","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","20-29","Heterosexual / straight","750","750","37790","34090"
"In post","2021","Economics","20-29","LGBO","90","80","39140","34570"
"In post","2021","Economics","20-29","Undeclared","80","80","37320","34200"
"In post","2021","Economics","20-29","Unknown","270","270","35580","33570"
"In post","2021","Economics","30-39","Heterosexual / straight","360","350","57870","57850"
"In post","2021","Economics","30-39","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","30-39","Undeclared","40","40","[c]","[c]"
"In post","2021","Economics","30-39","Unknown","120","120","53000","54760"
"In post","2021","Economics","40-49","Heterosexual / straight","160","150","64170","61250"
"In post","2021","Economics","40-49","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","40-49","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","40-49","Unknown","50","50","[c]","[c]"
"In post","2021","Economics","50-59","Heterosexual / straight","100","90","63810","62480"
"In post","2021","Economics","50-59","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","50-59","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","60-64","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Economics","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","65+","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Economics","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","20-29","Heterosexual / straight","790","780","32940","30420"
"In post","2021","Finance","20-29","LGBO","50","50","33160","30390"
"In post","2021","Finance","20-29","Undeclared","60","60","33380","30800"
"In post","2021","Finance","20-29","Unknown","300","290","31380","30420"
"In post","2021","Finance","30-39","Heterosexual / straight","1400","1340","41410","37940"
"In post","2021","Finance","30-39","LGBO","70","70","45950","43730"
"In post","2021","Finance","30-39","Undeclared","140","140","42450","40580"
"In post","2021","Finance","30-39","Unknown","300","280","39800","36820"
"In post","2021","Finance","40-49","Heterosexual / straight","1800","1720","43960","40080"
"In post","2021","Finance","40-49","LGBO","60","60","47340","46640"
"In post","2021","Finance","40-49","Undeclared","240","230","43150","38790"
"In post","2021","Finance","40-49","Unknown","340","330","41820","38630"
"In post","2021","Finance","50-59","Heterosexual / straight","2020","1930","41990","37900"
"In post","2021","Finance","50-59","LGBO","50","40","[c]","[c]"
"In post","2021","Finance","50-59","Undeclared","340","320","40350","36650"
"In post","2021","Finance","50-59","Unknown","370","350","38020","33320"
"In post","2021","Finance","60-64","Heterosexual / straight","420","360","37920","33300"
"In post","2021","Finance","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","60-64","Undeclared","90","80","37350","33300"
"In post","2021","Finance","60-64","Unknown","90","80","36700","29960"
"In post","2021","Finance","65+","Heterosexual / straight","130","110","33980","29740"
"In post","2021","Finance","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","20-29","Heterosexual / straight","760","760","31260","29000"
"In post","2021","Human Resources","20-29","LGBO","90","90","33130","30410"
"In post","2021","Human Resources","20-29","Undeclared","40","40","[c]","[c]"
"In post","2021","Human Resources","20-29","Unknown","180","180","29630","27270"
"In post","2021","Human Resources","30-39","Heterosexual / straight","1340","1260","37260","33300"
"In post","2021","Human Resources","30-39","LGBO","90","90","42020","38060"
"In post","2021","Human Resources","30-39","Undeclared","100","90","36550","32100"
"In post","2021","Human Resources","30-39","Unknown","220","200","36840","32530"
"In post","2021","Human Resources","40-49","Heterosexual / straight","1600","1500","42400","38600"
"In post","2021","Human Resources","40-49","LGBO","80","80","47030","43110"
"In post","2021","Human Resources","40-49","Undeclared","170","160","37490","33850"
"In post","2021","Human Resources","40-49","Unknown","240","230","38170","33910"
"In post","2021","Human Resources","50-59","Heterosexual / straight","1860","1780","41130","36970"
"In post","2021","Human Resources","50-59","LGBO","70","70","42570","40530"
"In post","2021","Human Resources","50-59","Undeclared","230","210","38110","33300"
"In post","2021","Human Resources","50-59","Unknown","210","200","39820","36830"
"In post","2021","Human Resources","60-64","Heterosexual / straight","360","300","37850","33300"
"In post","2021","Human Resources","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","60-64","Undeclared","60","50","33350","31780"
"In post","2021","Human Resources","60-64","Unknown","40","30","[c]","[c]"
"In post","2021","Human Resources","65+","Heterosexual / straight","80","70","35620","33230"
"In post","2021","Human Resources","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","30-39","Heterosexual / straight","60","60","60830","51360"
"In post","2021","Inspector of Education and Training","30-39","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","30-39","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","40-49","Heterosexual / straight","240","230","65310","69690"
"In post","2021","Inspector of Education and Training","40-49","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","40-49","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","50-59","Heterosexual / straight","330","320","67660","74730"
"In post","2021","Inspector of Education and Training","50-59","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","50-59","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","60-64","Heterosexual / straight","80","70","67850","74730"
"In post","2021","Inspector of Education and Training","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","65+","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","20-29","Heterosexual / straight","360","360","32250","29250"
"In post","2021","Intelligence Analysis","20-29","LGBO","40","40","[c]","[c]"
"In post","2021","Intelligence Analysis","20-29","Undeclared","30","30","[c]","[c]"
"In post","2021","Intelligence Analysis","20-29","Unknown","110","110","39600","36160"
"In post","2021","Intelligence Analysis","30-39","Heterosexual / straight","670","650","34420","30980"
"In post","2021","Intelligence Analysis","30-39","LGBO","40","40","[c]","[c]"
"In post","2021","Intelligence Analysis","30-39","Undeclared","80","80","34870","33300"
"In post","2021","Intelligence Analysis","30-39","Unknown","110","110","42100","37090"
"In post","2021","Intelligence Analysis","40-49","Heterosexual / straight","630","590","34910","30830"
"In post","2021","Intelligence Analysis","40-49","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","40-49","Undeclared","120","110","34680","31040"
"In post","2021","Intelligence Analysis","40-49","Unknown","80","80","47100","45200"
"In post","2021","Intelligence Analysis","50-59","Heterosexual / straight","640","620","34530","31180"
"In post","2021","Intelligence Analysis","50-59","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","50-59","Undeclared","150","150","34150","31870"
"In post","2021","Intelligence Analysis","50-59","Unknown","70","60","39060","32330"
"In post","2021","Intelligence Analysis","60-64","Heterosexual / straight","140","120","34220","31810"
"In post","2021","Intelligence Analysis","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","60-64","Undeclared","30","30","[c]","[c]"
"In post","2021","Intelligence Analysis","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","65+","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Intelligence Analysis","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","20-29","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Internal Audit","20-29","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","30-39","Heterosexual / straight","110","110","42250","39410"
"In post","2021","Internal Audit","30-39","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","30-39","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","40-49","Heterosexual / straight","150","150","48290","45290"
"In post","2021","Internal Audit","40-49","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","40-49","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","50-59","Heterosexual / straight","240","240","48550","45810"
"In post","2021","Internal Audit","50-59","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","50-59","Undeclared","50","50","[c]","[c]"
"In post","2021","Internal Audit","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","60-64","Heterosexual / straight","50","40","[c]","[c]"
"In post","2021","Internal Audit","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","65+","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","20-29","Heterosexual / straight","240","240","37040","33410"
"In post","2021","International Trade","20-29","LGBO","30","30","[c]","[c]"
"In post","2021","International Trade","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","20-29","Unknown","170","170","37920","34950"
"In post","2021","International Trade","30-39","Heterosexual / straight","250","240","50110","51970"
"In post","2021","International Trade","30-39","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","30-39","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","30-39","Unknown","140","140","47580","51710"
"In post","2021","International Trade","40-49","Heterosexual / straight","160","160","51760","51970"
"In post","2021","International Trade","40-49","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","40-49","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","40-49","Unknown","70","70","51640","51970"
"In post","2021","International Trade","50-59","Heterosexual / straight","160","150","53290","51970"
"In post","2021","International Trade","50-59","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","50-59","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","50-59","Unknown","70","70","48440","39460"
"In post","2021","International Trade","60-64","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","65+","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","20-29","Heterosexual / straight","210","210","28130","26880"
"In post","2021","Knowledge and Information Management","20-29","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","20-29","Unknown","30","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","30-39","Heterosexual / straight","350","330","37530","36330"
"In post","2021","Knowledge and Information Management","30-39","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","30-39","Undeclared","40","40","[c]","[c]"
"In post","2021","Knowledge and Information Management","30-39","Unknown","60","60","35450","33360"
"In post","2021","Knowledge and Information Management","40-49","Heterosexual / straight","400","380","39280","37020"
"In post","2021","Knowledge and Information Management","40-49","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","40-49","Undeclared","90","80","40990","37470"
"In post","2021","Knowledge and Information Management","40-49","Unknown","100","90","42840","41310"
"In post","2021","Knowledge and Information Management","50-59","Heterosexual / straight","530","510","38250","34610"
"In post","2021","Knowledge and Information Management","50-59","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","50-59","Undeclared","130","130","38610","35000"
"In post","2021","Knowledge and Information Management","50-59","Unknown","90","80","37570","33790"
"In post","2021","Knowledge and Information Management","60-64","Heterosexual / straight","110","100","35890","32140"
"In post","2021","Knowledge and Information Management","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","60-64","Undeclared","40","40","[c]","[c]"
"In post","2021","Knowledge and Information Management","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","65+","Heterosexual / straight","40","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","20-29","Heterosexual / straight","770","770","34970","31810"
"In post","2021","Legal","20-29","LGBO","70","70","36190","33460"
"In post","2021","Legal","20-29","Undeclared","60","60","33580","29970"
"In post","2021","Legal","20-29","Unknown","330","330","29810","26970"
"In post","2021","Legal","30-39","Heterosexual / straight","2050","1960","46780","50500"
"In post","2021","Legal","30-39","LGBO","130","130","46870","51250"
"In post","2021","Legal","30-39","Undeclared","180","180","45400","48660"
"In post","2021","Legal","30-39","Unknown","620","600","44280","47000"
"In post","2021","Legal","40-49","Heterosexual / straight","2240","2070","50450","51390"
"In post","2021","Legal","40-49","LGBO","110","110","55230","55490"
"In post","2021","Legal","40-49","Undeclared","300","280","49670","48220"
"In post","2021","Legal","40-49","Unknown","840","760","51710","54080"
"In post","2021","Legal","50-59","Heterosexual / straight","2100","1980","51400","51490"
