"Status","Year","Sexual_orientation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Undeclared","Declared disabled","290","240","30100","27060"
"Leaver CS","2021","Undeclared","Declared non-disabled","1050","900","34270","27570"
"Leaver CS","2021","Undeclared","Undeclared","430","390","33790","30510"
"Leaver CS","2021","Undeclared","Unknown","220","200","32560","28670"
"Leaver CS","2021","Unknown","Declared disabled","830","670","28970","27130"
"Leaver CS","2021","Unknown","Declared non-disabled","4510","3640","31510","26890"
"Leaver CS","2021","Unknown","Undeclared","740","620","35250","31770"
"Leaver CS","2021","Unknown","Unknown","6600","5950","32340","27570"
"Leaver CS","2022","Heterosexual / straight","Declared disabled","2930","2560","30250","27570"
"Leaver CS","2022","Heterosexual / straight","Declared non-disabled","18710","17060","33580","27570"
"Leaver CS","2022","Heterosexual / straight","Undeclared","930","830","30080","27550"
"Leaver CS","2022","Heterosexual / straight","Unknown","1550","1340","36490","32640"
"Leaver CS","2022","LGBO","Declared disabled","440","420","30590","27570"
"Leaver CS","2022","LGBO","Declared non-disabled","1210","1160","32250","27570"
"Leaver CS","2022","LGBO","Undeclared","110","100","32560","27570"
"Leaver CS","2022","LGBO","Unknown","100","90","34110","27900"
"Leaver CS","2022","Undeclared","Declared disabled","440","360","30200","27470"
"Leaver CS","2022","Undeclared","Declared non-disabled","1770","1530","33060","27570"
"Leaver CS","2022","Undeclared","Undeclared","670","610","35620","31890"
"Leaver CS","2022","Undeclared","Unknown","710","300","39530","36080"
"Leaver CS","2022","Unknown","Declared disabled","660","520","31540","27570"
"Leaver CS","2022","Unknown","Declared non-disabled","4540","3660","32490","27570"
"Leaver CS","2022","Unknown","Undeclared","530","420","32790","27570"
"Leaver CS","2022","Unknown","Unknown","8920","8240","33180","27570"
"Leaver Dept.","2021","Heterosexual / straight","Declared disabled","650","630","35630","32000"
"Leaver Dept.","2021","Heterosexual / straight","Declared non-disabled","4820","4670","37740","32620"
"Leaver Dept.","2021","Heterosexual / straight","Undeclared","230","220","35970","32560"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","290","280","42160","37410"
"Leaver Dept.","2021","LGBO","Declared disabled","110","110","37910","33210"
"Leaver Dept.","2021","LGBO","Declared non-disabled","410","410","36790","32830"
"Leaver Dept.","2021","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","30","30","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Declared disabled","80","80","36820","32620"
"Leaver Dept.","2021","Undeclared","Declared non-disabled","370","360","39790","34490"
"Leaver Dept.","2021","Undeclared","Undeclared","180","180","39830","37410"
"Leaver Dept.","2021","Undeclared","Unknown","60","60","37960","33690"
"Leaver Dept.","2021","Unknown","Declared disabled","150","130","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","1340","1160","37680","31830"
"Leaver Dept.","2021","Unknown","Undeclared","170","150","38100","34700"
"Leaver Dept.","2021","Unknown","Unknown","3050","2750","37370","32620"
"Leaver Dept.","2022","Heterosexual / straight","Declared disabled","1250","1180","36020","31060"
"Leaver Dept.","2022","Heterosexual / straight","Declared non-disabled","11190","10660","37880","32330"
"Leaver Dept.","2022","Heterosexual / straight","Undeclared","380","370","34470","31060"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","1180","950","42840","37470"
"Leaver Dept.","2022","LGBO","Declared disabled","250","240","33370","29200"
"Leaver Dept.","2022","LGBO","Declared non-disabled","870","830","38070","33570"
"Leaver Dept.","2022","LGBO","Undeclared","60","60","[c]","[c]"
"Leaver Dept.","2022","LGBO","Unknown","100","70","41810","36350"
"Leaver Dept.","2022","Undeclared","Declared disabled","170","160","35350","32160"
"Leaver Dept.","2022","Undeclared","Declared non-disabled","910","860","38480","32330"
"Leaver Dept.","2022","Undeclared","Undeclared","320","310","38410","34980"
"Leaver Dept.","2022","Undeclared","Unknown","1320","310","47790","40610"
"Leaver Dept.","2022","Unknown","Declared disabled","180","160","39120","33970"
"Leaver Dept.","2022","Unknown","Declared non-disabled","1450","1230","39470","32070"
"Leaver Dept.","2022","Unknown","Undeclared","100","90","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","3920","3710","40570","33370"
"New entrant CS","2021","Heterosexual / straight","Declared disabled","2950","2860","28040","27570"
"New entrant CS","2021","Heterosexual / straight","Declared non-disabled","26110","25430","29050","27570"
"New entrant CS","2021","Heterosexual / straight","Undeclared","1020","990","29860","27570"
"New entrant CS","2021","Heterosexual / straight","Unknown","3700","3620","33100","29540"
"New entrant CS","2021","LGBO","Declared disabled","690","680","27560","27570"
"New entrant CS","2021","LGBO","Declared non-disabled","2280","2240","28320","27570"
"New entrant CS","2021","LGBO","Undeclared","160","160","27450","27570"
"New entrant CS","2021","LGBO","Unknown","340","340","30910","28500"
"New entrant CS","2021","Undeclared","Declared disabled","270","260","28500","27570"
"New entrant CS","2021","Undeclared","Declared non-disabled","1430","1380","30570","27570"
"New entrant CS","2021","Undeclared","Undeclared","510","480","33520","28590"
"New entrant CS","2021","Undeclared","Unknown","350","340","31900","27850"
"New entrant CS","2021","Unknown","Declared disabled","110","100","28480","27530"
"New entrant CS","2021","Unknown","Declared non-disabled","620","600","31290","27680"
"New entrant CS","2021","Unknown","Undeclared","210","210","37800","34710"
"New entrant CS","2021","Unknown","Unknown","16450","16030","29330","25560"
"New entrant CS","2022","Heterosexual / straight","Declared disabled","3790","3640","29140","27230"
"New entrant CS","2022","Heterosexual / straight","Declared non-disabled","31010","30130","29750","27070"
"New entrant CS","2022","Heterosexual / straight","Undeclared","1130","1090","29340","27570"
"New entrant CS","2022","Heterosexual / straight","Unknown","3620","3480","32360","28840"
"New entrant CS","2022","LGBO","Declared disabled","890","870","28060","26590"
"New entrant CS","2022","LGBO","Declared non-disabled","2780","2740","29260","26590"
"New entrant CS","2022","LGBO","Undeclared","190","190","27540","26370"
"New entrant CS","2022","LGBO","Unknown","380","360","30700","27620"
"New entrant CS","2022","Undeclared","Declared disabled","370","360","30350","27570"
"New entrant CS","2022","Undeclared","Declared non-disabled","1630","1570","30590","27570"
"New entrant CS","2022","Undeclared","Undeclared","500","480","32490","29520"
"New entrant CS","2022","Undeclared","Unknown","860","570","35290","32770"
"New entrant CS","2022","Unknown","Declared disabled","180","170","30080","27130"
"New entrant CS","2022","Unknown","Declared non-disabled","1500","1450","26590","22600"
"New entrant CS","2022","Unknown","Undeclared","50","40","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","20530","19690","29110","26310"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at March 31st).","","","","","",""
"Disability","Self reported disability.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","",""
"Sexual_orientation","Self reported sexual orientation.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their sexual orientation and ""Unknown"" accounts for employees who have not made an active declaration about their sexual orientation.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
